DIRECTORIO;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;NC2_CC_P4;NC2_CC_P4S1;FEX_C
118311;1;1;1;97;82000;707,16096412501
118362;1;1;1;98;50000;1441,21529950043
118364;1;1;1;98;35000;1367,66377867218
118380;1;1;1;95;200000;1416,13699666482
118405;1;1;1;98;249000;140,563986587833
118406;1;1;1;98;190000;127,67208912754
118409;1;1;1;98;98;138,509736294368
118410;1;1;1;98;33000;126,077647838278
118419;1;1;1;97;2000;137,346201100555
118436;1;1;1;95;99;160,813979078405
118438;1;1;1;98;99;160,813979078405
118439;1;1;1;98;99;153,370839240222
118440;1;1;1;98;99;137,346201100555
118441;1;1;1;98;99;163,57195556148
118472;1;1;1;98;120000;215,933593844522
118498;1;1;1;97;46000;659,178901537716
118499;1;1;1;98;20000;654,659483578018
118516;1;1;1;97;99;846,759109946913
118526;1;1;1;98;200000;972,513146761457
118527;1;1;1;98;140000;792,557311187517
118528;1;1;1;98;500000;714,290956528881
118540;1;1;1;97;15000;494,242875976986
118542;1;1;1;96;2000;900,873082639309
118545;1;1;1;98;200000;745,365795260425
118556;1;1;1;95;100000;145,501050896521
118560;1;1;1;98;98;294,831873625909
118566;1;1;1;96;50000;131,125223435766
118571;1;1;1;96;50000;136,921938155492
118582;1;1;1;95;26000;152,209205891705
118582;2;1;2;96;22000;152,209205891705
118582;3;1;3;97;24000;152,209205891705
118613;1;1;1;98;150000;53,2576388316052
118615;1;1;1;98;150000;53,3917025382402
118617;1;1;1;98;150000;47,0527737142079
118624;1;1;1;95;110000;66,2158153025693
118624;2;1;2;96;80000;66,2158153025693
118624;3;1;3;97;120000;66,2158153025693
118632;1;1;1;97;120000;51,7521282085489
118633;1;1;1;97;250000;48,7770265003741
118634;1;1;1;97;60000;37,6243159148054
118638;1;1;1;98;500000;58,0658905377969
118639;1;1;1;98;100000;58,6311277837888
118640;1;1;1;98;400000;54,4225662532395
118649;1;1;1;98;75000;73,9877396834445
118662;1;1;1;98;300000;58,5740238031615
118730;1;1;1;95;99;74,5671840845715
118776;1;1;1;98;50000;57,6739291946902
118782;1;1;1;98;90000;88,1995703288476
118794;1;1;1;98;99;50,9819492113369
118846;1;1;1;95;90000;38,6320358530901
118850;1;1;1;98;99;82,4777802684397
118851;1;1;1;98;330000;87,5476192381295
118853;1;1;1;97;100000;84,4281456670116
118856;1;1;1;98;99;65,4275017807095
118857;1;1;1;95;75000;74,8531133530041
118857;2;1;2;96;60000;74,8531133530041
118857;3;1;3;97;60000;74,8531133530041
118858;1;1;1;98;99;74,1528784010463
118860;1;1;1;96;50000;82,5414691177561
118861;1;1;1;98;300000;73,4187494923687
118866;1;1;1;98;99;76,2303181086357
118874;1;1;1;98;99;78,0447907910066
118896;1;1;1;98;99;12,5846725736879
118904;1;1;1;96;20200;25,7069525856292
118958;1;1;1;97;25000;75,7259006666809
118966;1;1;1;97;350000;73,6389122627089
118968;1;1;1;98;200000;93,2064155618852
119152;1;1;1;96;8000;137,850719629745
119307;1;1;1;98;350000;130,445937889147
119316;1;1;1;97;500000;86,5863242515835
119318;1;1;1;98;250000;82,6849228303491
119370;1;1;1;95;78000;21,4528767123286
119467;1;1;1;98;99;41,2906541551386
119504;1;1;1;98;500000;4,20579147886336
119519;1;1;1;98;89000;3,68755922059558
119523;1;1;1;98;350000;2,4941001207373
119530;1;1;1;95;26000;3,03543589959546
119530;2;1;2;97;15000;3,03543589959546
119570;1;1;1;98;300000;2,24054152019597
119573;1;1;1;98;300000;3,25382111762306
119575;1;1;1;95;60000;2,63214057647766
119575;2;1;2;96;10000;2,63214057647766
119575;3;1;3;97;15000;2,63214057647766
119576;1;1;1;95;50000;1,50068255811765
119576;2;1;2;96;12000;1,50068255811765
119576;3;1;3;97;8000;1,50068255811765
119577;1;1;1;98;40000;1,57332051787354
119579;1;1;1;95;14000;3,55280247300239
119579;2;1;2;96;3000;3,55280247300239
119579;3;1;3;97;10000;3,55280247300239
119581;1;1;1;98;1000000;1,57025567385793
