cod_mun,year,month,food_sipsa,m_q1,m_q2,m_q3,precio_hat_q1,precio_hat_q2,precio_hat_q3,codigo_tcac,nombre_del_alimento_en_base_de_referencia,parte_analizada,humedad_g,energia_kcal,proteina_g,lipidos_g,carbohidratos_totales_g,fibra_dietaria_g,cenizas_g,calcio_mg,hierro_mg,sodio_mg,fosforo_mg,zinc_mg,magnesio_mg,potasio_mg,tiamina_mg,riboflavina_mg,niacina_mg,folatos_mcg,vitamina_b12_mcg,vitamina_c_mg,vitamina_a_er,parte_comestible_percent,codigo2,micr_sin_inf_por_alimento,grupos_gabas,subgrupos_gabas,grupo_tcac,pc,precio_q1_100g,precio_q2_100g,precio_q3_100g
76001,2017,1,Aguacate papelillo,18.450576432392918,30.72313203684749,48.94794981747427,2114.5155297421775,2333.5985447586145,2658.9381200020657,C002,"Aguacate Lorena, crudo",Pulpa sin semilla,74.3,179,1.6,13.3,10,6.6,0.8,10,0.4,6,40,0.5,27,456,0.05,0.12,1.4,81,0,8,3,77,C002,0,GRASAS,GRASAS MONOINSATURADAS,FRUTAS Y DERIVADOS,77,549.224812920046,606.1294921450946,690.6332779226144
76001,2016,10,Aguacate papelillo,18.450576432392918,30.72313203684749,48.94794981747427,2329.528003170394,2570.888263391334,2929.3096797436606,C002,"Aguacate Lorena, crudo",Pulpa sin semilla,74.3,179,1.6,13.3,10,6.6,0.8,10,0.4,6,40,0.5,27,456,0.05,0.12,1.4,81,0,8,3,77,C002,0,GRASAS,GRASAS MONOINSATURADAS,FRUTAS Y DERIVADOS,77,605.0722086156867,667.7631852964504,760.8596570762754
76001,2017,10,Aguacate papelillo,18.450576432392918,30.72313203684749,48.94794981747427,2424.091046688921,2675.248897134084,3048.219793014611,C002,"Aguacate Lorena, crudo",Pulpa sin semilla,74.3,179,1.6,13.3,10,6.6,0.8,10,0.4,6,40,0.5,27,456,0.05,0.12,1.4,81,0,8,3,77,C002,0,GRASAS,GRASAS MONOINSATURADAS,FRUTAS Y DERIVADOS,77,629.6340381010184,694.8698434114503,791.7454007830157
76001,2016,7,Aguacate papelillo,18.450576432392918,30.72313203684749,48.94794981747427,1939.1346450119656,2140.0466073865573,2438.402061803568,C002,"Aguacate Lorena, crudo",Pulpa sin semilla,74.3,179,1.6,13.3,10,6.6,0.8,10,0.4,6,40,0.5,27,456,0.05,0.12,1.4,81,0,8,3,77,C002,0,GRASAS,GRASAS MONOINSATURADAS,FRUTAS Y DERIVADOS,77,503.6713363667443,555.856261658846,633.3511848840435
76001,2013,12,Aguacate papelillo,18.450576432392918,30.72313203684749,48.94794981747427,2086.21077741552,2302.3611629989764,2623.345766160265,C002,"Aguacate Lorena, crudo",Pulpa sin semilla,74.3,179,1.6,13.3,10,6.6,0.8,10,0.4,6,40,0.5,27,456,0.05,0.12,1.4,81,0,8,3,77,C002,0,GRASAS,GRASAS MONOINSATURADAS,FRUTAS Y DERIVADOS,77,541.8729291988363,598.0158864932406,681.3885106909779
76001,2023,7,Aguacate papelillo,18.450576432392918,30.72313203684749,48.94794981747427,2818.2353397677084,3110.230118986694,3543.8440960322564,C002,"Aguacate Lorena, crudo",Pulpa sin semilla,74.3,179,1.6,13.3,10,6.6,0.8,10,0.4,6,40,0.5,27,456,0.05,0.12,1.4,81,0,8,3,77,C002,0,GRASAS,GRASAS MONOINSATURADAS,FRUTAS Y DERIVADOS,77,732.0091791604436,807.8519789575828,920.4789859824042
76001,2023,6,Aguacate papelillo,18.450576432392918,30.72313203684749,48.94794981747427,3400.4199229329197,3752.7343129477995,4275.923269385142,C002,"Aguacate Lorena, crudo",Pulpa sin semilla,74.3,179,1.6,13.3,10,6.6,0.8,10,0.4,6,40,0.5,27,456,0.05,0.12,1.4,81,0,8,3,77,C002,0,GRASAS,GRASAS MONOINSATURADAS,FRUTAS Y DERIVADOS,77,883.2259540085505,974.7361851812466,1110.6294206195173
76001,2018,6,Aguacate papelillo,18.450576432392918,30.72313203684749,48.94794981747427,1809.924807886964,1997.4494575230297,2275.924673211007,C002,"Aguacate Lorena, crudo",Pulpa sin semilla,74.3,179,1.6,13.3,10,6.6,0.8,10,0.4,6,40,0.5,27,456,0.05,0.12,1.4,81,0,8,3,77,C002,0,GRASAS,GRASAS MONOINSATURADAS,FRUTAS Y DERIVADOS,77,470.11033971089967,518.8180409150726,591.1492657690926
76001,2019,9,Aguacate papelillo,18.450576432392918,30.72313203684749,48.94794981747427,2383.5217242608264,2630.4762244114636,2997.2051202021257,C002,"Aguacate Lorena, crudo",Pulpa sin semilla,74.3,179,1.6,13.3,10,6.6,0.8,10,0.4,6,40,0.5,27,456,0.05,0.12,1.4,81,0,8,3,77,C002,0,GRASAS,GRASAS MONOINSATURADAS,FRUTAS Y DERIVADOS,77,619.0965517560587,683.2405777692113,778.4948364161364
76001,2016,1,Aguacate papelillo,18.450576432392918,30.72313203684749,48.94794981747427,2074.1683021448935,2289.0709779085637,2608.2027245954887,C002,"Aguacate Lorena, crudo",Pulpa sin semilla,74.3,179,1.6,13.3,10,6.6,0.8,10,0.4,6,40,0.5,27,456,0.05,0.12,1.4,81,0,8,3,77,C002,0,GRASAS,GRASAS MONOINSATURADAS,FRUTAS Y DERIVADOS,77,538.7450135441281,594.5638903658606,677.4552531416853
76001,2021,2,Aguacate papelillo,18.450576432392918,30.72313203684749,48.94794981747427,2927.20987008551,3230.4954004605934,3680.8762098643324,C002,"Aguacate Lorena, crudo",Pulpa sin semilla,74.3,179,1.6,13.3,10,6.6,0.8,10,0.4,6,40,0.5,27,456,0.05,0.12,1.4,81,0,8,3,77,C002,0,GRASAS,GRASAS MONOINSATURADAS,FRUTAS Y DERIVADOS,77,760.3142519702623,839.0897144053489,956.0717428219044
76001,2017,4,Aguacate papelillo,18.450576432392918,30.72313203684749,48.94794981747427,2050.6756044858025,2263.144223387922,2578.661381215023,C002,"Aguacate Lorena, crudo",Pulpa sin semilla,74.3,179,1.6,13.3,10,6.6,0.8,10,0.4,6,40,0.5,27,456,0.05,0.12,1.4,81,0,8,3,77,C002,0,GRASAS,GRASAS MONOINSATURADAS,FRUTAS Y DERIVADOS,77,532.6430141521564,587.8296684124472,669.7821769389669
76001,2023,1,Aguacate papelillo,18.450576432392918,30.72313203684749,48.94794981747427,4361.054097799626,4812.898913766632,5483.891142404858,C002,"Aguacate Lorena, crudo",Pulpa sin semilla,74.3,179,1.6,13.3,10,6.6,0.8,10,0.4,6,40,0.5,27,456,0.05,0.12,1.4,81,0,8,3,77,C002,0,GRASAS,GRASAS MONOINSATURADAS,FRUTAS Y DERIVADOS,77,1132.741324103799,1250.1036139653588,1424.3873097155474
76001,2018,12,Aguacate papelillo,18.450576432392918,30.72313203684749,48.94794981747427,2122.0420767863193,2341.904910440123,2668.402520980051,C002,"Aguacate Lorena, crudo",Pulpa sin semilla,74.3,179,1.6,13.3,10,6.6,0.8,10,0.4,6,40,0.5,27,456,0.05,0.12,1.4,81,0,8,3,77,C002,0,GRASAS,GRASAS MONOINSATURADAS,FRUTAS Y DERIVADOS,77,551.1797602042387,608.2869897247072,693.0915638909223
