alimento_sipsa,term,estimate,std.error,statistic,p.value,ci_lo,ci_hi
Aguacate papelillo,(Intercept),1.6489841282486961,1.030190902795666,1.6006587941844457,0.11694860440272291,-0.370190041230809,3.6681582977282012
Aguacate papelillo,ln_wholesale,0.8166229245244679,0.13852574731560036,5.895098495039862,5.621855923245115e-7,0.5451124597858912,1.0881333892630447
Aguacate papelillo,mes_factor2,0.058141746258593786,0.05025984892002287,1.1568229413326165,0.25388211639473557,-0.040367557624651045,0.1566510501418386
Aguacate papelillo,mes_factor3,0.19603460097158523,0.05030265083245139,3.8971027913526743,3.439514645168896e-4,0.09744140533998051,0.29462779660318994
Aguacate papelillo,mes_factor4,0.20143331717822807,0.05361267074543041,3.757196095204731,5.236697816940293e-4,0.09635248251718447,0.30651415183927166
Aguacate papelillo,mes_factor5,0.02375151245118935,0.054843479268356476,0.4330781483605375,0.6671740377223747,-0.08374170691478934,0.13124473181716803
Aguacate papelillo,mes_factor6,-0.2083737095091037,0.05818409378324831,-3.5812830614042532,8.806823599196006e-4,-0.3224145333242704,-0.094332885693937
Aguacate papelillo,mes_factor7,-0.2219749897494482,0.07170229888138802,-3.0957862329720496,0.0034890214620618113,-0.3625114955569687,-0.08143848394192771
Aguacate papelillo,mes_factor8,-0.21732110832374543,0.09460409825519514,-2.2971637839358756,0.026661335181731655,-0.4027451409039279,-0.03189707574356296
Aguacate papelillo,mes_factor9,-0.1801361811001601,0.05345011371964849,-3.3701739540722677,0.0016204521002877348,-0.2848984039906711,-0.07537395820964908
Aguacate papelillo,mes_factor10,-0.06323848962941658,0.054291778746281966,-1.1647894228138052,0.2506776108432593,-0.16965037597212923,0.043173396713296064
Aguacate papelillo,mes_factor11,-0.0458718569952866,0.05369823652607348,-0.8542525781645224,0.39781146389821576,-0.15112040058639062,0.059376686595817414
Aguacate papelillo,mes_factor12,-0.0333739930986759,0.05334033849119594,-0.6256801895658091,0.5349101207457442,-0.13792105654141995,0.07117307034406814
Ahuyama,(Intercept),3.5437198009723323,0.3597039237633562,9.85176854313019,1.1055911434880236e-16,2.838700110396154,4.248739491548511
Ahuyama,ln_wholesale,0.5224296992851937,0.06006843984286854,8.697241024601336,4.4522741280826494e-14,0.40469555719317135,0.640163841377216
Ahuyama,mes_factor2,-0.08063955354416248,0.07446443965410329,-1.0829270174964503,0.2812751576857568,-0.22658985526620495,0.06531074817787998
Ahuyama,mes_factor3,-0.14774398701959615,0.07446313483463719,-1.9841225775371427,0.04980291292240816,-0.29369173129548504,-0.0017962427437072659
Ahuyama,mes_factor4,-0.21229315742769628,0.07809217664544649,-2.7184945604928914,0.0076524951992092095,-0.36535382365277136,-0.05923249120262117
Ahuyama,mes_factor5,-0.17093662485426164,0.0780962752949798,-2.1887935654883894,0.03078532522449154,-0.324005324432422,-0.017867925276101232
Ahuyama,mes_factor6,-0.14580588612532494,0.07810289957308504,-1.8668434452793472,0.06466103448542838,-0.29888756928857163,0.00727579703792175
Ahuyama,mes_factor7,-0.04241714397995434,0.08340918166633272,-0.5085428622191553,0.6121196267769022,-0.20589914004596646,0.1210648520860578
Ahuyama,mes_factor8,-0.07872119533803648,0.08346257133045913,-0.9431915897528511,0.3477077024647318,-0.24230783514573637,0.0848654444696634
Ahuyama,mes_factor9,-0.1453996784875845,0.08341525929958922,-1.743082497236816,0.08419184855253417,-0.3088935867147794,0.018094229739610362
Ahuyama,mes_factor10,-0.18061281100576665,0.07840881543453765,-2.3034758273648146,0.02318500068008234,-0.3342940892574604,-0.026931532754072868
Ahuyama,mes_factor11,-0.13804410388696717,0.07888108230876768,-1.7500280149125627,0.08298014552924819,-0.2926510252121518,0.016562817438217498
Ahuyama,mes_factor12,-0.10074696185809737,0.07899414404327579,-1.2753725365123851,0.20493949377812404,-0.25557548418291787,0.05408156046672316
Arracacha amarilla,(Intercept),2.7829179845403034,0.5011525434376137,5.553035739280323,1.0740012687463812e-6,1.8006589994025806,3.765176969678026
Arracacha amarilla,ln_wholesale,0.6865151783227587,0.0752072587102509,9.128310087297269,3.1538853841138644e-12,0.5391089512506669,0.8339214053948504
Arracacha amarilla,mes_factor2,-0.012362088968062221,0.16315211539084065,-0.07577032598350378,0.9399041889716719,-0.3321402351341099,0.3074160571979854
Arracacha amarilla,mes_factor3,-0.003671397191595461,0.16315403130194678,-0.022502644662214077,0.9821365675422418,-0.32345329854341115,0.3161105041602202
