alimento_sipsa,term,beta,beta_se,statistic,p.value,n_obs,beta_ci_lo,beta_ci_hi
Aguacate papelillo,ln_wholesale,0.6943812061442476,0.19242274817710128,3.608623266855932,6.823540265904817e-4,55,0.31723261971712907,1.071529792571366
Ahuyama,ln_wholesale,0.5080039351636275,0.05741774670592488,8.847507335414246,1.0494447201117583e-14,120,0.3954651516200148,0.6205427187072403
Arracacha amarilla,ln_wholesale,0.6814544408824652,0.06957071111502364,9.795134043632144,3.9117256535136666e-14,63,0.5450958470970189,0.8178130346679116
Arroz de primera,ln_wholesale,0.8672185974609782,0.04189595233140818,20.69934084803819,2.828357343525658e-29,63,0.7851025308914181,0.9493346640305382
Arveja verde en vaina pastusa,ln_wholesale,0.7550974539186909,0.07889780652955888,9.570576003729524,4.154938306099582e-9,23,0.6004577531207554,0.9097371547166263
Arveja verde seca importada,ln_wholesale,0.8487942577149902,0.09153349727049463,9.273045202311906,8.103890127596062e-12,45,0.6693886030648207,1.0281999123651597
Avena en hojuelas,ln_wholesale,1.034738472632709,0.05012490672472294,20.64319996275122,3.270675774503811e-29,63,0.9364936554522519,1.1329832898131658
Avena molida,ln_wholesale,1.465881546367402,0.05354354734342412,27.37737074021922,5.7436146600396686e-36,63,1.3609361935742907,1.5708268991605132
Azúcar morena,ln_wholesale,0.9768312060369478,0.024939656091143562,39.167789742851944,1.2103907790798444e-38,51,0.9279494800983065,1.0257129319755893
Azúcar sulfitada,ln_wholesale,0.82347764546747515,0.07577281060154968,10.867719422441928,6.714656289182352e-16,63,0.6749629366884378,0.9719923542465125
Banano criollo,ln_wholesale,0.6876443552608104,0.05695715084754942,12.073011817275553,8.157444127355545e-18,63,0.5760083395996135,0.7992803709220072
Bocachico importado congelado,ln_wholesale,1.5554774356020327,0.0608648063225546,25.556270192642035,2.746164987816844e-34,63,1.4361824152098257,1.6747724559942396
Café molido,ln_wholesale,-0.24878654844364098,0.14976568974929289,-1.6611718535808073,0.1018107343033285,63,-0.5423273003522551,0.04475420346497308
"Carne de cerdo, costilla",ln_wholesale,0.5500898723328601,0.07620141598837253,7.218893050711782,9.73958182231231e-10,63,0.4007350969956499,0.6994446476700703
"Carne de cerdo, espinazo",ln_wholesale,0.2508820337385815,0.07897984972008246,3.1765321740639996,0.0023389339887412266,63,0.09608152828721986,0.4056825391899431
"Carne de res, cadera",ln_wholesale,0.907361296018445,0.033012208915941754,27.485628069567795,8.210145452745761e-34,57,0.8426573665431991,0.9720652254936908
"Carne de res, falda",ln_wholesale,1.2091391828645726,0.05461899582653124,22.13770437495359,7.545318425638298e-31,63,1.1020859510445713,1.3161924146845738
"Carne de res, lomo de brazo",ln_wholesale,0.5408676843230017,0.04970889149344664,10.880702990415847,1.163252755872058e-13,43,0.44343825699584627,0.6382971116501571
"Carne de res, lomo fino",ln_wholesale,-0.3244868401288227,1.2062361209731316,-0.2690077294875258,0.7956800850175103,9,-2.6887096372361605,2.039735956978515
"Carne de res, pecho",ln_wholesale,0.6232071128434313,0.029827159529942516,20.893947753148066,1.71312893245317e-29,63,0.564745880164744,0.6816683455221186
"Carne de res, punta de anca",ln_wholesale,0.7774791823190955,0.03747931377975765,20.744221382703312,1.6706753119855397e-20,35,0.7040197273107706,0.8509386373274205
Cebolla cabezona blanca,ln_wholesale,1.4605074013118007,0.39444070258317926,3.7027299458371954,0.034213219349765206,5,0.6874036242487693,2.233611178374832
Cebolla cabezona blanca bogotana,ln_wholesale,0.7731602906344204,0.09276797554807366,8.334344757084388,1.6894987032916824e-11,60,0.591335058560196,0.9549855227086448
Cebolla cabezona blanca importada,ln_wholesale,0.7859673232252978,0.18745089016156916,4.192923930891182,3.2325752587829097e-4,26,0.4185635785086223,1.1533710679419733
Cebolla cabezona blanca pastusa,ln_wholesale,0.7364967914796957,0.09400508695678017,7.834648265559372,1.6227982727969806e-10,57,0.5522468210444066,0.9207467619149848
Cebolla cabezona roja importada,ln_wholesale,0.3474105966373053,0.24752783645339527,1.4035213235611828,0.17326845382660797,26,-0.13774396281134943,0.8325651560859599
Curuba,ln_wholesale,0.4569916985935793,0.09106407299136167,5.018353381107053,4.8011041614163165e-6,63,0.2785061155305104,0.6354772816566482
Fríjol verde cargamanto,ln_wholesale,0.9199518184169958,0.11462940413953977,8.025443605177667,1.9107796793016905e-9,37,0.6952781863034978,1.1446254505304938
Habichuela,ln_wholesale,0.8768048534500554,0.09740508950576306,9.001632849977295,3.23861292909645e-15,126,0.6858908780187598,1.067718828881351
Harina de trigo,ln_wholesale,0.8522204992778959,0.029780276728585905,28.61694359138895,4.109411627451756e-35,58,0.7938511568898675,0.9105898416659243
Harina precocida de maíz,ln_wholesale,0.34318978677172146,0.03584822260376872,9.573411506757434,9.195805455888654e-14,63,0.27292727046833476,0.41345230307510816
Huevo blanco AA,ln_wholesale,0.3195537581214201,0.20281967684537888,1.5755559967933208,0.14958157401417463,11,-0.07797280849552246,0.7170803247383627
Huevo blanco extra,ln_wholesale,0.5852869050452628,0.024043638323895493,24.342692946914866,8.769874294156795e-25,40,0.5381613739304276,0.632412436160098
