alimento_sipsa,n_obs,margen_mediana,margen_med_lo,margen_med_hi
Aguacate papelillo,55,30.72313203684749,22.911000709723204,35.86116913884254
Ahuyama,120,83.869318239753,76.00116020440143,90.22313959804453
Arracacha amarilla,63,125.79967689822294,117.20338245587483,167.24268542949278
Arroz de primera,63,21.02572451970044,18.941370869033047,24.117647058823533
Arveja verde en vaina pastusa,23,252.40215792054929,243.09410675717373,265.2418181818182
Arveja verde seca importada,45,4.779845865947641,3.3965842566161752,6.649623912295355
Avena en hojuelas,63,68.75619276384927,67.24732785996439,69.97940111151051
Avena molida,63,78.70063655353393,77.3358481952462,80.33926941261429
Azúcar morena,51,9.855672184093667,8.926612232924258,12.03016022620169
Azúcar sulfitada,63,27.929040735873855,24.833377066386753,36.60027083589807
Banano criollo,63,86.45143872113677,81.81036433582258,90.08928063690647
Bocachico importado congelado,63,65.80653213159763,54.82070168637332,73.24545819381964
Café molido,63,6.6599493184365866,5.383514903787856,8.027081314838025
"Carne de cerdo, costilla",63,19.626166388370493,16.747017769638184,21.769655741894887
"Carne de cerdo, espinazo",63,94.11998205283855,81.58096245722501,99.79952032470327
"Carne de res, cadera",57,6.924634146341457,6.128666481247724,11.026140526140527
"Carne de res, falda",63,101.02698339483398,98.04976783452932,102.58076392084678
"Carne de res, lomo de brazo",43,15.467176688980144,13.442547189628783,18.639285714285702
"Carne de res, lomo fino",9,2.080201285724592,1.5457857663347063,3.88253164556962
"Carne de res, pecho",63,32.14600626683526,26.666618864948212,33.80477874209793
"Carne de res, punta de anca",35,6.561377537107016,4.204746191111441,8.060468494643192
Cebolla cabezona blanca,5,145.16119174942705,110.59866962305986,156.60291060291058
Cebolla cabezona blanca bogotana,60,72.74250642071277,59.53315994798438,82.27484874675885
Cebolla cabezona blanca importada,26,73.12198527267951,60.82851826831265,112.10139652983497
Cebolla cabezona blanca pastusa,57,99.34568690095848,83.31961792799412,124.8108804950367
Cebolla cabezona roja importada,26,39.09161909909055,21.52649826646855,51.24496281224038
Curuba,63,96.9992737835875,89.77222832052686,101.51011235955059
Fríjol verde cargamanto,37,246.95506329113925,239.08222324299496,264.80441960183083
Habichuela,126,80.87242268041237,75.12927301123047,84.28185643408905
Harina de trigo,58,4.797650427116984,3.450756181773551,5.668777655694616
Harina precocida de maíz,63,29.016581309264232,27.41391624283085,30.92607361963189
Huevo blanco AA,11,46.70715798687088,41.31762975929978,51.60004999999999
Huevo blanco extra,40,45.32593697547327,42.20099211849508,48.91869951409247
Huevo rojo A,63,23.872402464065722,23.037721739130433,26.7384147826087
Huevo rojo AA,63,36.08170581598911,34.998633326110486,38.969213348676625
Huevo rojo extra,50,37.10209560319852,35.87728406533577,38.347505968104855
Leche en polvo,115,219.9223600161563,3.415241632655297,234.64493388561417
Lechuga Batavia,118,152.69007633587785,146.82925028105285,161.77481009202998
Lenteja importada,54,11.946733005858345,9.919780053830586,14.66363771347763
Limón Tahití,61,63.30143104548356,54.473765432098766,76.40878316559925
Limón común,9,19.609405421596527,10.838999550696427,51.390145274824015
Lomitos de atún en lata,63,52.04856715561128,47.13602151583265,60.44466546989473
Lulo,60,38.89111754810574,30.08336563768794,47.87924079969392
Mango común,38,113.56329926313286,92.95865906049721,134.79410197193107
Mango de azúcar,23,84.07904830007149,68.35224406381832,123.12448872574726
Manzana roja importada,63,52.645549917110635,50.1962455372567,55.320759361250424
Manzana royal gala importada,63,50.28129939318913,47.10572327777132,53.82435185185184
Manzana verde importada,63,37.951508497449616,31.957489372343083,42.77665745318644
Maracuyá,63,59.87455309540237,56.66277092657375,74.69074824917065
Mora de Castilla,63,82.38018817970753,76.14933959495158,91.97656930172454
Naranja Sweet,51,87.42350757439674,72.1179180101336,95.13055632891695
Naranja Valencia,51,99.13879372988686,79.6476683937824,125.12237486183486
Naranja común,30,140.69248985382237,128.61619659059517,166.54263565891472
Panela redonda morena,55,15.201925809525395,14.56818017862036,17.52179747445206
Papa Betina,50,105.8261841944953,76.59071118232876,130.96812962764247
Papa Morasurco,7,96.60329067641685,87.062558356676,115.73673870333985
Papa R-12 negra,29,57.9030769230769,52.457211250748045,86.42239999999998
Papa capira,63,73.72185430463576,59.380836784235335,84.21139896373057
Papa criolla limpia,62,109.03519083110524,96.99428855227217,127.05124141574223
Papa criolla sucia,59,146.93540051679585,133.13789764598587,156.74682144831397
Papa nevada,26,20.571301453436362,14.916127129992507,32.18302497024205
Papa parda pastusa,63,72.41539838854074,64.75675675675676,85.158906280958945
Papa roja peruana,2,277.2456252704531,274.9965371296652,279.494713411241
Papa suprema,63,87.01266835578079,66.55737704918035,102.5043816942551
Papa única,62,120.22102046684111,93.62625727898362,145.7295480058066
Pastas alimenticias,113,8.943076620051205,6.746560021690495,10.44611997064122
Pechuga de pollo,63,12.688501834286292,12.288113747676622,13.486318135012421
Piña gold,63,28.857429718875505,19.16752484732367,36.80368850725435
