articulo_ipc,n_obs,rmse_train,rmse_test,mae_train,mae_test
AGUACATE,63,NA,NA,NA,NA
AHUYAMA,126,NA,NA,NA,NA
ARRACACHA,63,NA,NA,NA,NA
ARROZ PARA SECO,63,NA,NA,NA,NA
ARVEJA FRESCA,63,NA,NA,NA,NA
ARVEJA SECA,63,NA,NA,NA,NA
AVENA HOJUELAS,63,NA,NA,NA,NA
AVENA MOLIDA,63,NA,NA,NA,NA
AZÚCAR NATURAL O MORENA,63,NA,NA,NA,NA
AZÚCAR REFINADA,63,NA,NA,NA,NA
BANANOS,63,NA,NA,NA,NA
CAFÉ MOLIDO,63,NA,NA,NA,NA
CARNE DE CERDO CON HUESO,126,NA,NA,NA,NA
CARNE DE RES CON HUESO,63,NA,NA,NA,NA
CARNE DE RES SIN HUESO,338,NA,NA,NA,NA
CEBOLLA CABEZONA,197,NA,NA,NA,NA
CURUBAS,63,NA,NA,NA,NA
FRÍJOL FRESCO,63,NA,NA,NA,NA
HABICHUELAS FRESCAS,126,NA,NA,NA,NA
HARINA DE TRIGO,63,NA,NA,NA,NA
HARINA PRECOCIDA,63,NA,NA,NA,NA
HUEVOS,227,NA,NA,NA,NA
LECHE EN POLVO ENTERA,63,NA,NA,NA,NA
LECHE EN POLVO LACTANTE,63,NA,NA,NA,NA
LECHUGA,126,NA,NA,NA,NA
LENTEJAS,63,NA,NA,NA,NA
LIMONES,72,NA,NA,NA,NA
LULOS,63,NA,NA,NA,NA
MANGOS,65,NA,NA,NA,NA
MANTECA VEGETAL,63,NA,NA,NA,NA
MANZANAS,189,NA,NA,NA,NA
MARACUYA,63,NA,NA,NA,NA
MORAS,63,NA,NA,NA,NA
NARANJAS,133,NA,NA,NA,NA
PANELA,63,NA,NA,NA,NA
PAPA,390,NA,NA,NA,NA
PAPA CRIOLLA,133,NA,NA,NA,NA
PASTA PARA SECO,63,NA,NA,NA,NA
PASTA PARA SOPA,63,NA,NA,NA,NA
PESCADO DE MAR,63,NA,NA,NA,NA
PESCADO DE RÍO,63,NA,NA,NA,NA
PESCADO ENLATADO,63,NA,NA,NA,NA
PIÑAS,126,NA,NA,NA,NA
POLLO DESPRESADO POR LIBRA,63,NA,NA,NA,NA
POLLO ENTERO POR LIBRA,63,NA,NA,NA,NA
QUESO CAMPESINO,63,NA,NA,NA,NA
REPOLLO,378,NA,NA,NA,NA
SAL,63,NA,NA,NA,NA
TOMATE,66,NA,NA,NA,NA
TOMATE DE ÁRBOL,63,NA,NA,NA,NA
ZANAHORIA,189,NA,NA,NA,NA
