alimento_sipsa,articulo_ipc,r.squared,adj.r.squared,sigma,statistic,p.value,df,logLik,AIC,BIC,deviance,df.residual,nobs
Aguacate papelillo,AGUACATE,0.8002447576936366,0.7431718313203899,0.08705259359042436,14.021442539325559,4.673880993685507e-11,12,63.64248380713346,-99.28496761426692,-71.18230302101233,0.3182824701344229,42,55
Ahuyama,AHUYAMA,0.4632002359491047,0.4029983932518081,0.18238288652991022,7.694120565015603,3.997217190750017e-10,12,40.80479406578548,-53.60958813157096,-14.584703732622316,3.559196350991085,107,120
Arracacha amarilla,ARRACACHA,0.6290958363488054,0.5400788370725187,0.28258768922766,7.067142697051022,2.6896860312418066e-7,12,-2.495826931977227,32.991653863954454,62.99554003343591,3.992790105151427,50,63
Arroz de primera,ARROZ PARA SECO,0.8942195254106047,0.8688322115091498,0.04596724235911481,35.22308539145452,3.397285607306557e-20,12,111.91594592289897,-195.83189184579794,-165.82800567631648,0.10564936850507994,50,63
Arveja verde en vaina pastusa,ARVEJA FRESCA,0.9009683461261457,0.8324079703673235,0.07881737115822268,13.141239909412429,3.6176070457208644e-5,9,32.35998239425107,-42.71996478850214,-30.229528413281493,0.08075831395180941,13,23
Avena en hojuelas,AVENA HOJUELAS,0.8799364743862983,0.8511212282390099,0.025007765578876157,30.5371840271128,7.461798530154613e-19,12,150.2667310075656,-272.5334620151312,-242.52957584564973,0.03126941696240116,50,63
Avena molida,AVENA MOLIDA,0.9336125239917131,0.9176795297497242,0.023280736134241264,58.59617532097801,3.654106521279367e-25,12,154.77502086957946,-281.5500417391589,-251.54615556967747,0.027099633747608345,50,63
Azúcar morena,AZÚCAR NATURAL O MORENA,0.973027692523586,0.9645101217415606,0.04487561225654849,114.23769962404697,5.747974861218166e-26,12,93.43414159001601,-158.86828318003202,-131.82272432189146,0.07652518186520324,38,51
Azúcar sulfitada,AZÚCAR REFINADA,0.6657307177777401,0.5855060900443977,0.13722551069152641,8.298333524096291,2.6047307135805415e-8,12,43.0130591268091,-58.02611825361819,-28.02223208413674,0.9415420392275113,50,63
Banano criollo,BANANOS,0.7131772736497555,0.6443398193256968,0.11328560199887143,10.360308652501987,7.842393092751921e-10,12,55.09101306635879,-82.18202613271758,-52.17813996323613,0.6416813810123352,50,63
Bocachico importado congelado,PESCADO DE RÍO,0.9507831895815888,0.9389711550811701,0.05276796311233359,80.49275419470608,2.246012440402765e-28,12,103.22350661296348,-178.44701322592695,-148.4431270564455,0.1392228965512299,50,63
Café molido,CAFÉ MOLIDO,0.1291102650976609,-0.07990327127890051,0.017683489585466686,0.617712456981993,0.8169915705738846,12,172.0996952082598,-316.1993904165196,-286.1955042470381,0.015635290195965434,50,63
"Carne de cerdo, costilla",CARNE DE CERDO CON HUESO,0.5026904459773349,0.3833361530118953,0.0602240917846892,4.211750021617527,1.4548809111494584e-4,12,94.89690870927056,-161.79381741854112,-131.78993124905966,0.18134706156453348,50,63
"Carne de cerdo, espinazo",CARNE DE CERDO CON HUESO,0.1692029441220536,-0.030188349288653438,0.07784026976390805,0.8485974549226107,0.6018109114543875,12,78.73196327430878,-129.46392654861756,-99.4600403791361,0.30295537984589893,50,63
"Carne de res, cadera",CARNE DE RES SIN HUESO,0.9347426862677146,0.9169452370680005,0.04363755951605336,52.52116052016745,4.886021907416271e-22,12,105.01277160658672,-182.02554321317345,-153.42282546348974,0.08378641042275237,44,57
"Carne de res, falda",CARNE DE RES SIN HUESO,0.9112372836655133,0.8899342317452364,0.04810088449100369,42.774964219946966,4.633741019919857e-22,12,109.05753856599975,-190.1150771319995,-160.11119096251804,0.11568475444084396,50,63
"Carne de res, lomo de brazo",CARNE DE RES SIN HUESO,0.7858648095678513,0.7002107333949918,0.044451377833471806,9.174867614961943,4.6267376141834035e-7,12,80.60015261921446,-133.2003052384289,-108.54350361871903,0.05927774973882205,30,43
"Carne de res, pecho",CARNE DE RES SIN HUESO,0.8931951721230587,0.8675620134325928,0.05276345338614455,34.845302637449684,4.2991828775444724e-20,12,103.22889103325289,-178.45778206650579,-148.45389589702432,0.1391991006615924,50,63
"Carne de res, punta de anca",CARNE DE RES SIN HUESO,0.9501131328926211,0.9229021144704145,0.021208466611337913,34.916485599717284,1.646487914025688e-11,12,93.32991778012239,-158.65983556024477,-136.884962699393,0.009895579232093171,22,35
Cebolla cabezona blanca,CEBOLLA CABEZONA,1,NA,NA,NA,NA,4,Inf,-Inf,-Inf,0,0,5
Cebolla cabezona blanca bogotana,CEBOLLA CABEZONA,0.6438886605718513,0.5529666164625369,0.27383501381341635,7.081766219396819,3.897306917605067e-7,12,-0.09663357772660586,28.193267155453213,57.51409102656262,3.5243238951391143,47,60
Cebolla cabezona blanca pastusa,CEBOLLA CABEZONA,0.5587032424966513,0.4383495813593743,0.29109518099984844,4.642179034831248,8.034561695279037e-5,12,-3.157955805497376,34.31591161099475,62.91862936067846,3.728401793658719,44,57
Curuba,CURUBAS,0.4210022631988445,0.2820428063665672,0.10653364210155164,3.0296769489174813,0.002917950542246478,12,58.96244231100689,-89.92488462201378,-59.920998452532324,0.5674708449710748,50,63
Habichuela,HABICHUELAS FRESCAS,0.5251784180119848,0.47475488718139913,0.19442156432576882,10.415343974552144,1.4230058067771018e-13,12,34.42760702904782,-40.85521405809564,-1.147267360774947,4.271371148261333,113,126
Harina de trigo,HARINA DE TRIGO,0.9563435005768177,0.9447017673973025,0.01868012492590511,82.14786285083362,1.8137212844947074e-26,12,155.91831937088384,-283.8366387417677,-254.9904365941178,0.01570261802613396,45,58
Harina precocida de maíz,HARINA PRECOCIDA,0.6044528763271069,0.5095215666456125,0.034102146865985145,6.367265745675656,1.1145552568099016e-6,12,130.72577275829462,-233.45154551658925,-203.4476593471078,0.05814782104346101,50,63
Huevo blanco AA,HUEVOS,0.9999615237560269,0.9996152375602687,4.5543718456391596e-4,2887.673652619058,0.01444105387840801,9,82.21688044161552,-142.43376088323103,-138.05691288244896,2.0742302908350643e-7,1,11
Huevo blanco extra,HUEVOS,0.9521469533333105,0.9308789325925595,0.01462433794269075,44.76894982093632,1.2024594130781966e-14,12,120.10603666459443,-212.21207332918885,-188.56776097159374,0.0057745240270746555,27,40
Huevo rojo A,HUEVOS,0.9118910311786383,0.8907448786615115,0.02627952450813576,43.123259914070665,3.8651029375786977e-22,12,147.14169788456206,-266.2833957691241,-236.27950959964267,0.03453067041868541,50,63
Huevo rojo AA,HUEVOS,0.9250998845546192,0.9071238568477278,0.02422973628213621,51.46297611679628,7.13886069689454e-24,12,152.25789319208081,-276.51578638416163,-246.51190021468017,0.02935400601509339,50,63
Leche en polvo,LECHE EN POLVO ENTERA,0.990247485254358,0.9872467114864681,0.009928601394176586,329.99738129232793,2.7858912391682833e-35,12,173.5363843394465,-319.072768678893,-291.755356618753,0.003844507900133365,39,52
Leche en polvo,LECHE EN POLVO LACTANTE,0.9082873757672121,0.886276345951343,0.04476039041113445,41.265101331713765,1.033129795223762e-21,12,113.59208703348033,-199.18417406696065,-169.1802878974792,0.10017462748785884,50,63
Lechuga Batavia,LECHUGA,0.3636289868424394,0.2909008710530039,0.1437036258728123,4.999840610407512,1.6368141856425103e-6,12,68.37225123519843,-108.74450247039687,-69.95491772787756,2.1683268693442868,105,118
Lenteja importada,LENTEJAS,0.9858865647049465,0.9817558031551747,0.054820248701275394,238.66944456269252,6.460510195370648e-34,12,87.61300784033668,-147.22601568067336,-119.38023902877352,0.12321564637445716,41,54
Limón Tahití,LIMONES,0.688028497497105,0.6100356218713813,0.1538669697040038,8.821683929168762,1.451388880550041e-8,12,34.92645136078063,-41.852902721561264,-12.300668623134904,1.1364021295628555,48,61
Lomitos de atún en lata,PESCADO ENLATADO,0.8361916791087032,0.7968776820947919,0.07529007639587229,21.26956663329901,1.3813024754052804e-15,12,80.83052886569672,-133.66105773139344,-103.65717156191198,0.28342978018481435,50,63
Mango de azúcar,MANGOS,0.9544020012369765,0.8996844027213483,0.09961119657273743,17.442322527447672,4.09452640548253e-5,12,29.991924872424413,-31.983849744848825,-16.08693072184073,0.09922390482652538,10,23
Manzana roja importada,MANZANAS,0.8965856030254554,0.8717661477515647,0.05790181877593943,36.1243062400582,1.9543753299443397e-20,12,97.37430001793321,-166.74860003586642,-136.74471386638496,0.16763103087808662,50,63
Manzana royal gala importada,MANZANAS,0.853492294263847,0.8183304448871702,0.0689178844443297,24.273248119593458,9.349903374513711e-17,12,86.40178412588183,-144.80356825176366,-114.7996820822822,0.23748373981409907,50,63
Manzana verde importada,MANZANAS,0.7908203486089183,0.7406172322750586,0.08234958620531478,15.752415514403982,4.781925328075994e-13,12,75.18414799207243,-122.36829598414485,-92.36440981466339,0.33907271740932854,50,63
Maracuyá,MARACUYA,0.6364532901311699,0.5492020797626507,0.15412338837977768,7.294492390913654,1.72102240704734e-7,12,35.69700338871757,-43.39400677743514,-13.390120607953683,1.1877009422831897,50,63
Mora de Castilla,MORAS,0.5015486090812816,0.3819202752607892,0.14657691590425798,4.1925570060507376,1.5247760190119524e-4,12,38.85980441749925,-49.719608834998496,-19.715722665517042,1.0742396138001957,50,63
Naranja Valencia,NARANJAS,0.45285462043667823,0.2800718689956292,0.18986790722284655,2.6209480787854327,0.01184134046865338,12,19.87000172903637,-11.740003458072742,15.305555400067817,1.3698932433409716,38,51
