ciudad,articulo,precio_anchor
MEDELLÍN,ARROZ PARA SECO,1587.53
MEDELLÍN,ARROZ INTEGRAL,2332.18
MEDELLÍN,HARINA PRECOCIDA,1526.98
MEDELLÍN,HARINA DE TRIGO,1378.82
MEDELLÍN,FECULA DE MAÍZ,8904.775
MEDELLÍN,PASTA PARA SECO,2845.79
MEDELLÍN,PASTA PARA SOPA,2954.47
MEDELLÍN,AVENA HOJUELAS,3930.125
MEDELLÍN,AVENA MOLIDA,4283.0625
MEDELLÍN,PAN CORRIENTE,3095.34
MEDELLÍN,PAN FRANCÉS,4362.06
MEDELLÍN,PAN INTEGRAL,3360.56
MEDELLÍN,PAPA,1284.56
MEDELLÍN,PAPA CRIOLLA,2493.25
MEDELLÍN,YUCA,1017.59
MEDELLÍN,ARRACACHA,2727.64
MEDELLÍN,PLÁTANO,893.72
MEDELLÍN,CEBOLLA LARGA,1810.37
MEDELLÍN,CEBOLLA CABEZONA,1568.38
MEDELLÍN,TOMATE,1900.6
MEDELLÍN,ZANAHORIA,967.6
MEDELLÍN,HABICHUELAS FRESCAS,1671.23
MEDELLÍN,REPOLLO,1027.55
MEDELLÍN,LECHUGA,1080.94
MEDELLÍN,FRÍJOL FRESCO,1804.72
MEDELLÍN,FRÍJOL SECO,4661.4
MEDELLÍN,ARVEJA FRESCA,2040.16
MEDELLÍN,ARVEJA SECA,1502.81
MEDELLÍN,LENTEJAS,2487.23
MEDELLÍN,FRÍJOL TARRO,4332.908333333334
MEDELLÍN,ARVEJA TARRO,3239.083333333333
MEDELLÍN,NARANJAS,966.56
MEDELLÍN,BANANOS,704.51
MEDELLÍN,TOMATE DE ÁRBOL,1035.23
MEDELLÍN,MORAS,2732.5
MEDELLÍN,GUAYABAS,1088.95
MEDELLÍN,LIMONES,1466.91
MEDELLÍN,AGUACATE,1802.88
MEDELLÍN,MARACUYA,1528.64
MEDELLÍN,PIÑAS,851.57
MEDELLÍN,MANZANAS,3418.16
MEDELLÍN,MANGOS,1369.03
MEDELLÍN,MELOCOTONES O VARIEDAD DISPONIBLE,4110.375
MEDELLÍN,CARNE DE RES SIN HUESO,7908.26
MEDELLÍN,CARNE DE RES CON HUESO,3250.76
MEDELLÍN,CARNE DE CERDO SIN HUESO,6463.66
MEDELLÍN,CARNE DE CERDO CON HUESO,6226.29
MEDELLÍN,POLLO ENTERO POR LIBRA,3013.58
MEDELLÍN,POLLO DESPRESADO POR LIBRA,4626.76
MEDELLÍN,PESCADO DE MAR,10241.57
MEDELLÍN,PESCADO DE RÍO,8730.51
MEDELLÍN,PESCADO ENLATADO,10256.87
MEDELLÍN,CAMARONES O VARIEDAD DISPONIBLE,19672.88
