alimento_sipsa,q1,q2,q3,n
Aguacate papelillo,18.450576432392918,30.72313203684749,48.94794981747427,55
Ahuyama,53.59993602193401,83.869318239753,107.2110942196144,120
Arracacha amarilla,90.13316482518186,125.79967689822294,191.24861960031643,63
Arroz de primera,17.12499978770088,21.02572451970044,25.593416241223554,63
Arveja verde en vaina pastusa,222.97250878208837,252.40215792054929,270.353970322373,23
Arveja verde seca importada,2.7655556034668516,4.779845865947641,8.811433238056354,45
Avena en hojuelas,66.65772865863741,68.75619276384927,71.22156740216036,63
Avena molida,76.31325482770265,78.70063655353393,82.23785773127683,63
Azúcar morena,7.18952495730737,9.855672184093667,13.573144243503465,51
Azúcar sulfitada,14.34791274049293,27.929040735873855,41.204328001498915,63
Banano criollo,71.92545201448945,86.45143872113677,92.47421712745609,63
Bocachico importado congelado,53.96964762063999,65.80653213159763,81.20492832502794,63
Café molido,4.340891135838154,6.6599493184365866,8.709504286445325,63
"Carne de cerdo, costilla",15.141482778801883,19.626166388370493,30.143392097952837,63
"Carne de cerdo, espinazo",77.30808978365963,94.11998205283855,106.01348173124872,63
"Carne de res, cadera",5.680857319558386,6.924634146341457,12.40362547813072,57
"Carne de res, falda",92.65519519714586,101.02698339483398,104.72521431774722,63
"Carne de res, lomo de brazo",12.794581716722707,15.467176688980144,30.365702247570347,43
"Carne de res, lomo fino",1.9175485440286355,2.080201285724592,3.88253164556962,9
"Carne de res, pecho",18.619978818284586,32.14600626683526,45.24637871944212,63
"Carne de res, punta de anca",3.653732607537019,6.561377537107016,8.680019792156735,35
Cebolla cabezona blanca,124.5869822485207,145.16119174942705,151.64102564102566,5
Cebolla cabezona blanca bogotana,51.34383211512519,72.74250642071277,105.8425678894902,60
Cebolla cabezona blanca importada,57.411968693023965,73.12198527267951,120.95115780359781,26
Cebolla cabezona blanca pastusa,72.00202480384712,99.34568690095848,152.8036641221374,57
Cebolla cabezona roja importada,19.08762973960152,39.09161909909055,60.38620081797231,26
Curuba,83.08280108359438,96.9992737835875,109.7162631328546,63
Fríjol verde cargamanto,222.86372774971804,246.95506329113925,268.82602860184204,37
Habichuela,56.818030960605356,80.87242268041237,100.39656272758006,126
Harina de trigo,3.060968583072521,4.797650427116984,6.1733789351344885,58
Harina precocida de maíz,25.43607282273109,29.016581309264232,33.62019966696029,63
Huevo blanco AA,43.699608752735216,46.70715798687088,49.70918036105032,11
Huevo blanco extra,40.83928133261671,45.32593697547327,51.33688893418864,40
Huevo rojo A,21.02860319600395,23.872402464065722,30.390485881542705,63
Huevo rojo AA,33.85574057828159,36.08170581598911,40.947855053382376,63
Huevo rojo extra,35.58287016576813,37.10209560319852,39.60732433766302,50
Leche en polvo,1.6506283679250555,219.9223600161563,253.73810528399326,115
Lechuga Batavia,126.58412123271594,152.69007633587785,182.12380663903048,118
Lenteja importada,6.127857895962007,11.946733005858345,15.64378551425351,54
Limón Tahití,36.60286237536459,63.30143104548356,93.52661295438685,61
Limón común,10.838999550696427,19.609405421596527,51.390145274824015,9
Lomitos de atún en lata,43.7051509969121,52.04856715561128,66.09935595388302,63
Lulo,23.081775291137287,38.89111754810574,53.64062673815195,60
Mango común,82.13850149932138,113.56329926313286,151.8278675162342,38
Mango de azúcar,62.95028280855959,84.07904830007149,124.44560263648157,23
Manzana roja importada,48.34761487297338,52.645549917110635,58.61855382774087,63
Manzana royal gala importada,46.018568922826496,50.28129939318913,57.64644488655017,63
Manzana verde importada,25.42651601859287,37.951508497449616,50.48855536681128,63
Maracuyá,42.9857975157076,59.87455309540237,81.94404247184559,63
Mora de Castilla,67.19164992394738,82.38018817970753,109.79935056169714,63
Naranja Sweet,51.67331960423627,87.42350757439674,100.8941812038771,51
Naranja Valencia,69.93166991346516,99.13879372988686,131.08970171183807,51
Naranja común,122.3545687427451,140.69248985382237,182.66865455685306,30
Panela redonda morena,11.244838660477775,15.201925809525395,19.188191731927773,55
Papa Betina,72.78627611453888,105.8261841944953,164.92279856265745,50
Papa Morasurco,89.88951800422193,96.60329067641685,109.55889159538366,7
Papa R-12 negra,49.41199999999999,57.9030769230769,92.88079999999998,29
Papa capira,43.768134509739,73.72185430463576,101.03939386626257,63
Papa criolla limpia,78.46790641504711,109.03519083110524,142.6169982036459,62
Papa criolla sucia,98.171745104775,146.93540051679585,175.910489454139,59
Papa nevada,12.340131923880394,20.571301453436362,36.18544733616482,26
Papa parda pastusa,50.04169493842697,72.41539838854074,107.1425515004861,63
Papa roja peruana,276.12108120005917,277.2456252704531,278.37016934084704,2
Papa suprema,53.73371396637553,87.01266835578079,118.23974167118857,63
Papa única,66.70472874521366,120.22102046684111,157.46155743068198,62
Pastas alimenticias,3.668999810826157,8.943076620051205,25.608971680437808,113
Pechuga de pollo,10.081191635149988,12.688501834286292,14.438304271322167,63
Piña gold,16.259069699716044,28.857429718875505,46.89555053548763,63
Piña manzana,67.22719299219409,75.44279328259032,84.67587563258775,63
Pollo entero congelado sin vísceras,19.994870787246064,24.055224430525147,26.10021904636305,63
Queso campesino,50.07174612076419,52.476160116580914,55.695411135991236,63
Repollo blanco,130.43438219493476,158.9185542168675,215.71059431524543,258
Sal yodada,13.76263266669685,17.96547598701077,22.28210370868837,63
Tilapia roja entera congelada,87.02053025096214,95.35823179370925,101.3278690901955,63
Tomate chonto,26.651525977339986,36.011023782790645,42.375216903133605,3
Tomate de árbol,48.04214407382899,68.35825722983256,90.66962131967952,62
Tomate larga vida,12.973080037983287,21.143094669022133,35.27275831833495,47
Zanahoria,63.257879656160455,114.98579040852573,187.43569892473118,171
