articulo,distribucion,AIC
ACEITE DE SOYA O DE MAÍZ,weibull,342.2523209699224
AGUACATE,weibull,486.6389653162005
AHUYAMA,weibull,620.5126589483442
AJO,weibull,665.28638595581
ARRACACHA,normal,703.5623627685328
ARROZ PARA SECO,normal,404.49715505075113
ARVEJA FRESCA,lognormal,781.6400331487944
ARVEJA SECA,weibull,242.90055070530536
AVENA HOJUELAS,lognormal,352.67120843133097
AVENA MOLIDA,lognormal,405.927668824418
AZÚCAR NATURAL O MORENA,normal,303.5798606199992
BANANOS,weibull,565.7217914833342
CAFÉ MOLIDO,weibull,300.8365158738271
CAMARONES O VARIEDAD DISPONIBLE,weibull,577.066767640958
CARNE DE CERDO CON HUESO,weibull,1240.9037627479356
CARNE DE CERDO SIN HUESO,weibull,1396.2763988543772
CARNE DE RES SIN HUESO,lognormal,5347.258039747904
CEBOLLA CABEZONA,weibull,1627.896942840599
CEBOLLA LARGA,lognormal,1855.8104959347454
CURUBAS,lognormal,588.4321907199327
FRÍJOL FRESCO,weibull,2058.5401649960068
GUAYABAS,lognormal,554.0683481738586
HABICHUELAS FRESCAS,gamma,640.2244412833005
HARINA DE TRIGO,weibull,269.15931377248063
HARINA PRECOCIDA,weibull,468.8076763879196
HUEVOS,weibull,1572.1226383819187
LECHE EN POLVO ENTERA,weibull,157.15794108384233
LECHUGA,normal,830.1185232060467
LENTEJAS,normal,345.18507858452097
LIMONES,weibull,1272.305568602834
LULOS,normal,518.6103315808836
MANGOS,weibull,964.4225508304447
MANZANAS,normal,1566.1337324296708
MARACUYA,weibull,608.6510282859103
MORAS,lognormal,598.416265970315
NARANJAS,gamma,1040.5368373679821
PANELA,weibull,394.7750433553112
PAPA,weibull,3844.72533415383
PAPA CRIOLLA,gamma,1414.5899165337755
PASTA PARA SECO,gamma,357.30706071105135
PESCADO DE MAR,weibull,2124.1554094812122
PESCADO DE RÍO,weibull,1581.8470331751962
PIÑAS,weibull,1186.7327096230554
PLÁTANO,weibull,876.6078033225756
POLLO DESPRESADO POR LIBRA,weibull,1871.1732187211376
POLLO ENTERO POR LIBRA,lognormal,367.5096812993297
QUESO CAMPESINO,gamma,337.2435938362815
REPOLLO,gamma,1493.444039190027
SAL,weibull,377.45453457954534
TOMATE,gamma,1000.5898615708728
TOMATE DE ÁRBOL,weibull,603.2891039360804
YUCA,weibull,644.741907537444
ZANAHORIA,gamma,1347.7454169096923
