ciudad,articulo,subclase_ipc,method,lambda,ancla,meses_desde_ancla_obs
BOGOTÁ D.C.,ACEITE DE GIRASOL,011501,S5_niveles,1.0219672368720132,2018-03-01,0
BOGOTÁ D.C.,ACEITE DE SOYA O DE MAÍZ,011501,S5_niveles,0.9621673885399925,2018-03-01,0
BOGOTÁ D.C.,AGUACATE,011609,S5_niveles,0.406220579352579,2018-03-01,0
BOGOTÁ D.C.,AJO,011716,S5_niveles,1.3495763921353758,2018-03-01,0
BOGOTÁ D.C.,ARRACACHA,011712,BASE_unitaria,1,2018-03-01,0
BOGOTÁ D.C.,ARROZ INTEGRAL,011101,S5_niveles,1.2119530536285295,2018-03-01,0
BOGOTÁ D.C.,ARROZ PARA SECO,011101,S5_niveles,0.9527896230987623,2018-03-01,0
BOGOTÁ D.C.,ARROZ PARA SOPA,011101,S5_niveles,0.9877230313000344,2018-03-01,0
BOGOTÁ D.C.,ARVEJA FRESCA,011716,S5_niveles,0.7489265348558147,2018-03-01,0
BOGOTÁ D.C.,ARVEJA SECA,011716,S5_niveles,0.9301009411887877,2018-03-01,0
BOGOTÁ D.C.,ARVEJA TARRO,011703,S5_niveles,0.761455390070467,2018-03-01,0
BOGOTÁ D.C.,AVENA HOJUELAS,011103,S5_niveles,1.0349863917617266,2018-03-01,0
BOGOTÁ D.C.,AVENA MOLIDA,011103,S5_niveles,1.1201934601197636,2018-03-01,0
BOGOTÁ D.C.,AZÚCAR NATURAL O MORENA,011801,S5_niveles,1.0000139544466815,2018-03-01,0
BOGOTÁ D.C.,AZÚCAR REFINADA,011801,S5_niveles,0.9928236815661361,2018-03-01,0
BOGOTÁ D.C.,BANANOS,011606,BASE_unitaria,1,2018-03-01,0
BOGOTÁ D.C.,CAFÉ MOLIDO,012101,BASE_unitaria,1,2018-03-01,0
BOGOTÁ D.C.,CAMARONES O VARIEDAD DISPONIBLE,011303,S5_niveles,1.8263886357202685,2018-03-01,0
BOGOTÁ D.C.,CARNE DE CERDO CON HUESO,011202,S5_niveles,1.2286557592517326,2018-03-01,0
BOGOTÁ D.C.,CARNE DE CERDO SIN HUESO,011202,S5_niveles,1.011825936647485,2018-03-01,0
BOGOTÁ D.C.,CARNE DE RES CON HUESO,011201,S5_niveles,0.964305855219348,2018-03-01,0
BOGOTÁ D.C.,CARNE DE RES SIN HUESO,011201,S5_niveles,1.081156211687331,2018-03-01,0
BOGOTÁ D.C.,CEBOLLA CABEZONA,011714,S5_niveles,0.6266389960520836,2018-03-01,0
BOGOTÁ D.C.,CEBOLLA LARGA,011714,S5_niveles,0.6134449879575048,2018-03-01,0
BOGOTÁ D.C.,CURUBAS,011609,S5_niveles,0.5534070709052723,2018-03-01,0
BOGOTÁ D.C.,FECULA DE MAÍZ,011105,S5_niveles,0.9286134184450592,2018-03-01,0
BOGOTÁ D.C.,FRÍJOL FRESCO,011716,S5_niveles,0.8221582264372286,2018-03-01,0
BOGOTÁ D.C.,FRÍJOL SECO,011716,S5_niveles,0.7380517233821912,2018-03-01,0
BOGOTÁ D.C.,FRÍJOL TARRO,011703,S5_niveles,1.068357621217677,2018-03-01,0
BOGOTÁ D.C.,GARBANZO,011702,S5_niveles,0.7886098065828934,2018-03-01,0
BOGOTÁ D.C.,GUAYABAS,011609,S5_niveles,0.3440080513832914,2018-03-01,0
BOGOTÁ D.C.,HABICHUELAS FRESCAS,011716,S5_niveles,0.6841096650596576,2018-03-01,0
BOGOTÁ D.C.,HARINA DE TRIGO,011105,S5_niveles,1.135449472162463,2018-03-01,0
BOGOTÁ D.C.,HARINA PRECOCIDA,011106,S5_niveles,0.8489687116886969,2018-03-01,0
BOGOTÁ D.C.,HUEVOS,011405,BASE_unitaria,1,2018-03-01,0
BOGOTÁ D.C.,LECHE EN POLVO ENTERA,011401,S5_niveles,0.9593198108906938,2018-03-01,0
BOGOTÁ D.C.,LECHE EN POLVO LACTANTE,011401,S5_niveles,1.6860626640212377,2018-03-01,0
BOGOTÁ D.C.,LECHE LARGA VIDA,011401,S5_niveles,0.9663823839030006,2018-03-01,0
BOGOTÁ D.C.,LECHE PASTEURIZADA,011401,S5_niveles,0.8092457318493209,2018-03-01,0
BOGOTÁ D.C.,LECHUGA,011716,S5_niveles,0.9071141685896835,2018-03-01,0
BOGOTÁ D.C.,LENTEJAS,011702,S5_niveles,1.240856657808772,2018-03-01,0
BOGOTÁ D.C.,LIMONES,011609,S5_niveles,0.5222752655459244,2018-03-01,0
BOGOTÁ D.C.,LULOS,011609,S5_niveles,0.20186705469216665,2018-03-01,0
BOGOTÁ D.C.,MANTECA VEGETAL,011505,BASE_unitaria,1,2018-03-01,0
BOGOTÁ D.C.,MANZANAS,011609,S5_niveles,0.5864498399503085,2018-03-01,0
BOGOTÁ D.C.,MARACUYA,011609,S5_niveles,0.6539026532435641,2018-03-01,0
BOGOTÁ D.C.,MORAS,011608,BASE_unitaria,1,2018-03-01,0
BOGOTÁ D.C.,NARANJAS,011605,BASE_unitaria,1,2018-03-01,0
BOGOTÁ D.C.,PAN CORRIENTE,011108,S5_niveles,1.0423076037829637,2018-03-01,0
BOGOTÁ D.C.,PAN FRANCÉS,011108,S5_niveles,1.1172096283558905,2018-03-01,0
BOGOTÁ D.C.,PAN INTEGRAL,011108,S5_niveles,1.3355157388769965,2018-03-01,0
BOGOTÁ D.C.,PANELA,011802,BASE_unitaria,1,2018-03-01,0
BOGOTÁ D.C.,PAPA,011705,S5_niveles,0.7722436714308335,2018-03-01,0
BOGOTÁ D.C.,PAPA CRIOLLA,011705,S5_niveles,0.8649931817283278,2018-03-01,0
BOGOTÁ D.C.,PAPAYAS,011609,S5_niveles,0.34763770610321515,2018-03-01,0
BOGOTÁ D.C.,PASTA PARA SECO,011102,S5_niveles,1.008209941953641,2018-03-01,0
BOGOTÁ D.C.,PASTA PARA SOPA,011102,S5_niveles,1.035608928582794,2018-03-01,0
BOGOTÁ D.C.,PESCADO DE MAR,011303,S5_niveles,1.2515379962261617,2018-03-01,0
BOGOTÁ D.C.,PESCADO DE RÍO,011303,S5_niveles,1.2023036259937085,2018-03-01,0
BOGOTÁ D.C.,PESCADO ENLATADO,011303,S5_niveles,1.1817684578622494,2018-03-01,0
BOGOTÁ D.C.,PIÑAS,011609,S5_niveles,0.5882890557030208,2018-03-01,0
BOGOTÁ D.C.,PLÁTANO,011704,BASE_unitaria,1,2018-03-01,0
BOGOTÁ D.C.,POLLO DESPRESADO POR LIBRA,011203,S5_niveles,0.9386759068479125,2018-03-01,0
BOGOTÁ D.C.,POLLO ENTERO POR LIBRA,011203,S5_niveles,0.9360994464308819,2018-03-01,0
BOGOTÁ D.C.,QUESO CAMPESINO,011402,BASE_unitaria,1,2018-03-01,0
BOGOTÁ D.C.,REPOLLO,011716,S5_niveles,1.1467661099063993,2018-03-01,0
BOGOTÁ D.C.,SAL,011902,BASE_unitaria,1,2018-03-01,0
BOGOTÁ D.C.,TOMATE,011713,BASE_unitaria,1,2018-03-01,0
BOGOTÁ D.C.,TOMATE DE ÁRBOL,011607,BASE_unitaria,1,2018-03-01,0
BOGOTÁ D.C.,VISCERAS - HIGADO,011201,S5_niveles,0.8727597233300273,2018-03-01,0
BOGOTÁ D.C.,YUCA,011706,BASE_unitaria,1,2018-03-01,0
BOGOTÁ D.C.,ZANAHORIA,011715,BASE_unitaria,1,2018-03-01,0
CALI,ACEITE DE GIRASOL,011501,S5_niveles,1.0206945518246238,2018-03-01,0
CALI,ACEITE DE SOYA O DE MAÍZ,011501,S5_niveles,0.8767079091604377,2018-03-01,0
CALI,AGUACATE,011609,S5_niveles,0.43056183535535275,2018-03-01,0
CALI,AHUYAMA,011716,S5_niveles,0.6991200265350739,2018-03-01,0
CALI,AJO,011716,S5_niveles,0.9216605342439108,2018-03-01,0
CALI,ARRACACHA,011712,BASE_unitaria,1,2018-03-01,0
CALI,ARROZ INTEGRAL,011101,S5_niveles,1.1559236061301372,2018-03-01,0
CALI,ARROZ PARA SECO,011101,S5_niveles,0.9992645039117077,2018-03-01,0
CALI,ARVEJA FRESCA,011716,S5_niveles,0.5686789295440678,2018-03-01,0
CALI,ARVEJA SECA,011716,S5_niveles,0.7690468892347619,2018-03-01,0
CALI,ARVEJA TARRO,011703,S5_niveles,1.0239134897413449,2018-03-01,0
CALI,AVENA HOJUELAS,011103,S5_niveles,0.8651521718418729,2018-03-01,0
CALI,AVENA MOLIDA,011103,S5_niveles,0.9819550224125277,2018-03-01,0
CALI,AZÚCAR NATURAL O MORENA,011801,S5_niveles,0.9847279941228734,2018-03-01,0
CALI,AZÚCAR REFINADA,011801,S5_niveles,1.0185666918423373,2018-03-01,0
CALI,BANANOS,011606,BASE_unitaria,1,2018-03-01,0
CALI,CAFÉ MOLIDO,012101,BASE_unitaria,1,2018-03-01,0
CALI,CAMARONES O VARIEDAD DISPONIBLE,011303,S5_niveles,1.6023195710191873,2018-03-01,0
CALI,CARNE DE CERDO CON HUESO,011202,S5_niveles,0.9962041026867875,2018-03-01,0
CALI,CARNE DE CERDO SIN HUESO,011202,S5_niveles,0.906168674896866,2018-03-01,0
CALI,CARNE DE RES CON HUESO,011201,S5_niveles,0.5993020127784605,2018-03-01,0
CALI,CARNE DE RES SIN HUESO,011201,S5_niveles,0.9745290796537276,2018-03-01,0
CALI,CEBOLLA CABEZONA,011714,S5_niveles,0.5570283962841118,2018-03-01,0
CALI,CEBOLLA LARGA,011714,S5_niveles,0.4959876980677746,2018-03-01,0
CALI,CURUBAS,011609,S5_niveles,0.40057025401450935,2018-03-01,0
CALI,FRÍJOL FRESCO,011716,S5_niveles,0.7247572808927456,2018-03-01,0
CALI,FRÍJOL SECO,011716,S5_niveles,0.6430376346875581,2018-03-01,0
CALI,FRÍJOL TARRO,011703,S5_niveles,1.0213412161405966,2018-03-01,0
CALI,GUAYABAS,011609,S5_niveles,0.25322182265319076,2018-03-01,0
CALI,HABICHUELAS FRESCAS,011716,S5_niveles,0.6666516219380331,2018-03-01,0
CALI,HARINA DE TRIGO,011105,S5_niveles,1.1207864154769356,2018-03-01,0
CALI,HARINA PRECOCIDA,011106,BASE_unitaria,1,2018-03-01,0
CALI,HUEVOS,011405,BASE_unitaria,1,2018-03-01,0
CALI,LECHE EN POLVO ENTERA,011401,S5_niveles,0.8825574523780939,2018-03-01,0
CALI,LECHE EN POLVO LACTANTE,011401,S5_niveles,1.4382214661484225,2018-03-01,0
CALI,LECHE LARGA VIDA,011401,S5_niveles,0.9493945137453057,2018-03-01,0
CALI,LECHE PASTEURIZADA,011401,S5_niveles,0.7999383365960654,2018-03-01,0
CALI,LECHUGA,011716,S5_niveles,0.4526234941637913,2018-03-01,0
CALI,LENTEJAS,011702,BASE_unitaria,1,2018-03-01,0
CALI,LIMONES,011609,S5_niveles,0.38215884833088176,2018-03-01,0
CALI,LULOS,011609,S5_niveles,0.04773874411473218,2018-03-01,0
CALI,MANTECA VEGETAL,011505,BASE_unitaria,1,2018-03-01,0
CALI,MANZANAS,011609,S5_niveles,0.48442329174603194,2018-03-01,0
CALI,MARACUYA,011609,S5_niveles,0.533955264621143,2018-03-01,0
CALI,MORAS,011608,BASE_unitaria,1,2018-03-01,0
CALI,NARANJAS,011605,BASE_unitaria,1,2018-03-01,0
CALI,PAN CORRIENTE,011108,S5_niveles,0.9610997259159108,2018-03-01,0
CALI,PAN FRANCÉS,011108,S5_niveles,1.0033624305133355,2018-03-01,0
CALI,PAN INTEGRAL,011108,S5_niveles,1.0761110320642084,2018-03-01,0
CALI,PANELA,011802,BASE_unitaria,1,2018-03-01,0
CALI,PAPA,011705,S5_niveles,0.6797628891533198,2018-03-01,0
CALI,PAPA CRIOLLA,011705,S5_niveles,0.8173032431856591,2018-03-01,0
CALI,PASTA PARA SECO,011102,S5_niveles,1.074225154691968,2018-03-01,0
CALI,PASTA PARA SOPA,011102,S5_niveles,1.0815395356345323,2018-03-01,0
CALI,PESCADO DE MAR,011303,S5_niveles,1.1321347199395018,2018-03-01,0
CALI,PESCADO DE RÍO,011303,S5_niveles,0.8614172600390637,2018-03-01,0
CALI,PESCADO ENLATADO,011303,S5_niveles,1.2532330319968448,2018-03-01,0
CALI,PIÑAS,011609,S5_niveles,0.423208926516043,2018-03-01,0
CALI,PLÁTANO,011704,BASE_unitaria,1,2018-03-01,0
CALI,POLLO DESPRESADO POR LIBRA,011203,S5_niveles,0.8448150294299697,2018-03-01,0
CALI,POLLO ENTERO POR LIBRA,011203,S5_niveles,1.0169725539274583,2018-03-01,0
CALI,QUESO CAMPESINO,011402,BASE_unitaria,1,2018-03-01,0
CALI,REPOLLO,011716,S5_niveles,0.7598934426578002,2018-03-01,0
CALI,SAL,011902,BASE_unitaria,1,2018-03-01,0
CALI,TOMATE,011713,BASE_unitaria,1,2018-03-01,0
CALI,TOMATE DE ÁRBOL,011607,BASE_unitaria,1,2018-03-01,0
CALI,YUCA,011706,BASE_unitaria,1,2018-03-01,0
CALI,ZANAHORIA,011715,BASE_unitaria,1,2018-03-01,0
MEDELLÍN,ACEITE DE GIRASOL,011501,S5_niveles,1.0497063922716805,2018-03-01,0
MEDELLÍN,ACEITE DE SOYA O DE MAÍZ,011501,S5_niveles,0.8329830134014002,2018-03-01,0
MEDELLÍN,AGUACATE,011609,S5_niveles,0.32729428152082973,2018-03-01,0
MEDELLÍN,ARRACACHA,011712,BASE_unitaria,1,2018-03-01,0
MEDELLÍN,ARROZ INTEGRAL,011101,S5_niveles,1.2393569603458348,2018-03-01,0
MEDELLÍN,ARROZ PARA SECO,011101,S5_niveles,0.8564715807399665,2018-03-01,0
MEDELLÍN,ARVEJA FRESCA,011716,S5_niveles,0.6756493604132767,2018-03-01,0
MEDELLÍN,ARVEJA SECA,011716,S5_niveles,0.8780540859375939,2018-03-01,0
MEDELLÍN,ARVEJA TARRO,011703,S5_niveles,0.9749019578346185,2018-03-01,0
MEDELLÍN,AVENA HOJUELAS,011103,S5_niveles,0.8416491917614581,2018-03-01,0
MEDELLÍN,AVENA MOLIDA,011103,S5_niveles,0.8629825829856818,2018-03-01,0
MEDELLÍN,AZÚCAR NATURAL O MORENA,011801,S5_niveles,1.0236559309914472,2018-03-01,0
MEDELLÍN,AZÚCAR REFINADA,011801,S5_niveles,0.9998310078089947,2018-03-01,0
MEDELLÍN,BANANOS,011606,BASE_unitaria,1,2018-03-01,0
MEDELLÍN,CAFÉ MOLIDO,012101,BASE_unitaria,1,2018-03-01,0
MEDELLÍN,CAMARONES O VARIEDAD DISPONIBLE,011303,S5_niveles,0.9317141814298366,2018-03-01,0
MEDELLÍN,CARNE DE CERDO CON HUESO,011202,S5_niveles,1.8164434130628804,2018-03-01,0
MEDELLÍN,CARNE DE CERDO SIN HUESO,011202,S5_niveles,1.0381662525848303,2018-03-01,0
MEDELLÍN,CARNE DE RES CON HUESO,011201,S5_niveles,1.1397811778708207,2018-03-01,0
MEDELLÍN,CARNE DE RES SIN HUESO,011201,S5_niveles,0.9498448829439865,2018-03-01,0
MEDELLÍN,CEBOLLA CABEZONA,011714,S5_niveles,0.5677614310525116,2018-03-01,0
MEDELLÍN,CEBOLLA LARGA,011714,S5_niveles,0.5248211339394697,2018-03-01,0
MEDELLÍN,FECULA DE MAÍZ,011105,S5_niveles,0.8483027639110019,2018-03-01,0
MEDELLÍN,FRÍJOL FRESCO,011716,S5_niveles,0.5947966935331604,2018-03-01,0
MEDELLÍN,FRÍJOL SECO,011716,S5_niveles,0.7667063606892015,2018-03-01,0
MEDELLÍN,FRÍJOL TARRO,011703,S5_niveles,0.995926261722734,2018-03-01,0
MEDELLÍN,GUAYABAS,011609,S5_niveles,0.15056633735032365,2018-03-01,0
MEDELLÍN,HABICHUELAS FRESCAS,011716,S5_niveles,0.6421832177243736,2018-03-01,0
MEDELLÍN,HARINA DE TRIGO,011105,S5_niveles,1.067051626690453,2018-03-01,0
MEDELLÍN,HARINA PRECOCIDA,011106,BASE_unitaria,1,2018-03-01,0
MEDELLÍN,HUEVOS,011405,BASE_unitaria,1,2018-03-01,0
MEDELLÍN,LECHE EN POLVO ENTERA,011401,S5_niveles,0.8892254607032425,2018-03-01,0
MEDELLÍN,LECHE EN POLVO LACTANTE,011401,S5_niveles,1.5646784025367142,2018-03-01,0
MEDELLÍN,LECHE LARGA VIDA,011401,S5_niveles,0.8274284304588058,2018-03-01,0
MEDELLÍN,LECHE PASTEURIZADA,011401,S5_niveles,1.0280694603922587,2018-03-01,0
MEDELLÍN,LECHUGA,011716,S5_niveles,0.46592423396043575,2018-03-01,0
MEDELLÍN,LENTEJAS,011702,BASE_unitaria,1,2018-03-01,0
MEDELLÍN,LIMONES,011609,S5_niveles,0.3411639883501086,2018-03-01,0
MEDELLÍN,MANTECA VEGETAL,011505,BASE_unitaria,1,2018-03-01,0
MEDELLÍN,MANZANAS,011609,S5_niveles,0.44153500584561733,2018-03-01,0
MEDELLÍN,MARACUYA,011609,S5_niveles,0.48721237261043593,2018-03-01,0
MEDELLÍN,MORAS,011608,BASE_unitaria,1,2018-03-01,0
MEDELLÍN,NARANJAS,011605,BASE_unitaria,1,2018-03-01,0
MEDELLÍN,PAN CORRIENTE,011108,S5_niveles,0.839743199216714,2018-03-01,0
MEDELLÍN,PAN FRANCÉS,011108,S5_niveles,1.1500496676317415,2018-03-01,0
MEDELLÍN,PAN INTEGRAL,011108,S5_niveles,0.8546774832800486,2018-03-01,0
MEDELLÍN,PANELA,011802,BASE_unitaria,1,2018-03-01,0
MEDELLÍN,PAPA,011705,S5_niveles,0.7426963386257726,2018-03-01,0
MEDELLÍN,PAPA CRIOLLA,011705,S5_niveles,0.631432439076887,2018-03-01,0
MEDELLÍN,PASTA PARA SECO,011102,S5_niveles,0.9817416945512732,2018-03-01,0
MEDELLÍN,PASTA PARA SOPA,011102,S5_niveles,1.019388914045467,2018-03-01,0
MEDELLÍN,PESCADO DE MAR,011303,S5_niveles,1.2446165530320998,2018-03-01,0
MEDELLÍN,PESCADO DE RÍO,011303,S5_niveles,0.9283785708298011,2018-03-01,0
MEDELLÍN,PESCADO ENLATADO,011303,S5_niveles,1.1794398141585902,2018-03-01,0
MEDELLÍN,PIÑAS,011609,S5_niveles,0.3155456853025778,2018-03-01,0
MEDELLÍN,PLÁTANO,011704,S5_niveles,0.9650773830395434,2018-03-01,0
MEDELLÍN,POLLO DESPRESADO POR LIBRA,011203,S5_niveles,1.1519063700005583,2018-03-01,0
MEDELLÍN,POLLO ENTERO POR LIBRA,011203,S5_niveles,1.0597993928217768,2018-03-01,0
MEDELLÍN,QUESO CAMPESINO,011402,BASE_unitaria,1,2018-03-01,0
MEDELLÍN,REPOLLO,011716,S5_niveles,0.7585256656954684,2018-03-01,0
MEDELLÍN,SAL,011902,BASE_unitaria,1,2018-03-01,0
MEDELLÍN,TOMATE,011713,BASE_unitaria,1,2018-03-01,0
MEDELLÍN,TOMATE DE ÁRBOL,011607,BASE_unitaria,1,2018-03-01,0
MEDELLÍN,YUCA,011706,BASE_unitaria,1,2018-03-01,0
MEDELLÍN,ZANAHORIA,011715,BASE_unitaria,1,2018-03-01,0
