ciudad,articulo,fecha,subclase_ipc,method,precio_500g
BOGOTÁ D.C.,ACEITE DE GIRASOL,2019-01-01,011501,S5_niveles,4887.4727063952705
BOGOTÁ D.C.,ACEITE DE GIRASOL,2019-02-01,011501,S5_niveles,4897.432718958745
BOGOTÁ D.C.,ACEITE DE GIRASOL,2019-03-01,011501,S5_niveles,4898.926758419005
BOGOTÁ D.C.,ACEITE DE GIRASOL,2019-04-01,011501,S5_niveles,4890.460664394688
BOGOTÁ D.C.,ACEITE DE GIRASOL,2019-05-01,011501,S5_niveles,4889.9626686690735
BOGOTÁ D.C.,ACEITE DE GIRASOL,2019-06-01,011501,S5_niveles,4898.428744177207
BOGOTÁ D.C.,ACEITE DE GIRASOL,2019-07-01,011501,S5_niveles,4903.408935552953
BOGOTÁ D.C.,ACEITE DE GIRASOL,2019-08-01,011501,S5_niveles,4892.452658196437
BOGOTÁ D.C.,ACEITE DE GIRASOL,2019-09-01,011501,S5_niveles,4922.832719841437
BOGOTÁ D.C.,ACEITE DE GIRASOL,2019-10-01,011501,S5_niveles,4940.76382930845
BOGOTÁ D.C.,ACEITE DE GIRASOL,2019-11-01,011501,S5_niveles,4987.092325153887
BOGOTÁ D.C.,ACEITE DE GIRASOL,2019-12-01,011501,S5_niveles,4995.063754241018
BOGOTÁ D.C.,ACEITE DE GIRASOL,2020-01-01,011501,S5_niveles,5132.613598001623
BOGOTÁ D.C.,ACEITE DE GIRASOL,2020-02-01,011501,S5_niveles,5215.381166900014
BOGOTÁ D.C.,ACEITE DE GIRASOL,2020-03-01,011501,S5_niveles,5258.271884647727
BOGOTÁ D.C.,ACEITE DE GIRASOL,2020-04-01,011501,S5_niveles,5339.585346706306
BOGOTÁ D.C.,ACEITE DE GIRASOL,2020-05-01,011501,S5_niveles,5423.4209468055105
BOGOTÁ D.C.,ACEITE DE GIRASOL,2020-06-01,011501,S5_niveles,5479.326853613575
BOGOTÁ D.C.,ACEITE DE GIRASOL,2020-07-01,011501,S5_niveles,5476.331582354068
BOGOTÁ D.C.,ACEITE DE GIRASOL,2020-08-01,011501,S5_niveles,5478.827639292355
BOGOTÁ D.C.,ACEITE DE GIRASOL,2020-09-01,011501,S5_niveles,5478.328425948879
BOGOTÁ D.C.,ACEITE DE GIRASOL,2020-10-01,011501,S5_niveles,5490.309815876699
BOGOTÁ D.C.,ACEITE DE GIRASOL,2020-11-01,011501,S5_niveles,5518.767867404586
BOGOTÁ D.C.,ACEITE DE GIRASOL,2020-12-01,011501,S5_niveles,5607.157645124972
BOGOTÁ D.C.,ACEITE DE GIRASOL,2021-01-01,011501,S5_niveles,5734.551410704853
BOGOTÁ D.C.,ACEITE DE GIRASOL,2021-02-01,011501,S5_niveles,5877.50461515024
BOGOTÁ D.C.,ACEITE DE GIRASOL,2021-03-01,011501,S5_niveles,6090.072697454333
BOGOTÁ D.C.,ACEITE DE GIRASOL,2021-04-01,011501,S5_niveles,6451.050562602245
BOGOTÁ D.C.,ACEITE DE GIRASOL,2021-05-01,011501,S5_niveles,6893.7259793306885
BOGOTÁ D.C.,ACEITE DE GIRASOL,2021-06-01,011501,S5_niveles,7320.938608977546
BOGOTÁ D.C.,ACEITE DE GIRASOL,2021-07-01,011501,S5_niveles,7589.289272433082
BOGOTÁ D.C.,ACEITE DE GIRASOL,2021-08-01,011501,S5_niveles,7750.196923125075
BOGOTÁ D.C.,ACEITE DE GIRASOL,2021-09-01,011501,S5_niveles,7916.711350384517
BOGOTÁ D.C.,ACEITE DE GIRASOL,2021-10-01,011501,S5_niveles,8047.561077057435
BOGOTÁ D.C.,ACEITE DE GIRASOL,2021-11-01,011501,S5_niveles,8223.77705709537
BOGOTÁ D.C.,ACEITE DE GIRASOL,2021-12-01,011501,S5_niveles,8460.033493732895
BOGOTÁ D.C.,ACEITE DE GIRASOL,2022-01-01,011501,S5_niveles,8624.338220809434
BOGOTÁ D.C.,ACEITE DE GIRASOL,2022-02-01,011501,S5_niveles,8865.372658919798
BOGOTÁ D.C.,ACEITE DE GIRASOL,2022-03-01,011501,S5_niveles,8974.338446815253
BOGOTÁ D.C.,ACEITE DE GIRASOL,2022-04-01,011501,S5_niveles,9110.080946663997
BOGOTÁ D.C.,ACEITE DE GIRASOL,2022-05-01,011501,S5_niveles,9249.400977333833
BOGOTÁ D.C.,ACEITE DE GIRASOL,2022-06-01,011501,S5_niveles,9391.291275295616
BOGOTÁ D.C.,ACEITE DE GIRASOL,2022-07-01,011501,S5_niveles,9514.535924992642
BOGOTÁ D.C.,ACEITE DE GIRASOL,2022-08-01,011501,S5_niveles,9696.434854325797
BOGOTÁ D.C.,ACEITE DE GIRASOL,2022-09-01,011501,S5_niveles,9736.361428055361
BOGOTÁ D.C.,ACEITE DE GIRASOL,2022-10-01,011501,S5_niveles,9780.840742180988
BOGOTÁ D.C.,ACEITE DE GIRASOL,2022-11-01,011501,S5_niveles,9871.329108754166
BOGOTÁ D.C.,ACEITE DE GIRASOL,2022-12-01,011501,S5_niveles,9899.641988106214
BOGOTÁ D.C.,ACEITE DE GIRASOL,2023-01-01,011501,S5_niveles,9983.073966962067
BOGOTÁ D.C.,ACEITE DE GIRASOL,2023-02-01,011501,S5_niveles,10113.561243962593
BOGOTÁ D.C.,ACEITE DE GIRASOL,2023-03-01,011501,S5_niveles,10183.371652194435
BOGOTÁ D.C.,ACEITE DE GIRASOL,2023-04-01,011501,S5_niveles,10349.33900473683
BOGOTÁ D.C.,ACEITE DE GIRASOL,2023-05-01,011501,S5_niveles,10269.384117827994
BOGOTÁ D.C.,ACEITE DE GIRASOL,2023-06-01,011501,S5_niveles,9901.158798665103
BOGOTÁ D.C.,ACEITE DE GIRASOL,2023-07-01,011501,S5_niveles,9769.215046401392
BOGOTÁ D.C.,ACEITE DE GIRASOL,2023-08-01,011501,S5_niveles,9692.39185378614
BOGOTÁ D.C.,ACEITE DE GIRASOL,2023-09-01,011501,S5_niveles,9556.467155348517
BOGOTÁ D.C.,ACEITE DE GIRASOL,2023-10-01,011501,S5_niveles,9351.900705832279
BOGOTÁ D.C.,ACEITE DE GIRASOL,2023-11-01,011501,S5_niveles,9173.677929809943
BOGOTÁ D.C.,ACEITE DE GIRASOL,2023-12-01,011501,S5_niveles,8991.493068757049
BOGOTÁ D.C.,ACEITE DE GIRASOL,2024-01-01,011501,S5_niveles,8867.894691014915
BOGOTÁ D.C.,ACEITE DE GIRASOL,2024-02-01,011501,S5_niveles,8704.499073621768
BOGOTÁ D.C.,ACEITE DE GIRASOL,2024-03-01,011501,S5_niveles,8566.370216147834
BOGOTÁ D.C.,ACEITE DE GIRASOL,2024-04-01,011501,S5_niveles,8461.041290460047
BOGOTÁ D.C.,ACEITE DE GIRASOL,2024-05-01,011501,S5_niveles,8405.616310315592
BOGOTÁ D.C.,ACEITE DE GIRASOL,2024-06-01,011501,S5_niveles,8419.219898170064
BOGOTÁ D.C.,ACEITE DE GIRASOL,2024-07-01,011501,S5_niveles,8378.41055499357
BOGOTÁ D.C.,ACEITE DE GIRASOL,2024-08-01,011501,S5_niveles,8257.519142020003
BOGOTÁ D.C.,ACEITE DE GIRASOL,2024-09-01,011501,S5_niveles,8221.762698274835
BOGOTÁ D.C.,ACEITE DE GIRASOL,2024-10-01,011501,S5_niveles,8246.439324047129
BOGOTÁ D.C.,ACEITE DE GIRASOL,2024-11-01,011501,S5_niveles,8284.212742268732
BOGOTÁ D.C.,ACEITE DE GIRASOL,2024-12-01,011501,S5_niveles,8380.425731085938
BOGOTÁ D.C.,ACEITE DE SOYA O DE MAÍZ,2019-01-01,011501,S5_niveles,3358.497031145267
BOGOTÁ D.C.,ACEITE DE SOYA O DE MAÍZ,2019-02-01,011501,S5_niveles,3364.940330275598
BOGOTÁ D.C.,ACEITE DE SOYA O DE MAÍZ,2019-03-01,011501,S5_niveles,3365.9067832816363
BOGOTÁ D.C.,ACEITE DE SOYA O DE MAÍZ,2019-04-01,011501,S5_niveles,3360.4300718784866
BOGOTÁ D.C.,ACEITE DE SOYA O DE MAÍZ,2019-05-01,011501,S5_niveles,3360.107901459886
BOGOTÁ D.C.,ACEITE DE SOYA O DE MAÍZ,2019-06-01,011501,S5_niveles,3365.5846334921375
BOGOTÁ D.C.,ACEITE DE SOYA O DE MAÍZ,2019-07-01,011501,S5_niveles,3368.806076846421
BOGOTÁ D.C.,ACEITE DE SOYA O DE MAÍZ,2019-08-01,011501,S5_niveles,3361.718741409356
BOGOTÁ D.C.,ACEITE DE SOYA O DE MAÍZ,2019-09-01,011501,S5_niveles,3381.3685497553824
BOGOTÁ D.C.,ACEITE DE SOYA O DE MAÍZ,2019-10-01,011501,S5_niveles,3392.9630498228935
BOGOTÁ D.C.,ACEITE DE SOYA O DE MAÍZ,2019-11-01,011501,S5_niveles,3422.9083125299544
BOGOTÁ D.C.,ACEITE DE SOYA O DE MAÍZ,2019-12-01,011501,S5_niveles,3428.0591447760685
BOGOTÁ D.C.,ACEITE DE SOYA O DE MAÍZ,2020-01-01,011501,S5_niveles,3516.8635176789235
BOGOTÁ D.C.,ACEITE DE SOYA O DE MAÍZ,2020-02-01,011501,S5_niveles,3570.2322654916
BOGOTÁ D.C.,ACEITE DE SOYA O DE MAÍZ,2020-03-01,011501,S5_niveles,3597.8687746099686
BOGOTÁ D.C.,ACEITE DE SOYA O DE MAÍZ,2020-04-01,011501,S5_niveles,3650.226759653694
BOGOTÁ D.C.,ACEITE DE SOYA O DE MAÍZ,2020-05-01,011501,S5_niveles,3704.1599364927392
BOGOTÁ D.C.,ACEITE DE SOYA O DE MAÍZ,2020-06-01,011501,S5_niveles,3740.0982131330493
BOGOTÁ D.C.,ACEITE DE SOYA O DE MAÍZ,2020-07-01,011501,S5_niveles,3738.17329366295
BOGOTÁ D.C.,ACEITE DE SOYA O DE MAÍZ,2020-08-01,011501,S5_niveles,3739.777395927071
BOGOTÁ D.C.,ACEITE DE SOYA O DE MAÍZ,2020-09-01,011501,S5_niveles,3739.456577638942
BOGOTÁ D.C.,ACEITE DE SOYA O DE MAÍZ,2020-10-01,011501,S5_niveles,3747.155918083576
BOGOTÁ D.C.,ACEITE DE SOYA O DE MAÍZ,2020-11-01,011501,S5_niveles,3765.439361329782
BOGOTÁ D.C.,ACEITE DE SOYA O DE MAÍZ,2020-12-01,011501,S5_niveles,3822.1920995389983
BOGOTÁ D.C.,ACEITE DE SOYA O DE MAÍZ,2021-01-01,011501,S5_niveles,3903.8964323333144
BOGOTÁ D.C.,ACEITE DE SOYA O DE MAÍZ,2021-02-01,011501,S5_niveles,3995.4535859551147
BOGOTÁ D.C.,ACEITE DE SOYA O DE MAÍZ,2021-03-01,011501,S5_niveles,4131.357137608499
BOGOTÁ D.C.,ACEITE DE SOYA O DE MAÍZ,2021-04-01,011501,S5_niveles,4361.515105707252
BOGOTÁ D.C.,ACEITE DE SOYA O DE MAÍZ,2021-05-01,011501,S5_niveles,4642.739925788127
BOGOTÁ D.C.,ACEITE DE SOYA O DE MAÍZ,2021-06-01,011501,S5_niveles,4913.139911794671
BOGOTÁ D.C.,ACEITE DE SOYA O DE MAÍZ,2021-07-01,011501,S5_niveles,5082.514642787628
BOGOTÁ D.C.,ACEITE DE SOYA O DE MAÍZ,2021-08-01,011501,S5_niveles,5183.905874725561
BOGOTÁ D.C.,ACEITE DE SOYA O DE MAÍZ,2021-09-01,011501,S5_niveles,5288.700464969229
BOGOTÁ D.C.,ACEITE DE SOYA O DE MAÍZ,2021-10-01,011501,S5_niveles,5370.959155451322
BOGOTÁ D.C.,ACEITE DE SOYA O DE MAÍZ,2021-11-01,011501,S5_niveles,5481.613973700736
BOGOTÁ D.C.,ACEITE DE SOYA O DE MAÍZ,2021-12-01,011501,S5_niveles,5629.7541626836555
BOGOTÁ D.C.,ACEITE DE SOYA O DE MAÍZ,2022-01-01,011501,S5_niveles,5732.635333959743
BOGOTÁ D.C.,ACEITE DE SOYA O DE MAÍZ,2022-02-01,011501,S5_niveles,5883.354848662421
BOGOTÁ D.C.,ACEITE DE SOYA O DE MAÍZ,2022-03-01,011501,S5_niveles,5951.412403391082
BOGOTÁ D.C.,ACEITE DE SOYA O DE MAÍZ,2022-04-01,011501,S5_niveles,6036.126540278103
BOGOTÁ D.C.,ACEITE DE SOYA O DE MAÍZ,2022-05-01,011501,S5_niveles,6122.99657645089
BOGOTÁ D.C.,ACEITE DE SOYA O DE MAÍZ,2022-06-01,011501,S5_niveles,6211.390589968628
BOGOTÁ D.C.,ACEITE DE SOYA O DE MAÍZ,2022-07-01,011501,S5_niveles,6288.105406586821
BOGOTÁ D.C.,ACEITE DE SOYA O DE MAÍZ,2022-08-01,011501,S5_niveles,6401.224168478075
BOGOTÁ D.C.,ACEITE DE SOYA O DE MAÍZ,2022-09-01,011501,S5_niveles,6426.036890382907
BOGOTÁ D.C.,ACEITE DE SOYA O DE MAÍZ,2022-10-01,011501,S5_niveles,6453.671944000405
BOGOTÁ D.C.,ACEITE DE SOYA O DE MAÍZ,2022-11-01,011501,S5_niveles,6509.869822309223
BOGOTÁ D.C.,ACEITE DE SOYA O DE MAÍZ,2022-12-01,011501,S5_niveles,6527.447356937149
BOGOTÁ D.C.,ACEITE DE SOYA O DE MAÍZ,2023-01-01,011501,S5_niveles,6579.2275078399525
BOGOTÁ D.C.,ACEITE DE SOYA O DE MAÍZ,2023-02-01,011501,S5_niveles,6660.1607785585
BOGOTÁ D.C.,ACEITE DE SOYA O DE MAÍZ,2023-03-01,011501,S5_niveles,6703.434768455201
BOGOTÁ D.C.,ACEITE DE SOYA O DE MAÍZ,2023-04-01,011501,S5_niveles,6806.244959689643
BOGOTÁ D.C.,ACEITE DE SOYA O DE MAÍZ,2023-05-01,011501,S5_niveles,6756.728218311796
BOGOTÁ D.C.,ACEITE DE SOYA O DE MAÍZ,2023-06-01,011501,S5_niveles,6528.388958011589
BOGOTÁ D.C.,ACEITE DE SOYA O DE MAÍZ,2023-07-01,011501,S5_niveles,6446.4495958275165
BOGOTÁ D.C.,ACEITE DE SOYA O DE MAÍZ,2023-08-01,011501,S5_niveles,6398.711277134693
BOGOTÁ D.C.,ACEITE DE SOYA O DE MAÍZ,2023-09-01,011501,S5_niveles,6314.1926117945095
