ciudad,articulo,subclase_ipc,k,apply_D,lambda,sigma2,se2,r2,n_obs,est_ok
MEDELLÍN,ARROZ PARA SECO,011101,3,TRUE,1.0428538953628692,0.0013203019559393106,0.005515947604787507,0.4939418691237329,203,TRUE
MEDELLÍN,ARROZ INTEGRAL,011101,3,TRUE,0.8503009537499948,3.273566883584126e-4,0.0013676283163400517,0.7235379904385493,203,TRUE
MEDELLÍN,HARINA PRECOCIDA,011106,1,FALSE,1,NA,NA,NA,NA,TRUE
MEDELLÍN,HARINA DE TRIGO,011105,3,TRUE,0.14549657785628622,4.370709535303709e-4,0.0038278064568905406,0.026648568762747633,203,TRUE
MEDELLÍN,FECULA DE MAÍZ,011105,3,TRUE,0.09550651012954324,2.273590825220912e-4,0.0019911791371198862,0.022175087741137498,203,TRUE
MEDELLÍN,PASTA PARA SECO,011102,2,TRUE,1.0287644211574694,5.496730102128823e-5,8.105860800021939e-4,0.8660182401924825,203,TRUE
MEDELLÍN,PASTA PARA SOPA,011102,2,TRUE,0.9620105325057797,1.7813598474083798e-5,2.6269172197937105e-4,0.9457718856823885,203,TRUE
MEDELLÍN,AVENA HOJUELAS,011103,2,TRUE,1.0062021653029678,1.3529698846546578e-4,0.0034845407216574013,0.5898916191352107,203,TRUE
MEDELLÍN,AVENA MOLIDA,011103,2,TRUE,0.9608954429465093,1.4017712890667658e-4,0.0036102275406152875,0.5587122507552981,203,TRUE
MEDELLÍN,PAN CORRIENTE,011108,3,TRUE,0.5892616131788014,9.626444209007338e-5,0.002519590882071073,0.4055532356494988,203,TRUE
MEDELLÍN,PAN FRANCÉS,011108,3,TRUE,1.8914879631672814,6.992886688909624e-4,0.018302930093592393,0.49178924392348466,203,TRUE
MEDELLÍN,PAN INTEGRAL,011108,3,TRUE,0.506638912669764,1.4642626938049297e-4,0.0038325085069476207,0.24900136875314838,203,TRUE
MEDELLÍN,PAPA,011705,2,TRUE,1.0762463735695107,8.498677561687218e-4,3.6613801550192115e-4,0.9399805959236243,203,TRUE
MEDELLÍN,PAPA CRIOLLA,011705,2,TRUE,0.597348628655872,0.017772737076270997,0.007656808528045164,0.187457447679522,203,TRUE
MEDELLÍN,YUCA,011706,1,FALSE,1,NA,NA,NA,NA,TRUE
MEDELLÍN,ARRACACHA,011712,1,FALSE,1,NA,NA,NA,NA,TRUE
MEDELLÍN,PLÁTANO,011704,2,TRUE,0.9998875291355004,4.810615736861368e-6,1.05676524150423e-5,0.9978694030912891,203,TRUE
MEDELLÍN,CEBOLLA LARGA,011714,2,TRUE,0.38843969775043447,0.00845215336819926,0.0027431681556550824,0.2140202132008432,203,TRUE
MEDELLÍN,CEBOLLA CABEZONA,011714,2,TRUE,1.2588866756530344,0.0023474994528214065,7.618869965878733e-4,0.9114847567597144,203,TRUE
MEDELLÍN,TOMATE,011713,1,FALSE,1,NA,NA,NA,NA,TRUE
MEDELLÍN,ZANAHORIA,011715,1,FALSE,1,NA,NA,NA,NA,TRUE
MEDELLÍN,HABICHUELAS FRESCAS,011716,7,TRUE,1.0208315863919286,0.02544674794477517,0.05136012413136231,0.09127717711334851,203,TRUE
MEDELLÍN,REPOLLO,011716,7,TRUE,0.837556235009141,0.018174101428752407,0.03668146937213433,0.08648586438637876,203,TRUE
MEDELLÍN,LECHUGA,011716,7,TRUE,0.9841537845436251,0.01054816137701034,0.021289749042062878,0.18381903578987213,203,TRUE
MEDELLÍN,FRÍJOL FRESCO,011716,7,TRUE,0.3642506756066875,0.004818687669324081,0.009725737739999308,0.0632622768018836,203,TRUE
MEDELLÍN,FRÍJOL SECO,011716,7,TRUE,0.7612943331934917,0.0032262435088187356,0.006511648067978541,0.30585378737182445,203,TRUE
MEDELLÍN,ARVEJA FRESCA,011716,7,TRUE,1.1752598637830574,0.019567882151550992,0.03949458918965245,0.14758143798941417,203,TRUE
MEDELLÍN,ARVEJA SECA,011716,7,TRUE,0.026901490397304516,5.402606772642628e-4,0.0010904283528804985,0.003274761181240238,203,TRUE
MEDELLÍN,LENTEJAS,011702,1,FALSE,1,NA,NA,NA,NA,TRUE
MEDELLÍN,FRÍJOL TARRO,011703,2,TRUE,1.1264075623737422,5.8843476830054186e-5,0.0025506925489611368,0.7111938863069173,203,TRUE
MEDELLÍN,ARVEJA TARRO,011703,2,TRUE,0.8108665793980123,1.7673411755844885e-4,0.0076609068853204605,0.2981869766898705,203,TRUE
MEDELLÍN,NARANJAS,011605,1,FALSE,1,NA,NA,NA,NA,TRUE
MEDELLÍN,BANANOS,011606,1,FALSE,1,NA,NA,NA,NA,TRUE
MEDELLÍN,TOMATE DE ÁRBOL,011607,1,FALSE,1,NA,NA,NA,NA,TRUE
MEDELLÍN,MORAS,011608,1,FALSE,1,NA,NA,NA,NA,TRUE
MEDELLÍN,GUAYABAS,011609,6,TRUE,0.0536555298803155,0.004388396220272692,0.004489513329674642,0.003164476302776201,203,TRUE
MEDELLÍN,LIMONES,011609,6,TRUE,0.9004373067393713,0.012921419305408922,0.013219153717697772,0.23291416498900946,203,TRUE
MEDELLÍN,AGUACATE,011609,6,TRUE,0.8044569291549957,0.0034146049545419146,0.0034932840357875454,0.478380887901688,203,TRUE
MEDELLÍN,MARACUYA,011609,6,TRUE,1.02640634989783,0.009400295127503216,0.009616896050279348,0.35162441464237976,203,TRUE
MEDELLÍN,PIÑAS,011609,6,TRUE,0.24534102516453285,0.0014573686397027935,0.001490949222855023,0.1665695116765213,203,TRUE
MEDELLÍN,MANZANAS,011609,6,TRUE,0.4691352909104855,0.0028597434617092937,0.0029256374644302243,0.2713561340449552,203,TRUE
MEDELLÍN,MANGOS,NA,1,FALSE,1,NA,NA,NA,NA,TRUE
MEDELLÍN,MELOCOTONES O VARIEDAD DISPONIBLE,NA,1,FALSE,1,NA,NA,NA,NA,TRUE
MEDELLÍN,CARNE DE RES SIN HUESO,011201,3,TRUE,1.0065731583121464,9.180346012249115e-6,1.6236489957645374e-4,0.9686442542627899,203,TRUE
MEDELLÍN,CARNE DE RES CON HUESO,011201,3,TRUE,0.7793137503550346,3.2605947085413646e-4,0.0057667339739206035,0.3426963273875031,203,TRUE
MEDELLÍN,CARNE DE CERDO SIN HUESO,011202,3,TRUE,1.0619200108942175,3.295964481079722e-5,3.2150054720946373e-4,0.9455457212564077,203,TRUE
MEDELLÍN,CARNE DE CERDO CON HUESO,011202,3,TRUE,0.6979554504085927,5.974107752514514e-4,0.005827365320673973,0.29270606705550856,203,TRUE
MEDELLÍN,POLLO ENTERO POR LIBRA,011203,2,TRUE,0.997805266941156,3.640217193519393e-5,4.263445334152333e-4,0.9203858239013747,203,TRUE
MEDELLÍN,POLLO DESPRESADO POR LIBRA,011203,2,TRUE,0.46486511806342956,2.3844769894426938e-4,0.0027927144877870303,0.27696981451036073,203,TRUE
MEDELLÍN,PESCADO DE MAR,011303,5,TRUE,0.5843495570407409,2.739542939531991e-4,0.004766697589333883,0.2617914860966837,203,TRUE
MEDELLÍN,PESCADO DE RÍO,011303,5,TRUE,0.3002882828908673,2.981982481160294e-4,0.005188532911556016,0.07922031362893608,203,TRUE
MEDELLÍN,PESCADO ENLATADO,011303,5,TRUE,0.3391346569988094,3.476737028278695e-4,0.006049386476955557,0.08602342171459557,203,TRUE
MEDELLÍN,CAMARONES O VARIEDAD DISPONIBLE,011303,5,TRUE,0.3434144937375158,2.837981756288661e-4,0.03691247503468521,0.03750163668738849,83,TRUE
MEDELLÍN,HUEVOS,011405,1,FALSE,1,NA,NA,NA,NA,TRUE
MEDELLÍN,LECHE PASTEURIZADA,011401,4,TRUE,1.0226015490618285,2.850089482291073e-4,0.004744007728906423,0.5218124288125573,203,TRUE
MEDELLÍN,LECHE LARGA VIDA,011401,4,TRUE,0.8360542723608326,1.9366494714191692e-4,0.00322357600267681,0.5177107823987683,203,TRUE
MEDELLÍN,LECHE EN POLVO ENTERA,011401,4,TRUE,0.30890607483527766,2.063017687586536e-4,0.0034339173964860314,0.1209302670637574,203,TRUE
MEDELLÍN,LECHE EN POLVO LACTANTE,011401,4,TRUE,0.1901458877915463,3.1353226244219075e-4,0.005218781675204137,0.03315951755347889,203,TRUE
MEDELLÍN,QUESO CAMPESINO,011402,1,FALSE,1,NA,NA,NA,NA,TRUE
MEDELLÍN,MANTEQUILLA,NA,1,FALSE,1,NA,NA,NA,NA,TRUE
MEDELLÍN,ACEITE DE SOYA O DE MAÍZ,011501,2,TRUE,1.1487886816113102,1.3805314695752952e-4,0.00184367613595291,0.7799100449964339,203,TRUE
MEDELLÍN,ACEITE DE GIRASOL,011501,2,TRUE,0.8569047673161128,9.649375935005302e-5,0.0012886576315192988,0.7382764436312618,203,TRUE
MEDELLÍN,MANTECA VEGETAL,011505,1,FALSE,1,NA,NA,NA,NA,TRUE
MEDELLÍN,PANELA,011802,1,FALSE,1,NA,NA,NA,NA,TRUE
MEDELLÍN,AZÚCAR REFINADA,011801,2,TRUE,1.0123319320867403,2.0610161553218212e-5,1.9234626715948776e-4,0.9634718003654568,203,TRUE
MEDELLÍN,AZÚCAR NATURAL O MORENA,011801,2,TRUE,0.8570033872827417,9.758427463352761e-5,9.107144022504985e-4,0.7996945988642225,203,TRUE
MEDELLÍN,CAFÉ MOLIDO,012101,1,FALSE,1,NA,NA,NA,NA,TRUE
MEDELLÍN,SAL,011902,1,FALSE,1,NA,NA,NA,NA,TRUE
BOGOTÁ D.C.,ARROZ PARA SECO,011101,3,TRUE,1.1132607123535918,1.0477649019518836e-4,6.133875624819899e-4,0.9091113506576293,203,TRUE
BOGOTÁ D.C.,ARROZ PARA SOPA,011101,3,TRUE,0.6852559290995301,2.6828857793264406e-4,0.0015706278818205849,0.5967848408489121,203,TRUE
BOGOTÁ D.C.,ARROZ INTEGRAL,011101,3,TRUE,0.8020627087527483,2.0447315539696428e-4,0.0011970365694469961,0.72681080724857,203,TRUE
BOGOTÁ D.C.,HARINA PRECOCIDA,011106,2,TRUE,0.171585148108864,2.626480731938516e-4,0.0032999030823431356,0.042299622550764734,203,TRUE
BOGOTÁ D.C.,HARINA DE TRIGO,011105,2,TRUE,0.2670976983710199,4.151329459641744e-4,0.00521571878030984,0.06341909684826164,203,TRUE
