ciudad,fecha,ipc,ipc_base,deflator,ipc_index,.groups
BOGOTA,2018-12-01,100,100,1,1,NA
BOGOTA,2019-01-01,101.67,100,0.9835743090390479,1.0167,NA
BOGOTA,2019-02-01,101.86,100,0.98173964264677,1.0186,NA
BOGOTA,2019-03-01,102.78,100,0.9729519361743529,1.0278,NA
BOGOTA,2019-04-01,103.93,100,0.9621860867891849,1.0393000000000001,NA
BOGOTA,2019-05-01,104.49,100,0.9570293808019906,1.0449,NA
BOGOTA,2019-06-01,105.23,100,0.9502993442934524,1.0523,NA
BOGOTA,2019-07-01,105.81,100,0.9450902561194594,1.0581,NA
BOGOTA,2019-08-01,105.88,100,0.9444654325651681,1.0588,NA
BOGOTA,2019-09-01,106.63,100,0.9378223764419019,1.0663,NA
BOGOTA,2019-10-01,106.83,100,0.9360666479453337,1.0683,NA
BOGOTA,2019-11-01,106.16,100,0.9419743782969103,1.0615999999999999,NA
BOGOTA,2019-12-01,105.36,100,0.9491268033409264,1.0536,NA
BOGOTA,2020-01-01,106.12,100,0.9423294383716547,1.0612000000000001,NA
BOGOTA,2020-02-01,107.08,100,0.9338812103100486,1.0708,NA
BOGOTA,2020-03-01,109.83,100,0.9104980424292088,1.0983,NA
BOGOTA,2020-04-01,111.46,100,0.8971828458639871,1.1146,NA
BOGOTA,2020-05-01,111.89,100,0.893734918223255,1.1189,NA
BOGOTA,2020-06-01,112.09,100,0.8921402444464269,1.1209,NA
BOGOTA,2020-07-01,111.09,100,0.9001710324961743,1.1109,NA
BOGOTA,2020-08-01,110.36,100,0.9061254077564335,1.1036,NA
BOGOTA,2020-09-01,110.51,100,0.9048954845715319,1.1051,NA
BOGOTA,2020-10-01,110.27,100,0.9068649678062937,1.1027,NA
BOGOTA,2020-11-01,110.21,100,0.9073586788857636,1.1020999999999999,NA
BOGOTA,2020-12-01,110.53,100,0.9047317470370035,1.1053,NA
BOGOTA,2021-01-01,112.36,100,0.8899964400142399,1.1236,NA
BOGOTA,2021-02-01,113.04,100,0.8846426043878273,1.1304,NA
BOGOTA,2021-03-01,114.14,100,0.8761170492377781,1.1414,NA
BOGOTA,2021-04-01,116.89,100,0.8555051758063136,1.1689,NA
BOGOTA,2021-05-01,122.19,100,0.8183975775431704,1.2219,NA
BOGOTA,2021-06-01,121.42,100,0.8235875473562839,1.2142,NA
BOGOTA,2021-07-01,121.79,100,0.8210854749979473,1.2179,NA
BOGOTA,2021-08-01,123.59,100,0.8091269520187717,1.2359,NA
BOGOTA,2021-09-01,124.75,100,0.8016032064128257,1.2475,NA
BOGOTA,2021-10-01,125.81,100,0.7948493760432398,1.2581,NA
BOGOTA,2021-11-01,127.53,100,0.7841292244961969,1.2753,NA
BOGOTA,2021-12-01,129.74,100,0.7707723138584861,1.2974,NA
BOGOTA,2022-01-01,134.79,100,0.7418947993174568,1.3478999999999999,NA
BOGOTA,2022-02-01,139.5,100,0.7168458781362007,1.395,NA
BOGOTA,2022-03-01,143.26,100,0.6980315510261065,1.4325999999999999,NA
BOGOTA,2022-04-01,147.28,100,0.6789788158609451,1.4728,NA
BOGOTA,2022-05-01,149.93,100,0.6669779230307477,1.4993,NA
BOGOTA,2022-06-01,150.65,100,0.6637902422834384,1.5065,NA
BOGOTA,2022-07-01,152.19,100,0.6570733950982325,1.5219,NA
BOGOTA,2022-08-01,154.65,100,0.6466214031684449,1.5465,NA
BOGOTA,2022-09-01,157.41,100,0.6352836541515787,1.5741,NA
BOGOTA,2022-10-01,159.17,100,0.6282590940503864,1.5917,NA
BOGOTA,2022-11-01,160.99,100,0.6211565935772407,1.6099,NA
BOGOTA,2022-12-01,165.27,100,0.6050704907121679,1.6527,NA
BOGOTA,2023-01-01,168.71,100,0.5927330922885424,1.6871,NA
BOGOTA,2023-02-01,172.49,100,0.5797437532610585,1.7249,NA
BOGOTA,2023-03-01,174.68,100,0.5724753835585069,1.7468000000000001,NA
BOGOTA,2023-04-01,174.94,100,0.5716245569909684,1.7494,NA
BOGOTA,2023-05-01,172.98,100,0.5781015146259684,1.7298,NA
BOGOTA,2023-06-01,171.36,100,0.5835667600373482,1.7136000000000002,NA
BOGOTA,2023-07-01,171.53,100,0.5829883985308693,1.7153,NA
BOGOTA,2023-08-01,174.31,100,0.5736905513166198,1.7431,NA
BOGOTA,2023-09-01,175.87,100,0.5686018081537499,1.7587000000000002,NA
BOGOTA,2023-10-01,176.12,100,0.5677946854417443,1.7612,NA
BOGOTA,2023-11-01,175.17,100,0.570874008106411,1.7516999999999998,NA
BOGOTA,2023-12-01,173.87,100,0.5751423477310634,1.7387000000000001,NA
BOGOTA,2024-01-01,174.74,100,0.5722788142382969,1.7474,NA
BOGOTA,2024-02-01,176.08,100,0.5679236710586096,1.7608000000000001,NA
BOGOTA,2024-03-01,177.02,100,0.5649079200090384,1.7702,NA
BOGOTA,2024-04-01,179.15,100,0.558191459670667,1.7915,NA
BOGOTA,2024-05-01,180.65,100,0.5535566011624689,1.8065,NA
