decile_groups,food_per_capita_avg,threshold_1,threshold_2,threshold_3,ratio_1,ratio_2,ratio_3,ciudad,fecha,year,mes
Decil 1,68136.41576076864,51187.4290999739,86439.4615297798,128151.127844094,0.7512492186218934,1.2686235482839947,1.8808023053933582,BOGOTÁ D.C.,2019-01-01,2019,01
Decil 2,120742.31838911044,51187.4290999739,86439.4615297798,128151.127844094,0.42393942557086445,0.7159002964579123,1.0613605035403373,BOGOTÁ D.C.,2019-01-01,2019,01
Decil 3,149189.56657532405,51187.4290999739,86439.4615297798,128151.127844094,0.3431032764220142,0.5793934757906649,0.8589818362357934,BOGOTÁ D.C.,2019-01-01,2019,01
Decil 4,192519.66783476333,51187.4290999739,86439.4615297798,128151.127844094,0.2658815573269495,0.44899029019710063,0.6656521345864992,BOGOTÁ D.C.,2019-01-01,2019,01
Decil 5,236126.42830143785,51187.4290999739,86439.4615297798,128151.127844094,0.2167797542536335,0.36607279478022514,0.542722509995776,BOGOTÁ D.C.,2019-01-01,2019,01
Decil 6,284117.7807844313,51187.4290999739,86439.4615297798,128151.127844094,0.18016270913650187,0.30423812719895915,0.45104930599653703,BOGOTÁ D.C.,2019-01-01,2019,01
Decil 7,322419.5199183835,51187.4290999739,86439.4615297798,128151.127844094,0.1587603291293634,0.26809624166570584,0.3974670264273511,BOGOTÁ D.C.,2019-01-01,2019,01
Decil 8,425126.76545275026,51187.4290999739,86439.4615297798,128151.127844094,0.12040509621985448,0.2033263218271467,0.30144215386583806,BOGOTÁ D.C.,2019-01-01,2019,01
Decil 9,544845.1642782373,51187.4290999739,86439.4615297798,128151.127844094,0.09394857925881105,0.1586495892723709,0.23520650681346741,BOGOTÁ D.C.,2019-01-01,2019,01
Decil 10,1302137.8025314023,51187.4290999739,86439.4615297798,128151.127844094,0.039310301106736716,0.06638272950968661,0.09841594921441005,BOGOTÁ D.C.,2019-01-01,2019,01
Decil 1,53398.325504544235,50742.4099801581,86693.1143779104,128616.809062219,0.950262194567129,1.6235174709838562,2.408630005659515,BOGOTÁ D.C.,2019-02-01,2019,02
Decil 2,111865.11647645058,50742.4099801581,86693.1143779104,128616.809062219,0.4536035144686074,0.774978984589541,1.1497490291291559,BOGOTÁ D.C.,2019-02-01,2019,02
Decil 3,142238.4747208683,50742.4099801581,86693.1143779104,128616.809062219,0.35674180336745065,0.6094913106178813,0.9042336070786703,BOGOTÁ D.C.,2019-02-01,2019,02
Decil 4,182475.5463625428,50742.4099801581,86693.1143779104,128616.809062219,0.2780778629885178,0.4750944228201862,0.7048440825417935,BOGOTÁ D.C.,2019-02-01,2019,02
Decil 5,226881.793190911,50742.4099801581,86693.1143779104,128616.809062219,0.22365130875645278,0.3821069692664231,0.5668890714117093,BOGOTÁ D.C.,2019-02-01,2019,02
Decil 6,280477.36209082784,50742.4099801581,86693.1143779104,128616.809062219,0.1809144581291592,0.30909130680513286,0.458563957188704,BOGOTÁ D.C.,2019-02-01,2019,02
Decil 7,324567.7730239087,50742.4099801581,86693.1143779104,128616.809062219,0.1563384112581635,0.26710327267003275,0.39627104029439386,BOGOTÁ D.C.,2019-02-01,2019,02
Decil 8,412284.8030781553,50742.4099801581,86693.1143779104,128616.809062219,0.12307611049767228,0.2102748239339695,0.31196107181723504,BOGOTÁ D.C.,2019-02-01,2019,02
Decil 9,482772.2772397295,50742.4099801581,86693.1143779104,128616.809062219,0.10510630450919829,0.17957351419095952,0.2664129966152799,BOGOTÁ D.C.,2019-02-01,2019,02
Decil 10,1271114.1998000839,50742.4099801581,86693.1143779104,128616.809062219,0.03991963113002646,0.06820245922163813,0.10118430671488635,BOGOTÁ D.C.,2019-02-01,2019,02
Decil 1,62402.11902595351,50721.9493309806,86780.166994798,129868.884437725,0.8128241496075632,1.3906605793099025,2.0811614487596417,BOGOTÁ D.C.,2019-03-01,2019,03
Decil 2,121445.8203673829,50721.9493309806,86780.166994798,129868.884437725,0.4176508436234596,0.7145586956577127,1.0693565578861561,BOGOTÁ D.C.,2019-03-01,2019,03
Decil 3,145919.39422688104,50721.9493309806,86780.166994798,129868.884437725,0.34760252123933694,0.594713043146745,0.8900042734264639,BOGOTÁ D.C.,2019-03-01,2019,03
Decil 4,181526.25136798839,50721.9493309806,86780.166994798,129868.884437725,0.27941936193106043,0.47805849754963553,0.7154275674125831,BOGOTÁ D.C.,2019-03-01,2019,03
Decil 5,212089.29871833895,50721.9493309806,86780.166994798,129868.884437725,0.23915374154893546,0.40916806043120874,0.6123311511826669,BOGOTÁ D.C.,2019-03-01,2019,03
Decil 6,260282.69571289927,50721.9493309806,86780.166994798,129868.884437725,0.19487253730816068,0.33340736216486516,0.4989532019484493,BOGOTÁ D.C.,2019-03-01,2019,03
Decil 7,288614.5464744717,50721.9493309806,86780.166994798,129868.884437725,0.17574287211288228,0.3006784240602156,0.4499734542978487,BOGOTÁ D.C.,2019-03-01,2019,03
Decil 8,369080.3567811162,50721.9493309806,86780.166994798,129868.884437725,0.13742792971521198,0.23512540128561524,0.35187156956918186,BOGOTÁ D.C.,2019-03-01,2019,03
Decil 9,458733.68233611126,50721.9493309806,86780.166994798,129868.884437725,0.11056949006377288,0.1891733054195369,0.2831030060325304,BOGOTÁ D.C.,2019-03-01,2019,03
Decil 10,1252742.8552714586,50721.9493309806,86780.166994798,129868.884437725,0.040488715714917876,0.06927213085241941,0.1036676313029808,BOGOTÁ D.C.,2019-03-01,2019,03
Decil 1,60378.74903556806,51269.271696684,88182.0715881419,131006.79790506,0.8491277562985311,1.4604819244631153,2.1697501190010775,BOGOTÁ D.C.,2019-04-01,2019,04
Decil 2,127311.04610718411,51269.271696684,88182.0715881419,131006.79790506,0.4027087457400988,0.6926505930514526,1.029029309795824,BOGOTÁ D.C.,2019-04-01,2019,04
Decil 3,156048.36137494436,51269.271696684,88182.0715881419,131006.79790506,0.32854732497637085,0.5650945053903059,0.8395269053180515,BOGOTÁ D.C.,2019-04-01,2019,04
Decil 4,193343.66959438947,51269.271696684,88182.0715881419,131006.79790506,0.2651717110999312,0.45608977926785355,0.6775851424558956,BOGOTÁ D.C.,2019-04-01,2019,04
Decil 5,240340.67736970237,51269.271696684,88182.0715881419,131006.79790506,0.2133191611914258,0.36690448139370285,0.5450879116211348,BOGOTÁ D.C.,2019-04-01,2019,04
Decil 6,297433.03441710235,51269.271696684,88182.0715881419,131006.79790506,0.17237248645618508,0.29647705999085705,0.44045812921151145,BOGOTÁ D.C.,2019-04-01,2019,04
Decil 7,327524.3022338508,51269.271696684,88182.0715881419,131006.79790506,0.15653577871017943,0.2692382549530029,0.39999107550657953,BOGOTÁ D.C.,2019-04-01,2019,04
Decil 8,419170.6233149519,51269.271696684,88182.0715881419,131006.79790506,0.12231122327043861,0.2103727376951333,0.31253811841347845,BOGOTÁ D.C.,2019-04-01,2019,04
Decil 9,505802.7204240804,51269.271696684,88182.0715881419,131006.79790506,0.10136219048742617,0.17434084086026144,0.2590076972998878,BOGOTÁ D.C.,2019-04-01,2019,04
Decil 10,1391805.5492627819,51269.271696684,88182.0715881419,131006.79790506,0.03683651909840462,0.06335803994663665,0.09412722773986086,BOGOTÁ D.C.,2019-04-01,2019,04
Decil 1,71888.97078649428,51299.9626704503,88268.1650431162,131407.030540726,0.7135999042580254,1.2278401551368303,1.8279164258867555,BOGOTÁ D.C.,2019-05-01,2019,05
Decil 2,129670.75434867122,51299.9626704503,88268.1650431162,131407.030540726,0.395617060517054,0.6807098908808091,1.013389882713153,BOGOTÁ D.C.,2019-05-01,2019,05
Decil 3,160890.50045027875,51299.9626704503,88268.1650431162,131407.030540726,0.31885016534151395,0.548622602304568,0.8167482242454441,BOGOTÁ D.C.,2019-05-01,2019,05
Decil 4,200849.94298835282,51299.9626704503,88268.1650431162,131407.030540726,0.25541437506619136,0.4394731894359304,0.6542547564892573,BOGOTÁ D.C.,2019-05-01,2019,05
Decil 5,234320.88631338382,51299.9626704503,88268.1650431162,131407.030540726,0.21893038848376947,0.37669781141517705,0.5607994771963286,BOGOTÁ D.C.,2019-05-01,2019,05
Decil 6,283593.64517090976,51299.9626704503,88268.1650431162,131407.030540726,0.1808924972191602,0.311248741098979,0.46336380514285713,BOGOTÁ D.C.,2019-05-01,2019,05
Decil 7,329367.5128996376,51299.9626704503,88268.1650431162,131407.030540726,0.15575295273909437,0.26799293065073065,0.39896779552987477,BOGOTÁ D.C.,2019-05-01,2019,05
Decil 8,434584.8072945493,51299.9626704503,88268.1650431162,131407.030540726,0.11804361728568352,0.20310918274529216,0.3023737331242278,BOGOTÁ D.C.,2019-05-01,2019,05
Decil 9,518014.5757414597,51299.9626704503,88268.1650431162,131407.030540726,0.09903189036142883,0.17039706830019916,0.25367438812438176,BOGOTÁ D.C.,2019-05-01,2019,05
Decil 10,1336340.9118851726,51299.9626704503,88268.1650431162,131407.030540726,0.03838837995170078,0.06605213105284378,0.09833346369329549,BOGOTÁ D.C.,2019-05-01,2019,05
Decil 1,53518.96978638742,51560.8359476171,88299.1145223616,131949.223429398,0.9634123405852935,1.6498657368554306,2.465466430987978,BOGOTÁ D.C.,2019-06-01,2019,06
Decil 2,110746.22664743049,51560.8359476171,88299.1145223616,131949.223429398,0.46557645807441517,0.7973103661894407,1.1914557039443787,BOGOTÁ D.C.,2019-06-01,2019,06
Decil 3,137051.55504379372,51560.8359476171,88299.1145223616,131949.223429398,0.3762148917693145,0.6442766336664063,0.9627707134533037,BOGOTÁ D.C.,2019-06-01,2019,06
Decil 4,171716.11120280594,51560.8359476171,88299.1145223616,131949.223429398,0.30026789907163104,0.5142156662171065,0.7684149291824975,BOGOTÁ D.C.,2019-06-01,2019,06
Decil 5,200780.57095854825,51560.8359476171,88299.1145223616,131949.223429398,0.25680191913719574,0.4397791783378842,0.6571812342173253,BOGOTÁ D.C.,2019-06-01,2019,06
Decil 6,248958.4152417231,51560.8359476171,88299.1145223616,131949.223429398,0.207106218512657,0.3546741508481594,0.5300050745474241,BOGOTÁ D.C.,2019-06-01,2019,06
Decil 7,276556.9666707903,51560.8359476171,88299.1145223616,131949.223429398,0.1864383912230077,0.3192800224319487,0.47711408256248555,BOGOTÁ D.C.,2019-06-01,2019,06
Decil 8,370272.44406054314,51560.8359476171,88299.1145223616,131949.223429398,0.13925107518718408,0.2384706611003541,0.35635712445245593,BOGOTÁ D.C.,2019-06-01,2019,06
Decil 9,425652.1705468065,51560.8359476171,88299.1145223616,131949.223429398,0.12113373198915066,0.2074442952068815,0.3099930707739415,BOGOTÁ D.C.,2019-06-01,2019,06
Decil 10,1158644.1196848145,51560.8359476171,88299.1145223616,131949.223429398,0.044501012063689734,0.07620900414734905,0.11388244344198813,BOGOTÁ D.C.,2019-06-01,2019,06
Decil 1,73308.01156575713,51617.1027328043,88761.2573265348,133275.885551897,0.7041127106074057,1.2107988667366343,1.818026198028149,BOGOTÁ D.C.,2019-07-01,2019,07
Decil 2,135208.83898474995,51617.1027328043,88761.2573265348,133275.885551897,0.38175834598081365,0.6564752570395644,0.9857039417883695,BOGOTÁ D.C.,2019-07-01,2019,07
Decil 3,164904.81412983994,51617.1027328043,88761.2573265348,133275.885551897,0.3130114969970671,0.5382575262881499,0.8081988767590527,BOGOTÁ D.C.,2019-07-01,2019,07
Decil 4,199917.97441813015,51617.1027328043,88761.2573265348,133275.885551897,0.25819140516523387,0.44398837865818847,0.6666528406953011,BOGOTÁ D.C.,2019-07-01,2019,07
Decil 5,233600.40570890714,51617.1027328043,88761.2573265348,133275.885551897,0.22096324095055347,0.3799704758952409,0.5705293411089962,BOGOTÁ D.C.,2019-07-01,2019,07
Decil 6,292680.3483666491,51617.1027328043,88761.2573265348,133275.885551897,0.17635998802400654,0.30327030093370333,0.4553632872711305,BOGOTÁ D.C.,2019-07-01,2019,07
Decil 7,335724.5510671813,51617.1027328043,88761.2573265348,133275.885551897,0.15374837070666092,0.26438715025274673,0.3969798608062697,BOGOTÁ D.C.,2019-07-01,2019,07
Decil 8,418780.90397623467,51617.1027328043,88761.2573265348,133275.885551897,0.12325562661217597,0.21195153953717982,0.318247284645673,BOGOTÁ D.C.,2019-07-01,2019,07
Decil 9,514364.7137039484,51617.1027328043,88761.2573265348,133275.885551897,0.10035117370534367,0.17256482601102938,0.2591077537029615,BOGOTÁ D.C.,2019-07-01,2019,07
Decil 10,1570893.1533782766,51617.1027328043,88761.2573265348,133275.885551897,0.03285844274118796,0.05650368844987943,0.08484083418740554,BOGOTÁ D.C.,2019-07-01,2019,07
Decil 1,68817.9571208111,51821.7092246818,89105.7363585731,134046.965167471,0.7530259745099365,1.2948035670711127,1.9478486542712865,BOGOTÁ D.C.,2019-08-01,2019,08
Decil 2,121084.2976772268,51821.7092246818,89105.7363585731,134046.965167471,0.42798042536301784,0.7358983622806432,1.1070549009153825,BOGOTÁ D.C.,2019-08-01,2019,08
Decil 3,153734.85461596883,51821.7092246818,89105.7363585731,134046.965167471,0.3370849723970074,0.5796065998251346,0.8719360713764074,BOGOTÁ D.C.,2019-08-01,2019,08
Decil 4,195023.60013846584,51821.7092246818,89105.7363585731,134046.965167471,0.2657201958526487,0.45689719754587876,0.6873371482851218,BOGOTÁ D.C.,2019-08-01,2019,08
