deciles,rate,gap,severity,model,ciudad,fecha,year,mes
Decil 1,28.280467727003778,0.13955770394440206,0.09415826846745241,CoCA,BOGOTÁ D.C.,2019-01-01,2019,01
Decil 10,0,0,0,CoCA,BOGOTÁ D.C.,2019-01-01,2019,01
Decil 2,0,0,0,CoCA,BOGOTÁ D.C.,2019-01-01,2019,01
Decil 3,0,0,0,CoCA,BOGOTÁ D.C.,2019-01-01,2019,01
Decil 4,0,0,0,CoCA,BOGOTÁ D.C.,2019-01-01,2019,01
Decil 5,0,0,0,CoCA,BOGOTÁ D.C.,2019-01-01,2019,01
Decil 6,0,0,0,CoCA,BOGOTÁ D.C.,2019-01-01,2019,01
Decil 7,0,0,0,CoCA,BOGOTÁ D.C.,2019-01-01,2019,01
Decil 8,0,0,0,CoCA,BOGOTÁ D.C.,2019-01-01,2019,01
Decil 9,0,0,0,CoCA,BOGOTÁ D.C.,2019-01-01,2019,01
Decil 1,61.351311914334694,0.2569549831714452,0.16158274618226015,CoNA,BOGOTÁ D.C.,2019-01-01,2019,01
Decil 10,0,0,0,CoNA,BOGOTÁ D.C.,2019-01-01,2019,01
Decil 2,0,0,0,CoNA,BOGOTÁ D.C.,2019-01-01,2019,01
Decil 3,0,0,0,CoNA,BOGOTÁ D.C.,2019-01-01,2019,01
Decil 4,0,0,0,CoNA,BOGOTÁ D.C.,2019-01-01,2019,01
Decil 5,0,0,0,CoNA,BOGOTÁ D.C.,2019-01-01,2019,01
Decil 6,0,0,0,CoNA,BOGOTÁ D.C.,2019-01-01,2019,01
Decil 7,0,0,0,CoNA,BOGOTÁ D.C.,2019-01-01,2019,01
Decil 8,0,0,0,CoNA,BOGOTÁ D.C.,2019-01-01,2019,01
Decil 9,0,0,0,CoNA,BOGOTÁ D.C.,2019-01-01,2019,01
Decil 1,100,0.4755954057294007,0.27888650347617716,CoRD,BOGOTÁ D.C.,2019-01-01,2019,01
Decil 10,0,0,0,CoRD,BOGOTÁ D.C.,2019-01-01,2019,01
Decil 2,68.04304929873258,0.07610495619650663,0.012031957877795619,CoRD,BOGOTÁ D.C.,2019-01-01,2019,01
Decil 3,13.669716357945871,0.004193541231374168,1.4196124222701312e-4,CoRD,BOGOTÁ D.C.,2019-01-01,2019,01
Decil 4,0,0,0,CoRD,BOGOTÁ D.C.,2019-01-01,2019,01
Decil 5,0,0,0,CoRD,BOGOTÁ D.C.,2019-01-01,2019,01
Decil 6,0,0,0,CoRD,BOGOTÁ D.C.,2019-01-01,2019,01
Decil 7,0,0,0,CoRD,BOGOTÁ D.C.,2019-01-01,2019,01
Decil 8,0,0,0,CoRD,BOGOTÁ D.C.,2019-01-01,2019,01
Decil 9,0,0,0,CoRD,BOGOTÁ D.C.,2019-01-01,2019,01
Decil 1,49.3043945517683,0.24369069959005352,0.17595215509088402,CoCA,BOGOTÁ D.C.,2019-02-01,2019,02
Decil 10,0,0,0,CoCA,BOGOTÁ D.C.,2019-02-01,2019,02
Decil 2,0,0,0,CoCA,BOGOTÁ D.C.,2019-02-01,2019,02
Decil 3,0,0,0,CoCA,BOGOTÁ D.C.,2019-02-01,2019,02
Decil 4,0,0,0,CoCA,BOGOTÁ D.C.,2019-02-01,2019,02
Decil 5,0,0,0,CoCA,BOGOTÁ D.C.,2019-02-01,2019,02
Decil 6,0,0,0,CoCA,BOGOTÁ D.C.,2019-02-01,2019,02
Decil 7,0,0,0,CoCA,BOGOTÁ D.C.,2019-02-01,2019,02
Decil 8,0,0,0,CoCA,BOGOTÁ D.C.,2019-02-01,2019,02
Decil 9,0,0,0,CoCA,BOGOTÁ D.C.,2019-02-01,2019,02
Decil 1,84.9137405671481,0.39689103043105134,0.2745738598946225,CoNA,BOGOTÁ D.C.,2019-02-01,2019,02
Decil 10,0,0,0,CoNA,BOGOTÁ D.C.,2019-02-01,2019,02
Decil 2,0,0,0,CoNA,BOGOTÁ D.C.,2019-02-01,2019,02
Decil 3,0,0,0,CoNA,BOGOTÁ D.C.,2019-02-01,2019,02
Decil 4,0,0,0,CoNA,BOGOTÁ D.C.,2019-02-01,2019,02
Decil 5,0,0,0,CoNA,BOGOTÁ D.C.,2019-02-01,2019,02
