"dominio_geo","sexo","grupo_edad","edad_rep","peso_prom","talla_prom","n","AF_predominante","freq","pal_iom","eer_kcal_dia"
"Bogotá","Femenino","[14,18)",15.2531008959015,51.5860101967338,156.322383935118,270,"Ligera",114879.987030029,"Low active",2139.17727811554
"Bogotá","Femenino","[18,30)",23.3910786627719,60.0895333476913,157.266360261483,945,"Ligera",183873.313812256,"Low active",2179.24345114073
"Bogotá","Femenino","[30,60)",43.4688852682242,65.7154965411768,155.34870018166,1569,"Ligera",342610.779312134,"Low active",2094.14066347859
"Bogotá","Femenino","[60,Inf)",61.9037829843169,65.3706376272369,151.875150834775,177,"Ligera",25678.8806228638,"Low active",1937.80001758411
"Bogotá","Masculino","[14,18)",15.5933943857294,56.1065023824423,165.695539804429,237,"Ligera",109032.589504242,"Low active",2662.63911276959
"Bogotá","Masculino","[18,30)",23.4362755916545,67.5331206753856,169.369065493384,733,"Moderada",290330.264724732,"Active",2929.74339230463
"Bogotá","Masculino","[30,60)",43.3229829294091,74.96825162061,167.697549470278,1168,"Moderada",314538.155197144,"Active",2821.76500070462
"Bogotá","Masculino","[60,Inf)",61.8653756725909,75.4746695581282,163.898801459318,117,"Moderada",24950.3542480469,"Active",2604.24015965042
"Cali","Femenino","[14,18)",15.7095845917488,56.3847465057893,158.014427219245,103,"Ligera",81241.5489959717,"Low active",2221.31329445363
"Cali","Femenino","[18,30)",23.6581986629011,62.8435916960948,157.549494251762,385,"Ligera",87454.7527465821,"Low active",2212.67389262528
"Cali","Femenino","[30,60)",43.6744156273596,68.1452547120342,156.227201158442,730,"Ligera",153691.432167053,"Low active",2127.99526630202
"Cali","Femenino","[60,Inf)",61.9060251067252,67.1504754036691,156.156184060942,91,"Ligera",26120.3714332581,"Low active",1987.64635020461
"Cali","Masculino","[14,18)",15.6248726761295,58.1200677530891,167.850543463053,87,"Ligera",74648.0892181397,"Low active",2722.16619013232
"Cali","Masculino","[18,30)",23.216793459493,72.7258404177048,170.9692342554,288,"Moderada",150316.575958252,"Active",3025.16965522458
"Cali","Masculino","[30,60)",42.6736661574195,76.7684332743456,168.707348317003,486,"Moderada",260029.884670258,"Active",2864.02187993684
"Cali","Masculino","[60,Inf)",61.7909581144841,75.9762934211698,165.50370384136,67,"Moderada",31151.4055938721,"Active",2623.49090099662
"Colombia","Femenino","[14,18)",15.4617759110796,53.2402566309576,156.521998943211,5317,"Ligera",1398480.50709081,"Low active",2161.45039265729
"Colombia","Femenino","[18,30)",23.3910461466694,61.1067732609454,157.071432797462,13841,"Ligera",2404395.12541866,"Low active",2190.30645036297
"Colombia","Femenino","[30,60)",43.4195316408063,66.7616422780474,155.355866024122,26461,"Ligera",4796552.57284332,"Low active",2107.23413621264
"Colombia","Femenino","[60,Inf)",61.9332907187807,65.8311696768021,152.764823879168,2845,"Ligera",470246.768330574,"Low active",1949.05586954023
"Colombia","Masculino","[14,18)",15.5125208250797,56.8336651298209,165.780019588116,5088,"Ligera",1339255.9079206,"Low active",2677.81657431862
"Colombia","Masculino","[18,30)",23.3441761162124,69.2727296768573,169.52191279436,10972,"Moderada",2867409.20970202,"Active",2959.41457323945
"Colombia","Masculino","[30,60)",43.3198963877338,74.8859510533902,167.754050924391,20192,"Moderada",3856881.19512487,"Active",2820.85741540731
"Colombia","Masculino","[60,Inf)",61.9178756998732,73.0925515862226,165.005202064664,2308,"Moderada",414882.812651158,"Active",2572.98581936878
"Medellín","Femenino","[14,18)",15.5521312623041,55.8271301993674,157.480056142835,171,"Ligera",105308.616699219,"Low active",2209.77902419442
"Medellín","Femenino","[18,30)",23.2958472852006,61.8775628806099,158.241023285868,526,"Ligera",179460.161743164,"Low active",2208.05047758808
"Medellín","Femenino","[30,60)",43.8357594753883,65.9769665495362,155.984808078339,1059,"Ligera",480171.560241699,"Low active",2098.94143330594
"Medellín","Femenino","[60,Inf)",62.1642213070008,66.1947359880833,153.738800816791,119,"Ligera",60047.6960449219,"Low active",1958.27898892408
"Medellín","Masculino","[14,18)",15.6184643103832,58.0220661380693,166.152247392367,141,"Ligera",86358.7350158692,"Low active",2705.51582246445
"Medellín","Masculino","[18,30)",23.5024228151925,71.8789685234636,170.361598119038,442,"Moderada",230509.500366211,"Active",3004.6407698559
"Medellín","Masculino","[30,60)",43.2913775469862,74.8658295273174,168.072655747298,662,"Moderada",321803.709106445,"Active",2822.92344441814
"Medellín","Masculino","[60,Inf)",62.0818231056649,72.9105794931077,165.645869987167,69,"Moderada",38952.0030517578,"Active",2572.49224781732
