"fecha","coca_cost.Food","coca_cost.quantity","coca_cost.Demo_Group","coca_cost.Sex","coca_cost.cost_day","coca_cost.Cost_1000kcal","scenario"
2013-01-01,Azúcar sulfitada,256.7016,1 a 3 años,1, 415.2024,407.4184,"q1"
2013-01-01,Azúcar sulfitada,331.6302,4 a 8 años,1, 536.3957,407.4184,"q1"
2013-01-01,Azúcar sulfitada,456.2234,9 a 13 años,1, 737.9192,407.4184,"q1"
2013-01-01,Azúcar sulfitada,532.2268,14 a 18 años,1, 860.8509,407.4184,"q1"
2013-01-01,Azúcar sulfitada,511.7957,19 a 30 años,1, 827.8046,407.4184,"q1"
2013-01-01,Azúcar sulfitada,482.7422,31 a 50 años,1, 780.8119,407.4184,"q1"
2013-01-01,Azúcar sulfitada,438.5859,51 a 70 años,1, 709.3914,407.4184,"q1"
2013-01-01,Azúcar sulfitada,412.3622,>70 años,1, 666.9757,407.4184,"q1"
2013-01-01,Azúcar sulfitada,634.8608,gestantes < 18 años,1,1026.8563,407.4184,"q1"
2013-01-01,Azúcar sulfitada,631.4431,gestantes 19 a 30 años,1,1021.3283,407.4184,"q1"
2013-01-01,Azúcar sulfitada,602.3895,gestantes 31 a 50 años,1, 974.3357,407.4184,"q1"
2013-01-01,Azúcar sulfitada,642.4174,lactantes < 18 años,1,1039.0789,407.4184,"q1"
2013-01-01,Azúcar sulfitada,638.9997,lactantes 19 a 30 años,1,1033.5509,407.4184,"q1"
2013-01-01,Azúcar sulfitada,609.9462,lactantes 31 a 50 años,1, 986.5582,407.4184,"q1"
2013-01-01,Azúcar sulfitada,279.7516,1 a 3 años,0, 452.4846,407.4184,"q1"
2013-01-01,Azúcar sulfitada,361.8144,4 a 8 años,0, 585.2171,407.4184,"q1"
2013-01-01,Azúcar sulfitada,505.4427,9 a 13 años,0, 817.5289,407.4184,"q1"
2013-01-01,Azúcar sulfitada,691.8723,14 a 18 años,0,1119.0697,407.4184,"q1"
2013-01-01,Azúcar sulfitada,710.2093,19 a 30 años,0,1148.7289,407.4184,"q1"
2013-01-01,Azúcar sulfitada,672.7691,31 a 50 años,0,1088.1713,407.4184,"q1"
2013-01-01,Azúcar sulfitada,546.8919,51 a 70 años,0, 884.5710,407.4184,"q1"
