"fecha","cona_cost.Demo_Group","cona_cost.Sex","cona_cost.cost_day","cona_cost.Cost_1000kcal","scenario"
2013-01-01,1 a 3 años,1,1354.030,1328.6455,"q1"
2013-01-01,14 a 18 años,1,2541.172,1202.6709,"q1"
2013-01-01,19 a 30 años,1,2024.017, 996.1550,"q1"
2013-01-01,31 a 50 años,1,1982.140,1034.2573,"q1"
2013-01-01,4 a 8 años,1,1832.632,1391.9725,"q1"
2013-01-01,51 a 70 años,1,2248.622,1291.4308,"q1"
2013-01-01,9 a 13 años,1,2402.695,1326.5712,"q1"
2013-01-01,>70 años,1,2224.530,1358.8416,"q1"
2013-01-01,gestantes 19 a 30 años,1,3176.847,1267.2770,"q1"
2013-01-01,gestantes 31 a 50 años,1,3371.013,1409.5891,"q1"
2013-01-01,gestantes < 18 años,1,5188.569,2058.6313,"q1"
2013-01-01,lactantes 19 a 30 años,1,2428.775, 957.4059,"q1"
2013-01-01,lactantes 31 a 50 años,1,2350.307, 970.6052,"q1"
2013-01-01,lactantes < 18 años,1,2819.489,1105.5098,"q1"
2013-01-01,1 a 3 años,0,1451.032,1306.5138,"q1"
2013-01-01,14 a 18 años,0,2764.210,1006.3628,"q1"
2013-01-01,19 a 30 años,0,2507.705, 889.4050,"q1"
2013-01-01,31 a 50 años,0,2392.241, 895.6707,"q1"
2013-01-01,4 a 8 años,0,1921.456,1337.6857,"q1"
2013-01-01,51 a 70 años,0,2427.429,1118.0328,"q1"
2013-01-01,9 a 13 años,0,2453.608,1222.7643,"q1"
2013-01-01,>70 años,0,2264.791,1118.0328,"q1"
2013-01-01,1 a 3 años,1,1397.958,1371.7499,"q2"
2013-01-01,14 a 18 años,1,2649.126,1253.7628,"q2"
2013-01-01,19 a 30 años,1,2137.904,1052.2066,"q2"
2013-01-01,31 a 50 años,1,2091.873,1091.5148,"q2"
2013-01-01,4 a 8 años,1,1886.125,1432.6034,"q2"
2013-01-01,51 a 70 años,1,2340.574,1344.2410,"q2"
2013-01-01,9 a 13 años,1,2480.867,1369.7315,"q2"
2013-01-01,>70 años,1,2310.395,1411.2923,"q2"
2013-01-01,gestantes 19 a 30 años,1,3320.675,1324.6517,"q2"
2013-01-01,gestantes 31 a 50 años,1,3524.960,1473.9618,"q2"
2013-01-01,gestantes < 18 años,1,5394.820,2140.4642,"q2"
2013-01-01,lactantes 19 a 30 años,1,2602.147,1025.7480,"q2"
2013-01-01,lactantes 31 a 50 años,1,2515.993,1039.0285,"q2"
2013-01-01,lactantes < 18 años,1,2976.174,1166.9452,"q2"
2013-01-01,1 a 3 años,0,1500.774,1351.3014,"q2"
2013-01-01,14 a 18 años,0,2905.466,1057.7897,"q2"
2013-01-01,19 a 30 años,0,2669.991, 946.9629,"q2"
2013-01-01,31 a 50 años,0,2547.070, 953.6395,"q2"
2013-01-01,4 a 8 años,0,1979.240,1377.9142,"q2"
2013-01-01,51 a 70 años,0,2547.532,1173.3499,"q2"
2013-01-01,9 a 13 años,0,2543.579,1267.6019,"q2"
2013-01-01,>70 años,0,2376.847,1173.3499,"q2"
2013-01-01,1 a 3 años,1,1449.919,1422.7368,"q3"
2013-01-01,14 a 18 años,1,2745.187,1299.2257,"q3"
2013-01-01,19 a 30 años,1,2232.152,1098.5923,"q3"
2013-01-01,31 a 50 años,1,2184.833,1140.0198,"q3"
2013-01-01,4 a 8 años,1,1953.227,1483.5703,"q3"
2013-01-01,51 a 70 años,1,2430.381,1395.8192,"q3"
2013-01-01,9 a 13 años,1,2555.601,1410.9934,"q3"
2013-01-01,>70 años,1,2398.037,1464.8277,"q3"
2013-01-01,gestantes 19 a 30 años,1,3518.335,1403.5004,"q3"
2013-01-01,gestantes 31 a 50 años,1,3687.908,1542.0985,"q3"
2013-01-01,gestantes < 18 años,1,5638.518,2237.1547,"q3"
2013-01-01,lactantes 19 a 30 años,1,2769.708,1091.7995,"q3"
2013-01-01,lactantes 31 a 50 años,1,2671.931,1103.4262,"q3"
2013-01-01,lactantes < 18 años,1,3149.121,1234.7570,"q3"
2013-01-01,1 a 3 años,0,1559.848,1404.4915,"q3"
2013-01-01,14 a 18 años,0,3019.334,1099.2456,"q3"
2013-01-01,19 a 30 años,0,2821.188,1000.5878,"q3"
2013-01-01,31 a 50 años,0,2691.766,1007.8150,"q3"
2013-01-01,4 a 8 años,0,2052.668,1429.0331,"q3"
2013-01-01,51 a 70 años,0,2657.121,1223.8250,"q3"
2013-01-01,9 a 13 años,0,2622.653,1307.0085,"q3"
2013-01-01,>70 años,0,2479.094,1223.8250,"q3"
2013-02-01,1 a 3 años,1,1353.221,1327.8513,"q1"
2013-02-01,14 a 18 años,1,2546.926,1205.3941,"q1"
2013-02-01,19 a 30 años,1,2030.369, 999.2813,"q1"
2013-02-01,31 a 50 años,1,1990.437,1038.5865,"q1"
2013-02-01,4 a 8 años,1,1831.569,1391.1654,"q1"
2013-02-01,51 a 70 años,1,2254.331,1294.7099,"q1"
2013-02-01,9 a 13 años,1,2405.222,1327.9663,"q1"
2013-02-01,>70 años,1,2229.483,1361.8676,"q1"
2013-02-01,gestantes 19 a 30 años,1,3164.607,1262.3947,"q1"
2013-02-01,gestantes 31 a 50 años,1,3361.117,1405.4512,"q1"
2013-02-01,gestantes < 18 años,1,5183.011,2056.4264,"q1"
2013-02-01,lactantes 19 a 30 años,1,2416.909, 952.7282,"q1"
2013-02-01,lactantes 31 a 50 años,1,2342.648, 967.4422,"q1"
2013-02-01,lactantes < 18 años,1,2811.752,1102.4762,"q1"
2013-02-01,1 a 3 años,0,1449.331,1304.9817,"q1"
2013-02-01,14 a 18 años,0,2765.593,1006.8662,"q1"
2013-02-01,19 a 30 años,0,2497.799, 885.8915,"q1"
2013-02-01,31 a 50 años,0,2381.615, 891.6923,"q1"
2013-02-01,4 a 8 años,0,1921.603,1337.7879,"q1"
2013-02-01,51 a 70 años,0,2427.504,1118.0672,"q1"
2013-02-01,9 a 13 años,0,2457.138,1224.5236,"q1"
2013-02-01,>70 años,0,2264.861,1118.0672,"q1"
2013-02-01,1 a 3 años,1,1396.830,1370.6429,"q2"
2013-02-01,14 a 18 años,1,2662.516,1260.0998,"q2"
2013-02-01,19 a 30 años,1,2151.056,1058.6797,"q2"
2013-02-01,31 a 50 años,1,2108.882,1100.3899,"q2"
2013-02-01,4 a 8 años,1,1884.473,1431.3483,"q2"
2013-02-01,51 a 70 años,1,2354.559,1352.2727,"q2"
2013-02-01,9 a 13 años,1,2488.218,1373.7897,"q2"
2013-02-01,>70 años,1,2323.564,1419.3362,"q2"
2013-02-01,gestantes 19 a 30 años,1,3306.583,1319.0301,"q2"
2013-02-01,gestantes 31 a 50 años,1,3513.313,1469.0919,"q2"
2013-02-01,gestantes < 18 años,1,5388.605,2137.9984,"q2"
2013-02-01,lactantes 19 a 30 años,1,2590.943,1021.3315,"q2"
2013-02-01,lactantes 31 a 50 años,1,2514.270,1038.3167,"q2"
2013-02-01,lactantes < 18 años,1,2971.947,1165.2880,"q2"
2013-02-01,1 a 3 años,0,1498.681,1349.4166,"q2"
2013-02-01,14 a 18 años,0,2914.947,1061.2415,"q2"
2013-02-01,19 a 30 años,0,2657.724, 942.6121,"q2"
2013-02-01,31 a 50 años,0,2533.991, 948.7427,"q2"
2013-02-01,4 a 8 años,0,1978.857,1377.6475,"q2"
2013-02-01,51 a 70 años,0,2557.240,1177.8216,"q2"
2013-02-01,9 a 13 años,0,2551.979,1271.7877,"q2"
2013-02-01,>70 años,0,2385.905,1177.8216,"q2"
2013-02-01,1 a 3 años,1,1448.181,1421.0311,"q3"
2013-02-01,14 a 18 años,1,2752.828,1302.8423,"q3"
2013-02-01,19 a 30 años,1,2238.975,1101.9506,"q3"
2013-02-01,31 a 50 años,1,2195.511,1145.5920,"q3"
2013-02-01,4 a 8 años,1,1950.461,1481.4694,"q3"
2013-02-01,51 a 70 años,1,2438.070,1400.2353,"q3"
2013-02-01,9 a 13 años,1,2559.134,1412.9440,"q3"
2013-02-01,>70 años,1,2404.866,1468.9988,"q3"
2013-02-01,gestantes 19 a 30 años,1,3499.715,1396.0727,"q3"
2013-02-01,gestantes 31 a 50 años,1,3674.230,1536.3794,"q3"
2013-02-01,gestantes < 18 años,1,5631.812,2234.4939,"q3"
2013-02-01,lactantes 19 a 30 años,1,2773.676,1093.3634,"q3"
2013-02-01,lactantes 31 a 50 años,1,2674.637,1104.5434,"q3"
2013-02-01,lactantes < 18 años,1,3136.974,1229.9941,"q3"
2013-02-01,1 a 3 años,0,1557.007,1401.9340,"q3"
2013-02-01,14 a 18 años,0,3022.288,1100.3210,"q3"
2013-02-01,19 a 30 años,0,2822.064,1000.8985,"q3"
2013-02-01,31 a 50 años,0,2693.570,1008.4903,"q3"
2013-02-01,4 a 8 años,0,2051.256,1428.0505,"q3"
2013-02-01,51 a 70 años,0,2658.907,1224.6475,"q3"
2013-02-01,9 a 13 años,0,2627.307,1309.3281,"q3"
2013-02-01,>70 años,0,2480.760,1224.6475,"q3"
2013-03-01,1 a 3 años,1,1356.295,1330.8677,"q1"
2013-03-01,14 a 18 años,1,2559.670,1211.4255,"q1"
2013-03-01,19 a 30 años,1,2042.650,1005.3259,"q1"
2013-03-01,31 a 50 años,1,2004.938,1046.1529,"q1"
2013-03-01,4 a 8 años,1,1836.190,1394.6749,"q1"
2013-03-01,51 a 70 años,1,2266.792,1301.8666,"q1"
2013-03-01,9 a 13 años,1,2413.794,1332.6993,"q1"
2013-03-01,>70 años,1,2241.126,1368.9795,"q1"
2013-03-01,gestantes 19 a 30 años,1,3166.870,1263.2971,"q1"
2013-03-01,gestantes 31 a 50 años,1,3363.828,1406.5845,"q1"
2013-03-01,gestantes < 18 años,1,5186.500,2057.8106,"q1"
2013-03-01,lactantes 19 a 30 años,1,2421.796, 954.6549,"q1"
2013-03-01,lactantes 31 a 50 años,1,2349.203, 970.1490,"q1"
2013-03-01,lactantes < 18 años,1,2818.720,1105.2081,"q1"
2013-03-01,1 a 3 años,0,1451.919,1307.3120,"q1"
2013-03-01,14 a 18 años,0,2776.013,1010.6598,"q1"
2013-03-01,19 a 30 años,0,2503.582, 887.9429,"q1"
2013-03-01,31 a 50 años,0,2386.382, 893.4771,"q1"
2013-03-01,4 a 8 años,0,1927.504,1341.8965,"q1"
2013-03-01,51 a 70 años,0,2437.403,1122.6267,"q1"
2013-03-01,9 a 13 años,0,2466.854,1229.3657,"q1"
2013-03-01,>70 años,0,2274.097,1122.6267,"q1"
2013-03-01,1 a 3 años,1,1399.868,1373.6239,"q2"
2013-03-01,14 a 18 años,1,2677.758,1267.3134,"q2"
2013-03-01,19 a 30 años,1,2166.620,1066.3398,"q2"
2013-03-01,31 a 50 años,1,2127.275,1109.9868,"q2"
2013-03-01,4 a 8 años,1,1888.965,1434.7603,"q2"
2013-03-01,51 a 70 años,1,2370.568,1361.4672,"q2"
2013-03-01,9 a 13 años,1,2498.785,1379.6244,"q2"
2013-03-01,>70 años,1,2338.649,1428.5506,"q2"
2013-03-01,gestantes 19 a 30 años,1,3308.268,1319.7023,"q2"
2013-03-01,gestantes 31 a 50 años,1,3515.831,1470.1445,"q2"
2013-03-01,gestantes < 18 años,1,5392.276,2139.4549,"q2"
2013-03-01,lactantes 19 a 30 años,1,2596.639,1023.5767,"q2"
2013-03-01,lactantes 31 a 50 años,1,2523.609,1042.1737,"q2"
2013-03-01,lactantes < 18 años,1,2980.683,1168.7134,"q2"
