"fecha","cona_cost.Demo_Group","cona_cost.Sex","cona_cost.cost_day","cona_cost.Cost_1000kcal","scenario"
2013-01-01,1 a 3 años,1,1426.7120,1399.9650,"hat"
2013-01-01,14 a 18 años,1,2681.3172,1268.9980,"hat"
2013-01-01,19 a 30 años,1,2165.5693,1065.8227,"hat"
2013-01-01,31 a 50 años,1,2124.3341,1108.4525,"hat"
2013-01-01,4 a 8 años,1,1928.6206,1464.8806,"hat"
2013-01-01,51 a 70 años,1,2367.1273,1359.4912,"hat"
2013-01-01,9 a 13 años,1,2515.7882,1389.0119,"hat"
2013-01-01,>70 años,1,2338.8322,1428.6627,"hat"
2013-01-01,gestantes 19 a 30 años,1,3389.1180,1351.9543,"hat"
2013-01-01,gestantes 31 a 50 años,1,3621.1808,1514.1967,"hat"
2013-01-01,gestantes < 18 años,1,5488.5478,2177.6519,"hat"
2013-01-01,lactantes 19 a 30 años,1,2654.2116,1046.2714,"hat"
2013-01-01,lactantes 31 a 50 años,1,2587.4502,1068.5380,"hat"
2013-01-01,lactantes < 18 años,1,3041.0248,1192.3730,"hat"
2013-01-01,1 a 3 años,0,1524.8229,1372.9551,"hat"
2013-01-01,14 a 18 años,0,2970.2625,1081.3801,"hat"
2013-01-01,19 a 30 años,0,2737.7850, 971.0072,"hat"
2013-01-01,31 a 50 años,0,2600.2015, 973.5325,"hat"
2013-01-01,4 a 8 años,0,2036.6364,1417.8725,"hat"
2013-01-01,51 a 70 años,0,2622.7696,1208.0033,"hat"
2013-01-01,9 a 13 años,0,2574.1170,1282.8204,"hat"
2013-01-01,>70 años,0,2447.0440,1208.0033,"hat"
2013-02-01,1 a 3 años,1,1414.0986,1387.5880,"hat"
2013-02-01,14 a 18 años,1,2660.3854,1259.0915,"hat"
2013-02-01,19 a 30 años,1,2144.2353,1055.3228,"hat"
2013-02-01,31 a 50 años,1,2086.6172,1088.7722,"hat"
2013-02-01,4 a 8 años,1,1909.0818,1450.0400,"hat"
2013-02-01,51 a 70 años,1,2351.9992,1350.8028,"hat"
2013-02-01,9 a 13 años,1,2481.2347,1369.9343,"hat"
2013-02-01,>70 años,1,2324.8694,1420.1336,"hat"
2013-02-01,gestantes 19 a 30 años,1,3383.0835,1349.5470,"hat"
2013-02-01,gestantes 31 a 50 años,1,3615.5938,1511.8605,"hat"
2013-02-01,gestantes < 18 años,1,5493.8690,2179.7631,"hat"
2013-02-01,lactantes 19 a 30 años,1,2630.4331,1036.8981,"hat"
2013-02-01,lactantes 31 a 50 años,1,2566.8087,1060.0137,"hat"
2013-02-01,lactantes < 18 años,1,3012.5497,1181.2080,"hat"
2013-02-01,1 a 3 años,0,1511.9472,1361.3618,"hat"
2013-02-01,14 a 18 años,0,2940.1295,1070.4096,"hat"
2013-02-01,19 a 30 años,0,2710.6365, 961.3785,"hat"
2013-02-01,31 a 50 años,0,2572.1698, 963.0372,"hat"
2013-02-01,4 a 8 años,0,2016.9098,1404.1392,"hat"
2013-02-01,51 a 70 años,0,2598.7243,1196.9284,"hat"
2013-02-01,9 a 13 años,0,2539.5757,1265.6066,"hat"
2013-02-01,>70 años,0,2424.6097,1196.9284,"hat"
2013-03-01,1 a 3 años,1,1408.1993,1381.7993,"hat"
2013-03-01,14 a 18 años,1,2668.6496,1263.0027,"hat"
2013-03-01,19 a 30 años,1,2163.3971,1064.7536,"hat"
2013-03-01,31 a 50 años,1,2121.1227,1106.7768,"hat"
2013-03-01,4 a 8 años,1,1900.8063,1443.7543,"hat"
2013-03-01,51 a 70 años,1,2362.9842,1357.1117,"hat"
2013-03-01,9 a 13 años,1,2498.4002,1379.4117,"hat"
2013-03-01,>70 años,1,2336.1911,1427.0494,"hat"
2013-03-01,gestantes 19 a 30 años,1,3421.9416,1365.0479,"hat"
2013-03-01,gestantes 31 a 50 años,1,3663.5060,1531.8950,"hat"
2013-03-01,gestantes < 18 años,1,5668.7392,2249.1452,"hat"
2013-03-01,lactantes 19 a 30 años,1,2642.1434,1041.5142,"hat"
2013-03-01,lactantes 31 a 50 años,1,2579.3740,1065.2028,"hat"
2013-03-01,lactantes < 18 años,1,3020.7652,1184.4293,"hat"
2013-03-01,1 a 3 años,0,1507.3483,1357.2209,"hat"
2013-03-01,14 a 18 años,0,2944.3972,1071.9634,"hat"
2013-03-01,19 a 30 años,0,2718.4558, 964.1518,"hat"
2013-03-01,31 a 50 años,0,2581.5151, 966.5362,"hat"
2013-03-01,4 a 8 años,0,2004.9237,1395.7947,"hat"
2013-03-01,51 a 70 años,0,2607.7902,1201.1040,"hat"
2013-03-01,9 a 13 años,0,2554.1858,1272.8876,"hat"
2013-03-01,>70 años,0,2433.0682,1201.1040,"hat"
2013-04-01,1 a 3 años,1,1416.7846,1390.2237,"hat"
2013-04-01,14 a 18 años,1,2680.4939,1268.6084,"hat"
2013-04-01,19 a 30 años,1,2160.9589,1063.5536,"hat"
2013-04-01,31 a 50 años,1,2106.8120,1099.3096,"hat"
2013-04-01,4 a 8 años,1,1915.3336,1454.7885,"hat"
2013-04-01,51 a 70 años,1,2372.9033,1362.8085,"hat"
2013-04-01,9 a 13 años,1,2517.0078,1389.6853,"hat"
2013-04-01,>70 años,1,2346.7422,1433.4945,"hat"
2013-04-01,gestantes 19 a 30 años,1,3439.0145,1371.8585,"hat"
2013-04-01,gestantes 31 a 50 años,1,3662.0937,1531.3044,"hat"
2013-04-01,gestantes < 18 años,1,5680.5189,2253.8189,"hat"
2013-04-01,lactantes 19 a 30 años,1,2652.4763,1045.5874,"hat"
2013-04-01,lactantes 31 a 50 años,1,2568.9134,1060.8828,"hat"
2013-04-01,lactantes < 18 años,1,3045.9715,1194.3126,"hat"
2013-04-01,1 a 3 años,0,1516.3497,1365.3258,"hat"
2013-04-01,14 a 18 años,0,2956.1200,1076.2313,"hat"
2013-04-01,19 a 30 años,0,2738.0910, 971.1157,"hat"
2013-04-01,31 a 50 años,0,2602.7299, 974.4791,"hat"
2013-04-01,4 a 8 años,0,2018.5561,1405.2853,"hat"
2013-04-01,51 a 70 años,0,2611.9438,1203.0171,"hat"
2013-04-01,9 a 13 años,0,2573.0353,1282.2813,"hat"
2013-04-01,>70 años,0,2436.9436,1203.0171,"hat"
2013-05-01,1 a 3 años,1,1419.0650,1392.4613,"hat"
2013-05-01,14 a 18 años,1,2740.3957,1296.9583,"hat"
2013-05-01,19 a 30 años,1,2240.6896,1102.7944,"hat"
2013-05-01,31 a 50 años,1,2192.6948,1144.1223,"hat"
2013-05-01,4 a 8 años,1,1915.2779,1454.7462,"hat"
2013-05-01,51 a 70 años,1,2436.4579,1399.3092,"hat"
2013-05-01,9 a 13 años,1,2548.2787,1406.9505,"hat"
2013-05-01,>70 años,1,2406.6655,1470.0983,"hat"
2013-05-01,gestantes 19 a 30 años,1,3433.8049,1369.7803,"hat"
2013-05-01,gestantes 31 a 50 años,1,3651.1422,1526.7250,"hat"
2013-05-01,gestantes < 18 años,1,5605.2113,2223.9396,"hat"
2013-05-01,lactantes 19 a 30 años,1,2675.0903,1054.5017,"hat"
2013-05-01,lactantes 31 a 50 años,1,2616.4918,1080.5313,"hat"
2013-05-01,lactantes < 18 años,1,3067.2617,1202.6604,"hat"
2013-05-01,1 a 3 años,0,1518.7943,1367.5269,"hat"
2013-05-01,14 a 18 años,0,3008.2778,1095.2203,"hat"
2013-05-01,19 a 30 años,0,2743.6890, 973.1012,"hat"
2013-05-01,31 a 50 años,0,2609.9425, 977.1796,"hat"
2013-05-01,4 a 8 años,0,2021.6521,1407.4407,"hat"
2013-05-01,51 a 70 años,0,2663.3848,1226.7099,"hat"
2013-05-01,9 a 13 años,0,2611.1100,1301.2560,"hat"
2013-05-01,>70 años,0,2484.9380,1226.7099,"hat"
2013-06-01,1 a 3 años,1,1414.3768,1387.8610,"hat"
2013-06-01,14 a 18 años,1,2720.9842,1287.7714,"hat"
2013-06-01,19 a 30 años,1,2236.4183,1100.6922,"hat"
2013-06-01,31 a 50 años,1,2197.3085,1146.5296,"hat"
2013-06-01,4 a 8 años,1,1908.0119,1449.2273,"hat"
2013-06-01,51 a 70 años,1,2433.7615,1397.7606,"hat"
2013-06-01,9 a 13 años,1,2535.8494,1400.0880,"hat"
2013-06-01,>70 años,1,2399.1528,1465.5092,"hat"
2013-06-01,gestantes 19 a 30 años,1,3420.4023,1364.4339,"hat"
2013-06-01,gestantes 31 a 50 años,1,3642.2903,1523.0236,"hat"
2013-06-01,gestantes < 18 años,1,5568.3637,2209.3198,"hat"
2013-06-01,lactantes 19 a 30 años,1,2656.8854,1047.3254,"hat"
2013-06-01,lactantes 31 a 50 años,1,2594.6641,1071.5171,"hat"
2013-06-01,lactantes < 18 años,1,3054.8991,1197.8131,"hat"
2013-06-01,1 a 3 años,0,1514.0846,1363.2863,"hat"
2013-06-01,14 a 18 años,0,2998.1117,1091.5191,"hat"
2013-06-01,19 a 30 años,0,2727.0463, 967.1985,"hat"
2013-06-01,31 a 50 años,0,2595.0394, 971.5998,"hat"
2013-06-01,4 a 8 años,0,2013.4374,1401.7218,"hat"
2013-06-01,51 a 70 años,0,2652.8274,1221.8474,"hat"
2013-06-01,9 a 13 años,0,2603.4712,1297.4492,"hat"
2013-06-01,>70 años,0,2475.0879,1221.8474,"hat"
2013-07-01,1 a 3 años,1,1413.2012,1386.7074,"hat"
2013-07-01,14 a 18 años,1,2732.3664,1293.1583,"hat"
2013-07-01,19 a 30 años,1,2255.4888,1110.0781,"hat"
2013-07-01,31 a 50 años,1,2212.8075,1154.6168,"hat"
2013-07-01,4 a 8 años,1,1910.6679,1451.2447,"hat"
2013-07-01,51 a 70 años,1,2444.6916,1404.0380,"hat"
2013-07-01,9 a 13 años,1,2550.3449,1408.0913,"hat"
2013-07-01,>70 años,1,2408.4129,1471.1657,"hat"
2013-07-01,gestantes 19 a 30 años,1,3430.4203,1368.4302,"hat"
2013-07-01,gestantes 31 a 50 años,1,3657.5699,1529.4128,"hat"
2013-07-01,gestantes < 18 años,1,5576.2911,2212.4652,"hat"
2013-07-01,lactantes 19 a 30 años,1,2683.5052,1057.8187,"hat"
2013-07-01,lactantes 31 a 50 años,1,2626.0984,1084.4985,"hat"
2013-07-01,lactantes < 18 años,1,3075.2851,1205.8063,"hat"
2013-07-01,1 a 3 años,0,1512.3547,1361.7287,"hat"
2013-07-01,14 a 18 años,0,3021.9219,1100.1877,"hat"
2013-07-01,19 a 30 años,0,2744.8232, 973.5035,"hat"
2013-07-01,31 a 50 años,0,2613.9836, 978.6926,"hat"
