"fecha","cona_cost.Demo_Group","cona_cost.Sex","cona_cost.cost_day","cona_cost.Cost_1000kcal","scenario"
2013-01-01,1 a 3 años,1,1426.712,1399.9650,"hat"
2013-01-01,14 a 18 años,1,2681.317,1268.9980,"hat"
2013-01-01,19 a 30 años,1,2165.569,1065.8227,"hat"
2013-01-01,31 a 50 años,1,2124.334,1108.4525,"hat"
2013-01-01,4 a 8 años,1,1928.621,1464.8806,"hat"
2013-01-01,51 a 70 años,1,2367.127,1359.4912,"hat"
2013-01-01,9 a 13 años,1,2515.788,1389.0119,"hat"
2013-01-01,>70 años,1,2338.832,1428.6627,"hat"
2013-01-01,gestantes 19 a 30 años,1,3389.118,1351.9543,"hat"
2013-01-01,gestantes 31 a 50 años,1,3621.181,1514.1967,"hat"
2013-01-01,gestantes < 18 años,1,5488.548,2177.6519,"hat"
2013-01-01,lactantes 19 a 30 años,1,2654.212,1046.2714,"hat"
2013-01-01,lactantes 31 a 50 años,1,2587.450,1068.5380,"hat"
2013-01-01,lactantes < 18 años,1,3041.025,1192.3730,"hat"
2013-01-01,1 a 3 años,0,1524.823,1372.9551,"hat"
2013-01-01,14 a 18 años,0,2970.262,1081.3801,"hat"
2013-01-01,19 a 30 años,0,2737.785, 971.0072,"hat"
2013-01-01,31 a 50 años,0,2600.201, 973.5325,"hat"
2013-01-01,4 a 8 años,0,2036.636,1417.8725,"hat"
2013-01-01,51 a 70 años,0,2622.770,1208.0033,"hat"
2013-01-01,9 a 13 años,0,2574.117,1282.8204,"hat"
2013-01-01,>70 años,0,2447.044,1208.0033,"hat"
2013-02-01,1 a 3 años,1,1414.099,1387.5880,"hat"
2013-02-01,14 a 18 años,1,2660.385,1259.0915,"hat"
2013-02-01,19 a 30 años,1,2144.235,1055.3228,"hat"
2013-02-01,31 a 50 años,1,2086.617,1088.7722,"hat"
2013-02-01,4 a 8 años,1,1909.082,1450.0400,"hat"
2013-02-01,51 a 70 años,1,2351.999,1350.8028,"hat"
2013-02-01,9 a 13 años,1,2481.235,1369.9343,"hat"
2013-02-01,>70 años,1,2324.869,1420.1336,"hat"
2013-02-01,gestantes 19 a 30 años,1,3383.083,1349.5470,"hat"
2013-02-01,gestantes 31 a 50 años,1,3615.594,1511.8605,"hat"
2013-02-01,gestantes < 18 años,1,5493.869,2179.7631,"hat"
2013-02-01,lactantes 19 a 30 años,1,2630.433,1036.8981,"hat"
2013-02-01,lactantes 31 a 50 años,1,2566.809,1060.0137,"hat"
2013-02-01,lactantes < 18 años,1,3012.550,1181.2080,"hat"
2013-02-01,1 a 3 años,0,1511.947,1361.3618,"hat"
2013-02-01,14 a 18 años,0,2940.130,1070.4096,"hat"
2013-02-01,19 a 30 años,0,2710.636, 961.3785,"hat"
2013-02-01,31 a 50 años,0,2572.170, 963.0372,"hat"
2013-02-01,4 a 8 años,0,2016.910,1404.1392,"hat"
2013-02-01,51 a 70 años,0,2598.724,1196.9284,"hat"
2013-02-01,9 a 13 años,0,2539.576,1265.6066,"hat"
2013-02-01,>70 años,0,2424.610,1196.9284,"hat"
2013-03-01,1 a 3 años,1,1408.199,1381.7993,"hat"
2013-03-01,14 a 18 años,1,2668.650,1263.0027,"hat"
2013-03-01,19 a 30 años,1,2163.397,1064.7536,"hat"
2013-03-01,31 a 50 años,1,2121.123,1106.7768,"hat"
