alimento_sipsa,n_test,RMSE,MAPE,method
Aguacate papelillo,19,356.25663255965793,11.280679810924685,M1 (Margins Q2)
Ahuyama,19,139.16053898721984,15.855001793468274,M1 (Margins Q2)
Arracacha amarilla,19,415.7672863160688,17.41506851534091,M1 (Margins Q2)
Arroz de primera,19,74.19999171891696,4.506897087883812,M1 (Margins Q2)
Arveja verde en vaina pastusa,19,1938.9103917995635,25.45746006067922,M1 (Margins Q2)
Arveja verde seca importada,19,41.00006933968036,2.291147405969096,M1 (Margins Q2)
Avena en hojuelas,19,136.86735857942568,1.9211825574891137,M1 (Margins Q2)
Avena molida,19,352.65829264154587,4.872461079497119,M1 (Margins Q2)
Azúcar morena,19,67.56266329144219,3.4856211421792245,M1 (Margins Q2)
Azúcar sulfitada,19,214.2406073735135,13.003071687825454,M1 (Margins Q2)
Banano criollo,19,109.52734631470476,10.502076527257726,M1 (Margins Q2)
Bocachico importado congelado,19,846.9506253704793,9.882517727544862,M1 (Margins Q2)
Café molido,19,184.53593537522025,2.1147669799052338,M1 (Margins Q2)
"Carne de cerdo, costilla",19,265.98550598954535,3.049751897340254,M1 (Margins Q2)
"Carne de cerdo, espinazo",19,400.52014676415354,5.86302859059225,M1 (Margins Q2)
"Carne de res, cadera",19,378.42092973372206,2.609742145623272,M1 (Margins Q2)
"Carne de res, costilla",19,89.78779778164846,1.98568925521506,M1 (Margins Q2)
"Carne de res, falda",19,492.1159311917593,3.684235604288357,M1 (Margins Q2)
"Carne de res, lomo de brazo",13,293.5121663664305,2.603357193310758,M1 (Margins Q2)
"Carne de res, lomo fino",13,1011.0405323647276,10.041746952469888,M1 (Margins Q2)
"Carne de res, pecho",19,883.2491387632567,9.474497320227114,M1 (Margins Q2)
"Carne de res, punta de anca",19,908.9745223051858,10.043216006612225,M1 (Margins Q2)
Cebolla cabezona blanca bogotana,19,296.9608772122946,17.519573533401093,M1 (Margins Q2)
Cebolla cabezona blanca pastusa,19,286.3086145724588,16.720170945682316,M1 (Margins Q2)
Cebolla cabezona roja importada,12,318.48578161855113,17.48274164103151,M1 (Margins Q2)
Curuba,19,207.59922334481817,9.770810521319854,M1 (Margins Q2)
Fríjol verde cargamanto,19,367.21682679739394,7.070952147817569,M1 (Margins Q2)
Habichuela,19,213.17810108064825,11.403597666861788,M1 (Margins Q2)
Harina de trigo,19,18.49733987301849,1.04307200262051,M1 (Margins Q2)
Harina precocida de maíz,19,211.2064249666276,12.099521316169684,M1 (Margins Q2)
Huevo blanco extra,12,138.29946556074017,4.41399271340812,M1 (Margins Q2)
Huevo rojo A,19,76.20712688108786,1.69836073754897,M1 (Margins Q2)
Huevo rojo AA,19,52.612043509651734,1.3373657209109269,M1 (Margins Q2)
Huevo rojo extra,15,55.89610918534437,1.4208921647383976,M1 (Margins Q2)
Leche en polvo,19,212.70111945540523,1.8580453652515911,M1 (Margins Q2)
Lechuga Batavia,19,116.30036222540876,9.910255990775612,M1 (Margins Q2)
Lenteja importada,19,178.77474873840254,6.45613207453232,M1 (Margins Q2)
Limón Tahití,19,302.3073002884015,22.93450202218624,M1 (Margins Q2)
Lomitos de atún en lata,19,1790.5345787800588,12.823373032992002,M1 (Margins Q2)
