alimento_sipsa,n_test,RMSE_Q1,RMSE_Q2,RMSE_Q3,MAPE_Q1,MAPE_Q2,MAPE_Q3
Aguacate papelillo,19,488.81523013154,356.25663255965793,511.9024968713391,15.198410972082918,11.280679810924683,20.192207745685177
Ahuyama,19,183.4733803273225,139.16053898721984,188.0703068058746,22.1848056097041,15.855001793468274,18.17229735814395
Arracacha amarilla,19,584.3035405713756,415.7672863160688,408.2447965918637,25.18034097536233,17.41506851534091,21.22155844301545
Arroz de primera,19,100.78768600526345,74.19999171891696,75.11440245195026,5.27916477348675,4.506897087883812,4.561136373877261
Arveja verde en vaina pastusa,19,2136.8009843870486,1938.9103917995637,2390.7502252070935,26.944101425140005,25.45746006067922,38.56949291003141
Arveja verde seca importada,19,98.51043249767433,41.00006933968036,50.555888435113204,7.149115238474916,2.291147405969096,3.614557692292512
Avena en hojuelas,19,171.4209738283103,136.86735857942568,141.23074266716822,2.315121723786156,1.9211825574891137,1.96336881630132
Avena molida,19,422.5403459960075,352.65829264154587,263.86425671349326,6.002705593346363,4.872461079497119,3.4947676289695453
Azúcar morena,19,160.79721327420688,67.56266329144219,46.014792678377006,9.978274906507757,3.4856211421792245,2.6371613784660433
Azúcar sulfitada,19,344.1418213498624,214.24060737351354,115.54517433400547,22.238788705762083,13.003071687825454,6.291312763471328
Banano criollo,19,126.46915905956801,109.52734631470477,113.5801501354039,13.385412731068305,10.502076527257726,10.109289923963878
Bocachico importado congelado,19,1324.0417160840705,846.9506253704793,358.47333797531746,16.315980971506182,9.882517727544862,4.071642118704666
Café molido,19,335.8791570535838,184.53593537522025,98.97315345448406,4.163567609648925,2.1147669799052338,1.0725790991365558
"Carne de cerdo, costilla",19,377.6342952617519,265.98550598954535,548.3731200461323,5.0479198832935595,3.0497518973402546,8.159585106099232
"Carne de cerdo, espinazo",19,385.34432923511207,400.52014676415354,730.3457343338259,4.752081153783693,5.86302859059225,10.813223227078995
"Carne de res, cadera",19,409.875821807833,378.42092973372206,535.8792304740862,2.9061881027210212,2.609742145623272,5.923386592302139
"Carne de res, costilla",19,435.16962591498975,89.78779778164846,83.76949995307037,12.864356745298974,1.9856892552150598,2.2081999615919967
"Carne de res, falda",19,755.7211661016781,492.1159311917593,418.28332083728134,7.561418302633848,3.6842356042883564,3.690304546691736
"Carne de res, lomo de brazo",13,378.5258855680938,293.5121663664305,883.8145325047943,3.372239880283976,2.603357193310758,11.793576104747846
"Carne de res, lomo fino",13,808.0040352810203,1011.0405323647276,1156.665396421299,9.37662173736403,10.041746952469888,11.813077842169447
"Carne de res, pecho",19,332.6400828724498,883.2491387632567,1801.549147063886,2.1616372996654163,9.474497320227114,20.327316330594858
"Carne de res, punta de anca",19,263.8951283860793,908.9745223051858,1265.6926479275912,1.649863711727622,10.043216006612223,14.252366852858502
Cebolla cabezona blanca bogotana,19,349.7240920500238,296.9608772122946,349.34050105944993,21.93139473861287,17.519573533401093,22.688604629047088
Cebolla cabezona blanca importada,9,113.33711154699702,148.46465839116973,466.13449544074837,7.587379346351478,10.718667322534058,40.45175292630262
Cebolla cabezona blanca pastusa,19,362.906828751827,286.3086145724588,407.6211992152776,22.81016626243452,16.720170945682316,27.890836344381675
Cebolla cabezona roja importada,12,542.5224569784303,318.48578161855113,276.2478735340161,32.21808273160891,17.48274164103151,17.415339915712387
Curuba,19,214.41995771486754,207.59922334481817,247.58598384332214,10.206353044715668,9.770810521319854,13.312590527107329
Fríjol verde cargamanto,19,613.9652382013046,367.21682679739394,683.5733972343269,11.606794750491543,7.070952147817569,13.882467385516758
Habichuela,19,269.16482052288796,213.17810108064825,277.1142403269077,13.419092787161693,11.403597666861787,17.43242789750115
Harina de trigo,19,27.193495339915206,18.49733987301849,29.126192539424416,1.4720355871458832,1.04307200262051,1.7243323294995654
Harina precocida de maíz,19,170.1592889963943,211.2064249666276,268.4347505720562,10.157018788191948,12.099521316169684,14.909444609430539
Huevo blanco extra,12,52.27183638862981,138.29946556074015,266.08775575365314,1.469844368652982,4.41399271340812,8.732750308096007
Huevo rojo A,19,107.56980534905948,76.20712688108786,185.55122790598145,2.7084483999306728,1.69836073754897,5.149724481289828
Huevo rojo AA,19,61.835004105614374,52.612043509651734,142.4498942012124,1.304238961434247,1.3373657209109269,4.113727905290847
Huevo rojo extra,15,76.49138364933933,55.89610918534437,64.11784074325801,1.8497778226942863,1.4208921647383976,1.7041492022915912
Leche en polvo,19,249.07921500404473,212.70111945540523,212.4618958250316,2.1699120749504366,1.8580453652515914,1.5379370705377107
Lechuga Batavia,19,155.3882140858241,116.30036222540876,149.41455552903602,13.362929535907536,9.910255990775612,13.898930814869878
Lenteja importada,19,206.15737853627957,178.77474873840254,229.78051359803288,5.894784454621929,6.45613207453232,8.614594509764721
Limón Tahití,19,334.0729384482424,302.3073002884015,421.6259447259587,22.10212105495471,22.93450202218624,33.475815769608054
Lomitos de atún en lata,19,2420.6155542910433,1790.5345787800588,799.960099874245,17.607047695003327,12.823373032992002,5.337420567126535
Lulo,19,268.0576034129997,181.099043926639,213.87309290084403,13.363704978782131,9.253462099325152,11.723599531511027
Mango común,12,804.5192730571857,695.5333812885506,715.2440284482275,27.64106529560207,27.196011541769295,40.38024505521325
Mango de azúcar,8,572.005531690629,409.4675980822276,461.4149468835211,28.67894253915908,17.74349007865237,31.87494455221067
Manzana roja importada,19,114.82874930052088,101.86560725666155,187.23034065697547,2.599236250157075,2.64752074428098,5.133972114440864
Manzana royal gala importada,19,230.08747716866043,197.05071027816143,232.29057551382496,5.480249813750042,4.727757299025933,5.984723829771623
Manzana verde importada,19,377.4529128041283,585.9449649208434,878.5826799254633,10.2931396864232,14.419747912609218,23.40886426638768
Maracuyá,19,369.54375918297364,253.14415985518113,240.66261030406233,18.827814500602525,12.727074980574276,10.99977452863461
Margarina,19,635.7565510039428,305.47101065133586,167.9166460945509,17.985358458419793,8.256863796427448,3.986395891914929
Mora de Castilla,19,474.1997277814726,333.23426058289925,241.42356755478468,17.197325420506452,12.50958942780724,9.175638102317807
Naranja Sweet,16,163.26848735241052,51.144300911347486,37.842208359761635,23.271640717846925,5.328580076068469,4.205298765424882
Naranja Valencia,16,272.4831651622683,215.40915513430508,192.0368104821152,27.040052706720925,21.528302832159106,18.89551205022862
Naranja común,10,199.07444252274877,173.16158416305254,134.65014795820443,26.36190221532001,21.849072062340007,17.804550370835447
Panela redonda morena,19,218.18921879694275,217.88341414235603,242.24867035079893,5.891285288121825,8.533770240054457,11.083399307993872
Papa Betina,16,167.10707299498452,181.43759243596634,348.7611563976278,15.34938614322293,24.546901467544608,47.45081553873345
Papa R-12 negra,9,45.93494473160127,41.319530949617665,189.11937900580867,5.598949004801083,4.947271441854392,24.661473206321393
Papa capira,19,134.44270749213476,133.9664470465092,211.26561312491214,13.172111686377782,18.45711355171027,30.44631437555823
Papa criolla limpia,19,276.9704001518904,300.90086313661396,448.3668450520643,19.77955754652945,20.05210410337412,30.419246602375143
Papa criolla sucia,19,299.04385855560304,309.97128777558214,433.6415964235396,20.82305699703817,19.97581055484863,28.30010024306172
Papa nevada,16,335.2923288286992,289.8489075064798,241.709592459443,22.511930279400993,22.363913481969984,26.948695871800275
Papa parda pastusa,19,154.09275790393616,149.34976244037878,227.46790683092527,16.780514110877238,20.914404551103434,30.182114203290244
Papa suprema,19,154.3638020126091,163.60160269900408,245.13408172678362,16.567472536393247,23.110051720798833,32.518236048549575
Papa única,19,166.7720107484665,239.08240759393405,352.67914685709167,19.928325738978906,33.63237702633427,45.93330608778467
Pastas alimenticias,19,579.0460139179254,518.8322839186699,372.74226844032813,19.11305470414221,16.817864277669788,11.716767602575642
