alimento_sipsa,n_test,RMSE,MAPE,COVER_80,COVER_95
Aguacate papelillo,19,409.146265634344,15.518147743955593,47.368421052631575,73.68421052631578
Ahuyama,19,265.7539897246774,31.03097372928307,73.68421052631578,89.47368421052632
Arracacha amarilla,19,355.0774970122315,21.701271378495854,100,100
Arroz de primera,19,81.4842283697975,4.512673735551348,100,100
Arveja verde en vaina pastusa,19,1740.803740284961,19.16357419465419,68.42105263157895,84.21052631578947
Arveja verde seca importada,19,59.477643827592594,4.0330611679126225,100,100
Avena en hojuelas,19,127.57786939404303,1.7504910909767586,84.21052631578947,94.73684210526315
Avena molida,19,357.51291448158855,4.89299987475859,15.789473684210526,21.052631578947366
Azúcar morena,19,173.48072599703693,10.760861271815045,89.47368421052632,100
Azúcar sulfitada,19,34.55266115763348,1.996187356599528,100,100
Banano criollo,19,177.553143774475,19.204472997229267,0,0
Bocachico importado congelado,19,3030.6846684143698,35.6137126568989,0,0
Café molido,19,146.95442459513092,1.5986479312127415,57.89473684210527,100
"Carne de cerdo, costilla",19,673.9593569210273,10.697142455558728,0,0
"Carne de cerdo, espinazo",19,762.8527360507389,12.058777307452484,0,0
"Carne de res, cadera",19,642.7138070504836,6.673649384385103,100,100
"Carne de res, costilla",19,2349.9451891796043,57.83097830913988,0,0
"Carne de res, falda",19,570.6181467138607,5.360692792394743,78.94736842105263,100
"Carne de res, lomo de brazo",13,677.7616457664136,6.971864091776897,0,23.076923076923077
"Carne de res, lomo fino",13,522.9841976301383,4.068651256040258,76.92307692307693,84.61538461538461
"Carne de res, pecho",19,644.5855949907054,6.691839677422038,100,100
"Carne de res, punta de anca",19,475.13739886937924,4.372964328015341,94.73684210526315,100
Cebolla cabezona blanca bogotana,19,408.5649993922193,41.89563161970305,78.94736842105263,78.94736842105263
Cebolla cabezona blanca pastusa,19,618.1243148752732,41.7117955383219,94.73684210526315,94.73684210526315
Cebolla cabezona roja importada,12,1051.4917160051864,56.990408900571495,100,100
Curuba,19,331.58421266374637,20.844158727557428,21.052631578947366,78.94736842105263
Fríjol verde cargamanto,19,723.0378751609229,14.727784471350198,100,100
Habichuela,19,365.9839781681042,21.534106830331993,73.68421052631578,100
Harina de trigo,19,60.739064186076995,3.837452765369293,21.052631578947366,57.89473684210527
Harina precocida de maíz,19,32.071330726090025,1.7284474453870762,94.73684210526315,100
Huevo blanco extra,12,51.9521381791474,1.4730368466927177,33.33333333333333,83.33333333333334
Huevo rojo A,19,129.15635280111303,3.659055125414551,5.263157894736842,68.42105263157895
Huevo rojo AA,19,117.18591091180218,3.318497365951524,21.052631578947366,68.42105263157895
Huevo rojo extra,15,53.64442728588969,1.40260476129567,93.33333333333333,100
Leche en polvo,19,216.00705381525484,1.8262711311968802,42.10526315789473,68.42105263157895
Lechuga Batavia,19,215.186235155888,22.527097334729156,78.94736842105263,89.47368421052632
Lenteja importada,19,1248.8033792599877,46.26434196243679,15.789473684210526,31.57894736842105
Limón Tahití,19,323.5408247697808,18.623150493201514,100,100
Lomitos de atún en lata,19,2544.770685033261,16.11432366164676,26.31578947368421,31.57894736842105
Lulo,19,169.83751804537127,8.789985267033593,94.73684210526315,100
Mango común,12,477.90623883774333,19.346553591400763,83.33333333333334,91.66666666666666
Manzana roja importada,19,395.9969052678175,11.230404657949963,73.68421052631578,100
Manzana royal gala importada,19,741.7283149276662,19.096659521562323,63.1578947368421,100
Manzana verde importada,19,472.2552373187887,11.503741552652313,84.21052631578947,100
Maracuyá,19,306.8056287664562,13.376351681960458,84.21052631578947,94.73684210526315
Margarina,19,93.43971036861531,2.177679681835007,100,100
Mora de Castilla,19,986.3253880772722,39.39656547257761,68.42105263157895,89.47368421052632
Naranja Sweet,16,70.92012575854805,7.77112782171671,100,100
Naranja Valencia,16,138.55623928398256,11.853925277075588,93.75,100
Panela redonda morena,19,470.150756107977,21.724246794831515,0,0
Papa Betina,16,439.9146211216651,58.36302189470145,56.25,87.5
Papa capira,19,271.6880174065732,43.067916884727225,68.42105263157895,100
Papa criolla limpia,19,293.9828420468891,21.31429171137018,78.94736842105263,94.73684210526315
Papa criolla sucia,19,281.7718193314078,20.10949335487431,84.21052631578947,100
Papa nevada,16,325.11385962912453,24.426079277280728,56.25,56.25
Papa parda pastusa,19,336.26090953295574,52.05202437902133,42.10526315789473,100
Papa suprema,19,320.59235065538513,50.40378469244702,57.89473684210527,100
Papa única,19,332.40305006854226,52.291977195354875,52.63157894736842,100
Pastas alimenticias,19,160.43850729406515,4.64956207044954,84.21052631578947,100
Pechuga de pollo,19,143.16826398316613,2.877116991825415,26.31578947368421,52.63157894736842
Piña gold,19,213.3293203522152,26.526475767255125,31.57894736842105,94.73684210526315
Piña manzana,19,70.43740700239186,8.77494686238388,73.68421052631578,94.73684210526315
Pollo entero congelado sin vísceras,19,191.8641390072882,3.466784601192327,73.68421052631578,100
Queso campesino,19,151.890687492118,1.4865360148553715,84.21052631578947,94.73684210526315
Repollo blanco,19,126.6479563857745,11.323165465226653,100,100
Sal yodada,19,24.64003270684397,4.1210104623713155,84.21052631578947,100
Tilapia roja entera congelada,19,933.5223861915769,5.770366302259084,73.68421052631578,100
Tomate de árbol,19,154.1358997587899,11.21421867787254,100,100
Tomate larga vida,19,202.10554451781798,16.504349281110134,73.68421052631578,94.73684210526315
Zanahoria,19,460.37586016795734,27.98664233943174,78.94736842105263,89.47368421052632
