cod_mun,alimento_sipsa,n_total,n_train,n_test,use_logs,L1,L2,gamma0,gamma1,sigma_eps
76001,Aguacate papelillo,63,44,19,TRUE,6,6,2.8798914131882833,0.6405171703009149,0.027435107529071818
76001,Ahuyama,63,44,19,TRUE,6,6,4.239795213213138,0.3782718713120774,0.024389883694704212
76001,Arracacha amarilla,63,44,19,TRUE,6,6,2.8558228078141474,0.6733532593972756,0.018602132323123792
76001,Arroz de primera,63,44,19,TRUE,6,6,1.194206663766051,0.8577663340967009,0.002826790506796755
76001,Arveja verde en vaina pastusa,63,44,19,TRUE,6,6,4.186512580907528,0.6113201033387272,0.062775519374073
76001,Arveja verde seca importada,63,44,19,TRUE,6,6,4.130795383918071,0.42140666026277074,0.003773423469221703
76001,Avena en hojuelas,63,44,19,TRUE,6,6,0.5034766553331318,1.002464774906194,0.0077248190313893295
76001,Avena molida,63,44,19,TRUE,6,6,-1.5461834954924074,1.262667351717476,0.0025897409039719148
76001,Azúcar morena,63,44,19,TRUE,6,6,1.4928978039960135,0.7916027470984692,0.009995197710098764
76001,Azúcar sulfitada,63,44,19,TRUE,6,6,2.5118029101375696,0.6577851643596301,0.0065671867607207035
76001,Banano criollo,63,44,19,TRUE,6,6,3.586173395378946,0.4815230868353207,0.012090838785249376
76001,Bocachico importado congelado,63,44,19,TRUE,6,6,-3.1049322356234175,1.4360688606438892,0.008632207226045992
76001,Café molido,63,44,19,TRUE,6,6,13.386951218501252,-0.5018936949165461,0.003428160487641822
76001,"Carne de cerdo, costilla",63,44,19,TRUE,6,6,8.196443956913612,0.043844844749121356,0.0027882853776395066
76001,"Carne de cerdo, espinazo",63,44,19,TRUE,6,6,11.002250269108663,-0.3075741362581746,0.004487789071273183
76001,"Carne de res, cadera",63,44,19,TRUE,6,6,3.427908836406429,0.6154969219952526,0.004144350265009871
76001,"Carne de res, costilla",63,44,19,TRUE,6,6,8.440552714006264,-0.07350269598634385,0.008116299343035
76001,"Carne de res, falda",63,44,19,TRUE,6,6,-1.3927708305606066,1.2548905794197125,0.004888219650014757
76001,"Carne de res, lomo de brazo",43,30,13,TRUE,6,6,5.688657705819511,0.35792267292014784,0
76001,"Carne de res, lomo fino",43,30,13,TRUE,6,6,3.696215621228039,0.57672977940701,0
76001,"Carne de res, pecho",63,44,19,TRUE,6,6,4.780862045124222,0.47291707066776895,0.006663952112317826
76001,"Carne de res, punta de anca",63,44,19,TRUE,6,6,4.411851224339215,0.49990224724872673,0.006408606457562954
76001,Cebolla cabezona blanca bogotana,63,44,19,TRUE,6,6,2.9754588199278458,0.6145406062188101,0.029921136186176006
