alimento_sipsa,lag,RMSE_test_dy,n_test
Aguacate papelillo,1,0.1343323038359094,7
Aguacate papelillo,2,0.1785570305110289,7
Aguacate papelillo,3,0.18000721764143007,7
Aguacate papelillo,5,0.19897830285297347,7
Aguacate papelillo,4,0.2331314630862801,7
Aguacate papelillo,6,0.2486424941004675,7
Ahuyama,5,0.11770597878021426,7
Ahuyama,1,0.12397619591443651,7
Ahuyama,4,0.1345584798451083,7
Ahuyama,3,0.15905394801603426,7
Ahuyama,6,0.17992812528353663,7
Ahuyama,2,0.18181451640048965,7
Arracacha amarilla,2,0.1048822861438065,7
Arracacha amarilla,4,0.11128326871819282,7
Arracacha amarilla,3,0.1232474089507043,7
Arracacha amarilla,1,0.12867745152026122,7
Arracacha amarilla,5,0.1334734501172173,7
Arracacha amarilla,6,0.16526184119332962,7
Arroz de primera,1,0.0229042004647434,7
Arroz de primera,2,0.023950476160512837,7
Arroz de primera,5,0.02451840317108059,7
Arroz de primera,4,0.02738657732003897,7
Arroz de primera,3,0.027559329728339924,7
Arroz de primera,6,0.1842100701118942,7
Arveja verde en vaina pastusa,2,0.14251089881858037,7
Arveja verde en vaina pastusa,4,0.17840209494893472,7
Arveja verde en vaina pastusa,3,0.20104638160561178,7
Arveja verde en vaina pastusa,1,0.23870685409850384,7
Arveja verde en vaina pastusa,5,0.32000820061914653,7
Arveja verde en vaina pastusa,6,0.43843291462238515,7
Arveja verde seca importada,2,0.016566589166942026,7
Arveja verde seca importada,1,0.01678267773083999,7
Arveja verde seca importada,6,0.017154503793734083,7
Arveja verde seca importada,5,0.017445353521710873,7
Arveja verde seca importada,3,0.018003307253341,7
Arveja verde seca importada,4,0.018117287595427457,7
Avena en hojuelas,2,0.03270371768839264,7
Avena en hojuelas,3,0.03320787482262712,7
Avena en hojuelas,1,0.04471718718233084,7
Avena en hojuelas,4,0.08662468432741613,7
Avena en hojuelas,5,0.25236877498929156,7
Avena en hojuelas,6,0.5716196784545429,7
Avena molida,4,0.019263849626523128,7
Avena molida,3,0.029706599309593424,7
Avena molida,2,0.05571260290944177,7
Avena molida,1,0.12167608618588208,7
Avena molida,5,0.33402827256552836,7
Avena molida,6,0.4939432723937091,7
Azúcar morena,4,0.009671216252037745,7
Azúcar morena,2,0.01068443242382482,7
Azúcar morena,1,0.011109315921666486,7
Azúcar morena,3,0.011133321914359128,7
Azúcar morena,5,0.013007688102942712,7
Azúcar morena,6,0.01371809609729094,7
Azúcar sulfitada,4,0.01579591470310865,7
Azúcar sulfitada,3,0.022011400368761203,7
Azúcar sulfitada,6,0.02304119038200506,7
Azúcar sulfitada,5,0.023129477093796043,7
Azúcar sulfitada,1,0.02836039705826241,7
Azúcar sulfitada,2,0.033303062112399605,7
Banano criollo,1,0.08742299528714864,7
Banano criollo,2,0.10582944587094459,7
Banano criollo,3,0.11582227748129358,7
Banano criollo,4,0.14815412922641186,7
Banano criollo,6,0.17821755835058758,7
Banano criollo,5,0.23385697604434946,7
Bocachico importado congelado,2,0.024455684777912722,7
Bocachico importado congelado,3,0.02623033421149656,7
Bocachico importado congelado,1,0.04069806728523711,7
Bocachico importado congelado,5,0.04400356106432853,7
Bocachico importado congelado,6,0.06415936909760946,7
Bocachico importado congelado,4,0.06869961448238161,7
Café molido,5,0.0036981797544705652,7
Café molido,4,0.007666479764377794,7
