alimento_sipsa,lag_optimo,RMSE_train_dy,MAPE_train_dy,RMSE_test_dy,MAPE_test_dy,n_total
Aguacate papelillo,1,0.14827132968388784,0.9028052593649284,0.1343323038359094,1.0039580415152114,63
Ahuyama,5,0.08655843732765087,1.893757114071437,0.11770597878021426,15.606605722138479,63
Arracacha amarilla,2,0.06604217857575988,4.482494599045246,0.1048822861438065,1.479907799054522,63
Arroz de primera,1,0.020915227221692017,3.625807561394882,0.0229042004647434,22.706191519360587,63
Arveja verde en vaina pastusa,2,0.16138237187369298,1.5998821965397343,0.14251089881858037,0.6217793994130238,63
Arveja verde seca importada,2,0.02430122384805204,3.656699384503227,0.016566589166942026,0.5870698191850819,63
Avena en hojuelas,2,0.1279302459149202,141.93026814308,0.03270371768839264,6.624774048526103,63
Avena molida,4,0.024699997833745574,3.9714393385011886,0.019263849626523128,16.435823393459692,63
Azúcar morena,4,0.014974666767984772,2.5001216623205136,0.009671216252037745,2.411358306388544,63
Azúcar sulfitada,4,0.018339349294634197,1.2347000688082452,0.01579591470310865,24.700225844579567,63
Banano criollo,1,0.04225159816659339,2.9103378127890855,0.08742299528714864,3.0395382041764956,63
Bocachico importado congelado,2,0.024222126122271405,1.0354667776265407,0.024455684777912722,3.595456506980231,63
Café molido,5,0.04921849426475089,10.513454441681406,0.0036981797544705652,0.8071717907248236,63
"Carne de cerdo, costilla",1,0.01531819535465666,2.695561955300011,0.020119702719271416,1.5227998057271304,63
"Carne de cerdo, espinazo",1,0.01870131014520099,3.969777416761605,0.026499006139427645,2.254401675062567,63
"Carne de res, cadera",6,0.013984225307245001,0.8301345279608295,0.011479870748237116,1.2398073672705772,63
"Carne de res, costilla",1,0.030330670781651844,1.9444508885303862,0.014489382730288434,0.5188861597076403,63
"Carne de res, falda",1,0.02182001172327246,1.6292352012052913,0.04503735836130275,12.631090145262256,63
"Carne de res, pecho",6,0.01758718495002751,0.6750004685996547,0.014886572283746029,1.9567221065126157,63
"Carne de res, punta de anca",6,0.014692820024588105,0.6898108604784754,0.008723444045024101,1.2333038117713913,63
Cebolla cabezona blanca bogotana,4,0.17442986626833779,1.2609959252753216,0.13145911369984736,1.763667547663979,63
Cebolla cabezona blanca pastusa,2,0.19862903047768077,1.7443845483836944,0.09007590161667597,0.6897619295364451,63
Curuba,1,0.054933145243483764,2.6158861734797676,0.05040364092005837,8.545835906943578,63
Fríjol verde cargamanto,6,0.13917562222462787,2.6952316550490556,0.24976966821310517,3.736954408037667,63
Habichuela,3,0.2684471227827059,1.3894457814496932,0.22376772549167093,0.9633842709851036,63
Harina de trigo,1,0.013105873038055639,1.202015641776335,0.01413875427154836,2.9300653163610098,63
Harina precocida de maíz,1,0.007998565342762047,2.1733358041755757,0.012639564789008665,2.3741708266890695,63
Huevo rojo A,1,0.024203074426495354,2.5295080533277123,0.034495072170354614,19.12524090657877,63
