alimento_sipsa,criterion,p,q,crit
Aguacate papelillo,BIC,1,0,-77.77818625846132
Aguacate papelillo,BIC,1,1,-74.65688317119191
Aguacate papelillo,BIC,1,5,-74.37121162912845
Aguacate papelillo,BIC,2,0,-71.18125458859242
Aguacate papelillo,BIC,1,4,-71.00675480015528
Ahuyama,BIC,2,2,-85.9441300447154
Ahuyama,BIC,4,1,-81.85686597711515
Ahuyama,BIC,2,1,-81.57756204582603
Ahuyama,BIC,3,2,-81.40045836003614
Ahuyama,BIC,2,3,-81.03156416944904
Arracacha amarilla,BIC,1,0,-70.49275521002508
Arracacha amarilla,BIC,2,0,-67.92543704264938
Arracacha amarilla,BIC,1,1,-67.26802757703723
Arracacha amarilla,BIC,2,1,-64.72391386192857
Arracacha amarilla,BIC,2,2,-63.44489481004129
Arroz de primera,BIC,1,1,-206.1603222355954
Arroz de primera,BIC,1,2,-198.13901538525033
Arroz de primera,BIC,2,1,-197.56022455731647
Arroz de primera,BIC,0,2,-196.10140399789893
Arroz de primera,BIC,2,2,-194.48831868314764
Arveja verde en vaina pastusa,BIC,0,3,-12.941901218409214
Arveja verde en vaina pastusa,BIC,4,5,-11.71639578858948
Arveja verde en vaina pastusa,BIC,1,3,-11.574494210597408
Arveja verde en vaina pastusa,BIC,0,5,-11.551799388731368
Arveja verde en vaina pastusa,BIC,3,5,-11.40212752051653
Arveja verde seca importada,BIC,1,6,-172.83163602954752
Arveja verde seca importada,BIC,6,0,-172.74018393697628
Arveja verde seca importada,BIC,1,5,-172.70134660409715
Arveja verde seca importada,BIC,6,5,-172.17996268397653
Arveja verde seca importada,BIC,6,4,-171.7573634751928
Avena en hojuelas,BIC,0,0,-197.63617569036117
Avena en hojuelas,BIC,0,1,-197.07747542187005
Avena en hojuelas,BIC,1,1,-195.51192376699356
Avena en hojuelas,BIC,1,0,-194.15536458407996
Avena en hojuelas,BIC,0,2,-190.1953280138347
Avena molida,BIC,0,0,-240.5243465601091
Avena molida,BIC,0,1,-236.03138988342639
Avena molida,BIC,1,1,-232.34377193834467
Avena molida,BIC,1,0,-230.0329788671917
Avena molida,BIC,0,2,-225.56905460685553
Azúcar morena,BIC,1,0,-181.95781500254748
Azúcar morena,BIC,1,1,-179.11250595864098
Azúcar morena,BIC,0,0,-173.61913361963772
Azúcar morena,BIC,2,0,-172.01152706837186
Azúcar morena,BIC,0,1,-171.9925069031727
Azúcar sulfitada,BIC,1,0,-168.08913321264785
Azúcar sulfitada,BIC,0,0,-167.52662059691144
Azúcar sulfitada,BIC,1,1,-165.5185984641782
Azúcar sulfitada,BIC,0,1,-162.31230568098528
Azúcar sulfitada,BIC,1,2,-159.78803744056196
Banano criollo,BIC,0,0,-167.02627120308202
Banano criollo,BIC,0,1,-160.08662583124132
Banano criollo,BIC,1,0,-159.65886657638427
Banano criollo,BIC,3,1,-159.33378059253897
Banano criollo,BIC,3,0,-159.18401391172318
Bocachico importado congelado,BIC,1,0,-186.5869438777298
Bocachico importado congelado,BIC,0,0,-186.39356624142812
Bocachico importado congelado,BIC,1,1,-183.0274840701077
Bocachico importado congelado,BIC,2,0,-181.19885105079928
Bocachico importado congelado,BIC,0,1,-179.6246824394878
Café molido,BIC,0,1,-271.0082868785038
Café molido,BIC,1,0,-270.94065527499987
Café molido,BIC,1,1,-267.47083092062314
Café molido,BIC,2,0,-259.64794042703903
Café molido,BIC,0,2,-259.27182395714027
"Carne de cerdo, costilla",BIC,0,0,-225.3461934871304
"Carne de cerdo, costilla",BIC,0,1,-216.7501776297274
"Carne de cerdo, costilla",BIC,1,0,-215.4345874655247
"Carne de cerdo, costilla",BIC,1,1,-213.0148886162052
"Carne de cerdo, costilla",BIC,0,2,-207.70656578996713
"Carne de cerdo, espinazo",BIC,0,0,-222.69787068951644
"Carne de cerdo, espinazo",BIC,0,1,-213.74697513222813
"Carne de cerdo, espinazo",BIC,1,0,-212.95482544258218
"Carne de cerdo, espinazo",BIC,1,1,-210.5668978551917
"Carne de cerdo, espinazo",BIC,2,0,-205.60568327446245
"Carne de res, cadera",BIC,1,0,-203.14174377471292
"Carne de res, cadera",BIC,0,0,-202.5143721140983
"Carne de res, cadera",BIC,1,1,-201.40539307631218
"Carne de res, cadera",BIC,0,1,-200.5905090519756
"Carne de res, cadera",BIC,2,0,-193.62576101209234
"Carne de res, costilla",BIC,0,0,-171.82653485832157
"Carne de res, costilla",BIC,1,0,-164.310090353561
"Carne de res, costilla",BIC,0,1,-163.1422127947789
"Carne de res, costilla",BIC,1,1,-161.33016140210432
"Carne de res, costilla",BIC,2,0,-155.5982519086722
"Carne de res, falda",BIC,1,0,-203.39508169888146
"Carne de res, falda",BIC,0,0,-202.78211201278464
"Carne de res, falda",BIC,1,1,-200.66733006387534
"Carne de res, falda",BIC,0,1,-199.4436265306671
"Carne de res, falda",BIC,2,0,-193.7148112073876
"Carne de res, lomo de brazo",BIC,6,3,-Inf
"Carne de res, lomo de brazo",BIC,6,4,-Inf
"Carne de res, lomo de brazo",BIC,5,5,-Inf
"Carne de res, lomo de brazo",BIC,6,5,-Inf
"Carne de res, lomo de brazo",BIC,3,6,-Inf
"Carne de res, lomo fino",BIC,6,3,-Inf
"Carne de res, lomo fino",BIC,6,4,-Inf
"Carne de res, lomo fino",BIC,5,5,-Inf
"Carne de res, lomo fino",BIC,6,5,-Inf
"Carne de res, lomo fino",BIC,3,6,-Inf
"Carne de res, pecho",BIC,1,0,-202.0264892133002
"Carne de res, pecho",BIC,0,0,-201.0867735738015
"Carne de res, pecho",BIC,1,1,-200.3408253247988
"Carne de res, pecho",BIC,0,1,-199.38404246397633
"Carne de res, pecho",BIC,2,0,-192.49544777754065
"Carne de res, punta de anca",BIC,0,0,-207.90598328016023
"Carne de res, punta de anca",BIC,1,0,-207.54567748034455
"Carne de res, punta de anca",BIC,1,1,-203.8081269534469
"Carne de res, punta de anca",BIC,0,1,-200.880738794074
"Carne de res, punta de anca",BIC,2,0,-197.6834095745385
Cebolla cabezona blanca bogotana,BIC,4,0,-17.71457802118418
Cebolla cabezona blanca bogotana,BIC,5,0,-17.688663739054064
Cebolla cabezona blanca bogotana,BIC,2,4,-17.573769805754438
Cebolla cabezona blanca bogotana,BIC,0,5,-17.112442308211243
Cebolla cabezona blanca bogotana,BIC,4,4,-16.322184825612737
Cebolla cabezona blanca pastusa,BIC,4,4,-8.57647645238194
Cebolla cabezona blanca pastusa,BIC,2,4,-8.472284011762738
Cebolla cabezona blanca pastusa,BIC,4,0,-7.589962838867805
Cebolla cabezona blanca pastusa,BIC,4,1,-5.312669338284024
Cebolla cabezona blanca pastusa,BIC,3,0,-5.286441042048125
Cebolla cabezona roja importada,BIC,6,0,-Inf
Cebolla cabezona roja importada,BIC,6,1,-Inf
Cebolla cabezona roja importada,BIC,5,2,-Inf
Cebolla cabezona roja importada,BIC,6,2,-Inf
Cebolla cabezona roja importada,BIC,5,3,-Inf
Curuba,BIC,0,0,-123.18757310411294
Curuba,BIC,1,0,-115.77267881973859
Curuba,BIC,0,1,-115.515993286402
Curuba,BIC,2,0,-112.77924844214286
Curuba,BIC,1,1,-112.56224921493467
Fríjol verde cargamanto,BIC,0,0,-60.27028895592815
Fríjol verde cargamanto,BIC,0,1,-57.26057054214913
Fríjol verde cargamanto,BIC,4,5,-55.81296125431598
Fríjol verde cargamanto,BIC,1,4,-55.02330618140675
Fríjol verde cargamanto,BIC,0,2,-54.966533168636964
Habichuela,BIC,4,4,3.6771290780464625
Habichuela,BIC,4,6,4.110037394775404
Habichuela,BIC,6,5,4.472774848494026
Habichuela,BIC,5,6,4.579348117690287
