alimento_sipsa,n_train_ecm,beta_dlog,beta_se,gamma_ect,gamma_se
Aguacate papelillo,43,0.2763869104402946,0.21909091157151392,-0.4752040314708642,0.1481749524523158
Ahuyama,43,0.028025406475651608,0.13280833420427696,-0.17951285141623002,0.07974116746088175
Arracacha amarilla,43,0.06029085732469893,0.10253759007748992,-0.0909948996390841,0.048174806728316054
Arroz de primera,43,0.34735230687747554,0.12417827763440016,-0.6252338378047145,0.0912327575923257
Arveja verde en vaina pastusa,43,-0.5095634817165098,0.37703405437116844,-0.662106780270275,0.15593692220262553
Arveja verde seca importada,43,0.06806419563089955,0.19751878907339931,-0.17221612436730152,0.0741675549577331
Avena en hojuelas,43,0.45668936722935216,0.3655952993773798,-0.15535716834009697,0.11434947687084626
Avena molida,43,-0.10995087713959337,0.3345149919838391,-0.19084353374134871,0.1181560349998194
Azúcar morena,43,0.17068049910717248,0.14293244263950955,-0.1672886849068082,0.07687571002453895
Azúcar sulfitada,43,-0.08806833058984154,0.2155498436486049,-0.1395189962848289,0.06490283254037689
Banano criollo,43,0.18860402361654247,0.1346282772387648,-0.20687297121670264,0.11535607328262323
Bocachico importado congelado,43,0.22903305719821548,0.17003943912888184,0.014980831200641177,0.09998548358477775
Café molido,43,-0.22890297667054324,0.5539884794365653,-0.21134048612870424,0.12260596045218328
"Carne de cerdo, costilla",43,0.054953259903253185,0.07604458648267645,-0.07463620851349836,0.04496168085080466
"Carne de cerdo, espinazo",43,-0.00377681225580335,0.0748734531129366,-0.08564501475240163,0.0796196115876194
"Carne de res, cadera",43,0.1274035112876059,0.08106974988843887,-0.07920942175772759,0.05994508726260888
"Carne de res, costilla",43,-0.10655431048522178,0.05404099170855672,0.12707980391870155,0.04601043652714706
"Carne de res, falda",43,0.24573413782177778,0.14453132190626491,-0.10563373981429258,0.0724087110853374
"Carne de res, lomo de brazo",29,-0.014996927572344252,0.0843800741129777,-0.36759056038885163,0.1292128001880728
"Carne de res, lomo fino",29,0.04515488586432963,0.1488001850613598,-0.24329771610336193,0.11309355593161195
"Carne de res, pecho",43,0.08971554783283951,0.060883767975429166,-0.04927702850020302,0.051711590519827606
"Carne de res, punta de anca",43,0.09028248352506518,0.06470975402377074,-0.2303989581463935,0.0874537517738914
Cebolla cabezona blanca bogotana,43,0.08314446812343251,0.1588861451265989,-0.28122763486896274,0.08784874262079308
Cebolla cabezona blanca pastusa,43,-0.005134729405238663,0.11964233865902153,-0.1447675796055712,0.06988971568748152
Cebolla cabezona roja importada,26,0.7860692185949717,0.48330208636343763,0.0016265625337937093,0.1367553147733544
Curuba,43,-0.031842553250023664,0.10056599548557205,0.03963378613939558,0.06820682203742313
Fríjol verde cargamanto,43,0.15065877663949176,0.19360891457205223,-0.20702492877463227,0.09433411496072601
