alimento_sipsa,p_star,q_star,n_train_ecm,beta0_dlog,beta0_se,gamma_ect,gamma_se
Aguacate papelillo,1,0,43,0.5035883219004648,0.18631633249103838,-0.6433847116775834,0.12639671155466703
Ahuyama,2,2,43,-0.24455858002008032,0.10649492147581095,-0.18860770542276614,0.08027265005601096
Arracacha amarilla,1,0,43,0.06510274008992041,0.08904711514488009,-0.08648960387505465,0.041844253305935025
Arroz de primera,1,1,43,0.42865858000897106,0.07280011156832816,-0.2028134815982522,0.08897876899960445
Arveja verde en vaina pastusa,0,3,43,0.18351961089963334,0.4045238818824441,-0.14990821693693063,0.2313810724261116
Arveja verde seca importada,1,6,43,-0.05966972746670289,0.08511096658854186,-0.10296222161531247,0.04494049936198303
Avena en hojuelas,0,0,43,0.456689367229352,0.3655952993773799,-0.15535716834009694,0.11434947687084626
Avena molida,0,0,43,-0.1099508771395933,0.3345149919838393,-0.19084353374134874,0.11815603499981946
Azúcar morena,1,0,43,0.12469305415775288,0.12010849110374215,-0.13505836755543751,0.06539414506649119
Azúcar sulfitada,1,0,43,-0.06670787279278308,0.19845495179257586,-0.1051650574506804,0.06193061104329344
Banano criollo,0,0,43,0.1886040236165426,0.1346282772387648,-0.20687297121670264,0.11535607328262322
Bocachico importado congelado,1,0,43,0.1369884646978556,0.16272190080074947,-0.044038254090434006,0.09468381370263275
Café molido,0,1,43,-0.1147555054061251,0.42888051973854674,-0.21783603262596715,0.08238267119394949
"Carne de cerdo, costilla",0,0,43,0.05495325990325325,0.07604458648267642,-0.07463620851349839,0.044961680850804646
"Carne de cerdo, espinazo",0,0,43,-0.0037768122558033287,0.07487345311293658,-0.08564501475240162,0.07961961158761939
"Carne de res, cadera",1,0,43,0.0973129441758546,0.07482504993494062,-0.08077415899473452,0.054490602061576805
"Carne de res, costilla",0,0,43,-0.1065543104852218,0.05404099170855671,0.1270798039187016,0.046010436527147064
"Carne de res, falda",1,0,43,0.18957939105837635,0.13321957672090495,-0.10602387820009161,0.06582393892432847
"Carne de res, lomo de brazo",6,3,29,0.6248435414166197,NA,-2.1910420752280997,NA
"Carne de res, lomo fino",6,3,29,1.3805340758067322,NA,-2.1719973950002154,NA
"Carne de res, pecho",1,0,43,0.06985506439003422,0.055901701368919504,-0.057781833882984475,0.04695000554462349
"Carne de res, punta de anca",0,0,43,0.09028248352506518,0.06470975402377073,-0.23039895814639344,0.0874537517738914
Cebolla cabezona blanca bogotana,4,0,43,0.0849811131828522,0.13817659237301755,-0.2827819629931366,0.07862943877666198
Cebolla cabezona blanca pastusa,4,4,43,-0.05038879005868134,0.0964402943769734,-0.3203901194150857,0.08948788694298998
Cebolla cabezona roja importada,6,0,26,-0.7208644725282228,NA,-1.4215937835735566,NA
Curuba,0,0,43,-0.03184255325002333,0.10056599548557199,0.039633786139395534,0.06820682203742312
Fríjol verde cargamanto,0,0,43,0.15065877663949165,0.19360891457205223,-0.20702492877463222,0.09433411496072604
Habichuela,4,4,43,1.6610575108187007,0.3618126537582958,-0.42586262948893877,0.1820570416389564
Harina de trigo,0,0,43,-0.36192772647993365,0.2221586154264692,-0.4035519350057497,0.08779756991632139
Harina precocida de maíz,1,0,43,-0.014368539491235087,0.14527857850461337,-0.06655617930246292,0.04593197236268697
Huevo blanco extra,6,1,27,1.9155070921548953,NA,-0.18736763220232713,NA
Huevo rojo A,0,0,43,0.25800602378225,0.09060594859875143,-0.203106831515325,0.10623897062987304
Huevo rojo AA,0,0,43,0.2235948856020056,0.08238690943163283,-0.2799585639660425,0.1003341904462021
Huevo rojo extra,6,6,34,-0.7198356117306163,0.1755314489794337,-0.6126634233606013,0.07707413483343506
Leche en polvo,0,0,43,0.6491299820007418,0.2773782571302322,-0.17681101705951727,0.1251849107618113
Lechuga Batavia,4,3,43,0.7917851770678476,0.24131390974852454,0.06871687559656481,0.13235251584774532
Lenteja importada,1,0,43,0.5962289400589429,0.11767020863348167,-0.11321981928134463,0.07261400933922572
Limón Tahití,0,0,43,-0.052312739705344856,0.3222435127322839,-0.33892269310326467,0.1382310673519112
Lomitos de atún en lata,0,0,43,-0.26403054361663925,0.2769798844372178,-0.2717822936812771,0.08919455298561452
Lulo,0,0,43,-0.17512565783302397,0.36862796844366147,-0.4910648583756287,0.10951022008560408
Mango común,6,0,26,0.5706170293753133,NA,-0.10800324375553981,NA
Manzana roja importada,1,0,43,-0.12164505260596985,0.23913379724900027,-0.20170768667565114,0.07708935775790343
Manzana royal gala importada,0,0,43,-0.08204466091779267,0.25605286092778484,-0.17057996437479078,0.07562895473285952
Manzana verde importada,1,0,43,-0.04035314746053102,0.1639109199031806,-0.09455761077099023,0.06393258827679858
Maracuyá,3,4,43,-0.3899824647488866,0.37936145778574987,-0.8089604445555246,0.2554164503523931
Margarina,1,0,43,-0.28070234678637357,0.3441088504333245,-0.028084787548604422,0.03478325493334669
Mora de Castilla,0,2,43,-0.4903760662852527,0.4839715739117909,-0.38407733426746826,0.17625595588885004
Naranja Sweet,5,6,34,2.215758921404181,0.8354587983210477,0.24995356811335342,0.1586833377930147
Naranja Valencia,2,0,34,0.04717728281782823,0.17578121941808134,-0.2849372518802185,0.1244240201181392
Panela redonda morena,0,0,43,0.044434642989380484,0.05598150532898248,-0.2352970684885073,0.11196976996929738
Papa Betina,6,6,34,0.7221015058260214,0.4982368338311872,-0.5173871613128306,0.20369583841556152
Papa capira,0,0,43,-0.06418802883836586,0.235222078819069,-0.3551526011877649,0.10458990105213224
Papa criolla limpia,5,0,43,0.10100976509939716,0.29369570386091454,-0.33078672663693887,0.10324023830968498
Papa criolla sucia,5,0,43,-0.006305081554273772,0.24825252217453436,-0.34832213968855436,0.10147495317902376
Papa nevada,0,0,34,0.07964058113342024,0.309204621416649,-0.33499717843951354,0.11643447294021082
Papa parda pastusa,0,0,43,0.08222935283833675,0.22709964398231017,-0.34347976298446226,0.11122648385769958
Papa suprema,0,0,43,0.03093389266660485,0.21806593410513023,-0.303517272500831,0.10256634295740497
Papa única,0,0,43,-0.01430004336040768,0.19826019106006784,-0.32312018845474083,0.10519755162647325
Pastas alimenticias,0,1,43,-0.5927852793130746,0.31812847690897417,-0.12630712640824557,0.06908291895168722
Pechuga de pollo,0,0,43,0.2993808566115692,0.19744182481753433,-0.33731059767813215,0.15046465738661363
Piña gold,0,0,43,0.5980938178991754,0.2924549229977982,-0.0479020283396947,0.08151627528002554
Piña manzana,0,0,43,0.5674113641796359,0.4397525000955108,-0.20619658380403205,0.11601958866832497
Pollo entero congelado sin vísceras,0,0,43,-0.04572763545151244,0.14914447867246775,0.12416044357910282,0.08878539839895622
Queso campesino,0,0,43,0.045353570151347535,0.09618021965644884,-0.03684563445535037,0.05837011220481401
Repollo blanco,0,2,43,-0.0663767271326606,0.11102374599925115,0.009484612660598104,0.11302404630788324
Sal yodada,0,0,43,0.20798173447861176,0.29125785098691437,0.026237990874174336,0.04230212858472019
Tilapia roja entera congelada,0,0,43,0.16458982966373104,0.09502826577059863,-0.0540656765985663,0.08725980158538726
Tomate de árbol,0,0,43,0.25699238751627435,0.4017241849503152,-0.4156970722795636,0.12949662807604728
Tomate larga vida,0,1,43,0.0427722782036718,0.5635936948779606,-0.3477239178655159,0.16051860272233398
Zanahoria,0,0,43,-0.07399739385217544,0.1802923305117942,-0.20223574285462556,0.10666413102785491
