alimento_sipsa,margen_exp,margen_lo,margen_hi
Aguacate papelillo,1.836753098235172,1.2596820505379978,2.6781852948016893
Ahuyama,1.4861811480222384,1.2117494856038922,1.8227648791911348
Arracacha amarilla,1.973232574601503,1.6796910423863585,2.3180732022817256
Arroz de primera,2.3157336694893265,2.1252075895115308,2.523340521873007
Arveja verde en vaina pastusa,1.8921004065711262,1.4797216011507646,2.419403721458454
Arveja verde seca importada,1.4348947195111965,1.0009104735817935,2.057049966430251
Avena en hojuelas,2.7189123301093674,2.2410069994370856,3.298733230497564
Avena molida,3.543895665976128,3.1159082048926963,4.030669604323883
Azúcar morena,2.214805666480323,2.059762580769889,2.3815192032665444
Azúcar sulfitada,1.9315260689917813,1.7622142065495334,2.117105253906586
Banano criollo,1.6171218026068381,1.5371279521839227,1.7012786220892857
Bocachico importado congelado,4.479641634526213,4.084143370716974,4.913438964376483
Café molido,0.6051968710388296,0.4287400083191482,0.8542782236514497
"Carne de cerdo, costilla",1.069000977403185,0.8641072446199588,1.3224783113484495
"Carne de cerdo, espinazo",0.7303518553244255,0.6716137307669041,0.7942271102270861
"Carne de res, cadera",1.8780966560647003,1.6854867568732197,2.092717154339958
"Carne de res, costilla",0.9286028632057878,0.8073314529639378,1.0680907753416917
"Carne de res, falda",4.004052888445265,3.2946776788182963,4.866163277986341
"Carne de res, lomo de brazo",1.4314467527045485,1.3565702017721817,1.510456151219888
"Carne de res, lomo fino",1.8936346598206453,1.67691394717699,2.1383638861795347
"Carne de res, pecho",1.6334635527474486,1.4715208854837152,1.813228207955221
"Carne de res, punta de anca",1.6690798190280198,1.580643165195165,1.762464485108906
Cebolla cabezona blanca bogotana,2.1226868048882563,1.5964546896262692,2.822378424470991
Cebolla cabezona blanca importada,0.8321374659443515,0.5227719446149568,1.3245790432352043
Cebolla cabezona blanca pastusa,1.5161287950009237,1.067508189099862,2.153282332165718
Cebolla cabezona roja importada,1.0656144699423435,0.5036987609297721,2.2543914867974495
Curuba,1.4298345477549061,1.0126627546209401,2.0188624738338943
Fríjol verde cargamanto,1.7231257060284653,1.445468345161079,2.0541177596284355
Habichuela,2.5120712378972057,1.7271497368527788,3.6537086331434283
Harina de trigo,2.0597682819974703,1.883220764161788,2.252866714440242
Harina precocida de maíz,1.3648578833184979,1.0167751942220558,1.8321031553901395
Huevo blanco extra,1.7992219758834442,1.663160460212502,1.9464145498554652
Huevo rojo A,1.6764039178668069,1.597618365858982,1.7590747301707228
Huevo rojo AA,1.7238759130617398,1.6390771449598747,1.8130618029618102
Huevo rojo extra,2.2119715921570395,1.9118282578119978,2.5592352788578197
Leche en polvo,2.655539837826091,2.419545047346455,2.9145528156275984
Lechuga Batavia,1.2618057504858955,0.6923234979728476,2.2997251380621444
Lenteja importada,2.6019753698467567,2.4600190121739542,2.752123374569441
Limón Tahití,1.5480287802750732,1.1749810503082119,2.0395163853334726
Lomitos de atún en lata,4.2037197943243285,3.81612833847929,4.630677624494174
Lulo,3.959511535766525,2.79344779032739,5.612323114165225
Mango común,2.464804133752986,0.9370859402957218,6.483140079818722
Mango de azúcar,1.7517286092514484,1.071693507312578,2.8632749004562332
Manzana roja importada,2.4844856406953593,2.1580862491480457,2.8602512532843547
Manzana royal gala importada,2.3105301565662666,2.000096382971511,2.669146172081337
Manzana verde importada,2.1603809762144888,1.8347082379620392,2.5438627602030937
Maracuyá,2.4872093030853595,1.7815761999694055,3.472324179824918
Margarina,6.024802104323605,2.453697058374498,14.793285207061645
Mora de Castilla,2.98873613187912,1.975502802425979,4.521655780508295
Naranja común,1.8516535659381257,1.4098295161635985,2.431940095552316
Naranja Sweet,0.7633173824149734,0.36133565923031546,1.6124991027399904
Naranja Valencia,1.7476843621000546,1.4848871897392095,2.0569917032320273
Panela redonda morena,1.2975425521940946,1.2367946846648028,1.3612741836860822
Papa Betina,1.4104953985762667,0.8660375729424068,2.297241287863993
Papa capira,2.236852255151077,1.6555977292918254,3.0221761741088446
Papa criolla limpia,2.2125041168600146,1.5679968777082753,3.1219287083512013
Papa criolla sucia,1.9447356655045653,1.4250353321467824,2.6539670444437293
Papa nevada,3.162446699370229,1.6842048702559578,5.938154735793952
Papa parda pastusa,2.2892891551771917,1.7140655964068918,3.0575520837697314
Papa R-12 negra,1.5621554479788724,0.5015761913756436,4.865321930367394
Papa suprema,2.1632212761038696,1.5736944749325226,2.9735926280030336
Papa única,1.9147278962853231,1.4888538335324455,2.4624196373359606
Pastas alimenticias,6.243018799887076,4.70147769054944,8.290007163936709
Pechuga de pollo,1.8373599587397251,1.7290446830915582,1.9524605991927857
Piña gold,3.184906078447563,2.147029179330396,4.7244941178190105
Piña manzana,2.9354438455656164,2.4427083011986097,3.527572476108126
Pollo entero congelado sin vísceras,2.2310846985748776,2.0267842661638036,2.4559786728740347
Queso campesino,2.2496996346298253,1.9425142325737126,2.605462735450775
Repollo blanco,1.2435666521959245,0.9394207341421595,1.6461825487234336
Sal yodada,9.009628772921976,5.024073748938475,16.156890738917696
Tilapia roja entera congelada,2.0943662722805243,1.9832071894844858,2.211755839593548
Tomate de árbol,2.046129860774497,1.1796983367573877,3.548913545695769
Tomate larga vida,2.122239933812981,1.3742150506477888,3.277436333234336
Zanahoria,1.1074335036291054,0.8365350772400133,1.4660580271260548
