alimento_sipsa,RMSE_level,MAPE_level,n_total,n_test
Aguacate papelillo,250.44120031689715,7.7597184504355985,63,19
Ahuyama,179.24132442089328,17.767871596782346,63,19
Arracacha amarilla,513.4586838091116,17.415263796493047,63,19
Arroz de primera,76.96181768894628,4.5186392058765446,63,19
Arveja verde en vaina pastusa,1683.6726719458388,20.074117196137532,63,19
Arveja verde seca importada,60.738742196032995,3.7968466099829783,63,19
Avena en hojuelas,154.59139266007563,2.05187280558326,63,19
Avena molida,273.2193656025936,3.5830745501713412,63,19
Azúcar morena,196.76490284631234,12.267411809404804,63,19
Azúcar sulfitada,342.78808627936695,22.319930873448264,63,19
Banano criollo,179.63775447324284,19.69387320905251,63,19
Bocachico importado congelado,634.7189680926122,7.4508639859647605,63,19
Café molido,210.16574064398728,2.0131600433235874,63,19
"Carne de cerdo, costilla",789.5141637469084,12.572557483737556,63,19
"Carne de cerdo, espinazo",1109.5768218935295,17.750628829036494,63,19
"Carne de res, cadera",911.3507407952605,9.443970694557198,63,19
"Carne de res, costilla",844.8474216251881,25.148419583034272,63,19
"Carne de res, falda",690.17025035065,6.711556089800023,63,19
"Carne de res, lomo de brazo",666.4176340061874,6.7938172246756565,43,13
"Carne de res, lomo fino",289.87689536064534,3.0374714493142423,43,13
"Carne de res, pecho",751.1799207276987,7.8052002722504925,63,19
"Carne de res, punta de anca",781.1697546354826,8.158520706827979,63,19
Cebolla cabezona blanca bogotana,365.9083591607569,20.584201975986804,63,19
Cebolla cabezona blanca importada,551.871212274338,42.0607980385584,27,9
Cebolla cabezona blanca pastusa,388.8719533885578,22.61080767862641,63,19
Cebolla cabezona roja importada,392.9480726894787,24.08474428097126,39,12
Curuba,188.71747676054918,10.31837090981923,63,19
Fríjol verde cargamanto,399.4415893432205,6.951117223371002,63,19
Habichuela,364.2157157333927,18.67607341483625,63,19
Harina de trigo,54.65414937447829,3.438197019965895,63,19
Harina precocida de maíz,51.16511119652328,2.452732577013407,63,19
Huevo blanco extra,55.73387578448254,1.6951668527980948,40,12
Huevo rojo A,152.90981687322736,4.346461923966148,63,19
Huevo rojo AA,138.60927363370305,3.8024058020509526,63,19
Huevo rojo extra,110.04171655326617,2.6631431453012775,50,15
Leche en polvo,244.33943516849274,2.150510518351875,63,19
Lechuga Batavia,126.15349529607585,12.822287216036818,63,19
Lenteja importada,203.37219830660777,6.041006162427256,63,19
Limón Tahití,200.15037104515685,11.832380253388514,63,19
Lomitos de atún en lata,1741.4397617585282,11.554523709497618,63,19
Lulo,277.8144577277736,14.52393941826671,63,19
Mango común,295.1514130760802,12.335517919878209,39,12
Mango de azúcar,377.4182400227293,23.33982150413393,26,8
Manzana roja importada,142.01295978915587,3.8552225058033165,63,19
Manzana royal gala importada,218.20477018898578,5.6956495325421965,63,19
Manzana verde importada,355.6971100827262,9.581029604323053,63,19
Maracuyá,266.02670560604173,11.755020931631556,63,19
Margarina,271.55916946781866,7.545618647002013,63,19
Mora de Castilla,386.6861773824171,13.487164069019455,63,19
Naranja común,159.63571217712516,22.89248253449278,31,10
Naranja Sweet,75.11603125415752,9.534267627884203,51,16
Naranja Valencia,215.30160216551076,21.497920270321448,51,16
Panela redonda morena,487.6398135011765,22.765005531121307,63,19
Papa Betina,204.5691226154536,29.48772321877816,51,16
Papa capira,154.71917547456775,21.473135164036822,63,19
Papa criolla limpia,369.9046884371311,24.725640476725502,63,19
Papa criolla sucia,357.3662464824916,23.96347757173324,63,19
Papa nevada,279.4272764690416,21.65581357049965,51,16
Papa parda pastusa,170.68027100374493,24.17275838845743,63,19
Papa R-12 negra,137.89883589636318,16.1921466357732,29,9
Papa suprema,172.04668307752243,24.44168719885708,63,19
Papa única,199.33746805500223,29.05593976687497,63,19
Pastas alimenticias,671.8574027665994,21.03856814864917,63,19
Pechuga de pollo,131.64492532724688,2.635633434843842,63,19
Piña gold,139.20728240119132,18.23517331586447,63,19
Piña manzana,54.674435138617724,6.318780553262332,63,19
Pollo entero congelado sin vísceras,275.1693095700362,6.456513373021365,63,19
Queso campesino,276.98747611067313,2.6894577780066924,63,19
Repollo blanco,134.93756886948086,12.276149375272343,63,19
Sal yodada,77.9913932020943,12.66530255405912,63,19
Tilapia roja entera congelada,1908.2138595270658,13.699666996761545,63,19
Tomate de árbol,148.11509356037223,10.007621998479191,63,19
Tomate larga vida,184.15118382490834,12.764577764350523,63,19
Zanahoria,494.7356739286342,29.471030146556,63,19
