alimento_sipsa,RMSE_log,MAPE_level
Aguacate papelillo,0.10350511884530295,719.2245548744756
Ahuyama,0.1625790649335995,1299.8045162073272
Arracacha amarilla,0.26979996902776643,1647.7147673510892
Arroz de primera,0.054598329622356126,467.93088188433086
Arveja verde en vaina pastusa,0.3000835008379398,2137.3523059285044
Arveja verde seca importada,0.03951659747143686,325.0189531320693
Avena en hojuelas,0.021811950663996788,181.94300088678253
Avena molida,0.04231017388350337,365.9981172922957
Azúcar morena,0.1342601806988911,1228.232680971052
Azúcar sulfitada,0.2524349773147402,2169.358825983573
Banano criollo,0.23121588500280288,1906.8250376959909
Bocachico importado congelado,0.07427850459975978,643.2729281981208
Café molido,0.02493499944362262,193.6474640455157
"Carne de cerdo, costilla",0.14254411004022738,1295.2232143491956
"Carne de cerdo, espinazo",0.2001417832923321,1759.807778471719
"Carne de res, cadera",0.10992997121226887,995.1854168869941
"Carne de res, costilla",0.27934698833518284,2431.407023397892
"Carne de res, falda",0.07915530036767485,703.1856415090052
"Carne de res, lomo de brazo",0.08992395197550773,679.8657448547332
"Carne de res, lomo fino",0.02724443283495374,227.3615662956042
"Carne de res, pecho",0.09284084067007559,860.9737051146216
"Carne de res, punta de anca",0.09361264538483753,869.2425267079623
Cebolla cabezona blanca bogotana,0.3851985031322722,3299.28281919494
Cebolla cabezona blanca pastusa,0.33139723152797007,2529.229261045551
Curuba,0.1170747987499603,920.2600995474102
Fríjol verde cargamanto,0.08294691997009633,595.9226011755649
Habichuela,0.065764164110487,544.3720090100849
Harina de trigo,0.035441498413909,323.3023240182152
Harina precocida de maíz,0.036138515282800744,331.6171945705931
Huevo blanco extra,0.010639520429258758,92.97198773275656
Huevo rojo A,0.04602534898618972,420.0954213499763
Huevo rojo AA,0.039899969023707474,360.12501472750154
Leche en polvo,0.02351560487661296,212.65069879215525
Lechuga Batavia,0.169358680161253,1497.3690153145903
Lenteja importada,0.0820437290441215,633.8341953447753
Limón Tahití,0.14431605721060947,1150.9375091093132
Lomitos de atún en lata,0.13583943908115903,1132.8352774462112
Lulo,0.12266151761861661,956.1755646169192
