alimento_sipsa,RMSE_dy,RMSE_level,MAPE_level,n_obs
Aguacate papelillo,0.1013481970461501,362.05472370660584,12.816832997410954,62
Ahuyama,0.12494330431368149,245.70003798728143,30.77984179565313,62
Arracacha amarilla,0.08479234582900447,2441.94320068277,152.86514504156924,62
Arroz de primera,0.02218990053323325,74.13358045828471,3.7320505774826347,62
Arveja verde en vaina pastusa,0.1626170565121639,2145.726063924428,26.561014642063473,62
Arveja verde seca importada,0.021022157159208604,144.95817809120322,9.801217008884345,62
Avena en hojuelas,0.027945525404501223,220.9022427020945,3.1512435399681453,62
Avena molida,0.026361748282878447,220.24130376161293,2.894188375145394,62
Azúcar morena,0.016085977453432574,156.68944637196333,8.043042143937987,62
Azúcar sulfitada,0.017099663245143955,158.1080123779503,8.493751128494848,62
Banano criollo,0.04434389733554553,73.07019605878374,6.559583169408699,62
Bocachico importado congelado,0.034988494737806804,1947.5676495666253,23.081430788806337,62
Café molido,0.008949798792761584,147.698291304509,1.6161323971315806,62
"Carne de cerdo, costilla",0.017843544020785633,526.2966007670746,8.368912734354103,62
"Carne de cerdo, espinazo",0.017516554084869282,498.49142153628827,7.931625653258825,62
"Carne de res, cadera",0.0132336118551518,282.0707043088567,2.414892732057755,62
"Carne de res, costilla",0.015796173806942555,187.16171359142172,4.848837161712123,62
"Carne de res, falda",0.014124251106355885,462.73682496865496,4.31796436503458,62
"Carne de res, lomo de brazo",0.023303938840970626,590.5651444997326,5.03859276853872,42
"Carne de res, lomo fino",0.02266876689071122,532.5753819950573,4.460632726745377,42
"Carne de res, pecho",0.01270873841717834,328.5837278139161,2.8467996860674574,62
"Carne de res, punta de anca",0.012718249908260605,329.5996202154164,2.8942706302670294,62
Cebolla cabezona blanca bogotana,0.2365180878083586,442.7670789468825,41.965475795936555,62
Cebolla cabezona blanca pastusa,0.250334932331886,391.80236784686804,32.66229762869977,62
Cebolla cabezona roja importada,0.24515543732280587,542.4188208852377,34.14061129367451,38
Curuba,0.04851943970591019,382.1450075910463,23.912245220417066,62
Fríjol verde cargamanto,0.0695163207788594,391.7107816966308,7.54764229171047,62
Habichuela,0.33381402867758025,392.80431231591683,20.139450591662854,62
Harina de trigo,0.010527830226285588,28.44489496373132,1.6293621909269043,62
Harina precocida de maíz,0.01221504440987694,96.29314463270059,5.520998654471438,62
Huevo blanco extra,0.01040146099919672,67.14581304355401,1.6445941853996469,39
Huevo rojo A,0.01474518182241352,148.11330859654424,3.870596762367777,62
Huevo rojo AA,0.015217928879448525,155.2499949732405,4.030060544014013,62
Huevo rojo extra,0.01725831669944068,312.48021427802655,8.47821576333646,49
Leche en polvo,0.013531605183817198,177.97346323971794,1.2804444635233276,62
Lechuga Batavia,0.16011483621989533,284.0661460456702,29.055330048963658,62
Lenteja importada,0.056145010809551345,547.1510603135562,20.409054086219456,62
Limón Tahití,0.10930501056565534,400.95505649635237,25.35849183536081,62
Lomitos de atún en lata,0.02071460438626962,2236.6356762089918,14.144291940672659,62
Lulo,0.1048533084726103,653.6788449857171,37.964788597762585,62
Mango común,0.1745582536123844,303.17677240364276,13.523326502886631,38
Manzana roja importada,0.034202872914651856,413.9849009964118,10.884957845984001,62
Manzana royal gala importada,0.0336023606318373,398.99704543412054,10.539955110993022,62
Manzana verde importada,0.03387174301515107,402.89398256628243,10.588598206180976,62
Maracuyá,0.17601489203710988,408.5266325796187,18.96199574208054,62
Margarina,0.01138657503345651,255.12010923664133,6.441492233948273,62
Mora de Castilla,0.12219780248501708,601.2267773813942,24.795657202224792,62
Naranja Sweet,0.13334163711410332,307.4986985777941,36.450137806880775,50
Naranja Valencia,0.1332609727594217,155.19796102310454,13.812430985436915,50
Panela redonda morena,0.029221581030121693,381.472014727618,17.794122833327773,62
Papa Betina,0.16496130406073092,767.43926405257,116.82818611680743,50
Papa capira,0.11259922670408945,338.44573485321735,52.41614848532495,62
Papa criolla limpia,0.16371131658393906,546.5738461040784,39.41156600218201,62
Papa criolla sucia,0.16388644172916872,523.0076235317819,39.10156424329897,62
Papa nevada,0.17549575491732147,276.5357994558595,29.772582802451,50
Papa parda pastusa,0.107142748747894,365.866690130375,55.8121889439645,62
Papa suprema,0.11141996699711236,372.6863116835092,57.677287106642936,62
Papa única,0.11501075647337543,379.1249301332174,58.321674164580294,62
Pastas alimenticias,0.024531517542966536,340.84347063629804,10.644569335920943,62
Pechuga de pollo,0.01366216397935321,210.63790807075634,4.347524395177259,62
Piña gold,0.053125175546049036,160.64942103527102,20.593781235171953,62
Piña manzana,0.05731063347042477,157.61890586190702,20.96995745921538,62
Pollo entero congelado sin vísceras,0.009789618964790628,55.457022669602914,1.1512489319046062,62
Queso campesino,0.0125241046268125,162.46411949665264,1.6399691691456213,62
Repollo blanco,0.13013600062835087,139.94349287271632,17.25246675800652,62
Sal yodada,0.013566486447072241,9.581098011498202,1.5204651212523526,62
Tilapia roja entera congelada,0.026927733140168945,570.3022898258769,4.322565472592829,62
Tomate de árbol,0.08331873652608768,540.7638572627617,40.592627389379345,62
Tomate larga vida,0.23299527688672084,311.94303285154217,26.9427469726294,62
Zanahoria,0.2321077514674925,495.8997407089962,31.77700928343944,62
