alimento_sipsa,beta_dx,beta_dx_lo,beta_dx_hi
Aguacate papelillo,0.4713325346712969,-7.739874287064907e-4,0.9434390567713002
Ahuyama,0.18858798375794,-0.045407704744552635,0.42258367226043264
Arracacha amarilla,0.10641710419435443,-0.09695563401409829,0.30978984240280716
Arroz de primera,0.557998653193741,0.18274799692590693,0.933249309461575
Arveja verde en vaina pastusa,0.3723021502215985,-0.3999032070057795,1.1445075074489766
Arveja verde seca importada,0.1682041321483476,-0.23630014353634457,0.5727084078330398
Avena en hojuelas,0.2623702550564332,-0.40631698296304863,0.931057493075915
Avena molida,-0.28466833187121576,-0.9215099863922913,0.3521733226498598
Azúcar morena,0.1976707053761246,-0.09828570731696587,0.4936271180692151
Azúcar sulfitada,0.09409270808956113,-0.3171441317532442,0.5053295479323664
Banano criollo,0.21756721646058383,-0.05390186708821096,0.4890363000093786
Bocachico importado congelado,0.2417311295979711,-0.04245383694297922,0.5259160961389214
Café molido,0.03959377049648972,-1.0361101688621976,1.115297709855177
"Carne de cerdo, costilla",0.046001545733498,-0.10695887796407137,0.19896196943106736
"Carne de cerdo, espinazo",0.015834279387688978,-0.12687288348352335,0.1585414422589013
"Carne de res, cadera",0.1164495092540457,-0.043567490548787016,0.2764665090568784
"Carne de res, costilla",-0.06244163539294861,-0.17425190180038574,0.04936863101448853
"Carne de res, falda",0.19338550213827618,-0.08613877606335144,0.47290978033990383
"Carne de res, lomo de brazo",-0.02388716029832365,-0.22244156794280337,0.17466724734615605
"Carne de res, lomo fino",0.061499944158100284,-0.2611053769394992,0.38410526525569977
"Carne de res, pecho",0.08211864583464852,-0.03600466886606679,0.20024196053536383
"Carne de res, punta de anca",0.07271147022376837,-0.06537128098445574,0.21079422143199247
Cebolla cabezona blanca bogotana,0.33256368067469017,0.022131801700494336,0.642995559648886
Cebolla cabezona blanca pastusa,0.050999723620906545,-0.18960489842983166,0.2916043456716447
Cebolla cabezona roja importada,0.7825230845569798,0.06621990222145191,1.4988262668925079
Curuba,-0.036449858153988816,-0.23076439734648627,0.15786468103850862
Fríjol verde cargamanto,0.3029471615330831,-0.07317294920740436,0.6790672722735706
Habichuela,1.3404256604068598,0.713874538500974,1.9669767823127455
Harina de trigo,-0.01907925721069853,-0.5492566755275183,0.5110981611061212
Harina precocida de maíz,-0.0608689248830216,-0.4111914825036035,0.2894536327375603
Huevo blanco extra,0.575180389767196,0.22941934990994212,0.9209414296244498
Huevo rojo A,0.2784687637030136,0.09448690203965784,0.4624506253663694
Huevo rojo AA,0.27615618888383775,0.10208271480562794,0.4502296629620476
Huevo rojo extra,-0.018304181572599387,-0.5277856531835617,0.49117729003836297
Leche en polvo,0.5028240081703212,-0.009797814713782604,1.015445831054425
Lechuga Batavia,0.4060620667364043,-0.14753261413191243,0.9596567476047211
Lenteja importada,0.7041393582483146,0.4330063643700073,0.975272352126622
Limón Tahití,0.31484862879817643,-0.2893185727458796,0.9190158303422324
Lomitos de atún en lata,-0.32957742488722264,-0.9410011525971999,0.2818463028227546
Lulo,0.8961153960464506,0.19210197610557567,1.6001288159873255
Mango común,0.5961444448642635,-0.017943068901590586,1.2102319586301178
Manzana roja importada,-0.07342266200272721,-0.6130369654135001,0.4661916414080457
Manzana royal gala importada,0.022733233847236602,-0.503348270194803,0.5488147378892761
Manzana verde importada,-0.014040692667321634,-0.3602058156960034,0.3321244303613602
Maracuyá,0.6466523447965151,-0.2767734578945861,1.5700781474876164
Margarina,-0.24835010089109882,-1.0224121557037709,0.5257119539215731
Mora de Castilla,0.45276221115524745,-0.35861254730846576,1.2641369696189606
Naranja Sweet,1.1319962513466364,0.20169384025202608,2.062298662441247
Naranja Valencia,0.3601055858041093,-0.005260263192629233,0.7254714348008477
Panela redonda morena,0.047530257650749246,-0.06823200196988063,0.1632925172713791
Papa Betina,0.9136455189650052,0.3830502531791088,1.4442407847509018
Papa capira,0.3075174311463633,-0.16679654409948058,0.7818314063922072
Papa criolla limpia,0.5245575065953834,-0.03730235435449625,1.086417367545263
Papa criolla sucia,0.377909525788927,-0.11087172300351827,0.8666907745813723
Papa nevada,0.34238778998656977,-0.3131938884577325,0.997969468430872
Papa parda pastusa,0.43539825352878625,-4.4867959400857194e-4,0.8712451866515811
Papa suprema,0.31925087727444057,-0.10972203264229774,0.7482237871911789
Papa única,0.2633744087225987,-0.12807666605170837,0.6548254834969058
Pastas alimenticias,-0.49813017337686183,-1.268989080605007,0.27272873385128327
Pechuga de pollo,0.13029224129404923,-0.2505833881721139,0.5111678707602124
Piña gold,0.6734413172991649,0.1639109299653333,1.1829717046329966
Piña manzana,0.8012526365171035,-0.05025304270629949,1.6527583157405066
Pollo entero congelado sin vísceras,0.07645563698675971,-0.164199173143186,0.31711044711670544
Queso campesino,0.02745313837638736,-0.1508651254274795,0.20577140218025422
Repollo blanco,-0.11848742639545402,-0.34391976176070477,0.10694490896979673
Sal yodada,0.2640643681136821,-0.27300193829948854,0.8011306745268527
Tilapia roja entera congelada,0.14229819176931505,-0.028312999282847306,0.3129093828214774
Tomate de árbol,0.8011005966528326,-0.016000053170324824,1.61820124647599
Tomate larga vida,0.7820880071367379,-0.45603896627603546,2.020214980549511
Zanahoria,0.061054679480278394,-0.2773183384848259,0.39942769744538265
