alimento_sipsa,RMSE_dy,RMSE_level,MAPE_level,n_obs
Aguacate papelillo,0.1013481970461501,362.05472370660584,0.12816832997410954,62
Ahuyama,0.12494330431368149,245.70003798728143,0.3077984179565313,62
Arracacha amarilla,0.08479234582900447,2441.94320068277,1.5286514504156923,62
Arroz de primera,0.02218990053323325,74.13358045828471,0.037320505774826346,62
Arveja verde en vaina pastusa,0.1626170565121639,2145.726063924428,0.26561014642063474,62
Arveja verde seca importada,0.021022157159208604,144.95817809120322,0.09801217008884346,62
Avena en hojuelas,0.027945525404501223,220.9022427020945,0.03151243539968145,62
Avena molida,0.026361748282878447,220.24130376161293,0.02894188375145394,62
Azúcar morena,0.016085977453432574,156.68944637196333,0.08043042143937987,62
Azúcar sulfitada,0.017099663245143955,158.1080123779503,0.08493751128494849,62
Banano criollo,0.04434389733554553,73.07019605878374,0.06559583169408699,62
Bocachico importado congelado,0.034988494737806804,1947.5676495666253,0.23081430788806337,62
Café molido,0.008949798792761584,147.698291304509,0.016161323971315807,62
"Carne de cerdo, costilla",0.017843544020785633,526.2966007670746,0.08368912734354103,62
"Carne de cerdo, espinazo",0.017516554084869282,498.49142153628827,0.07931625653258825,62
"Carne de res, cadera",0.0132336118551518,282.0707043088567,0.024148927320577548,62
"Carne de res, costilla",0.015796173806942555,187.16171359142172,0.04848837161712123,62
"Carne de res, falda",0.014124251106355885,462.73682496865496,0.0431796436503458,62
"Carne de res, lomo de brazo",0.023303938840970626,590.5651444997326,0.0503859276853872,42
"Carne de res, lomo fino",0.02266876689071122,532.5753819950573,0.04460632726745377,42
"Carne de res, pecho",0.01270873841717834,328.5837278139161,0.028467996860674576,62
"Carne de res, punta de anca",0.012718249908260605,329.5996202154164,0.028942706302670294,62
Cebolla cabezona blanca bogotana,0.2365180878083586,442.7670789468825,0.4196547579593655,62
Cebolla cabezona blanca pastusa,0.250334932331886,391.80236784686804,0.3266229762869977,62
Cebolla cabezona roja importada,0.24515543732280587,542.4188208852377,0.3414061129367451,38
Curuba,0.04851943970591019,382.1450075910463,0.23912245220417067,62
Fríjol verde cargamanto,0.0695163207788594,391.7107816966308,0.0754764229171047,62
Habichuela,0.33381402867758025,392.80431231591683,0.20139450591662855,62
Harina de trigo,0.010527830226285588,28.44489496373132,0.016293621909269043,62
Harina precocida de maíz,0.01221504440987694,96.29314463270059,0.05520998654471437,62
Huevo blanco extra,0.01040146099919672,67.14581304355401,0.01644594185399647,39
Huevo rojo A,0.01474518182241352,148.11330859654424,0.03870596762367777,62
Huevo rojo AA,0.015217928879448525,155.2499949732405,0.04030060544014013,62
Huevo rojo extra,0.01725831669944068,312.48021427802655,0.0847821576333646,49
Leche en polvo,0.013531605183817198,177.97346323971794,0.012804444635233277,62
Lechuga Batavia,0.16011483621989533,284.0661460456702,0.29055330048963657,62
Lenteja importada,0.056145010809551345,547.1510603135562,0.20409054086219455,62
Limón Tahití,0.10930501056565534,400.95505649635237,0.2535849183536081,62
Lomitos de atún en lata,0.02071460438626962,2236.6356762089918,0.1414429194067266,62
Lulo,0.1048533084726103,653.6788449857171,0.37964788597762583,62
Mango común,0.1745582536123844,303.17677240364276,0.13523326502886632,38
Manzana roja importada,0.034202872914651856,413.9849009964118,0.10884957845984002,62
Manzana royal gala importada,0.0336023606318373,398.99704543412054,0.10539955110993023,62
Manzana verde importada,0.03387174301515107,402.89398256628243,0.10588598206180976,62
Maracuyá,0.17601489203710988,408.5266325796187,0.1896199574208054,62
Margarina,0.01138657503345651,255.12010923664133,0.06441492233948273,62
Mora de Castilla,0.12219780248501708,601.2267773813942,0.2479565720222479,62
Naranja Sweet,0.13334163711410332,307.4986985777941,0.3645013780688078,50
Naranja Valencia,0.1332609727594217,155.19796102310454,0.13812430985436916,50
Panela redonda morena,0.029221581030121693,381.472014727618,0.17794122833327772,62
Papa Betina,0.16496130406073092,767.43926405257,1.1682818611680743,50
Papa capira,0.11259922670408945,338.44573485321735,0.5241614848532495,62
Papa criolla limpia,0.16371131658393906,546.5738461040784,0.39411566002182014,62
Papa criolla sucia,0.16388644172916872,523.0076235317819,0.39101564243298964,62
Papa nevada,0.17549575491732147,276.5357994558595,0.29772582802451003,50
Papa parda pastusa,0.107142748747894,365.866690130375,0.558121889439645,62
Papa suprema,0.11141996699711236,372.6863116835092,0.5767728710664294,62
Papa única,0.11501075647337543,379.1249301332174,0.583216741645803,62
Pastas alimenticias,0.024531517542966536,340.84347063629804,0.10644569335920943,62
Pechuga de pollo,0.01366216397935321,210.63790807075634,0.04347524395177259,62
Piña gold,0.053125175546049036,160.64942103527102,0.2059378123517195,62
Piña manzana,0.05731063347042477,157.61890586190702,0.2096995745921538,62
Pollo entero congelado sin vísceras,0.009789618964790628,55.457022669602914,0.011512489319046061,62
Queso campesino,0.0125241046268125,162.46411949665264,0.016399691691456213,62
Repollo blanco,0.13013600062835087,139.94349287271632,0.17252466758006518,62
Sal yodada,0.013566486447072241,9.581098011498202,0.015204651212523526,62
Tilapia roja entera congelada,0.026927733140168945,570.3022898258769,0.04322565472592829,62
Tomate de árbol,0.08331873652608768,540.7638572627617,0.40592627389379343,62
Tomate larga vida,0.23299527688672084,311.94303285154217,0.269427469726294,62
Zanahoria,0.2321077514674925,495.8997407089962,0.3177700928343944,62
