alimento_sipsa,beta_dx,beta_dx_lo,beta_dx_hi
Aguacate papelillo,0.485329332937631,0.057781940917984664,0.9128767249572773
Ahuyama,0.1641838872677516,-0.07129847615118712,0.3996662506866903
Arracacha amarilla,0.07104277843940895,-0.11716233136611959,0.2592478882449375
Arroz de primera,0.6014138714366214,0.3384378313423801,0.8643899115308626
Arveja verde en vaina pastusa,0.4796726155830046,-0.09575015304348816,1.0550953842094974
Arveja verde seca importada,0.16799425798044199,-0.2211060606684231,0.5570945766293071
Avena en hojuelas,0.14681928018844026,-0.47789704812937794,0.7715356085062585
Avena molida,-0.3672815750715655,-0.9461652970283021,0.21160214688517115
Azúcar morena,0.18669133603537263,0.016484583551337056,0.3568980885194082
Azúcar sulfitada,0.14760871650529805,-0.17646395803266496,0.47168139104326107
Banano criollo,0.22254088348408474,-0.09631295247529326,0.5413947194434627
Bocachico importado congelado,0.03378723484163754,-0.18404487431928593,0.25161934400256103
Café molido,-0.10472633257202182,-0.9540514601178651,0.7445987949738215
"Carne de cerdo, costilla",0.0457759141395194,-0.06349996938248788,0.15505179766152666
"Carne de cerdo, espinazo",0.03422709891438937,-0.1066287458623306,0.17508294369110933
"Carne de res, cadera",0.05438545504955457,-0.08076221210952737,0.1895331222086365
"Carne de res, costilla",-0.03776506715617681,-0.13765300429512195,0.06212286998276832
"Carne de res, falda",0.20632832147034594,-0.058692192127123816,0.47134883506781566
"Carne de res, lomo de brazo",0.019318012367235318,-0.1647935426209693,0.20342956735543993
"Carne de res, lomo fino",0.047949711231693,-0.10026349033696294,0.19616291280034895
"Carne de res, pecho",0.03805405164691923,-0.063345977998799,0.13945408129263748
"Carne de res, punta de anca",0.018930741813997815,-0.08856693645481084,0.12642842008280647
Cebolla cabezona blanca bogotana,0.18578166902769996,-0.0670188149281751,0.43858215298357506
Cebolla cabezona blanca pastusa,0.044301401555572516,-0.16964912958004413,0.2582519326911892
Curuba,-0.02410114401135734,-0.2705321241738572,0.22232983615114252
Fríjol verde cargamanto,0.2016636601769614,-0.05503670036337738,0.4583640207173002
Habichuela,0.10433681670246375,0.004020462403576799,0.20465317100135072
Harina de trigo,0.05074547258603058,-0.3522554997220174,0.45374644489407856
Harina precocida de maíz,-0.052176925332525374,-0.2914555746802278,0.18710172401517708
Huevo blanco extra,0.4347413179786011,0.11192127114695694,0.7575613648102453
Huevo rojo A,0.31123460165834466,0.10528385084153136,0.517185352475158
Huevo rojo AA,0.32265911976556655,0.12672546427309495,0.5185927752580382
Leche en polvo,0.4312724820725214,0.11318768084146247,0.7493572833035803
Lechuga Batavia,0.24356679990665794,-0.28020585154348887,0.7673394513568048
Lenteja importada,0.6255830419261904,0.4486270198193283,0.8025390640330525
Limón Tahití,0.04008936949831266,-0.3625066752632131,0.44268541425983843
Lomitos de atún en lata,-0.4126090657170225,-0.8172063682126545,-0.008011763221390467
Lulo,0.9414758156752198,0.48640266907716556,1.396548962273274
Manzana roja importada,0.30580736570696804,-0.09891280059958013,0.7105275320135163
Manzana royal gala importada,0.036391685247358176,-0.6247064853527472,0.6974898558474635
Manzana verde importada,0.08686944726027077,-0.33573475315628165,0.5094736476768232
Maracuyá,0.26808256175469913,-0.09326078099926344,0.6294259045086616
Margarina,-0.2470623042956621,-0.9108406731068963,0.4167160645155721
Mora de Castilla,0.39188943798363635,-0.31668707861466755,1.1004659545819402
Naranja Valencia,0.13104162961425847,-0.06537550605715159,0.32745876528566853
Panela redonda morena,0.030232721643268203,-0.06336677264879739,0.1238322159353338
Papa capira,0.2462934855005327,-0.07445608983246665,0.5670430608335321
Papa criolla limpia,0.603163534264912,0.07355161127046428,1.1327754572593598
Papa criolla sucia,0.4476517931940353,-0.02440621268142973,0.9197097990695003
Papa nevada,0.3199130135790961,-0.24249426824176734,0.8823202953999595
Papa parda pastusa,0.3223619399488118,-0.001521377442474492,0.6462452573400981
Papa suprema,0.16194075568600078,-0.046608655876796024,0.3704901672487976
Papa única,0.16202429272925348,-0.03873354918342717,0.3627821346419341
Pastas alimenticias,0.1288461135981186,-0.45257923622477925,0.7102714634210164
Pechuga de pollo,0.0313629763173205,-0.26724333758530683,0.3299692902199478
Piña gold,0.5204246076945529,0.07600581520021366,0.9648434001888921
Piña manzana,0.5105215195494297,-0.20697656220473726,1.2280196013035967
Pollo entero congelado sin vísceras,0.08495182451465068,-0.15187934692046628,0.32178299594976767
Queso campesino,0.029445361900499633,-0.14483945942141313,0.20373018322241238
Repollo blanco,0.019522388926246734,-0.21057811595113662,0.24962289380363006
Sal yodada,0.34021693100368783,-0.10902317515920051,0.7894570371665761
Tilapia roja entera congelada,0.09012661501613596,-0.033924882357962635,0.21417811239023454
Tomate de árbol,0.31436325160446565,-0.09542764093584921,0.7241541441447805
Tomate larga vida,0.49356202406372723,-0.40702156974981246,1.3941456178772669
Zanahoria,0.03874845050275961,-0.2970045865502961,0.3745014875558153
Huevo rojo extra,-0.013381772847898935,-0.41800042629169887,0.391236880595901
Naranja Sweet,0.03747929435810545,-0.10127739270687325,0.17623598142308416
Papa Betina,0.7419192208455299,0.41614234952675605,1.0676960921643037
Cebolla cabezona roja importada,0.6122090471300746,0.14869308476510368,1.0757250094950455
