alimento_sipsa,RMSE_dy,RMSE_level,MAPE_level,n_obs
Aguacate papelillo,0.08449201601687592,349.80636368527087,0.12030540783404092,62
Ahuyama,0.06940612831235905,139.77473993393883,0.14616689305953007,62
Arracacha amarilla,0.08788221000725854,2623.285324252428,1.6423781877042878,62
Arroz de primera,0.019615559635565622,72.06807160466903,0.044103243011719584,62
Arveja verde en vaina pastusa,0.14923218040705272,2279.49751567962,0.2711300385331668,62
Arveja verde seca importada,0.020369978576030057,196.36547297299433,0.14034786472583524,62
Avena en hojuelas,0.02372103423603667,204.189732797954,0.029052343344201037,62
Avena molida,0.027634173731384857,237.93050611787376,0.032242272564709434,62
Azúcar morena,0.016275827214382962,179.60066156038852,0.09025831725446751,62
Azúcar sulfitada,0.016895400650159372,141.8536582844811,0.0737865052228893,62
Banano criollo,0.04317312538095006,81.23029715175777,0.06946806593717653,62
Bocachico importado congelado,0.03555519264623212,2489.636100862633,0.29314005640740126,62
Café molido,0.0044253211486734055,96.40021639983648,0.009796785271306703,62
"Carne de cerdo, costilla",0.018042400357811475,585.58688166657,0.09276534903485155,62
"Carne de cerdo, espinazo",0.017640048986072458,537.6228934746692,0.08501785506440827,62
"Carne de res, cadera",0.00919078091276466,571.8902538991784,0.05846619194530261,62
"Carne de res, costilla",0.01722140613537112,360.7573811036871,0.09943477019150104,62
"Carne de res, falda",0.01245848184381649,657.7442949038418,0.06827465907169404,62
"Carne de res, lomo de brazo",0.021775698381468395,591.104338267822,0.05250723390157776,42
"Carne de res, lomo fino",0.021218090218382894,542.3229896738455,0.04624427719810046,42
"Carne de res, pecho",0.009259933588038793,600.2149682863645,0.061273870888777074,62
"Carne de res, punta de anca",0.00931252428101026,625.3298449959555,0.06396692829298126,62
Cebolla cabezona blanca bogotana,0.2587448387179392,613.5270385824288,0.6471680848758348,62
Cebolla cabezona blanca pastusa,0.24950053730482336,536.6065669365446,0.5734966063613519,62
Curuba,0.049870823268000374,496.2558659394804,0.31610674779384285,62
Fríjol verde cargamanto,0.049799373126857276,417.0679870415685,0.06378930160803874,62
Habichuela,0.04182363614859204,295.5595110668387,0.19349064828615964,62
Harina de trigo,0.008715057996214408,25.48328305253739,0.014829716839164222,62
Harina precocida de maíz,0.009720759364947236,82.4064842468183,0.04729294977074423,62
Huevo blanco extra,0.00711885219807112,52.97231148519136,0.013905377587891217,39
Huevo rojo A,0.01042418916650637,114.37917226935096,0.030566714884418218,62
Huevo rojo AA,0.009777747165105679,126.47438963486002,0.03366235680410688,62
Leche en polvo,0.010472468469602182,144.6734530104223,0.012161302461366316,62
Lechuga Batavia,0.13229287905389198,151.14598332192506,0.15361171500548243,62
Lenteja importada,0.04453347672910905,549.8529754904697,0.19991390775723808,62
Limón Tahití,0.09047372110353036,453.82429580824686,0.33492918807573047,62
Lomitos de atún en lata,0.02046388412895561,2511.989897209702,0.1613426366119834,62
Lulo,0.06747599510329771,474.76182927663734,0.28362385117278716,62
Manzana roja importada,0.029470393285442754,90.09620873977993,0.022615558255497176,62
Manzana royal gala importada,0.029140157864570217,95.75285874423997,0.023699033096981525,62
Manzana verde importada,0.0289738028438173,110.91678113666589,0.031396209097937576,62
Maracuyá,0.06253470644743697,153.94148501823622,0.0774851062890131,62
Margarina,0.010324764135221284,255.52806484315687,0.06502211754930663,62
Mora de Castilla,0.07651041881928689,416.5073280011219,0.17327934669459985,62
Naranja Valencia,0.0678098838880597,135.257577548492,0.15076344805574654,50
Panela redonda morena,0.027570357056827206,361.49512755933443,0.16819484817993938,62
Papa capira,0.09309508187974719,343.5679671002753,0.5501795902690914,62
Papa criolla limpia,0.13505787486592397,350.65962849223894,0.2599819118105924,62
Papa criolla sucia,0.13282081772330692,312.34727021193845,0.2388380095327714,62
Papa nevada,0.1858891119251112,303.9828337555875,0.33326653836454306,50
Papa parda pastusa,0.08955021428182,358.87838405465095,0.5648448074523695,62
Papa suprema,0.09702529527106046,367.12313504646164,0.5873886587076245,62
Papa única,0.09708112148008667,380.5376872475119,0.6085863124126463,62
Pastas alimenticias,0.01624576691249075,49.71346515144976,0.013279857347630684,62
Pechuga de pollo,0.01591031612690098,264.1135783570324,0.05513411766002675,62
Piña gold,0.042196900564178366,145.47755256664263,0.18965834252949293,62
Piña manzana,0.04435658358854294,147.88634407821482,0.19851685423368354,62
Pollo entero congelado sin vísceras,0.011184024393470209,63.40839331702849,0.01439691885489498,62
Queso campesino,0.011825881491232024,151.890687236496,0.014865360126109242,62
Repollo blanco,0.11118246386495238,102.66977967113029,0.10609503115989216,62
Sal yodada,0.013303669444206847,10.335776589092218,0.0173317778435448,62
Tilapia roja entera congelada,0.021798306707182823,776.2419188482796,0.062112584617017734,62
Tomate de árbol,0.03500038256465677,232.38272363893202,0.18063740938040826,62
Tomate larga vida,0.15719180506476338,231.064328580975,0.19506099883696368,62
Zanahoria,0.21050242311096778,521.9898976207595,0.2984072578348587,62
Huevo rojo extra,0.013420129891524293,321.26821295890636,0.08892394094422977,49
Naranja Sweet,0.013162919654203216,60.49744281696028,0.08384446320644971,50
Papa Betina,0.15598459934657788,542.6014723253406,0.8426170074778306,50
Cebolla cabezona roja importada,0.2057352608146022,384.2508522458545,0.2730006143689527,38
