food_key,food,best_model,best_mape,best_rmse,info
ACEITE DE GIRASOL,ACEITE DE GIRASOL,m0_ipc_fill,0.04557340933964666,270.43320734013,CALI
ACEITE DE SOYA O DE MAIZ,ACEITE DE SOYA O DE MAÍZ,m0_ipc_fill,0.01954005162669201,76.25008763920509,CALI
AGUACATE,AGUACATE,m0_ipc_fill,0.7571308351125349,1688.080607998269,CALI
AGUACATE PAPELILLO,Aguacate papelillo,m6_lm_dummies,0.07759718450435599,0.1123180667465447,n_total=63
AHUYAMA,Ahuyama,m1_margin_Q2,0.1585500179346827,139.1605389872198,Q2
AJO,AJO,m0_ipc_fill,0.1907741021307971,1730.099715796751,CALI
ARRACACHA,ARRACACHA,m0_ipc_fill,0.1835799982232095,588.7280795510055,CALI
ARRACACHA AMARILLA,Arracacha amarilla,m1_margin_Q2,0.1741506851534091,415.7672863160688,Q2
ARROZ DE PRIMERA,Arroz de primera,m7_fd_dummies,0.03732050577482634,74.13358045828471,n_obs=62
ARROZ INTEGRAL,ARROZ INTEGRAL,m0_ipc_fill,0.08637911476973048,158.9508713089933,CALI
ARROZ PARA SECO,ARROZ PARA SECO,m0_ipc_fill,0.005513653946712154,8.900608448096667,CALI
ARVEJA FRESCA,ARVEJA FRESCA,m0_ipc_fill,0.2574609086509831,1518.203463867737,CALI
ARVEJA SECA,ARVEJA SECA,m0_ipc_fill,0.3667901910381592,504.7726740853412,CALI
ARVEJA TARRO,ARVEJA TARRO,m0_ipc_fill,0.005719764757955373,23.53411079383195,CALI
ARVEJA VERDE EN VAINA PASTUSA,Arveja verde en vaina pastusa,m6_lm_dummies,0.2007411719613753,0.2974413653619246,n_total=63
ARVEJA VERDE SECA IMPORTADA,Arveja verde seca importada,m1_margin_Q2,0.02291147405969096,41.00006933968036,Q2
AVENA EN HOJUELAS,Avena en hojuelas,m1_margin_Q2,0.01921182557489114,136.8673585794257,Q2
AVENA HOJUELAS,AVENA HOJUELAS,m0_ipc_fill,0.03436923713392222,231.0627405379592,CALI
AVENA MOLIDA,AVENA MOLIDA,m0_ipc_fill,0.01211393653968195,86.97607650579222,CALI
AZUCAR MORENA,Azúcar morena,m1_margin_best,0.02637161378466043,46.01479267837701,best=Q3
AZUCAR NATURAL O MORENA,AZÚCAR NATURAL O MORENA,m0_ipc_fill,0.006020187493667063,9.734381927367842,CALI
AZUCAR REFINADA,AZÚCAR REFINADA,m0_ipc_fill,0.005920929614616728,10.20910476250266,CALI
AZUCAR SULFITADA,Azúcar sulfitada,m1_margin_best,0.06291312763471328,115.5451743340055,best=Q3
BANANO CRIOLLO,Banano criollo,m7_fd_dummies,0.06559583169408699,73.07019605878374,n_obs=62
BANANOS,BANANOS,m0_ipc_fill,0.005409448148206,5.004232461975198,CALI
BOCACHICO IMPORTADO CONGELADO,Bocachico importado congelado,m1_margin_best,0.04071642118704667,358.4733379753175,best=Q3
CAFE MOLIDO,CAFÉ MOLIDO,m0_ipc_fill,0.01044223824283754,96.16719742798317,CALI
CAMARONES O VARIEDAD DISPONIBLE,CAMARONES O VARIEDAD DISPONIBLE,m0_ipc_fill,0.07803289390927524,2479.12468777899,CALI
CARNE DE CERDO CON HUESO,CARNE DE CERDO CON HUESO,m0_ipc_fill,0.0191264317892606,132.7974935945853,CALI
CARNE DE CERDO COSTILLA,"Carne de cerdo, costilla",m1_margin_Q2,0.03049751897340255,265.9855059895453,Q2
CARNE DE CERDO ESPINAZO,"Carne de cerdo, espinazo",m1_margin_best,0.04752081153783693,385.3443292351121,best=Q1
CARNE DE CERDO SIN HUESO,CARNE DE CERDO SIN HUESO,m0_ipc_fill,0.00900056821548189,76.97934609794679,CALI
CARNE DE RES CADERA,"Carne de res, cadera",m7_fd_dummies,0.02414892732057754,282.0707043088567,n_obs=62
