food_key,m0_ipc_fill,m1_margin_Q2,m1_margin_best,m4_asy_ecm_mtar,m5_ecm,m6_lm_dummies,m7_fd_dummies
ACEITE DE GIRASOL,0.04557340933964666,NA,NA,NA,NA,NA,NA
ACEITE DE SOYA O DE MAIZ,0.01954005162669201,NA,NA,NA,NA,NA,NA
AGUACATE,0.7571308351125349,NA,NA,NA,NA,NA,NA
AGUACATE PAPELILLO,NA,0.1128067981092468,0.1128067981092468,0.22288966308508715,15.304425131508314,0.07759718450435599,0.12816832997410954
AHUYAMA,0.4168466224270422,0.1585500179346827,0.1585500179346827,0.5799020262386654,21.277547477271284,0.1776787159678234,0.3077984179565313
AJO,0.1907741021307971,NA,NA,NA,NA,NA,NA
ARRACACHA,0.1835799982232095,NA,NA,NA,NA,NA,NA
ARRACACHA AMARILLA,NA,0.1741506851534091,0.1741506851534091,0.39922071792077946,87.38826193540098,0.1741526379649305,1.5286514504156925
ARROZ DE PRIMERA,NA,0.04506897087883811,0.04506897087883811,0.12077468251344715,13.824496978416764,0.04518639205876544,0.03732050577482634
ARROZ INTEGRAL,0.08637911476973048,NA,NA,NA,NA,NA,NA
ARROZ PARA SECO,0.005513653946712154,NA,NA,NA,NA,NA,NA
ARVEJA FRESCA,0.2574609086509831,NA,NA,NA,NA,NA,NA
ARVEJA SECA,0.3667901910381592,NA,NA,NA,NA,NA,NA
ARVEJA TARRO,0.005719764757955373,NA,NA,NA,NA,NA,NA
ARVEJA VERDE EN VAINA PASTUSA,NA,0.2545746006067922,0.2545746006067922,0.5713012102815239,35.5002966912577,0.2007411719613753,0.26561014642063474
ARVEJA VERDE SECA IMPORTADA,NA,0.02291147405969096,0.02291147405969096,0.03825548098034891,6.011678375173051,0.03796846609982978,0.09801217008884346
AVENA EN HOJUELAS,NA,0.01921182557489114,0.01921182557489114,0.2446693812157701,3.8130905863095506,0.0205187280558326,0.03151243539968145
AVENA HOJUELAS,0.03436923713392222,NA,NA,NA,NA,NA,NA
AVENA MOLIDA,0.01211393653968195,0.04872461079497119,0.03494767628969545,0.6205124906407826,5.655944338771406,0.03583074550171341,0.02894188375145394
AZUCAR MORENA,NA,0.03485621142179225,0.02637161378466043,0.03549124805923898,13.438629265208588,0.122674118094048,0.08043042143937987
AZUCAR NATURAL O MORENA,0.006020187493667063,NA,NA,NA,NA,NA,NA
AZUCAR REFINADA,0.005920929614616728,NA,NA,NA,NA,NA,NA
AZUCAR SULFITADA,NA,0.1300307168782545,0.06291312763471328,0.09334967003154016,16.292624904154966,0.2231993087344826,0.08493751128494849
BANANO CRIOLLO,NA,0.1050207652725773,0.1010928992396388,0.37917862902625776,34.75957712996499,0.1969387320905251,0.06559583169408699
BANANOS,0.005409448148206,NA,NA,NA,NA,NA,NA
BOCACHICO IMPORTADO CONGELADO,NA,0.09882517727544861,0.04071642118704667,0.1725845899512107,24.20663136011417,0.0745086398596476,0.23081430788806337
CAFE MOLIDO,0.01044223824283754,0.02114766979905234,0.01072579099136556,0.0799198870329299,4.138734275285023,0.02013160043323587,0.0161613239713158
CAMARONES O VARIEDAD DISPONIBLE,0.07803289390927524,NA,NA,NA,NA,NA,NA
CARNE DE CERDO CON HUESO,0.0191264317892606,NA,NA,NA,NA,NA,NA
CARNE DE CERDO COSTILLA,NA,0.03049751897340255,0.03049751897340255,0.06560291381329525,15.634313927156946,0.1257255748373756,0.08368912734354103
CARNE DE CERDO ESPINAZO,NA,0.05863028590592249,0.04752081153783693,0.09366655248931406,19.990958767803193,0.1775062882903649,0.07931625653258825
CARNE DE CERDO SIN HUESO,0.00900056821548189,NA,NA,NA,NA,NA,NA
CARNE DE RES CADERA,NA,0.02609742145623272,0.02609742145623272,0.03945878701419662,4.145018573588696,0.09443970694557198,0.02414892732057754
CARNE DE RES CON HUESO,0.03168712098623028,NA,NA,NA,NA,NA,NA
CARNE DE RES COSTILLA,NA,0.0198568925521506,0.0198568925521506,0.02917301458051397,54.35923043028501,0.2514841958303427,0.04848837161712123
CARNE DE RES FALDA,NA,0.03684235604288356,0.03684235604288356,0.1889626328416049,7.474881608726962,0.06711556089800023,0.0431796436503458
CARNE DE RES LOMO DE BRAZO,NA,0.02603357193310758,0.02603357193310758,0.1259652139966064,12.541838355273544,0.06793817224675656,0.0503859276853872
CARNE DE RES LOMO FINO,NA,0.1004174695246989,0.0937662173736403,0.02087535361858507,3.2257187232797953,0.03037471449314242,0.04460632726745377
CARNE DE RES PECHO,NA,0.09474497320227114,0.02161637299665416,0.07666352123506152,1.5252437693552725,0.07805200272250493,0.02846799686067457
CARNE DE RES PUNTA DE ANCA,NA,0.1004321600661222,0.01649863711727622,0.03372674145966831,12.485102723649083,0.08158520706827979,0.02894270630267029
CARNE DE RES SIN HUESO,0.004684489027202077,NA,NA,NA,NA,NA,NA
CEBOLLA CABEZONA,0.1683045767849217,NA,NA,NA,NA,NA,NA
CEBOLLA CABEZONA BLANCA BOGOTANA,NA,0.1751957353340109,0.1751957353340109,0.31885369833885685,38.62876628720888,0.205842019759868,0.4196547579593655
CEBOLLA CABEZONA BLANCA IMPORTADA,NA,0.1071866732253406,0.07587379346351478,NA,NA,0.420607980385584,NA
CEBOLLA CABEZONA BLANCA PASTUSA,NA,0.1672017094568232,0.1672017094568232,0.2699486640202246,37.98435293036527,0.2261080767862641,0.3266229762869977
CEBOLLA CABEZONA ROJA IMPORTADA,NA,0.1748274164103151,0.1741533991571239,0.20527886216311936,34.317185044140615,0.2408474428097126,0.3414061129367451
CEBOLLA LARGA,0.3996869794221602,NA,NA,NA,NA,NA,NA
CURUBA,NA,0.09770810521319853,0.09770810521319853,0.2224619832291686,32.235063051354885,0.1031837090981923,0.2391224522041707
CURUBAS,0.3199325822883579,NA,NA,NA,NA,NA,NA
FRIJOL FRESCO,0.2930937809742128,NA,NA,NA,NA,NA,NA
FRIJOL SECO,0.1474689836072012,NA,NA,NA,NA,NA,NA
FRIJOL TARRO,0.01775460423670531,NA,NA,NA,NA,NA,NA
FRIJOL VERDE CARGAMANTO,NA,0.07070952147817569,0.07070952147817569,0.8155028111094935,9.558774238240792,0.06951117223371002,0.0754764229171047
GUAYABAS,0.4427201707503191,NA,NA,NA,NA,NA,NA
HABICHUELA,NA,0.1140359766686179,0.1140359766686179,0.8397570539990982,22.87965432961463,0.1867607341483625,0.20139450591662855
HABICHUELAS FRESCAS,0.1681501083816523,NA,NA,NA,NA,NA,NA
HARINA DE TRIGO,0.06459023349080033,0.0104307200262051,0.0104307200262051,0.1028723229434208,8.805178634448193,0.03438197019965895,0.01629362190926904
HARINA PRECOCIDA,0.07366210760513273,NA,NA,NA,NA,NA,NA
HARINA PRECOCIDA DE MAIZ,NA,0.1209952131616968,0.1015701878819195,0.00874460661738693,9.280601289174372,0.02452732577013407,0.05520998654471437
HUEVO BLANCO EXTRA,NA,0.0441399271340812,0.01469844368652982,0.38145196723849417,2.1115548489502043,0.01695166852798095,0.01644594185399647
HUEVO ROJO A,NA,0.0169836073754897,0.0169836073754897,0.18591991713395117,6.2701878338652675,0.04346461923966147,0.03870596762367777
HUEVO ROJO AA,NA,0.01337365720910927,0.01304238961434247,0.29572079539890295,7.882488721566065,0.03802405802050952,0.04030060544014013
HUEVO ROJO EXTRA,NA,0.01420892164738398,0.01420892164738398,0.15141157975583722,4.191459195111098,0.02663143145301278,0.0847821576333646
HUEVOS,0.01084660699730725,NA,NA,NA,NA,NA,NA
LECHE EN POLVO,NA,0.01858045365251591,0.01537937070537711,0.01966230702550753,2.269466446691373,0.02150510518351875,0.01280444463523327
LECHE EN POLVO ENTERA,0.02589386382255085,NA,NA,NA,NA,NA,NA
LECHE EN POLVO LACTANTE,0.08686102255641448,NA,NA,NA,NA,NA,NA
LECHE LARGA VIDA,0.0159809863493789,NA,NA,NA,NA,NA,NA
LECHE PASTEURIZADA,0.03418647367741649,NA,NA,NA,NA,NA,NA
LECHUGA,0.48573405451524593,NA,NA,NA,NA,NA,NA
LECHUGA BATAVIA,NA,0.09910255990775613,0.09910255990775613,0.6305817258455731,28.030944080733004,0.1282228721603682,0.29055330048963657
LENTEJA IMPORTADA,NA,0.0645613207453232,0.05894784454621929,0.02566708164006358,14.01732695776766,0.06041006162427256,0.20409054086219455
