food_key,m0_ipc_fill,m1_margin_Q2,m1_margin_best,m4_asy_ecm_mtar,m5_ecm,m6_lm_dummies,m7_fd_dummies
ACEITE DE GIRASOL,270.43320734013,NA,NA,NA,NA,NA,NA
ACEITE DE SOYA O DE MAIZ,76.25008763920509,NA,NA,NA,NA,NA,NA
AGUACATE,1688.080607998269,NA,NA,NA,NA,NA,NA
AGUACATE PAPELILLO,NA,356.2566325596579,356.2566325596579,778.7836121625903,0.21282949229822945,0.1123180667465447,362.05472370660584
AHUYAMA,322.4276132374457,139.1605389872198,139.1605389872198,477.9687789918976,0.2414461458811213,0.2348748084670987,245.70003798728143
AJO,1730.099715796751,NA,NA,NA,NA,NA,NA
ARRACACHA,588.7280795510055,NA,NA,NA,NA,NA,NA
ARRACACHA AMARILLA,NA,415.7672863160688,415.7672863160688,609.8570286589307,0.6494499169706224,0.2891377199212385,2441.94320068277
ARROZ DE PRIMERA,NA,74.19999171891696,74.19999171891696,176.62649528941407,0.1904877506476488,0.05333185328247964,74.13358045828471
ARROZ INTEGRAL,158.9508713089933,NA,NA,NA,NA,NA,NA
ARROZ PARA SECO,8.900608448096667,NA,NA,NA,NA,NA,NA
ARVEJA FRESCA,1518.203463867737,NA,NA,NA,NA,NA,NA
ARVEJA SECA,504.7726740853412,NA,NA,NA,NA,NA,NA
ARVEJA TARRO,23.53411079383195,NA,NA,NA,NA,NA,NA
ARVEJA VERDE EN VAINA PASTUSA,NA,1938.910391799564,1938.910391799564,3116.999924383874,0.6581499451410312,0.2974413653619246,2145.726063924428
ARVEJA VERDE SECA IMPORTADA,NA,41.00006933968036,41.00006933968036,48.374695030572006,0.07059745123810937,0.04830857835762695,144.95817809120322
AVENA EN HOJUELAS,NA,136.8673585794257,136.8673585794257,1565.720042839146,0.04420213360477595,0.02607887503075625,220.9022427020945
AVENA HOJUELAS,231.0627405379592,NA,NA,NA,NA,NA,NA
AVENA MOLIDA,86.97607650579222,352.6582926415459,263.8642567134933,4356.533995940508,0.06950607590421679,0.04230151940387362,220.24130376161293
AZUCAR MORENA,NA,67.56266329144219,46.01479267837701,58.96003551105644,0.1579663403773205,0.1362445551724841,156.68944637196333
AZUCAR NATURAL O MORENA,9.734381927367842,NA,NA,NA,NA,NA,NA
AZUCAR REFINADA,10.20910476250266,NA,NA,NA,NA,NA,NA
AZUCAR SULFITADA,NA,214.2406073735135,115.5451743340055,152.09841300295776,0.2036965514310114,0.2595047751634708,158.1080123779503
BANANO CRIOLLO,NA,109.5273463147048,113.5801501354039,327.2957367195587,0.5124443900913128,0.2337411034006848,73.07019605878374
BANANOS,5.004232461975198,NA,NA,NA,NA,NA,NA
