cod_mun,articulo_ipc,alimento_sipsa,criterion,p,q,crit
05001,ARROZ PARA SECO,Arroz de primera,BIC,1,1,-253.29587625449707
05001,ARROZ PARA SECO,Arroz de primera,BIC,1,0,-248.35197534879956
05001,ARROZ PARA SECO,Arroz de primera,BIC,2,1,-245.89679995284342
05001,ARROZ PARA SECO,Arroz de primera,BIC,1,2,-245.0430718910307
05001,ARROZ PARA SECO,Arroz de primera,BIC,2,0,-244.17231576759582
05001,CEBOLLA CABEZONA,Cebolla cabezona blanca,BIC,1,0,-59.078485002217604
05001,CEBOLLA CABEZONA,Cebolla cabezona blanca,BIC,1,1,-58.15711545617097
05001,CEBOLLA CABEZONA,Cebolla cabezona blanca,BIC,2,0,-55.622709255195375
05001,CEBOLLA CABEZONA,Cebolla cabezona blanca,BIC,2,1,-54.36041780530752
05001,CEBOLLA CABEZONA,Cebolla cabezona blanca,BIC,1,2,-54.150682420698104
05001,PAPA,Papa R-12 negra,BIC,1,0,-71.58288700318987
05001,PAPA,Papa R-12 negra,BIC,1,1,-69.91742177354979
05001,PAPA,Papa R-12 negra,BIC,0,0,-67.21050699487466
05001,PAPA,Papa R-12 negra,BIC,2,0,-64.61309565068555
05001,PAPA,Papa R-12 negra,BIC,2,1,-63.01193757495875
05001,PAPA,Papa capira,BIC,1,0,-74.4573759166628
05001,PAPA,Papa capira,BIC,1,1,-73.10440536624452
05001,PAPA,Papa capira,BIC,0,0,-72.87670210079656
05001,PAPA,Papa capira,BIC,0,1,-67.6950533312489
05001,PAPA,Papa capira,BIC,2,0,-67.3959654234485
05001,PAPA,Papa nevada,BIC,1,0,-66.33745781770934
05001,PAPA,Papa nevada,BIC,1,1,-62.43890808647586
05001,PAPA,Papa nevada,BIC,2,0,-60.35875751242784
05001,PAPA,Papa nevada,BIC,0,0,-57.958642095320165
05001,PAPA,Papa nevada,BIC,1,2,-57.56647744498741
05001,PLÁTANO,Plátano guineo,BIC,0,0,-130.00420552170522
05001,PLÁTANO,Plátano guineo,BIC,1,0,-125.21403096021983
05001,PLÁTANO,Plátano guineo,BIC,0,1,-122.8687017817352
05001,PLÁTANO,Plátano guineo,BIC,3,0,-121.82765253490439
05001,PLÁTANO,Plátano guineo,BIC,1,1,-121.72727076267839
05001,PLÁTANO,Plátano hartón maduro,BIC,0,0,-136.20297490146535
05001,PLÁTANO,Plátano hartón maduro,BIC,0,1,-132.143657689157
05001,PLÁTANO,Plátano hartón maduro,BIC,0,2,-131.26846919451867
05001,PLÁTANO,Plátano hartón maduro,BIC,0,3,-130.1446334940717
05001,PLÁTANO,Plátano hartón maduro,BIC,1,0,-130.11572423852914
05001,PLÁTANO,Plátano hartón verde,BIC,0,0,-139.09468356258125
05001,PLÁTANO,Plátano hartón verde,BIC,0,1,-135.5301254201965
05001,PLÁTANO,Plátano hartón verde,BIC,0,2,-134.33948307902997
05001,PLÁTANO,Plátano hartón verde,BIC,0,3,-133.28916362142613
05001,PLÁTANO,Plátano hartón verde,BIC,1,0,-132.6607133300547
05001,TOMATE,Tomate larga vida,BIC,0,0,-14.200746889912573
05001,TOMATE,Tomate larga vida,BIC,0,1,-13.681340152331927
05001,TOMATE,Tomate larga vida,BIC,0,3,-12.201934794609784
05001,TOMATE,Tomate larga vida,BIC,1,0,-11.982481018435465
05001,TOMATE,Tomate larga vida,BIC,3,0,-10.682373869127886
05001,YUCA,Yuca ICA,BIC,0,1,-168.07524774812407
05001,YUCA,Yuca ICA,BIC,1,1,-167.55548375482053
05001,YUCA,Yuca ICA,BIC,1,0,-167.33180951322777
05001,YUCA,Yuca ICA,BIC,0,0,-165.0827442792645
05001,YUCA,Yuca ICA,BIC,3,1,-164.63663130643846
05001,ZANAHORIA,Zanahoria larga vida,BIC,1,0,-13.554226973005825
05001,ZANAHORIA,Zanahoria larga vida,BIC,1,1,-10.632972579411245
05001,ZANAHORIA,Zanahoria larga vida,BIC,0,0,-10.452004003863912
05001,ZANAHORIA,Zanahoria larga vida,BIC,2,0,-7.490238247569295
