cod_mun,articulo_ipc,alimento_sipsa,p_star,q_star,n_ecm,beta0_dlog,beta0_se,gamma_ect,gamma_se,IC,crit_value
05001,ARROZ PARA SECO,Arroz de primera,1,1,62,0.41012452161373736,0.09818829242000374,-0.07474327858932535,0.06270613629882145,BIC,-253.29587625449707
05001,CEBOLLA CABEZONA,Cebolla cabezona blanca,1,0,62,0.26242134587078464,0.09208083320521997,-0.21886638530684316,0.05545778119411073,BIC,-59.078485002217604
05001,PAPA,Papa R-12 negra,1,0,62,-0.08577306089456241,0.14166391568291187,-0.3298020108305037,0.06370851540713912,BIC,-71.58288700318987
05001,PAPA,Papa capira,1,0,62,-0.01939686198501272,0.1783558169238745,-0.3568591264303257,0.07087871355082184,BIC,-74.4573759166628
05001,PAPA,Papa nevada,1,0,62,0.08092269879493942,0.13783343840281218,-0.3266752484935717,0.07283557282992512,BIC,-66.33745781770934
05001,PLÁTANO,Plátano guineo,0,0,62,0.08646535712123077,0.10617715720330671,-0.06881382703304029,0.0464333393429186,BIC,-130.00420552170522
05001,PLÁTANO,Plátano hartón maduro,0,0,62,0.1289199816510389,0.1134318438664214,-0.11279387992950855,0.04621311031209568,BIC,-136.20297490146535
05001,PLÁTANO,Plátano hartón verde,0,0,62,0.12942331268600774,0.12350217069984797,-0.1354380124605138,0.04785384514614021,BIC,-139.09468356258125
05001,TOMATE,Tomate larga vida,0,0,62,-0.10920546850510426,0.4168964732619105,-0.5642299748530393,0.1346084264644037,BIC,-14.200746889912573
05001,YUCA,Yuca ICA,0,1,62,0.15730432008612732,0.060710707845527546,-0.16690703360437828,0.06194905273427716,BIC,-168.07524774812407
05001,ZANAHORIA,Zanahoria larga vida,1,0,62,0.15258262668593478,0.24031867621206598,-0.2600766402393787,0.09603331100032925,BIC,-13.554226973005825
11001,ARROZ PARA SECO,Arroz de primera,1,1,62,0.25435165580919084,0.06792687574052186,-0.04366287605995851,0.055977679125305345,BIC,-281.64833433659544
11001,CEBOLLA CABEZONA,Cebolla cabezona blanca,1,1,62,0.17483953980870495,0.09408355465855169,-0.15489370864646765,0.07245662105509665,BIC,-34.51455464502742
11001,PAPA,Papa R-12 negra,1,0,62,0.02677103857774019,0.11816042504630907,-0.21538760190715495,0.05526535595857498,BIC,-91.05058180715618
11001,PAPA,Papa parda pastusa,1,0,62,0.059060662310657513,0.119225071317878,-0.20648598662605705,0.054222728585637495,BIC,-91.71374741357637
11001,PAPA,Papa suprema,1,0,62,0.03649855241412736,0.09883581791958898,-0.2049270410713674,0.05354258711412748,BIC,-91.12963235860774
11001,PAPA,Papa única,1,0,62,0.03306898018628315,0.09744156129900276,-0.19581270035930257,0.05419170617979943,BIC,-89.47163961931774
11001,PLÁTANO,Plátano guineo,1,0,62,0.3331808361545022,0.23565662537205845,-0.18141690842935715,0.08501058114918836,BIC,-96.50723915033988
11001,PLÁTANO,Plátano hartón verde llanero,0,0,62,0.2177958478106819,0.2123480742002093,-0.35840290501761546,0.10005538485040827,BIC,-119.39238559527482
11001,TOMATE,Tomate chonto,0,0,62,-0.10730593348360978,0.2101010027256074,-0.5075079474910955,0.11787410823838645,BIC,-24.259851020495738
11001,TOMATE,Tomate larga vida,0,0,62,-0.15141840729780812,0.18491665436004953,-0.565346588767607,0.12148908020425876,BIC,-26.794240328645976
11001,YUCA,Yuca llanera,0,0,62,-0.030680295962207414,0.07459164287641915,-0.20324882234888175,0.06332518965957362,BIC,-145.96340963747775
11001,ZANAHORIA,Zanahoria,1,0,62,-0.03416818058723766,0.1668797368226182,-0.3024891583432851,0.08036781882201807,BIC,-23.67563585332944
76001,ARROZ PARA SECO,Arroz de primera,1,1,62,0.3979900589810081,0.05782285370248873,-0.09779636305263131,0.06577479609063658,BIC,-296.1746080402128
76001,CEBOLLA CABEZONA,Cebolla cabezona blanca bogotana,1,0,62,0.22801740518208555,0.09701763828904376,-0.29383094392503967,0.06900367792436529,BIC,-25.483685204273414
76001,PAPA,Papa capira,1,0,62,0.11937022002869016,0.1726418487306757,-0.2896184323259856,0.07683865108581948,BIC,-49.94515418382534
76001,PAPA,Papa parda pastusa,1,0,62,0.17521535782792033,0.14496917600751075,-0.26263895704178514,0.076867628624754,BIC,-50.345226689539274
76001,PAPA,Papa suprema,1,0,62,0.1473379872210879,0.1448223101051951,-0.24435287703701689,0.07258282783752706,BIC,-47.221670569006946
76001,PAPA,Papa única,1,0,62,0.10550440236150074,0.1347399390418244,-0.23120729032202325,0.07257699270138838,BIC,-44.3453393522675
76001,PLÁTANO,Plátano hartón verde,0,2,62,0.02062314241875675,0.13686117412860538,-0.17609975997399357,0.08413781479882441,BIC,-134.72622765929282
76001,TOMATE,Tomate larga vida,0,1,62,-0.029406917072923405,0.5241935681503995,-0.5639965147296235,0.14323796423225704,BIC,-3.6247533852888694
76001,YUCA,Yuca ICA,0,0,62,0.1986910835434017,0.047936964753298734,-0.16031053655642621,0.041192234761484356,BIC,-169.61383943070933
76001,ZANAHORIA,Zanahoria bogotana,1,0,62,-0.02022458341960526,0.1611419601789139,-0.29256091073640367,0.07514061271870309,BIC,-20.61502075036765
