cod_mun,articulo_ipc,alimento_sipsa
76001,ARROZ PARA SECO,Arroz de primera
76001,CEBOLLA CABEZONA,Cebolla cabezona blanca bogotana
76001,PAPA,Papa capira
76001,PAPA,Papa parda pastusa
76001,PAPA,Papa suprema
76001,PAPA,Papa única
76001,PLÁTANO,Plátano hartón verde
76001,TOMATE,Tomate larga vida
76001,YUCA,Yuca ICA
76001,ZANAHORIA,Zanahoria bogotana
11001,ARROZ PARA SECO,Arroz de primera
11001,CEBOLLA CABEZONA,Cebolla cabezona blanca
11001,PAPA,Papa R-12 negra
11001,PAPA,Papa parda pastusa
11001,PAPA,Papa suprema
11001,PAPA,Papa única
11001,PLÁTANO,Plátano guineo
11001,PLÁTANO,Plátano hartón verde llanero
11001,TOMATE,Tomate chonto
11001,TOMATE,Tomate larga vida
11001,YUCA,Yuca llanera
11001,ZANAHORIA,Zanahoria
05001,ARROZ PARA SECO,Arroz de primera
05001,CEBOLLA CABEZONA,Cebolla cabezona blanca
05001,PAPA,Papa R-12 negra
05001,PAPA,Papa capira
05001,PAPA,Papa nevada
05001,PLÁTANO,Plátano guineo
05001,PLÁTANO,Plátano hartón maduro
05001,PLÁTANO,Plátano hartón verde
05001,TOMATE,Tomate larga vida
05001,YUCA,Yuca ICA
05001,ZANAHORIA,Zanahoria larga vida
