adf_type,test_stat,cv_1pct,cv_5pct,cv_10pct,cod_mun,item_var,item,variable,n_obs
drift,-2.1998965373486246,-3.51,-2.89,-2.58,76001,articulo_ipc,ARROZ PARA SECO,precio_ipc,63
trend,-2.09078966385097,-4.04,-3.45,-3.15,76001,articulo_ipc,ARROZ PARA SECO,precio_ipc,63
drift,-4.177124670819322,-3.51,-2.89,-2.58,76001,articulo_ipc,CEBOLLA CABEZONA,precio_ipc,63
trend,-4.765710988949592,-4.04,-3.45,-3.15,76001,articulo_ipc,CEBOLLA CABEZONA,precio_ipc,63
drift,-2.8545298618834116,-3.51,-2.89,-2.58,76001,articulo_ipc,PAPA,precio_ipc,63
trend,-2.977055591710912,-4.04,-3.45,-3.15,76001,articulo_ipc,PAPA,precio_ipc,63
drift,-1.7960277015528037,-3.51,-2.89,-2.58,76001,articulo_ipc,PLÁTANO,precio_ipc,63
trend,-1.9973416001927482,-4.04,-3.45,-3.15,76001,articulo_ipc,PLÁTANO,precio_ipc,63
drift,-4.138212395417263,-3.51,-2.89,-2.58,76001,articulo_ipc,TOMATE,precio_ipc,63
trend,-4.519462565769579,-4.04,-3.45,-3.15,76001,articulo_ipc,TOMATE,precio_ipc,63
drift,-1.1339686633155863,-3.51,-2.89,-2.58,76001,articulo_ipc,YUCA,precio_ipc,63
trend,-1.311017814515429,-4.04,-3.45,-3.15,76001,articulo_ipc,YUCA,precio_ipc,63
drift,-3.6388649765238483,-3.51,-2.89,-2.58,76001,articulo_ipc,ZANAHORIA,precio_ipc,63
trend,-5.088823426508061,-4.04,-3.45,-3.15,76001,articulo_ipc,ZANAHORIA,precio_ipc,63
drift,-2.293490852211,-3.51,-2.89,-2.58,11001,articulo_ipc,ARROZ PARA SECO,precio_ipc,63
trend,-2.147957222974282,-4.04,-3.45,-3.15,11001,articulo_ipc,ARROZ PARA SECO,precio_ipc,63
drift,-4.101617042469399,-3.51,-2.89,-2.58,11001,articulo_ipc,CEBOLLA CABEZONA,precio_ipc,63
trend,-4.541056789363062,-4.04,-3.45,-3.15,11001,articulo_ipc,CEBOLLA CABEZONA,precio_ipc,63
drift,-3.547011420872339,-3.51,-2.89,-2.58,11001,articulo_ipc,PAPA,precio_ipc,63
trend,-3.5362601670718075,-4.04,-3.45,-3.15,11001,articulo_ipc,PAPA,precio_ipc,63
drift,-2.3379092422280405,-3.51,-2.89,-2.58,11001,articulo_ipc,PLÁTANO,precio_ipc,63
trend,-2.582154389275699,-4.04,-3.45,-3.15,11001,articulo_ipc,PLÁTANO,precio_ipc,63
drift,-4.35271487881409,-3.51,-2.89,-2.58,11001,articulo_ipc,TOMATE,precio_ipc,63
trend,-4.773855843873046,-4.04,-3.45,-3.15,11001,articulo_ipc,TOMATE,precio_ipc,63
drift,-1.0271443424648738,-3.51,-2.89,-2.58,11001,articulo_ipc,YUCA,precio_ipc,63
trend,-0.9700552920813896,-4.04,-3.45,-3.15,11001,articulo_ipc,YUCA,precio_ipc,63
drift,-3.9045571569235578,-3.51,-2.89,-2.58,11001,articulo_ipc,ZANAHORIA,precio_ipc,63
trend,-5.091014747159402,-4.04,-3.45,-3.15,11001,articulo_ipc,ZANAHORIA,precio_ipc,63
drift,-2.2469754532246795,-3.51,-2.89,-2.58,05001,articulo_ipc,ARROZ PARA SECO,precio_ipc,63
trend,-2.1566970870458357,-4.04,-3.45,-3.15,05001,articulo_ipc,ARROZ PARA SECO,precio_ipc,63
drift,-4.461520531451713,-3.51,-2.89,-2.58,05001,articulo_ipc,CEBOLLA CABEZONA,precio_ipc,63
trend,-5.230774110563771,-4.04,-3.45,-3.15,05001,articulo_ipc,CEBOLLA CABEZONA,precio_ipc,63
drift,-2.69585071835178,-3.51,-2.89,-2.58,05001,articulo_ipc,PAPA,precio_ipc,63
trend,-2.921293110062037,-4.04,-3.45,-3.15,05001,articulo_ipc,PAPA,precio_ipc,63
drift,-1.5268352529522835,-3.51,-2.89,-2.58,05001,articulo_ipc,PLÁTANO,precio_ipc,63
trend,-1.8596104088462506,-4.04,-3.45,-3.15,05001,articulo_ipc,PLÁTANO,precio_ipc,63
drift,-4.081994850894777,-3.51,-2.89,-2.58,05001,articulo_ipc,TOMATE,precio_ipc,63
trend,-4.835720130025387,-4.04,-3.45,-3.15,05001,articulo_ipc,TOMATE,precio_ipc,63
drift,-1.539852239359499,-3.51,-2.89,-2.58,05001,articulo_ipc,YUCA,precio_ipc,63
trend,-1.945051488008883,-4.04,-3.45,-3.15,05001,articulo_ipc,YUCA,precio_ipc,63
drift,-3.421869305517127,-3.51,-2.89,-2.58,05001,articulo_ipc,ZANAHORIA,precio_ipc,63
trend,-4.797801743936639,-4.04,-3.45,-3.15,05001,articulo_ipc,ZANAHORIA,precio_ipc,63
