adf_type,test_stat,cv_1pct,cv_5pct,cv_10pct,cod_mun,item_var,item,variable,n_obs
drift,-1.4152167921767462,-3.51,-2.89,-2.58,76001,alimento_sipsa,Arroz de primera,precio_sipsa,63
trend,-1.0335587474721148,-4.04,-3.45,-3.15,76001,alimento_sipsa,Arroz de primera,precio_sipsa,63
drift,-2.9984372581522467,-3.51,-2.89,-2.58,76001,alimento_sipsa,Cebolla cabezona blanca bogotana,precio_sipsa,63
trend,-3.10317421450775,-4.04,-3.45,-3.15,76001,alimento_sipsa,Cebolla cabezona blanca bogotana,precio_sipsa,63
drift,-2.5894514925359693,-3.51,-2.89,-2.58,76001,alimento_sipsa,Cebolla cabezona blanca pastusa,precio_sipsa,63
trend,-2.621405791296104,-4.04,-3.45,-3.15,76001,alimento_sipsa,Cebolla cabezona blanca pastusa,precio_sipsa,63
drift,-2.707834277952863,-3.51,-2.89,-2.58,76001,alimento_sipsa,Papa capira,precio_sipsa,63
trend,-2.762511466269515,-4.04,-3.45,-3.15,76001,alimento_sipsa,Papa capira,precio_sipsa,63
drift,-2.998425974613839,-3.51,-2.89,-2.58,76001,alimento_sipsa,Papa parda pastusa,precio_sipsa,63
trend,-3.0401242131810036,-4.04,-3.45,-3.15,76001,alimento_sipsa,Papa parda pastusa,precio_sipsa,63
drift,-2.765930328054563,-3.51,-2.89,-2.58,76001,alimento_sipsa,Papa suprema,precio_sipsa,63
trend,-2.8242812494679135,-4.04,-3.45,-3.15,76001,alimento_sipsa,Papa suprema,precio_sipsa,63
drift,-2.6364428753480227,-3.51,-2.89,-2.58,76001,alimento_sipsa,Papa única,precio_sipsa,63
trend,-2.8200950883351483,-4.04,-3.45,-3.15,76001,alimento_sipsa,Papa única,precio_sipsa,63
drift,-1.5579172863005777,-3.51,-2.89,-2.58,76001,alimento_sipsa,Plátano hartón verde,precio_sipsa,63
trend,-1.5600782664698802,-4.04,-3.45,-3.15,76001,alimento_sipsa,Plátano hartón verde,precio_sipsa,63
drift,-1.4563507496715966,-3.51,-2.89,-2.58,76001,alimento_sipsa,Tomate larga vida,precio_sipsa,63
trend,-2.7372499882850394,-4.04,-3.45,-3.15,76001,alimento_sipsa,Tomate larga vida,precio_sipsa,63
drift,-1.431452537921036,-3.51,-2.89,-2.58,76001,alimento_sipsa,Yuca ICA,precio_sipsa,63
trend,-1.6142977253317417,-4.04,-3.45,-3.15,76001,alimento_sipsa,Yuca ICA,precio_sipsa,63
drift,-2.5472437898130256,-3.51,-2.89,-2.58,76001,alimento_sipsa,Zanahoria,precio_sipsa,63
trend,-2.49504477427824,-4.04,-3.45,-3.15,76001,alimento_sipsa,Zanahoria,precio_sipsa,63
drift,-2.6597590514933134,-3.51,-2.89,-2.58,76001,alimento_sipsa,Zanahoria bogotana,precio_sipsa,63
trend,-2.9694156363209703,-4.04,-3.45,-3.15,76001,alimento_sipsa,Zanahoria bogotana,precio_sipsa,63
drift,-1.4678572670025487,-3.51,-2.89,-2.58,11001,alimento_sipsa,Arroz de primera,precio_sipsa,63
trend,-1.2918933260675947,-4.04,-3.45,-3.15,11001,alimento_sipsa,Arroz de primera,precio_sipsa,63
drift,-3.176386646374008,-3.51,-2.89,-2.58,11001,alimento_sipsa,Cebolla cabezona blanca,precio_sipsa,63
trend,-3.1370602614645557,-4.04,-3.45,-3.15,11001,alimento_sipsa,Cebolla cabezona blanca,precio_sipsa,63
drift,-2.6687782414313745,-3.51,-2.89,-2.58,11001,alimento_sipsa,Papa R-12 negra,precio_sipsa,63
trend,-2.918758687419313,-4.04,-3.45,-3.15,11001,alimento_sipsa,Papa R-12 negra,precio_sipsa,63
drift,-2.7634598155562218,-3.51,-2.89,-2.58,11001,alimento_sipsa,Papa R-12 roja,precio_sipsa,63
