articulo_ipc,alimento_sipsa,cod_mun,city,type,lag,EG,p.value,d,n_obs
ARROZ PARA SECO,Arroz de primera,05001,Medellín,type 1,3,-2.4852331023082197,0.1,0,63
ARROZ PARA SECO,Arroz de primera,05001,Medellín,type 2,3,0.017412134030662066,0.1,0,63
ARROZ PARA SECO,Arroz de primera,05001,Medellín,type 3,3,-0.45782803316780757,0.1,0,63
ARROZ PARA SECO,Arroz de primera,11001,Bogotá,type 1,3,-2.291421756343131,0.1,0,63
ARROZ PARA SECO,Arroz de primera,11001,Bogotá,type 2,3,-0.0178948721468307,0.1,0,63
ARROZ PARA SECO,Arroz de primera,11001,Bogotá,type 3,3,-0.033262896904404905,0.1,0,63
ARROZ PARA SECO,Arroz de primera,76001,Cali,type 1,3,-3.091722732628033,0.03837605243672534,0,63
ARROZ PARA SECO,Arroz de primera,76001,Cali,type 2,3,-0.1125967835607654,0.1,0,63
ARROZ PARA SECO,Arroz de primera,76001,Cali,type 3,3,-0.48219502105665174,0.1,0,63
CEBOLLA CABEZONA,Cebolla cabezona blanca,05001,Medellín,type 1,3,-3.4304320727834314,0.016875498844362374,0,63
CEBOLLA CABEZONA,Cebolla cabezona blanca,05001,Medellín,type 2,3,0.9086915966040516,0.1,0,63
CEBOLLA CABEZONA,Cebolla cabezona blanca,05001,Medellín,type 3,3,-0.24039787968871043,0.1,0,63
CEBOLLA CABEZONA,Cebolla cabezona blanca,11001,Bogotá,type 1,3,-3.971326413617787,0.01,0,63
CEBOLLA CABEZONA,Cebolla cabezona blanca,11001,Bogotá,type 2,3,0.9270917286853416,0.1,0,63
CEBOLLA CABEZONA,Cebolla cabezona blanca,11001,Bogotá,type 3,3,-0.0660882533015536,0.1,0,63
CEBOLLA CABEZONA,Cebolla cabezona blanca bogotana,76001,Cali,type 1,3,-4.185978732797196,0.01,0,63
CEBOLLA CABEZONA,Cebolla cabezona blanca bogotana,76001,Cali,type 2,3,0.8554045193119467,0.1,0,63
CEBOLLA CABEZONA,Cebolla cabezona blanca bogotana,76001,Cali,type 3,3,-0.17243205299810324,0.1,0,63
CEBOLLA CABEZONA,Cebolla cabezona blanca pastusa,76001,Cali,type 1,3,-3.7226377398360917,0.01,0,63
CEBOLLA CABEZONA,Cebolla cabezona blanca pastusa,76001,Cali,type 2,3,0.8096609711004209,0.1,0,63
CEBOLLA CABEZONA,Cebolla cabezona blanca pastusa,76001,Cali,type 3,3,-0.06544195502928932,0.1,0,63
PAPA,Papa R-12 negra,05001,Medellín,type 1,3,-4.101180674214624,0.01,0,63
PAPA,Papa R-12 negra,05001,Medellín,type 2,3,0.5418761200572308,0.1,0,63
PAPA,Papa R-12 negra,05001,Medellín,type 3,3,-0.5181000427801945,0.1,0,63
PAPA,Papa R-12 negra,11001,Bogotá,type 1,3,-4.097472023585876,0.01,0,63
PAPA,Papa R-12 negra,11001,Bogotá,type 2,3,-0.26317334993696484,0.1,0,63
PAPA,Papa R-12 negra,11001,Bogotá,type 3,3,0.9555556801267592,0.1,0,63
PAPA,Papa R-12 roja,11001,Bogotá,type 1,3,-4.04816125724981,0.01,0,63
PAPA,Papa R-12 roja,11001,Bogotá,type 2,3,-0.16869758912924038,0.1,0,63
PAPA,Papa R-12 roja,11001,Bogotá,type 3,3,0.9752273031389678,0.1,0,63
PAPA,Papa capira,05001,Medellín,type 1,3,-4.010166836711602,0.01,0,63
PAPA,Papa capira,05001,Medellín,type 2,3,0.3339639998014958,0.1,0,63
PAPA,Papa capira,05001,Medellín,type 3,3,0.027483509542563723,0.1,0,63
PAPA,Papa capira,76001,Cali,type 1,3,-3.93138221469824,0.01,0,63
PAPA,Papa capira,76001,Cali,type 2,3,0.18142144660972825,0.1,0,63
PAPA,Papa capira,76001,Cali,type 3,3,0.149325103923433,0.1,0,63
PAPA,Papa nevada,05001,Medellín,type 1,3,-4.339241998768171,0.01,0,63
PAPA,Papa nevada,05001,Medellín,type 2,3,0.16025849215112153,0.1,0,63
PAPA,Papa nevada,05001,Medellín,type 3,3,-0.21015635761339677,0.1,0,63
