"ciudad","trimestre","fecha","Demo_Group","Sex","person","cost_day","total_household","per_capita","per_capita_year","per_capita_month"
"BOGOTA","1999Q1",1999-01-01,"31 a 50 años",0,1,526.844453374967,1262.1469540855,420.715651361832,153561.212747069,12621.469540855
"BOGOTA","1999Q1",1999-01-01,"31 a 50 años",1,2,378.034637885464,1262.1469540855,420.715651361832,153561.212747069,12621.469540855
"BOGOTA","1999Q1",1999-01-01,"9 a 13 años",1,3,357.267862825065,1262.1469540855,420.715651361832,153561.212747069,12621.469540855
"BOGOTA","1999Q2",1999-04-01,"31 a 50 años",0,1,539.222332294043,1291.80030257511,430.600100858371,157169.036813306,12918.0030257511
"BOGOTA","1999Q2",1999-04-01,"31 a 50 años",1,2,386.916323827088,1291.80030257511,430.600100858371,157169.036813306,12918.0030257511
"BOGOTA","1999Q2",1999-04-01,"9 a 13 años",1,3,365.661646453984,1291.80030257511,430.600100858371,157169.036813306,12918.0030257511
"BOGOTA","1999Q3",1999-07-01,"31 a 50 años",0,1,536.509102788697,1285.30029230838,428.433430769461,156378.202230853,12853.0029230838
"BOGOTA","1999Q3",1999-07-01,"31 a 50 años",1,2,384.969459383545,1285.30029230838,428.433430769461,156378.202230853,12853.0029230838
"BOGOTA","1999Q3",1999-07-01,"9 a 13 años",1,3,363.821730136142,1285.30029230838,428.433430769461,156378.202230853,12853.0029230838
"BOGOTA","1999Q4",1999-10-01,"31 a 50 años",0,1,530.198833260212,1270.18295091129,423.39431697043,154538.925694207,12701.8295091129
"BOGOTA","1999Q4",1999-10-01,"31 a 50 años",1,2,380.441556620445,1270.18295091129,423.39431697043,154538.925694207,12701.8295091129
"BOGOTA","1999Q4",1999-10-01,"9 a 13 años",1,3,359.542561030632,1270.18295091129,423.39431697043,154538.925694207,12701.8295091129
"BOGOTA","2000Q1",2000-01-01,"31 a 50 años",0,1,551.36421370907,1320.88827825118,440.296092750395,160708.073853894,13208.8827825118
"BOGOTA","2000Q1",2000-01-01,"31 a 50 años",1,2,395.628670924175,1320.88827825118,440.296092750395,160708.073853894,13208.8827825118
"BOGOTA","2000Q1",2000-01-01,"9 a 13 años",1,3,373.89539361794,1320.88827825118,440.296092750395,160708.073853894,13208.8827825118
"BOGOTA","2000Q2",2000-04-01,"31 a 50 años",0,1,568.26726182254,1361.38245172973,453.794150576578,165634.864960451,13613.8245172973
"BOGOTA","2000Q2",2000-04-01,"31 a 50 años",1,2,407.757369692478,1361.38245172973,453.794150576578,165634.864960451,13613.8245172973
"BOGOTA","2000Q2",2000-04-01,"9 a 13 años",1,3,385.357820214715,1361.38245172973,453.794150576578,165634.864960451,13613.8245172973
"BOGOTA","2000Q3",2000-07-01,"31 a 50 años",0,1,607.819636971792,1456.13700310003,485.379001033344,177163.335377171,14561.3700310003
"BOGOTA","2000Q3",2000-07-01,"31 a 50 años",1,2,436.137981315651,1456.13700310003,485.379001033344,177163.335377171,14561.3700310003
"BOGOTA","2000Q3",2000-07-01,"9 a 13 años",1,3,412.179384812589,1456.13700310003,485.379001033344,177163.335377171,14561.3700310003
"BOGOTA","2000Q4",2000-10-01,"31 a 50 años",0,1,612.305895845053,1466.88461168897,488.961537229656,178470.961088824,14668.8461168897
"BOGOTA","2000Q4",2000-10-01,"31 a 50 años",1,2,439.357074233398,1466.88461168897,488.961537229656,178470.961088824,14668.8461168897
"BOGOTA","2000Q4",2000-10-01,"9 a 13 años",1,3,415.221641610516,1466.88461168897,488.961537229656,178470.961088824,14668.8461168897
"BOGOTA","2001Q1",2001-01-01,"31 a 50 años",0,1,620.022790341379,1485.37176633422,495.123922111407,180720.231570663,14853.7176633422
"BOGOTA","2001Q1",2001-01-01,"31 a 50 años",1,2,444.894293801396,1485.37176633422,495.123922111407,180720.231570663,14853.7176633422
"BOGOTA","2001Q1",2001-01-01,"9 a 13 años",1,3,420.454682191446,1485.37176633422,495.123922111407,180720.231570663,14853.7176633422
"BOGOTA","2001Q2",2001-04-01,"31 a 50 años",0,1,637.415150916096,1527.03817239224,509.012724130746,185789.644307722,15270.3817239224
"BOGOTA","2001Q2",2001-04-01,"31 a 50 años",1,2,457.374096311829,1527.03817239224,509.012724130746,185789.644307722,15270.3817239224
"BOGOTA","2001Q2",2001-04-01,"9 a 13 años",1,3,432.248925164313,1527.03817239224,509.012724130746,185789.644307722,15270.3817239224
"BOGOTA","2001Q3",2001-07-01,"31 a 50 años",0,1,659.948556215262,1581.02083972664,527.006946575547,192357.535500075,15810.2083972664
"BOGOTA","2001Q3",2001-07-01,"31 a 50 años",1,2,473.542830096587,1581.02083972664,527.006946575547,192357.535500075,15810.2083972664
"BOGOTA","2001Q3",2001-07-01,"9 a 13 años",1,3,447.529453414792,1581.02083972664,527.006946575547,192357.535500075,15810.2083972664
"BOGOTA","2001Q4",2001-10-01,"31 a 50 años",0,1,669.372811326091,1603.59827184433,534.532757281445,195104.456407727,16035.9827184434
"BOGOTA","2001Q4",2001-10-01,"31 a 50 años",1,2,480.30515784881,1603.59827184433,534.532757281445,195104.456407727,16035.9827184434
"BOGOTA","2001Q4",2001-10-01,"9 a 13 años",1,3,453.920302669434,1603.59827184433,534.532757281445,195104.456407727,16035.9827184434
"BOGOTA","2002Q1",2002-01-01,"31 a 50 años",0,1,674.104252427384,1614.93325684072,538.311085613573,196483.546248954,16149.3325684072
"BOGOTA","2002Q1",2002-01-01,"31 a 50 años",1,2,483.700180064468,1614.93325684072,538.311085613573,196483.546248954,16149.3325684072
"BOGOTA","2002Q1",2002-01-01,"9 a 13 años",1,3,457.128824348866,1614.93325684072,538.311085613573,196483.546248954,16149.3325684072
"BOGOTA","2002Q2",2002-04-01,"31 a 50 años",0,1,672.348877690444,1610.72795323865,536.909317746216,195971.900977369,16107.2795323865
"BOGOTA","2002Q2",2002-04-01,"31 a 50 años",1,2,482.440619583605,1610.72795323865,536.909317746216,195971.900977369,16107.2795323865
"BOGOTA","2002Q2",2002-04-01,"9 a 13 años",1,3,455.938455964599,1610.72795323865,536.909317746216,195971.900977369,16107.2795323865
"BOGOTA","2002Q3",2002-07-01,"31 a 50 años",0,1,682.205205954759,1634.34049128015,544.780163760051,198844.759772419,16343.4049128015
"BOGOTA","2002Q3",2002-07-01,"31 a 50 años",1,2,489.512979295114,1634.34049128015,544.780163760051,198844.759772419,16343.4049128015
"BOGOTA","2002Q3",2002-07-01,"9 a 13 años",1,3,462.622306030281,1634.34049128015,544.780163760051,198844.759772419,16343.4049128015
"BOGOTA","2002Q4",2002-10-01,"31 a 50 años",0,1,673.327448664485,1613.07228915474,537.690763051581,196257.128513827,16130.7228915474
"BOGOTA","2002Q4",2002-10-01,"31 a 50 años",1,2,483.142788357419,1613.07228915474,537.690763051581,196257.128513827,16130.7228915474
"BOGOTA","2002Q4",2002-10-01,"9 a 13 años",1,3,456.60205213284,1613.07228915474,537.690763051581,196257.128513827,16130.7228915474
"BOGOTA","2003Q1",2003-01-01,"31 a 50 años",0,1,698.664366203716,1673.77125465243,557.92375155081,203642.169316046,16737.7125465243
"BOGOTA","2003Q1",2003-01-01,"31 a 50 años",1,2,501.323168516532,1673.77125465243,557.92375155081,203642.169316046,16737.7125465243
"BOGOTA","2003Q1",2003-01-01,"9 a 13 años",1,3,473.783719932184,1673.77125465243,557.92375155081,203642.169316046,16737.7125465243
"BOGOTA","2003Q2",2003-04-01,"31 a 50 años",0,1,732.662141281242,1755.21880142815,585.072933809382,213551.620840424,17552.1880142815
"BOGOTA","2003Q2",2003-04-01,"31 a 50 años",1,2,525.718104266566,1755.21880142815,585.072933809382,213551.620840424,17552.1880142815
"BOGOTA","2003Q2",2003-04-01,"9 a 13 años",1,3,496.838555880338,1755.21880142815,585.072933809382,213551.620840424,17552.1880142815
"BOGOTA","2003Q3",2003-07-01,"31 a 50 años",0,1,753.666107961185,1805.53743418394,601.845811394648,219673.721159046,18055.3743418394
"BOGOTA","2003Q3",2003-07-01,"31 a 50 años",1,2,540.789396916884,1805.53743418394,601.845811394648,219673.721159046,18055.3743418394
"BOGOTA","2003Q3",2003-07-01,"9 a 13 años",1,3,511.081929305874,1805.53743418394,601.845811394648,219673.721159046,18055.3743418394
"BOGOTA","2003Q4",2003-10-01,"31 a 50 años",0,1,746.97248073153,1789.50169314961,596.500564383205,217722.70599987,17895.0169314961
"BOGOTA","2003Q4",2003-10-01,"31 a 50 años",1,2,535.986417726929,1789.50169314961,596.500564383205,217722.70599987,17895.0169314961
"BOGOTA","2003Q4",2003-10-01,"9 a 13 años",1,3,506.542794691156,1789.50169314961,596.500564383205,217722.70599987,17895.0169314961
"BOGOTA","2004Q1",2004-01-01,"31 a 50 años",0,1,812.299659519221,1946.00424185767,648.668080619222,236763.849426016,19460.0424185767
