"Demo_Group","Sex","Person","cost_day","total_household","per_capita","per_capita_year","per_capita_month","ciudad","fecha"
"31 a 50 años",0,1,517.457233876558,1239.65824717903,413.219415726342,150825.086740115,12396.5824717903,"BOGOTÁ D.C.",10592
"31 a 50 años",1,2,371.298884854186,1239.65824717903,413.219415726342,150825.086740115,12396.5824717903,"BOGOTÁ D.C.",10592
"9 a 13 años",1,3,350.902128448282,1239.65824717903,413.219415726342,150825.086740115,12396.5824717903,"BOGOTÁ D.C.",10592
"31 a 50 años",0,1,520.423211880354,1246.76376016183,415.587920053944,151689.59081969,12467.6376016183,"BOGOTÁ D.C.",10623
"31 a 50 años",1,2,373.427107735643,1246.76376016183,415.587920053944,151689.59081969,12467.6376016183,"BOGOTÁ D.C.",10623
"9 a 13 años",1,3,352.913440545836,1246.76376016183,415.587920053944,151689.59081969,12467.6376016183,"BOGOTÁ D.C.",10623
"31 a 50 años",0,1,542.652914367989,1300.01885491563,433.339618305209,158168.960681401,13000.1885491563,"BOGOTÁ D.C.",10651
"31 a 50 años",1,2,389.377921066563,1300.01885491563,433.339618305209,158168.960681401,13000.1885491563,"BOGOTÁ D.C.",10651
"9 a 13 años",1,3,367.988019481076,1300.01885491563,433.339618305209,158168.960681401,13000.1885491563,"BOGOTÁ D.C.",10651
"31 a 50 años",0,1,538.082887035609,1289.07056450334,429.690188167781,156836.91868124,12890.7056450334,"BOGOTÁ D.C.",10682
"31 a 50 años",1,2,386.098720504318,1289.07056450334,429.690188167781,156836.91868124,12890.7056450334,"BOGOTÁ D.C.",10682
"9 a 13 años",1,3,364.888956963416,1289.07056450334,429.690188167781,156836.91868124,12890.7056450334,"BOGOTÁ D.C.",10682
"31 a 50 años",0,1,531.407818073503,1273.07928300676,424.359761002253,154891.312765822,12730.7928300676,"BOGOTÁ D.C.",10712
"31 a 50 años",1,2,381.30905770767,1273.07928300676,424.359761002253,154891.312765822,12730.7928300676,"BOGOTÁ D.C.",10712
"9 a 13 años",1,3,360.362407225586,1273.07928300676,424.359761002253,154891.312765822,12730.7928300676,"BOGOTÁ D.C.",10712
"31 a 50 años",0,1,548.176291773017,1313.25106021524,437.750353405081,159778.878992855,13132.5106021524,"BOGOTÁ D.C.",10743
"31 a 50 años",1,2,393.341193269276,1313.25106021524,437.750353405081,159778.878992855,13132.5106021524,"BOGOTÁ D.C.",10743
"9 a 13 años",1,3,371.73357517295,1313.25106021524,437.750353405081,159778.878992855,13132.5106021524,"BOGOTÁ D.C.",10743
"31 a 50 años",0,1,543.848385094009,1302.88281167911,434.294270559702,158517.408754291,13028.8281167911,"BOGOTÁ D.C.",10773
"31 a 50 años",1,2,390.23572518715,1302.88281167911,434.294270559702,158517.408754291,13028.8281167911,"BOGOTÁ D.C.",10773
"9 a 13 años",1,3,368.798701397947,1302.88281167911,434.294270559702,158517.408754291,13028.8281167911,"BOGOTÁ D.C.",10773
"31 a 50 años",0,1,530.062640392691,1269.85667735596,423.285559118652,154499.229078308,12698.5667735596,"BOGOTÁ D.C.",10804
"31 a 50 años",1,2,380.343832100378,1269.85667735596,423.285559118652,154499.229078308,12698.5667735596,"BOGOTÁ D.C.",10804
"9 a 13 años",1,3,359.450204862887,1269.85667735596,423.285559118652,154499.229078308,12698.5667735596,"BOGOTÁ D.C.",10804
