"ciudad","trimestre","fecha","Demo_Group","Sex","person","cost_day","total_household","per_capita","per_capita_year","per_capita_month"
"BOGOTA","1999Q1",1999-01-01,"31 a 50 años",0,1,1213.30688680845,3591.30754907842,1197.10251635947,436942.418471208,35913.0754907842
"BOGOTA","1999Q1",1999-01-01,"31 a 50 años",1,2,1102.26736875635,3591.30754907842,1197.10251635947,436942.418471208,35913.0754907842
"BOGOTA","1999Q1",1999-01-01,"9 a 13 años",1,3,1275.73329351362,3591.30754907842,1197.10251635947,436942.418471208,35913.0754907842
"BOGOTA","1999Q2",1999-04-01,"31 a 50 años",0,1,1201.5442413937,3556.19084175089,1185.3969472503,432669.885746359,35561.9084175089
"BOGOTA","1999Q2",1999-04-01,"31 a 50 años",1,2,1084.093361452,3556.19084175089,1185.3969472503,432669.885746359,35561.9084175089
"BOGOTA","1999Q2",1999-04-01,"9 a 13 años",1,3,1270.55323890519,3556.19084175089,1185.3969472503,432669.885746359,35561.9084175089
"BOGOTA","1999Q3",1999-07-01,"31 a 50 años",0,1,1187.12761186159,3480.69655632921,1160.23218544307,423484.74768672,34806.9655632921
"BOGOTA","1999Q3",1999-07-01,"31 a 50 años",1,2,1068.32475947219,3480.69655632921,1160.23218544307,423484.74768672,34806.9655632921
"BOGOTA","1999Q3",1999-07-01,"9 a 13 años",1,3,1225.24418499544,3480.69655632921,1160.23218544307,423484.74768672,34806.9655632921
"BOGOTA","1999Q4",1999-10-01,"31 a 50 años",0,1,1271.93539408643,3748.90641556164,1249.63547185388,456116.947226666,37489.0641556164
"BOGOTA","1999Q4",1999-10-01,"31 a 50 años",1,2,1152.21642760483,3748.90641556164,1249.63547185388,456116.947226666,37489.0641556164
"BOGOTA","1999Q4",1999-10-01,"9 a 13 años",1,3,1324.75459387037,3748.90641556164,1249.63547185388,456116.947226666,37489.0641556164
"BOGOTA","2000Q1",2000-01-01,"31 a 50 años",0,1,1304.77177984931,3871.14438714212,1290.38146238071,470989.233768958,38711.4438714212
"BOGOTA","2000Q1",2000-01-01,"31 a 50 años",1,2,1187.14536669182,3871.14438714212,1290.38146238071,470989.233768958,38711.4438714212
"BOGOTA","2000Q1",2000-01-01,"9 a 13 años",1,3,1379.227240601,3871.14438714212,1290.38146238071,470989.233768958,38711.4438714212
"BOGOTA","2000Q2",2000-04-01,"31 a 50 años",0,1,1305.55943272919,3875.2213917312,1291.7404639104,471485.269327295,38752.213917312
"BOGOTA","2000Q2",2000-04-01,"31 a 50 años",1,2,1184.61140810361,3875.2213917312,1291.7404639104,471485.269327295,38752.213917312
"BOGOTA","2000Q2",2000-04-01,"9 a 13 años",1,3,1385.0505508984,3875.2213917312,1291.7404639104,471485.269327295,38752.213917312
"BOGOTA","2000Q3",2000-07-01,"31 a 50 años",0,1,1314.4489667519,3910.15906147967,1303.38635382656,475736.019146694,39101.5906147967
"BOGOTA","2000Q3",2000-07-01,"31 a 50 años",1,2,1198.59467585287,3910.15906147967,1303.38635382656,475736.019146694,39101.5906147967
"BOGOTA","2000Q3",2000-07-01,"9 a 13 años",1,3,1397.1154188749,3910.15906147967,1303.38635382656,475736.019146694,39101.5906147967
"BOGOTA","2000Q4",2000-10-01,"31 a 50 años",0,1,1330.39838786107,3978.84868428557,1326.28289476186,484093.256588078,39788.4868428557
"BOGOTA","2000Q4",2000-10-01,"31 a 50 años",1,2,1226.49728085423,3978.84868428557,1326.28289476186,484093.256588078,39788.4868428557
"BOGOTA","2000Q4",2000-10-01,"9 a 13 años",1,3,1421.95301557027,3978.84868428557,1326.28289476186,484093.256588078,39788.4868428557
"BOGOTA","2001Q1",2001-01-01,"31 a 50 años",0,1,1387.09229508132,4142.80309086765,1380.93436362255,504041.042722231,41428.0309086765
"BOGOTA","2001Q1",2001-01-01,"31 a 50 años",1,2,1273.81624701202,4142.80309086765,1380.93436362255,504041.042722231,41428.0309086765
"BOGOTA","2001Q1",2001-01-01,"9 a 13 años",1,3,1481.8945487743,4142.80309086765,1380.93436362255,504041.042722231,41428.0309086765
"BOGOTA","2001Q2",2001-04-01,"31 a 50 años",0,1,1417.75336219904,4224.49342510996,1408.16447503665,513980.033388378,42244.9342510996
"BOGOTA","2001Q2",2001-04-01,"31 a 50 años",1,2,1294.84431003589,4224.49342510996,1408.16447503665,513980.033388378,42244.9342510996
"BOGOTA","2001Q2",2001-04-01,"9 a 13 años",1,3,1511.89575287503,4224.49342510996,1408.16447503665,513980.033388378,42244.9342510996
"BOGOTA","2001Q3",2001-07-01,"31 a 50 años",0,1,1417.47659785897,4212.66655420451,1404.22218473484,512541.097428215,42126.6655420451
"BOGOTA","2001Q3",2001-07-01,"31 a 50 años",1,2,1287.94706971761,4212.66655420451,1404.22218473484,512541.097428215,42126.6655420451
"BOGOTA","2001Q3",2001-07-01,"9 a 13 años",1,3,1507.24288662792,4212.66655420451,1404.22218473484,512541.097428215,42126.6655420451
"BOGOTA","2001Q4",2001-10-01,"31 a 50 años",0,1,1442.37064709961,4294.36367702487,1431.45455900829,522480.914038026,42943.6367702487
"BOGOTA","2001Q4",2001-10-01,"31 a 50 años",1,2,1324.04143967887,4294.36367702487,1431.45455900829,522480.914038026,42943.6367702487
"BOGOTA","2001Q4",2001-10-01,"9 a 13 años",1,3,1527.95159024639,4294.36367702487,1431.45455900829,522480.914038026,42943.6367702487
"BOGOTA","2002Q1",2002-01-01,"31 a 50 años",0,1,1480.60184058572,4428.06535977917,1476.02178659306,538747.952106466,44280.6535977917
"BOGOTA","2002Q1",2002-01-01,"31 a 50 años",1,2,1365.77038169772,4428.06535977917,1476.02178659306,538747.952106466,44280.6535977917
"BOGOTA","2002Q1",2002-01-01,"9 a 13 años",1,3,1581.69313749573,4428.06535977917,1476.02178659306,538747.952106466,44280.6535977917
"BOGOTA","2002Q2",2002-04-01,"31 a 50 años",0,1,1469.67757468667,4393.19976240153,1464.39992080051,534505.971092186,43931.9976240153
"BOGOTA","2002Q2",2002-04-01,"31 a 50 años",1,2,1355.87373665524,4393.19976240153,1464.39992080051,534505.971092186,43931.9976240153
"BOGOTA","2002Q2",2002-04-01,"9 a 13 años",1,3,1567.64845105962,4393.19976240153,1464.39992080051,534505.971092186,43931.9976240153
"BOGOTA","2002Q3",2002-07-01,"31 a 50 años",0,1,1503.98458602334,4424.37646685298,1474.79215561766,538299.136800446,44243.7646685298
"BOGOTA","2002Q3",2002-07-01,"31 a 50 años",1,2,1359.26985183116,4424.37646685298,1474.79215561766,538299.136800446,44243.7646685298
"BOGOTA","2002Q3",2002-07-01,"9 a 13 años",1,3,1561.12202899849,4424.37646685298,1474.79215561766,538299.136800446,44243.7646685298
"BOGOTA","2002Q4",2002-10-01,"31 a 50 años",0,1,1663.34609449587,4770.60171508719,1590.20057169573,580423.208668942,47706.0171508719
"BOGOTA","2002Q4",2002-10-01,"31 a 50 años",1,2,1465.20805782147,4770.60171508719,1590.20057169573,580423.208668942,47706.0171508719
"BOGOTA","2002Q4",2002-10-01,"9 a 13 años",1,3,1642.04756276985,4770.60171508719,1590.20057169573,580423.208668942,47706.0171508719
"BOGOTA","2003Q1",2003-01-01,"31 a 50 años",0,1,1804.50180860294,5087.64694544456,1695.88231514819,618997.045029088,50876.4694544456
"BOGOTA","2003Q1",2003-01-01,"31 a 50 años",1,2,1558.50936873672,5087.64694544456,1695.88231514819,618997.045029088,50876.4694544456
"BOGOTA","2003Q1",2003-01-01,"9 a 13 años",1,3,1724.63576810489,5087.64694544456,1695.88231514819,618997.045029088,50876.4694544456
