"Demo_Group","Sex","Person","cost_day","total_household","per_capita","per_capita_year","per_capita_month","ciudad","fecha"
"31 a 50 años",0,1,1188.92828213414,3522.85050409451,1174.28350136484,428613.477998166,35228.5050409451,"BOGOTÁ D.C.",10592
"31 a 50 años",1,2,1084.22612590182,3522.85050409451,1174.28350136484,428613.477998166,35228.5050409451,"BOGOTÁ D.C.",10592
"9 a 13 años",1,3,1249.69609605855,3522.85050409451,1174.28350136484,428613.477998166,35228.5050409451,"BOGOTÁ D.C.",10592
"31 a 50 años",0,1,1230.73981322384,3636.20736836434,1212.06912278811,442405.229817662,36362.0736836434,"BOGOTÁ D.C.",10623
"31 a 50 años",1,2,1115.60715062181,3636.20736836434,1212.06912278811,442405.229817662,36362.0736836434,"BOGOTÁ D.C.",10623
"9 a 13 años",1,3,1289.86040451869,3636.20736836434,1212.06912278811,442405.229817662,36362.0736836434,"BOGOTÁ D.C.",10623
"31 a 50 años",0,1,1220.25256506736,3614.8647747764,1204.95492492547,439808.547597795,36148.647747764,"BOGOTÁ D.C.",10651
"31 a 50 años",1,2,1106.96882974542,3614.8647747764,1204.95492492547,439808.547597795,36148.647747764,"BOGOTÁ D.C.",10651
"9 a 13 años",1,3,1287.64337996363,3614.8647747764,1204.95492492547,439808.547597795,36148.647747764,"BOGOTÁ D.C.",10651
"31 a 50 años",0,1,1206.0125503193,3578.9055868557,1192.9685289519,435433.513067444,35789.055868557,"BOGOTÁ D.C.",10682
"31 a 50 años",1,2,1093.934081772,3578.9055868557,1192.9685289519,435433.513067444,35789.055868557,"BOGOTÁ D.C.",10682
"9 a 13 años",1,3,1278.9589547644,3578.9055868557,1192.9685289519,435433.513067444,35789.055868557,"BOGOTÁ D.C.",10682
"31 a 50 años",0,1,1196.89426102184,3554.45047490091,1184.81682496697,432458.141112944,35544.5047490091,"BOGOTÁ D.C.",10712
"31 a 50 años",1,2,1083.86496973649,3554.45047490091,1184.81682496697,432458.141112944,35544.5047490091,"BOGOTÁ D.C.",10712
"9 a 13 años",1,3,1273.69124414258,3554.45047490091,1184.81682496697,432458.141112944,35544.5047490091,"BOGOTÁ D.C.",10712
"31 a 50 años",0,1,1201.72591283995,3535.21646349607,1178.40548783202,430118.003058688,35352.1646349607,"BOGOTÁ D.C.",10743
"31 a 50 años",1,2,1074.48103284751,3535.21646349607,1178.40548783202,430118.003058688,35352.1646349607,"BOGOTÁ D.C.",10743
"9 a 13 años",1,3,1259.0095178086,3535.21646349607,1178.40548783202,430118.003058688,35352.1646349607,"BOGOTÁ D.C.",10743
"31 a 50 años",0,1,1100.13240248061,3180.4563750456,1060.1521250152,386955.525630548,31804.563750456,"BOGOTÁ D.C.",10773
"31 a 50 años",1,2,971.514698204232,3180.4563750456,1060.1521250152,386955.525630548,31804.563750456,"BOGOTÁ D.C.",10773
"9 a 13 años",1,3,1108.80927436075,3180.4563750456,1060.1521250152,386955.525630548,31804.563750456,"BOGOTÁ D.C.",10773
"31 a 50 años",0,1,1193.39920110498,3529.37291600598,1176.45763866866,429407.038114061,35293.7291600598,"BOGOTÁ D.C.",10804
"31 a 50 años",1,2,1089.04405168284,3529.37291600598,1176.45763866866,429407.038114061,35293.7291600598,"BOGOTÁ D.C.",10804
"9 a 13 años",1,3,1246.92966321816,3529.37291600598,1176.45763866866,429407.038114061,35293.7291600598,"BOGOTÁ D.C.",10804
"31 a 50 años",0,1,1267.85123199917,3732.26037793605,1244.08679264535,454091.679315553,37322.6037793605,"BOGOTÁ D.C.",10835
"31 a 50 años",1,2,1144.41552852948,3732.26037793605,1244.08679264535,454091.679315553,37322.6037793605,"BOGOTÁ D.C.",10835
"9 a 13 años",1,3,1319.9936174074,3732.26037793605,1244.08679264535,454091.679315553,37322.6037793605,"BOGOTÁ D.C.",10835
"31 a 50 años",0,1,1278.44370432014,3765.13302531667,1255.04434177222,458091.184746862,37651.3302531667,"BOGOTÁ D.C.",10865
"31 a 50 años",1,2,1156.26905742581,3765.13302531667,1255.04434177222,458091.184746862,37651.3302531667,"BOGOTÁ D.C.",10865
"9 a 13 años",1,3,1330.42026357072,3765.13302531667,1255.04434177222,458091.184746862,37651.3302531667,"BOGOTÁ D.C.",10865
