"ciudad","trimestre","fecha","Demo_Group","Sex","person","cost_day","total_household","per_capita","per_capita_year","per_capita_month"
"BOGOTA","1999Q1",1999-01-01,"31 a 50 años",0,1,2732.50628580496,6409.00232354483,2136.33410784828,779761.949364621,64090.0232354483
"BOGOTA","1999Q1",1999-01-01,"31 a 50 años",1,2,1889.61275257449,6409.00232354483,2136.33410784828,779761.949364621,64090.0232354483
"BOGOTA","1999Q1",1999-01-01,"9 a 13 años",1,3,1786.88328516538,6409.00232354483,2136.33410784828,779761.949364621,64090.0232354483
"BOGOTA","1999Q2",1999-04-01,"31 a 50 años",0,1,2765.35481027405,6481.8343334438,2160.61144448127,788623.177235663,64818.343334438
"BOGOTA","1999Q2",1999-04-01,"31 a 50 años",1,2,1910.67652429808,6481.8343334438,2160.61144448127,788623.177235663,64818.343334438
"BOGOTA","1999Q2",1999-04-01,"9 a 13 años",1,3,1805.80299887167,6481.8343334438,2160.61144448127,788623.177235663,64818.343334438
"BOGOTA","1999Q3",1999-07-01,"31 a 50 años",0,1,2583.41264787008,6071.48004697405,2023.82668232468,738696.739048509,60714.8004697405
"BOGOTA","1999Q3",1999-07-01,"31 a 50 años",1,2,1797.16096712561,6071.48004697405,2023.82668232468,738696.739048509,60714.8004697405
"BOGOTA","1999Q3",1999-07-01,"9 a 13 años",1,3,1690.90643197836,6071.48004697405,2023.82668232468,738696.739048509,60714.8004697405
"BOGOTA","1999Q4",1999-10-01,"31 a 50 años",0,1,2715.2696523288,6370.87598514099,2123.62532838033,775123.244858821,63708.7598514099
"BOGOTA","1999Q4",1999-10-01,"31 a 50 años",1,2,1880.58463983679,6370.87598514099,2123.62532838033,775123.244858821,63708.7598514099
"BOGOTA","1999Q4",1999-10-01,"9 a 13 años",1,3,1775.0216929754,6370.87598514099,2123.62532838033,775123.244858821,63708.7598514099
"BOGOTA","2000Q1",2000-01-01,"31 a 50 años",0,1,2872.2548283337,6740.53001805838,2246.84333935279,820097.81886377,67405.3001805838
"BOGOTA","2000Q1",2000-01-01,"31 a 50 años",1,2,1990.9447967948,6740.53001805838,2246.84333935279,820097.81886377,67405.3001805838
"BOGOTA","2000Q1",2000-01-01,"9 a 13 años",1,3,1877.33039292988,6740.53001805838,2246.84333935279,820097.81886377,67405.3001805838
"BOGOTA","2000Q2",2000-04-01,"31 a 50 años",0,1,3023.61061016755,7088.79523754897,2362.93174584966,862470.087235124,70887.9523754897
"BOGOTA","2000Q2",2000-04-01,"31 a 50 años",1,2,2093.12864187257,7088.79523754897,2362.93174584966,862470.087235124,70887.9523754897
"BOGOTA","2000Q2",2000-04-01,"9 a 13 años",1,3,1972.05598550884,7088.79523754897,2362.93174584966,862470.087235124,70887.9523754897
"BOGOTA","2000Q3",2000-07-01,"31 a 50 años",0,1,2863.30904424479,6720.21176009264,2240.07058669755,817625.764144604,67202.1176009264
"BOGOTA","2000Q3",2000-07-01,"31 a 50 años",1,2,1984.809649257,6720.21176009264,2240.07058669755,817625.764144604,67202.1176009264
"BOGOTA","2000Q3",2000-07-01,"9 a 13 años",1,3,1872.09306659085,6720.21176009264,2240.07058669755,817625.764144604,67202.1176009264
