"Demo_Group","Sex","Person","cost_day","total_household","per_capita","per_capita_year","per_capita_month","ciudad","fecha","person"
"31 a 50 años",0,1,2691.26654679618,6315.27825440907,2105.09275146969,768358.854286437,63152.7825440907,"BOGOTA",1999-01-01,1
"31 a 50 años",1,2,1863.47370899939,6315.27825440907,2105.09275146969,768358.854286437,63152.7825440907,"BOGOTA",1999-01-01,2
"9 a 13 años",1,3,1760.5379986135,6315.27825440907,2105.09275146969,768358.854286437,63152.7825440907,"BOGOTA",1999-01-01,3
"31 a 50 años",0,1,2758.7441248354,6468.94552059957,2156.31517353319,787055.038339614,64689.4552059957,"BOGOTA",1999-02-01,1
"31 a 50 años",1,2,1906.70546766037,6468.94552059957,2156.31517353319,787055.038339614,64689.4552059957,"BOGOTA",1999-02-01,2
"9 a 13 años",1,3,1803.4959281038,6468.94552059957,2156.31517353319,787055.038339614,64689.4552059957,"BOGOTA",1999-02-01,3
"31 a 50 años",0,1,2747.5081857833,6442.78319562584,2147.59439854195,783871.955467811,64427.8319562584,"BOGOTA",1999-03-01,1
"31 a 50 años",1,2,1898.65908106372,6442.78319562584,2147.59439854195,783871.955467811,64427.8319562584,"BOGOTA",1999-03-01,2
"9 a 13 años",1,3,1796.61592877882,6442.78319562584,2147.59439854195,783871.955467811,64427.8319562584,"BOGOTA",1999-03-01,3
"31 a 50 años",0,1,2763.44279072199,6478.18554421564,2159.39518140521,788179.241212903,64781.8554421564,"BOGOTA",1999-04-01,1
"31 a 50 años",1,2,1908.77225086525,6478.18554421564,2159.39518140521,788179.241212903,64781.8554421564,"BOGOTA",1999-04-01,2
"9 a 13 años",1,3,1805.9705026284,6478.18554421564,2159.39518140521,788179.241212903,64781.8554421564,"BOGOTA",1999-04-01,3
"31 a 50 años",0,1,2781.26292459978,6515.82497786647,2171.94165928882,792758.705640421,65158.2497786647,"BOGOTA",1999-05-01,1
"31 a 50 años",1,2,1919.26925635185,6515.82497786647,2171.94165928882,792758.705640421,65158.2497786647,"BOGOTA",1999-05-01,2
"9 a 13 años",1,3,1815.29279691484,6515.82497786647,2171.94165928882,792758.705640421,65158.2497786647,"BOGOTA",1999-05-01,3
"31 a 50 años",0,1,2751.35871550037,6451.49247824929,2150.49749274976,784931.584853664,64514.9247824929,"BOGOTA",1999-06-01,1
"31 a 50 años",1,2,1903.98806567714,6451.49247824929,2150.49749274976,784931.584853664,64514.9247824929,"BOGOTA",1999-06-01,2
"9 a 13 años",1,3,1796.14569707178,6451.49247824929,2150.49749274976,784931.584853664,64514.9247824929,"BOGOTA",1999-06-01,3
"31 a 50 años",0,1,2454.79949931643,5782.50855417499,1927.50285139166,703538.540757957,57825.0855417499,"BOGOTA",1999-07-01,1
"31 a 50 años",1,2,1717.48346951464,5782.50855417499,1927.50285139166,703538.540757957,57825.0855417499,"BOGOTA",1999-07-01,2
"9 a 13 años",1,3,1610.22558534392,5782.50855417499,1927.50285139166,703538.540757957,57825.0855417499,"BOGOTA",1999-07-01,3
"31 a 50 años",0,1,2575.01456485278,6051.74627565548,2017.24875855183,736295.796871417,60517.4627565548,"BOGOTA",1999-08-01,1
"31 a 50 años",1,2,1791.31008133057,6051.74627565548,2017.24875855183,736295.796871417,60517.4627565548,"BOGOTA",1999-08-01,2
"9 a 13 años",1,3,1685.42162947213,6051.74627565548,2017.24875855183,736295.796871417,60517.4627565548,"BOGOTA",1999-08-01,3
"31 a 50 años",0,1,2720.42387944104,6380.18531109167,2126.72843703056,776255.879516153,63801.8531109167,"BOGOTA",1999-09-01,1
"31 a 50 años",1,2,1882.68935053161,6380.18531109167,2126.72843703056,776255.879516153,63801.8531109167,"BOGOTA",1999-09-01,2
"9 a 13 años",1,3,1777.07208111902,6380.18531109167,2126.72843703056,776255.879516153,63801.8531109167,"BOGOTA",1999-09-01,3
"31 a 50 años",0,1,2718.06473751151,6374.83288399731,2124.94429466577,775604.667553007,63748.3288399731,"BOGOTA",1999-10-01,1
"31 a 50 años",1,2,1881.09713984812,6374.83288399731,2124.94429466577,775604.667553007,63748.3288399731,"BOGOTA",1999-10-01,2
"9 a 13 años",1,3,1775.67100663768,6374.83288399731,2124.94429466577,775604.667553007,63748.3288399731,"BOGOTA",1999-10-01,3
"31 a 50 años",0,1,2700.188408159,6334.11264803183,2111.37088267728,770650.372177206,63341.1264803183,"BOGOTA",1999-11-01,1
"31 a 50 años",1,2,1868.81933311599,6334.11264803183,2111.37088267728,770650.372177206,63341.1264803183,"BOGOTA",1999-11-01,2
"9 a 13 años",1,3,1765.10490675683,6334.11264803183,2111.37088267728,770650.372177206,63341.1264803183,"BOGOTA",1999-11-01,3
"31 a 50 años",0,1,2727.55581131589,6403.68242339383,2134.56080779794,779114.69484625,64036.8242339383,"BOGOTA",1999-12-01,1
"31 a 50 años",1,2,1891.83744654626,6403.68242339383,2134.56080779794,779114.69484625,64036.8242339383,"BOGOTA",1999-12-01,2
"9 a 13 años",1,3,1784.28916553168,6403.68242339383,2134.56080779794,779114.69484625,64036.8242339383,"BOGOTA",1999-12-01,3
"31 a 50 años",0,1,2768.11020232682,6500.58392117589,2166.86130705863,790904.3770764,65005.8392117589,"BOGOTA",2000-01-01,1
"31 a 50 años",1,2,1921.28457836135,6500.58392117589,2166.86130705863,790904.3770764,65005.8392117589,"BOGOTA",2000-01-01,2
"9 a 13 años",1,3,1811.18914048773,6500.58392117589,2166.86130705863,790904.3770764,65005.8392117589,"BOGOTA",2000-01-01,3
"31 a 50 años",0,1,2876.93607920575,6750.67467113306,2250.22489037768,821332.084987855,67506.7467113305,"BOGOTA",2000-02-01,1
"31 a 50 años",1,2,1993.22773001225,6750.67467113306,2250.22489037768,821332.084987855,67506.7467113305,"BOGOTA",2000-02-01,2
"9 a 13 años",1,3,1880.51086191506,6750.67467113306,2250.22489037768,821332.084987855,67506.7467113305,"BOGOTA",2000-02-01,3
"31 a 50 años",0,1,2971.71820346854,6970.3314618662,2323.44382062207,848056.994527054,69703.314618662,"BOGOTA",2000-03-01,1
"31 a 50 años",1,2,2058.32208201079,6970.3314618662,2323.44382062207,848056.994527054,69703.314618662,"BOGOTA",2000-03-01,2
"9 a 13 años",1,3,1940.29117638687,6970.3314618662,2323.44382062207,848056.994527054,69703.314618662,"BOGOTA",2000-03-01,3
"31 a 50 años",0,1,3072.92180312867,7200.70193797816,2400.23397932605,876085.402454009,72007.0193797815,"BOGOTA",2000-04-01,1
"31 a 50 años",1,2,2125.46181003136,7200.70193797816,2400.23397932605,876085.402454009,72007.0193797815,"BOGOTA",2000-04-01,2
"9 a 13 años",1,3,2002.31832481813,7200.70193797816,2400.23397932605,876085.402454009,72007.0193797815,"BOGOTA",2000-04-01,3
"31 a 50 años",0,1,3029.49718817914,7102.5453812834,2367.51512709447,864143.02138948,71025.453812834,"BOGOTA",2000-05-01,1
"31 a 50 años",1,2,2097.35218187142,7102.5453812834,2367.51512709447,864143.02138948,71025.453812834,"BOGOTA",2000-05-01,2
"9 a 13 años",1,3,1975.69601123283,7102.5453812834,2367.51512709447,864143.02138948,71025.453812834,"BOGOTA",2000-05-01,3
"31 a 50 años",0,1,2968.41283919485,6963.13839338535,2321.04613112845,847181.837861884,69631.3839338535,"BOGOTA",2000-06-01,1
"31 a 50 años",1,2,2056.57193371493,6963.13839338535,2321.04613112845,847181.837861884,69631.3839338535,"BOGOTA",2000-06-01,2
"9 a 13 años",1,3,1938.15362047556,6963.13839338535,2321.04613112845,847181.837861884,69631.3839338535,"BOGOTA",2000-06-01,3
"31 a 50 años",0,1,2896.62500290925,6796.4298122225,2265.47660407417,826898.960487071,67964.298122225,"BOGOTA",2000-07-01,1
"31 a 50 años",1,2,2006.88474927116,6796.4298122225,2265.47660407417,826898.960487071,67964.298122225,"BOGOTA",2000-07-01,2
"9 a 13 años",1,3,1892.9200600421,6796.4298122225,2265.47660407417,826898.960487071,67964.298122225,"BOGOTA",2000-07-01,3
"31 a 50 años",0,1,2843.07939957847,6674.0281187788,2224.67603959293,812006.754451421,66740.281187788,"BOGOTA",2000-08-01,1
"31 a 50 años",1,2,1971.71110151196,6674.0281187788,2224.67603959293,812006.754451421,66740.281187788,"BOGOTA",2000-08-01,2
"9 a 13 años",1,3,1859.23761768836,6674.0281187788,2224.67603959293,812006.754451421,66740.281187788,"BOGOTA",2000-08-01,3
"31 a 50 años",0,1,2850.22273024666,6690.17734927662,2230.05911642554,813971.577495322,66901.7734927662,"BOGOTA",2000-09-01,1
"31 a 50 años",1,2,1975.83309698788,6690.17734927662,2230.05911642554,813971.577495322,66901.7734927662,"BOGOTA",2000-09-01,2
"9 a 13 años",1,3,1864.12152204208,6690.17734927662,2230.05911642554,813971.577495322,66901.7734927662,"BOGOTA",2000-09-01,3
"31 a 50 años",0,1,2880.08803325842,6758.47848468193,2252.82616156064,822281.548969635,67584.7848468193,"BOGOTA",2000-10-01,1
"31 a 50 años",1,2,1995.58036663274,6758.47848468193,2252.82616156064,822281.548969635,67584.7848468193,"BOGOTA",2000-10-01,2
"9 a 13 años",1,3,1882.81008479077,6758.47848468193,2252.82616156064,822281.548969635,67584.7848468193,"BOGOTA",2000-10-01,3
"31 a 50 años",0,1,2889.09029422749,6780.58085627264,2260.19361875755,824970.670846504,67805.8085627264,"BOGOTA",2000-11-01,1
"31 a 50 años",1,2,2002.84589137982,6780.58085627264,2260.19361875755,824970.670846504,67805.8085627264,"BOGOTA",2000-11-01,2
"9 a 13 años",1,3,1888.64467066533,6780.58085627264,2260.19361875755,824970.670846504,67805.8085627264,"BOGOTA",2000-11-01,3
"31 a 50 años",0,1,2926.97752145479,6871.46620412452,2290.48873470817,836028.388168483,68714.6620412452,"BOGOTA",2000-12-01,1
"31 a 50 años",1,2,2030.44383718653,6871.46620412452,2290.48873470817,836028.388168483,68714.6620412452,"BOGOTA",2000-12-01,2
"9 a 13 años",1,3,1914.04484548319,6871.46620412452,2290.48873470817,836028.388168483,68714.6620412452,"BOGOTA",2000-12-01,3
"31 a 50 años",0,1,3002.59161423244,7047.82863673451,2349.27621224484,857485.817469365,70478.2863673451,"BOGOTA",2001-01-01,1
"31 a 50 años",1,2,2083.0227211832,7047.82863673451,2349.27621224484,857485.817469365,70478.2863673451,"BOGOTA",2001-01-01,2
"9 a 13 años",1,3,1962.21430131887,7047.82863673451,2349.27621224484,857485.817469365,70478.2863673451,"BOGOTA",2001-01-01,3
"31 a 50 años",0,1,3184.63658387626,7461.82560067975,2487.27520022658,907855.448082703,74618.2560067975,"BOGOTA",2001-02-01,1
"31 a 50 años",1,2,2201.54125360613,7461.82560067975,2487.27520022658,907855.448082703,74618.2560067975,"BOGOTA",2001-02-01,2
"9 a 13 años",1,3,2075.64776319736,7461.82560067975,2487.27520022658,907855.448082703,74618.2560067975,"BOGOTA",2001-02-01,3
"31 a 50 años",0,1,3236.28959760638,7579.25253643281,2526.41751214427,922142.391932659,75792.5253643281,"BOGOTA",2001-03-01,1
"31 a 50 años",1,2,2235.24627472408,7579.25253643281,2526.41751214427,922142.391932659,75792.5253643281,"BOGOTA",2001-03-01,2
"9 a 13 años",1,3,2107.71666410235,7579.25253643281,2526.41751214427,922142.391932659,75792.5253643281,"BOGOTA",2001-03-01,3
"31 a 50 años",0,1,3272.8215503802,7663.51893296567,2554.50631098856,932394.803510824,76635.1893296567,"BOGOTA",2001-04-01,1
"31 a 50 años",1,2,2259.58504207902,7663.51893296567,2554.50631098856,932394.803510824,76635.1893296567,"BOGOTA",2001-04-01,2
"9 a 13 años",1,3,2131.11234050646,7663.51893296567,2554.50631098856,932394.803510824,76635.1893296567,"BOGOTA",2001-04-01,3
"31 a 50 años",0,1,3295.73376543337,7716.67545997173,2572.22515332391,938862.180963228,77166.7545997173,"BOGOTA",2001-05-01,1
"31 a 50 años",1,2,2273.97641550325,7716.67545997173,2572.22515332391,938862.180963228,77166.7545997173,"BOGOTA",2001-05-01,2
"9 a 13 años",1,3,2146.96527903511,7716.67545997173,2572.22515332391,938862.180963228,77166.7545997173,"BOGOTA",2001-05-01,3
