"ciudad","trimestre","fecha","Demo_Group","Sex","person","cost_day","total_household","per_capita","per_capita_year","per_capita_month"
"BOGOTA","1999Q1",1999-01-01,"31 a 50 años",0,1,1414.58710957014,3388.88793494013,1129.62931164671,412314.698751049,33888.8793494013
"BOGOTA","1999Q1",1999-01-01,"31 a 50 años",1,2,1015.03000040733,3388.88793494013,1129.62931164671,412314.698751049,33888.8793494013
"BOGOTA","1999Q1",1999-01-01,"9 a 13 años",1,3,959.270824962664,3388.88793494013,1129.62931164671,412314.698751049,33888.8793494013
"BOGOTA","1999Q2",1999-04-01,"31 a 50 años",0,1,1447.43951604207,3467.59155324208,1155.86385108069,421890.305644453,34675.9155324208
"BOGOTA","1999Q2",1999-04-01,"31 a 50 años",1,2,1038.60308256606,3467.59155324208,1155.86385108069,421890.305644453,34675.9155324208
"BOGOTA","1999Q2",1999-04-01,"9 a 13 años",1,3,981.548954633951,3467.59155324208,1155.86385108069,421890.305644453,34675.9155324208
"BOGOTA","1999Q3",1999-07-01,"31 a 50 años",0,1,1433.86367397242,3435.06827695516,1145.02275898505,417933.307029545,34350.6827695516
"BOGOTA","1999Q3",1999-07-01,"31 a 50 años",1,2,1028.86180407692,3435.06827695516,1145.02275898505,417933.307029545,34350.6827695516
"BOGOTA","1999Q3",1999-07-01,"9 a 13 años",1,3,972.342798905821,3435.06827695516,1145.02275898505,417933.307029545,34350.6827695516
"BOGOTA","1999Q4",1999-10-01,"31 a 50 años",0,1,1419.28389879934,3400.13990538727,1133.37996846242,413683.688488785,34001.3990538727
"BOGOTA","1999Q4",1999-10-01,"31 a 50 años",1,2,1018.40015834315,3400.13990538727,1133.37996846242,413683.688488785,34001.3990538727
"BOGOTA","1999Q4",1999-10-01,"9 a 13 años",1,3,962.455848244786,3400.13990538727,1133.37996846242,413683.688488785,34001.3990538727
"BOGOTA","2000Q1",2000-01-01,"31 a 50 años",0,1,1461.96013174396,3502.37819807091,1167.45939935697,426122.680765294,35023.7819807091
"BOGOTA","2000Q1",2000-01-01,"31 a 50 años",1,2,1049.02227871319,3502.37819807091,1167.45939935697,426122.680765294,35023.7819807091
"BOGOTA","2000Q1",2000-01-01,"9 a 13 años",1,3,991.395787613756,3502.37819807091,1167.45939935697,426122.680765294,35023.7819807091
"BOGOTA","2000Q2",2000-04-01,"31 a 50 años",0,1,1489.91777360385,3569.35556167573,1189.78518722524,434271.593337214,35693.5556167573
"BOGOTA","2000Q2",2000-04-01,"31 a 50 años",1,2,1069.08314667703,3569.35556167573,1189.78518722524,434271.593337214,35693.5556167573
"BOGOTA","2000Q2",2000-04-01,"9 a 13 años",1,3,1010.35464139484,3569.35556167573,1189.78518722524,434271.593337214,35693.5556167573
"BOGOTA","2000Q3",2000-07-01,"31 a 50 años",0,1,1581.83889954753,3789.56850760828,1263.18950253609,461064.168425674,37895.6850760828
"BOGOTA","2000Q3",2000-07-01,"31 a 50 años",1,2,1135.04069702712,3789.56850760828,1263.18950253609,461064.168425674,37895.6850760828
"BOGOTA","2000Q3",2000-07-01,"9 a 13 años",1,3,1072.68891103363,3789.56850760828,1263.18950253609,461064.168425674,37895.6850760828
"BOGOTA","2000Q4",2000-10-01,"31 a 50 años",0,1,1643.81529685359,3938.04368008837,1312.68122669612,479128.647744085,39380.4368008837
"BOGOTA","2000Q4",2000-10-01,"31 a 50 años",1,2,1179.51155510098,3938.04368008837,1312.68122669612,479128.647744085,39380.4368008837
"BOGOTA","2000Q4",2000-10-01,"9 a 13 años",1,3,1114.7168281338,3938.04368008837,1312.68122669612,479128.647744085,39380.4368008837
"BOGOTA","2001Q1",2001-01-01,"31 a 50 años",0,1,1563.78906235243,3746.3270026601,1248.77566755337,455803.118656979,37463.270026601
"BOGOTA","2001Q1",2001-01-01,"31 a 50 años",1,2,1122.08912541195,3746.3270026601,1248.77566755337,455803.118656979,37463.270026601
"BOGOTA","2001Q1",2001-01-01,"9 a 13 años",1,3,1060.44881489572,3746.3270026601,1248.77566755337,455803.118656979,37463.270026601
"BOGOTA","2001Q2",2001-04-01,"31 a 50 años",0,1,1476.91826633497,3538.21299502456,1179.40433167485,430482.581061321,35382.1299502456
"BOGOTA","2001Q2",2001-04-01,"31 a 50 años",1,2,1059.75541438033,3538.21299502456,1179.40433167485,430482.581061321,35382.1299502456
"BOGOTA","2001Q2",2001-04-01,"9 a 13 años",1,3,1001.53931430925,3538.21299502456,1179.40433167485,430482.581061321,35382.1299502456
"BOGOTA","2001Q3",2001-07-01,"31 a 50 años",0,1,1502.44123634894,3599.35768138497,1199.78589379499,437921.851235172,35993.5768138498
"BOGOTA","2001Q3",2001-07-01,"31 a 50 años",1,2,1078.06929557464,3599.35768138497,1199.78589379499,437921.851235172,35993.5768138498
"BOGOTA","2001Q3",2001-07-01,"9 a 13 años",1,3,1018.8471494614,3599.35768138497,1199.78589379499,437921.851235172,35993.5768138498
"BOGOTA","2001Q4",2001-10-01,"31 a 50 años",0,1,1520.14615455752,3641.77287328108,1213.92429109369,443082.366249197,36417.7287328107
"BOGOTA","2001Q4",2001-10-01,"31 a 50 años",1,2,1090.77337227299,3641.77287328108,1213.92429109369,443082.366249197,36417.7287328107
"BOGOTA","2001Q4",2001-10-01,"9 a 13 años",1,3,1030.85334645057,3641.77287328108,1213.92429109369,443082.366249197,36417.7287328107
"BOGOTA","2002Q1",2002-01-01,"31 a 50 años",0,1,1529.86803369757,3665.06331520564,1221.68777173521,445916.036683353,36650.6331520564
"BOGOTA","2002Q1",2002-01-01,"31 a 50 años",1,2,1097.7492586788,3665.06331520564,1221.68777173521,445916.036683353,36650.6331520564
"BOGOTA","2002Q1",2002-01-01,"9 a 13 años",1,3,1037.44602282926,3665.06331520564,1221.68777173521,445916.036683353,36650.6331520564
"BOGOTA","2002Q2",2002-04-01,"31 a 50 años",0,1,1516.49368846516,3633.02275942141,1211.0075864738,442017.769062938,36330.2275942141
"BOGOTA","2002Q2",2002-04-01,"31 a 50 años",1,2,1088.15256325096,3633.02275942141,1211.0075864738,442017.769062938,36330.2275942141
"BOGOTA","2002Q2",2002-04-01,"9 a 13 años",1,3,1028.37650770529,3633.02275942141,1211.0075864738,442017.769062938,36330.2275942141
"BOGOTA","2002Q3",2002-07-01,"31 a 50 años",0,1,1487.62410271613,3563.86067659899,1187.95355886633,433603.04898621,35638.6067659899
"BOGOTA","2002Q3",2002-07-01,"31 a 50 años",1,2,1067.43733444932,3563.86067659899,1187.95355886633,433603.04898621,35638.6067659899
"BOGOTA","2002Q3",2002-07-01,"9 a 13 años",1,3,1008.79923943354,3563.86067659899,1187.95355886633,433603.04898621,35638.6067659899
