"Demo_Group","Sex","Person","cost_day","total_household","per_capita","per_capita_year","per_capita_month","ciudad","fecha","person"
"31 a 50 años",0,1,1397.77750912117,3348.6176314945,1116.20587716483,407415.145165164,33486.176314945,"BOGOTA",1999-01-01,1
"31 a 50 años",1,2,1002.96835454959,3348.6176314945,1116.20587716483,407415.145165164,33486.176314945,"BOGOTA",1999-01-01,2
"9 a 13 años",1,3,947.871767823742,3348.6176314945,1116.20587716483,407415.145165164,33486.176314945,"BOGOTA",1999-01-01,3
"31 a 50 años",0,1,1402.75798350507,3360.54921876522,1120.18307292174,408866.821616435,33605.4921876522,"BOGOTA",1999-02-01,1
"31 a 50 años",1,2,1006.54206936836,3360.54921876522,1120.18307292174,408866.821616435,33605.4921876522,"BOGOTA",1999-02-01,2
"9 a 13 años",1,3,951.24916589179,3360.54921876522,1120.18307292174,408866.821616435,33605.4921876522,"BOGOTA",1999-02-01,3
"31 a 50 años",0,1,1443.22583608417,3457.49695456067,1152.49898485356,420662.129471548,34574.9695456067,"BOGOTA",1999-03-01,1
"31 a 50 años",1,2,1035.57957730404,3457.49695456067,1152.49898485356,420662.129471548,34574.9695456067,"BOGOTA",1999-03-01,2
"9 a 13 años",1,3,978.691541172459,3457.49695456067,1152.49898485356,420662.129471548,34574.9695456067,"BOGOTA",1999-03-01,3
"31 a 50 años",0,1,1440.65029996133,3451.32681259229,1150.4422708641,419911.428865395,34513.2681259229,"BOGOTA",1999-04-01,1
"31 a 50 años",1,2,1033.73151406769,3451.32681259229,1150.4422708641,419911.428865395,34513.2681259229,"BOGOTA",1999-04-01,2
"9 a 13 años",1,3,976.944998563269,3451.32681259229,1150.4422708641,419911.428865395,34513.2681259229,"BOGOTA",1999-04-01,3
"31 a 50 años",0,1,1444.91488177321,3461.54335546339,1153.84778515446,421154.441581379,34615.4335546339,"BOGOTA",1999-05-01,1
"31 a 50 años",1,2,1036.79154370387,3461.54335546339,1153.84778515446,421154.441581379,34615.4335546339,"BOGOTA",1999-05-01,2
"9 a 13 años",1,3,979.836929986313,3461.54335546339,1153.84778515446,421154.441581379,34615.4335546339,"BOGOTA",1999-05-01,3
"31 a 50 años",0,1,1456.75336639166,3489.90449167056,1163.30149722352,424605.046486585,34899.0449167056,"BOGOTA",1999-06-01,1
"31 a 50 años",1,2,1045.28618992664,3489.90449167056,1163.30149722352,424605.046486585,34899.0449167056,"BOGOTA",1999-06-01,2
"9 a 13 años",1,3,987.864935352272,3489.90449167056,1163.30149722352,424605.046486585,34899.0449167056,"BOGOTA",1999-06-01,3
"31 a 50 años",0,1,1452.1986250833,3478.99282157105,1159.66427385702,423277.459957811,34789.9282157105,"BOGOTA",1999-07-01,1
"31 a 50 años",1,2,1042.0179577755,3478.99282157105,1159.66427385702,423277.459957811,34789.9282157105,"BOGOTA",1999-07-01,2
"9 a 13 años",1,3,984.776238712243,3478.99282157105,1159.66427385702,423277.459957811,34789.9282157105,"BOGOTA",1999-07-01,3
