"ciudad","trimestre","fecha","Demo_Group","Sex","person","cost_day","total_household","per_capita","per_capita_year","per_capita_month"
"BOGOTA","1999Q1",1999-01-01,"31 a 50 años",0,1,3893.81438210658,11238.9543153031,3746.31810510103,1367406.10836188,112389.543153031
"BOGOTA","1999Q1",1999-01-01,"31 a 50 años",1,2,3488.51978310435,11238.9543153031,3746.31810510103,1367406.10836188,112389.543153031
"BOGOTA","1999Q1",1999-01-01,"9 a 13 años",1,3,3856.62015009216,11238.9543153031,3746.31810510103,1367406.10836188,112389.543153031
"BOGOTA","1999Q2",1999-04-01,"31 a 50 años",0,1,3913.17018847569,11257.0574449094,3752.35248163645,1369608.65579731,112570.574449094
"BOGOTA","1999Q2",1999-04-01,"31 a 50 años",1,2,3493.0722336333,11257.0574449094,3752.35248163645,1369608.65579731,112570.574449094
"BOGOTA","1999Q2",1999-04-01,"9 a 13 años",1,3,3850.81502280037,11257.0574449094,3752.35248163645,1369608.65579731,112570.574449094
"BOGOTA","1999Q3",1999-07-01,"31 a 50 años",0,1,4057.00734792562,11352.1915989341,3784.06386631137,1381183.31120365,113521.915989341
"BOGOTA","1999Q3",1999-07-01,"31 a 50 años",1,2,3495.34963326589,11352.1915989341,3784.06386631137,1381183.31120365,113521.915989341
"BOGOTA","1999Q3",1999-07-01,"9 a 13 años",1,3,3799.8346177426,11352.1915989341,3784.06386631137,1381183.31120365,113521.915989341
"BOGOTA","1999Q4",1999-10-01,"31 a 50 años",0,1,4096.4461941282,11571.4666089296,3857.15553630987,1407861.7707531,115714.666089296
"BOGOTA","1999Q4",1999-10-01,"31 a 50 años",1,2,3560.48149482029,11571.4666089296,3857.15553630987,1407861.7707531,115714.666089296
"BOGOTA","1999Q4",1999-10-01,"9 a 13 años",1,3,3914.53891998111,11571.4666089296,3857.15553630987,1407861.7707531,115714.666089296
"BOGOTA","2000Q1",2000-01-01,"31 a 50 años",0,1,4023.53111644223,11399.3299368957,3799.77664563191,1386918.47565565,113993.299368957
"BOGOTA","2000Q1",2000-01-01,"31 a 50 años",1,2,3493.49292655756,11399.3299368957,3799.77664563191,1386918.47565565,113993.299368957
"BOGOTA","2000Q1",2000-01-01,"9 a 13 años",1,3,3882.30589389595,11399.3299368957,3799.77664563191,1386918.47565565,113993.299368957
"BOGOTA","2000Q2",2000-04-01,"31 a 50 años",0,1,3967.70225279558,11309.6834294045,3769.89447646815,1376011.48391088,113096.834294045
"BOGOTA","2000Q2",2000-04-01,"31 a 50 años",1,2,3491.39535789575,11309.6834294045,3769.89447646815,1376011.48391088,113096.834294045
"BOGOTA","2000Q2",2000-04-01,"9 a 13 años",1,3,3850.58581871313,11309.6834294045,3769.89447646815,1376011.48391088,113096.834294045
"BOGOTA","2000Q3",2000-07-01,"31 a 50 años",0,1,3991.21573934942,11332.5411355711,3777.51371185703,1378792.50482782,113325.411355711
"BOGOTA","2000Q3",2000-07-01,"31 a 50 años",1,2,3498.72083082304,11332.5411355711,3777.51371185703,1378792.50482782,113325.411355711
"BOGOTA","2000Q3",2000-07-01,"9 a 13 años",1,3,3842.60456539864,11332.5411355711,3777.51371185703,1378792.50482782,113325.411355711
"BOGOTA","2000Q4",2000-10-01,"31 a 50 años",0,1,3947.98776086642,11264.0124863976,3754.67082879919,1370454.8525117,112640.124863976
"BOGOTA","2000Q4",2000-10-01,"31 a 50 años",1,2,3487.38983762814,11264.0124863976,3754.67082879919,1370454.8525117,112640.124863976
"BOGOTA","2000Q4",2000-10-01,"9 a 13 años",1,3,3828.63488790301,11264.0124863976,3754.67082879919,1370454.8525117,112640.124863976
"BOGOTA","2001Q1",2001-01-01,"31 a 50 años",0,1,4004.05635875008,11301.6128166709,3767.20427222363,1375029.55936163,113016.128166709
"BOGOTA","2001Q1",2001-01-01,"31 a 50 años",1,2,3476.55930163308,11301.6128166709,3767.20427222363,1375029.55936163,113016.128166709
"BOGOTA","2001Q1",2001-01-01,"9 a 13 años",1,3,3820.99715628773,11301.6128166709,3767.20427222363,1375029.55936163,113016.128166709
"BOGOTA","2001Q2",2001-04-01,"31 a 50 años",0,1,3878.81870492683,11137.3072911642,3712.43576372141,1355039.05375832,111373.072911642
"BOGOTA","2001Q2",2001-04-01,"31 a 50 años",1,2,3458.50726234316,11137.3072911642,3712.43576372141,1355039.05375832,111373.072911642
"BOGOTA","2001Q2",2001-04-01,"9 a 13 años",1,3,3799.98132389425,11137.3072911642,3712.43576372141,1355039.05375832,111373.072911642
"BOGOTA","2001Q3",2001-07-01,"31 a 50 años",0,1,3938.40570626402,11193.7081123534,3731.23603745113,1361901.15366966,111937.081123534
"BOGOTA","2001Q3",2001-07-01,"31 a 50 años",1,2,3469.93355231341,11193.7081123534,3731.23603745113,1361901.15366966,111937.081123534
"BOGOTA","2001Q3",2001-07-01,"9 a 13 años",1,3,3785.36885377596,11193.7081123534,3731.23603745113,1361901.15366966,111937.081123534
"BOGOTA","2001Q4",2001-10-01,"31 a 50 años",0,1,3858.8973073866,10999.5896053938,3666.52986846461,1338283.40198958,109995.896053938
"BOGOTA","2001Q4",2001-10-01,"31 a 50 años",1,2,3417.84205702138,10999.5896053938,3666.52986846461,1338283.40198958,109995.896053938
"BOGOTA","2001Q4",2001-10-01,"9 a 13 años",1,3,3722.85024098587,10999.5896053938,3666.52986846461,1338283.40198958,109995.896053938
"BOGOTA","2002Q1",2002-01-01,"31 a 50 años",0,1,3853.06046101778,11005.7831496009,3668.59438320029,1339036.94986811,110057.831496009
"BOGOTA","2002Q1",2002-01-01,"31 a 50 años",1,2,3429.22862434035,11005.7831496009,3668.59438320029,1339036.94986811,110057.831496009
"BOGOTA","2002Q1",2002-01-01,"9 a 13 años",1,3,3723.49406424275,11005.7831496009,3668.59438320029,1339036.94986811,110057.831496009
"BOGOTA","2002Q2",2002-04-01,"31 a 50 años",0,1,3461.95082740545,10177.6625566117,3392.55418553723,1238282.27772109,101776.625566117
