"Demo_Group","Sex","Person","cost_day","total_household","per_capita","per_capita_year","per_capita_month","ciudad","fecha","person"
"31 a 50 años",0,1,3881.48804269771,11186.0992400512,3728.69974668372,1360975.40753956,111860.992400512,"BOGOTA",1999-01-01,1
"31 a 50 años",1,2,3464.20060694601,11186.0992400512,3728.69974668372,1360975.40753956,111860.992400512,"BOGOTA",1999-01-01,2
"9 a 13 años",1,3,3840.41059040744,11186.0992400512,3728.69974668372,1360975.40753956,111860.992400512,"BOGOTA",1999-01-01,3
"31 a 50 años",0,1,3940.1165142399,11319.6758363485,3773.22527878283,1377227.22675573,113196.758363485,"BOGOTA",1999-02-01,1
"31 a 50 años",1,2,3506.71913179664,11319.6758363485,3773.22527878283,1377227.22675573,113196.758363485,"BOGOTA",1999-02-01,2
"9 a 13 años",1,3,3872.84019031195,11319.6758363485,3773.22527878283,1377227.22675573,113196.758363485,"BOGOTA",1999-02-01,3
"31 a 50 años",0,1,3859.83858938213,11211.0878695096,3737.02928983655,1364015.69079034,112110.878695096,"BOGOTA",1999-03-01,1
"31 a 50 años",1,2,3494.63961057041,11211.0878695096,3737.02928983655,1364015.69079034,112110.878695096,"BOGOTA",1999-03-01,2
"9 a 13 años",1,3,3856.6096695571,11211.0878695096,3737.02928983655,1364015.69079034,112110.878695096,"BOGOTA",1999-03-01,3
"31 a 50 años",0,1,3837.47760743386,11215.5236356609,3738.50787855363,1364555.37567208,112155.236356609,"BOGOTA",1999-04-01,1
"31 a 50 años",1,2,3509.01159135972,11215.5236356609,3738.50787855363,1364555.37567208,112155.236356609,"BOGOTA",1999-04-01,2
"9 a 13 años",1,3,3869.03443686732,11215.5236356609,3738.50787855363,1364555.37567208,112155.236356609,"BOGOTA",1999-04-01,3
"31 a 50 años",0,1,3888.87220749671,11238.4848575328,3746.16161917759,1367348.99099982,112384.848575328,"BOGOTA",1999-05-01,1
"31 a 50 años",1,2,3491.84448399569,11238.4848575328,3746.16161917759,1367348.99099982,112384.848575328,"BOGOTA",1999-05-01,2
"9 a 13 años",1,3,3857.76816604035,11238.4848575328,3746.16161917759,1367348.99099982,112384.848575328,"BOGOTA",1999-05-01,3
"31 a 50 años",0,1,4013.16075049651,11317.1638415344,3772.38794717814,1376921.60072002,113171.638415344,"BOGOTA",1999-06-01,1
"31 a 50 años",1,2,3478.36062554449,11317.1638415344,3772.38794717814,1376921.60072002,113171.638415344,"BOGOTA",1999-06-01,2
"9 a 13 años",1,3,3825.64246549343,11317.1638415344,3772.38794717814,1376921.60072002,113171.638415344,"BOGOTA",1999-06-01,3
"31 a 50 años",0,1,3892.27098264126,10866.2042769587,3622.06809231958,1322054.85369665,108662.042769587,"BOGOTA",1999-07-01,1
"31 a 50 años",1,2,3350.51369758845,10866.2042769587,3622.06809231958,1322054.85369665,108662.042769587,"BOGOTA",1999-07-01,2
"9 a 13 años",1,3,3623.41959672902,10866.2042769587,3622.06809231958,1322054.85369665,108662.042769587,"BOGOTA",1999-07-01,3
"31 a 50 años",0,1,4051.71935901726,11396.1790719938,3798.72635733126,1386535.12042591,113961.790719938,"BOGOTA",1999-08-01,1
"31 a 50 años",1,2,3517.10603643474,11396.1790719938,3798.72635733126,1386535.12042591,113961.790719938,"BOGOTA",1999-08-01,2
"9 a 13 años",1,3,3827.35367654177,11396.1790719938,3798.72635733126,1386535.12042591,113961.790719938,"BOGOTA",1999-08-01,3
"31 a 50 años",0,1,4227.03170211833,11794.1914478498,3931.39714928328,1434959.9594884,117941.914478498,"BOGOTA",1999-09-01,1
"31 a 50 años",1,2,3618.42916577448,11794.1914478498,3931.39714928328,1434959.9594884,117941.914478498,"BOGOTA",1999-09-01,2
"9 a 13 años",1,3,3948.73057995702,11794.1914478498,3931.39714928328,1434959.9594884,117941.914478498,"BOGOTA",1999-09-01,3
"31 a 50 años",0,1,4130.74902083598,11654.0333698921,3884.67778996403,1417907.39333687,116540.333698921,"BOGOTA",1999-10-01,1
"31 a 50 años",1,2,3591.98369968655,11654.0333698921,3884.67778996403,1417907.39333687,116540.333698921,"BOGOTA",1999-10-01,2
"9 a 13 años",1,3,3931.30064936954,11654.0333698921,3884.67778996403,1417907.39333687,116540.333698921,"BOGOTA",1999-10-01,3
"31 a 50 años",0,1,4081.79795685892,11586.8502814491,3862.2834271497,1409733.45090964,115868.502814491,"BOGOTA",1999-11-01,1
"31 a 50 años",1,2,3574.99807421255,11586.8502814491,3862.2834271497,1409733.45090964,115868.502814491,"BOGOTA",1999-11-01,2
"9 a 13 años",1,3,3930.05425037764,11586.8502814491,3862.2834271497,1409733.45090964,115868.502814491,"BOGOTA",1999-11-01,3
"31 a 50 años",0,1,4076.7916046897,11473.5161754476,3824.50539181588,1395944.4680128,114735.161754476,"BOGOTA",1999-12-01,1
"31 a 50 años",1,2,3514.46271056178,11473.5161754476,3824.50539181588,1395944.4680128,114735.161754476,"BOGOTA",1999-12-01,2
"9 a 13 años",1,3,3882.26186019615,11473.5161754476,3824.50539181588,1395944.4680128,114735.161754476,"BOGOTA",1999-12-01,3
"31 a 50 años",0,1,4077.95764389935,11463.83342711,3821.27780903668,1394766.40029839,114638.3342711,"BOGOTA",2000-01-01,1
"31 a 50 años",1,2,3503.08979680994,11463.83342711,3821.27780903668,1394766.40029839,114638.3342711,"BOGOTA",2000-01-01,2
"9 a 13 años",1,3,3882.78598640074,11463.83342711,3821.27780903668,1394766.40029839,114638.3342711,"BOGOTA",2000-01-01,3
"31 a 50 años",0,1,4063.75284013071,11475.2935903723,3825.09786345745,1396160.72016197,114752.935903723,"BOGOTA",2000-02-01,1
"31 a 50 años",1,2,3506.56536685197,11475.2935903723,3825.09786345745,1396160.72016197,114752.935903723,"BOGOTA",2000-02-01,2
"9 a 13 años",1,3,3904.97538338967,11475.2935903723,3825.09786345745,1396160.72016197,114752.935903723,"BOGOTA",2000-02-01,3
"31 a 50 años",0,1,3928.88286529662,11258.8627932048,3752.95426440161,1369828.30650659,112588.627932048,"BOGOTA",2000-03-01,1
