"ciudad","trimestre","fecha","Demo_Group","Sex","person","cost_day","total_household","per_capita","per_capita_year","per_capita_month"
"BOGOTA","1999Q1",1999-01-01,"31 a 50 años",0,1,8254.04909750534,19379.7724571421,6459.92415238071,2357872.31561896,193797.724571421
"BOGOTA","1999Q1",1999-01-01,"31 a 50 años",1,2,5718.87556064674,19379.7724571421,6459.92415238071,2357872.31561896,193797.724571421
"BOGOTA","1999Q1",1999-01-01,"9 a 13 años",1,3,5406.84779899003,19379.7724571421,6459.92415238071,2357872.31561896,193797.724571421
"BOGOTA","1999Q2",1999-04-01,"31 a 50 años",0,1,8245.95388445329,19367.6554609214,6455.88515364048,2356398.08107878,193676.554609214
"BOGOTA","1999Q2",1999-04-01,"31 a 50 años",1,2,5717.76537414682,19367.6554609214,6455.88515364048,2356398.08107878,193676.554609214
"BOGOTA","1999Q2",1999-04-01,"9 a 13 años",1,3,5403.93620232134,19367.6554609214,6455.88515364048,2356398.08107878,193676.554609214
"BOGOTA","1999Q3",1999-07-01,"31 a 50 años",0,1,7778.86019348361,18311.3874890459,6103.79582968196,2227885.47783391,183113.874890459
"BOGOTA","1999Q3",1999-07-01,"31 a 50 años",1,2,5421.85659923104,18311.3874890459,6103.79582968196,2227885.47783391,183113.874890459
"BOGOTA","1999Q3",1999-07-01,"9 a 13 años",1,3,5110.67069633122,18311.3874890459,6103.79582968196,2227885.47783391,183113.874890459
"BOGOTA","1999Q4",1999-10-01,"31 a 50 años",0,1,8006.98922423732,18827.1299339714,6275.70997799046,2290634.14196652,188271.299339714
"BOGOTA","1999Q4",1999-10-01,"31 a 50 años",1,2,5565.98993298293,18827.1299339714,6275.70997799046,2290634.14196652,188271.299339714
"BOGOTA","1999Q4",1999-10-01,"9 a 13 años",1,3,5254.15077675113,18827.1299339714,6275.70997799046,2290634.14196652,188271.299339714
"BOGOTA","2000Q1",2000-01-01,"31 a 50 años",0,1,7972.91962932313,18741.7232589897,6247.24108632989,2280242.99651041,187417.232589897
"BOGOTA","2000Q1",2000-01-01,"31 a 50 años",1,2,5538.35935622082,18741.7232589897,6247.24108632989,2280242.99651041,187417.232589897
"BOGOTA","2000Q1",2000-01-01,"9 a 13 años",1,3,5230.44427344572,18741.7232589897,6247.24108632989,2280242.99651041,187417.232589897
"BOGOTA","2000Q2",2000-04-01,"31 a 50 años",0,1,7940.52147071089,18674.1553605584,6224.71845351945,2272022.2355346,186741.553605584
"BOGOTA","2000Q2",2000-04-01,"31 a 50 años",1,2,5520.19773185851,18674.1553605584,6224.71845351945,2272022.2355346,186741.553605584
"BOGOTA","2000Q2",2000-04-01,"9 a 13 años",1,3,5213.43615798897,18674.1553605584,6224.71845351945,2272022.2355346,186741.553605584
"BOGOTA","2000Q3",2000-07-01,"31 a 50 años",0,1,7972.81029574531,18749.2706797103,6249.75689323676,2281161.26603142,187492.706797103
"BOGOTA","2000Q3",2000-07-01,"31 a 50 años",1,2,5543.60619738081,18749.2706797103,6249.75689323676,2281161.26603142,187492.706797103
"BOGOTA","2000Q3",2000-07-01,"9 a 13 años",1,3,5232.85418658415,18749.2706797103,6249.75689323676,2281161.26603142,187492.706797103
"BOGOTA","2000Q4",2000-10-01,"31 a 50 años",0,1,7946.41121285471,18690.4738855786,6230.15796185953,2274007.65607873,186904.738855786
"BOGOTA","2000Q4",2000-10-01,"31 a 50 años",1,2,5527.98147485837,18690.4738855786,6230.15796185953,2274007.65607873,186904.738855786
"BOGOTA","2000Q4",2000-10-01,"9 a 13 años",1,3,5216.08119786552,18690.4738855786,6230.15796185953,2274007.65607873,186904.738855786
"BOGOTA","2001Q1",2001-01-01,"31 a 50 años",0,1,7927.94635658001,18643.7343949351,6214.57813164504,2268321.01805044,186437.343949351
"BOGOTA","2001Q1",2001-01-01,"31 a 50 años",1,2,5512.82906719153,18643.7343949351,6214.57813164504,2268321.01805044,186437.343949351
"BOGOTA","2001Q1",2001-01-01,"9 a 13 años",1,3,5202.95897116357,18643.7343949351,6214.57813164504,2268321.01805044,186437.343949351
"BOGOTA","2001Q2",2001-04-01,"31 a 50 años",0,1,8035.69266100791,18888.648380124,6296.21612670801,2298118.88624842,188886.48380124
"BOGOTA","2001Q2",2001-04-01,"31 a 50 años",1,2,5581.41686295789,18888.648380124,6296.21612670801,2298118.88624842,188886.48380124
"BOGOTA","2001Q2",2001-04-01,"9 a 13 años",1,3,5271.53885615823,18888.648380124,6296.21612670801,2298118.88624842,188886.48380124
