"Demo_Group","Sex","Person","cost_day","total_household","per_capita","per_capita_year","per_capita_month","ciudad","fecha","person"
"31 a 50 años",0,1,8292.00968412713,19465.4429044663,6488.48096815543,2368295.55337673,194654.429044663,"BOGOTA",1999-01-01,1
"31 a 50 años",1,2,5742.4911275647,19465.4429044663,6488.48096815543,2368295.55337673,194654.429044663,"BOGOTA",1999-01-01,2
"9 a 13 años",1,3,5430.94209277447,19465.4429044663,6488.48096815543,2368295.55337673,194654.429044663,"BOGOTA",1999-01-01,3
"31 a 50 años",0,1,8196.05474369044,19246.4663962936,6415.48879876454,2341653.41154906,192464.663962936,"BOGOTA",1999-02-01,1
"31 a 50 años",1,2,5681.02820772029,19246.4663962936,6415.48879876454,2341653.41154906,192464.663962936,"BOGOTA",1999-02-01,2
"9 a 13 años",1,3,5369.38344488288,19246.4663962936,6415.48879876454,2341653.41154906,192464.663962936,"BOGOTA",1999-02-01,3
"31 a 50 años",0,1,8274.08286469846,19427.4080706664,6475.80269022215,2363667.98193108,194274.080706664,"BOGOTA",1999-03-01,1
"31 a 50 años",1,2,5733.10734665524,19427.4080706664,6475.80269022215,2363667.98193108,194274.080706664,"BOGOTA",1999-03-01,2
"9 a 13 años",1,3,5420.21785931275,19427.4080706664,6475.80269022215,2363667.98193108,194274.080706664,"BOGOTA",1999-03-01,3
"31 a 50 años",0,1,8356.2434520169,19618.717603646,6539.57253454868,2386943.97511027,196187.17603646,"BOGOTA",1999-04-01,1
"31 a 50 años",1,2,5788.75283358327,19618.717603646,6539.57253454868,2386943.97511027,196187.17603646,"BOGOTA",1999-04-01,2
"9 a 13 años",1,3,5473.72131804587,19618.717603646,6539.57253454868,2386943.97511027,196187.17603646,"BOGOTA",1999-04-01,3
"31 a 50 años",0,1,8339.77269669787,19578.6341461927,6526.21138206424,2382067.15445345,195786.341461927,"BOGOTA",1999-05-01,1
"31 a 50 años",1,2,5776.7180122554,19578.6341461927,6526.21138206424,2382067.15445345,195786.341461927,"BOGOTA",1999-05-01,2
"9 a 13 años",1,3,5462.14343723943,19578.6341461927,6526.21138206424,2382067.15445345,195786.341461927,"BOGOTA",1999-05-01,3
"31 a 50 años",0,1,8041.84550464509,18905.6146329256,6301.87154430853,2300183.11367261,189056.146329256,"BOGOTA",1999-06-01,1
"31 a 50 años",1,2,5587.82527660178,18905.6146329256,6301.87154430853,2300183.11367261,189056.146329256,"BOGOTA",1999-06-01,2
"9 a 13 años",1,3,5275.94385167873,18905.6146329256,6301.87154430853,2300183.11367261,189056.146329256,"BOGOTA",1999-06-01,3
"31 a 50 años",0,1,7595.41623335142,17896.182798071,5965.39426602367,2177368.90709864,178961.82798071,"BOGOTA",1999-07-01,1
"31 a 50 años",1,2,5306.74923987219,17896.182798071,5965.39426602367,2177368.90709864,178961.82798071,"BOGOTA",1999-07-01,2
"9 a 13 años",1,3,4994.01732484741,17896.182798071,5965.39426602367,2177368.90709864,178961.82798071,"BOGOTA",1999-07-01,3
"31 a 50 años",0,1,7779.32311051012,18311.5013056406,6103.83376854686,2227899.3255196,183115.013056406,"BOGOTA",1999-08-01,1
"31 a 50 años",1,2,5421.1565642522,18311.5013056406,6103.83376854686,2227899.3255196,183115.013056406,"BOGOTA",1999-08-01,2
"9 a 13 años",1,3,5111.02163087826,18311.5013056406,6103.83376854686,2227899.3255196,183115.013056406,"BOGOTA",1999-08-01,3
"31 a 50 años",0,1,7961.84123658929,18726.478363426,6242.15945447534,2278388.2008835,187264.78363426,"BOGOTA",1999-09-01,1
