"deciles","rate","gap","severity","model","ciudad","trimestre"
"Decil 1",12.3595505617978,0.0914676686922397,0.0795538081572665,"CoCA","BOGOTÁ D.C.","2018Q1"
"Decil 2",0,0,0,"CoCA","BOGOTÁ D.C.","2018Q1"
"Decil 3",0,0,0,"CoCA","BOGOTÁ D.C.","2018Q1"
"Decil 4",0,0,0,"CoCA","BOGOTÁ D.C.","2018Q1"
"Decil 5",0,0,0,"CoCA","BOGOTÁ D.C.","2018Q1"
"Decil 6",0,0,0,"CoCA","BOGOTÁ D.C.","2018Q1"
"Decil 7",0,0,0,"CoCA","BOGOTÁ D.C.","2018Q1"
"Decil 8",0,0,0,"CoCA","BOGOTÁ D.C.","2018Q1"
"Decil 9",0,0,0,"CoCA","BOGOTÁ D.C.","2018Q1"
"Decil 10",0,0,0,"CoCA","BOGOTÁ D.C.","2018Q1"
"Decil 1",49.063670411985,0.223866433385883,0.148785581976916,"CoNA","BOGOTÁ D.C.","2018Q1"
"Decil 2",1.87265917602996,0.000301052432690065,5.33580874324785e-06,"CoNA","BOGOTÁ D.C.","2018Q1"
"Decil 3",0,0,0,"CoNA","BOGOTÁ D.C.","2018Q1"
"Decil 4",0,0,0,"CoNA","BOGOTÁ D.C.","2018Q1"
"Decil 5",0,0,0,"CoNA","BOGOTÁ D.C.","2018Q1"
"Decil 6",0,0,0,"CoNA","BOGOTÁ D.C.","2018Q1"
"Decil 7",0,0,0,"CoNA","BOGOTÁ D.C.","2018Q1"
"Decil 8",0,0,0,"CoNA","BOGOTÁ D.C.","2018Q1"
"Decil 9",0,0,0,"CoNA","BOGOTÁ D.C.","2018Q1"
"Decil 10",0,0,0,"CoNA","BOGOTÁ D.C.","2018Q1"
"Decil 1",49.063670411985,0.398576469910961,0.329344213085987,"CoRD","BOGOTÁ D.C.","2018Q1"
"Decil 2",56.9288389513109,0.32825345494466,0.190706072818897,"CoRD","BOGOTÁ D.C.","2018Q1"
"Decil 3",40.0749063670412,0.180466284119736,0.0819835248944537,"CoRD","BOGOTÁ D.C.","2018Q1"
"Decil 4",51.310861423221,0.158154009789637,0.0496126063980725,"CoRD","BOGOTÁ D.C.","2018Q1"
"Decil 5",55.0561797752809,0.0981855251306233,0.0190381045509324,"CoRD","BOGOTÁ D.C.","2018Q1"
"Decil 6",27.7153558052434,0.0122265292009934,0.000674498519203501,"CoRD","BOGOTÁ D.C.","2018Q1"
"Decil 7",0,0,0,"CoRD","BOGOTÁ D.C.","2018Q1"
"Decil 8",0,0,0,"CoRD","BOGOTÁ D.C.","2018Q1"
"Decil 9",0,0,0,"CoRD","BOGOTÁ D.C.","2018Q1"
"Decil 10",0,0,0,"CoRD","BOGOTÁ D.C.","2018Q1"
"Decil 1",10.7913669064748,0.0828956429922783,0.0754564099056628,"CoCA","BOGOTÁ D.C.","2018Q2"
"Decil 2",0,0,0,"CoCA","BOGOTÁ D.C.","2018Q2"
"Decil 3",0,0,0,"CoCA","BOGOTÁ D.C.","2018Q2"
"Decil 4",0,0,0,"CoCA","BOGOTÁ D.C.","2018Q2"
"Decil 5",0,0,0,"CoCA","BOGOTÁ D.C.","2018Q2"
"Decil 6",0,0,0,"CoCA","BOGOTÁ D.C.","2018Q2"
"Decil 7",0,0,0,"CoCA","BOGOTÁ D.C.","2018Q2"
"Decil 8",0,0,0,"CoCA","BOGOTÁ D.C.","2018Q2"
"Decil 9",0,0,0,"CoCA","BOGOTÁ D.C.","2018Q2"
"Decil 10",0,0,0,"CoCA","BOGOTÁ D.C.","2018Q2"
"Decil 1",44.6043165467626,0.189218019462205,0.129848811432103,"CoNA","BOGOTÁ D.C.","2018Q2"
"Decil 2",0,0,0,"CoNA","BOGOTÁ D.C.","2018Q2"
"Decil 3",0,0,0,"CoNA","BOGOTÁ D.C.","2018Q2"
"Decil 4",0,0,0,"CoNA","BOGOTÁ D.C.","2018Q2"
"Decil 5",0,0,0,"CoNA","BOGOTÁ D.C.","2018Q2"
"Decil 6",0,0,0,"CoNA","BOGOTÁ D.C.","2018Q2"
"Decil 7",0,0,0,"CoNA","BOGOTÁ D.C.","2018Q2"
"Decil 8",0,0,0,"CoNA","BOGOTÁ D.C.","2018Q2"
"Decil 9",0,0,0,"CoNA","BOGOTÁ D.C.","2018Q2"
"Decil 10",0,0,0,"CoNA","BOGOTÁ D.C.","2018Q2"
"Decil 1",48.5611510791367,0.38089433284804,0.305928177295637,"CoRD","BOGOTÁ D.C.","2018Q2"
"Decil 2",51.7985611510791,0.277734764452342,0.150267183602024,"CoRD","BOGOTÁ D.C.","2018Q2"
"Decil 3",44.4043321299639,0.182835271581229,0.0760390326223587,"CoRD","BOGOTÁ D.C.","2018Q2"
"Decil 4",48.3754512635379,0.129280657214074,0.0355041054503429,"CoRD","BOGOTÁ D.C.","2018Q2"
"Decil 5",54.5126353790614,0.0674447138205695,0.00965672759730611,"CoRD","BOGOTÁ D.C.","2018Q2"
"Decil 6",16.2454873646209,0.00347379019995857,0.000113181300864577,"CoRD","BOGOTÁ D.C.","2018Q2"
"Decil 7",0,0,0,"CoRD","BOGOTÁ D.C.","2018Q2"
"Decil 8",0,0,0,"CoRD","BOGOTÁ D.C.","2018Q2"
"Decil 9",0,0,0,"CoRD","BOGOTÁ D.C.","2018Q2"
"Decil 10",0,0,0,"CoRD","BOGOTÁ D.C.","2018Q2"
"Decil 1",6.01503759398496,0.0366523397614378,0.030861845424552,"CoCA","BOGOTÁ D.C.","2018Q3"
"Decil 2",0,0,0,"CoCA","BOGOTÁ D.C.","2018Q3"
"Decil 3",0,0,0,"CoCA","BOGOTÁ D.C.","2018Q3"
"Decil 4",0,0,0,"CoCA","BOGOTÁ D.C.","2018Q3"
"Decil 5",0,0,0,"CoCA","BOGOTÁ D.C.","2018Q3"
"Decil 6",0,0,0,"CoCA","BOGOTÁ D.C.","2018Q3"
"Decil 7",0,0,0,"CoCA","BOGOTÁ D.C.","2018Q3"
"Decil 8",0,0,0,"CoCA","BOGOTÁ D.C.","2018Q3"
"Decil 9",0,0,0,"CoCA","BOGOTÁ D.C.","2018Q3"
