"deciles","rate","gap","severity","model","ciudad","fecha"
"Decil 1",16.793893129771,0.0785350466246745,0.0630420346148104,"CoCA","BOGOTÁ D.C.",17532
"Decil 2",0,0,0,"CoCA","BOGOTÁ D.C.",17532
"Decil 3",0,0,0,"CoCA","BOGOTÁ D.C.",17532
"Decil 4",0,0,0,"CoCA","BOGOTÁ D.C.",17532
"Decil 5",0,0,0,"CoCA","BOGOTÁ D.C.",17532
"Decil 6",0,0,0,"CoCA","BOGOTÁ D.C.",17532
"Decil 7",0,0,0,"CoCA","BOGOTÁ D.C.",17532
"Decil 8",0,0,0,"CoCA","BOGOTÁ D.C.",17532
"Decil 9",0,0,0,"CoCA","BOGOTÁ D.C.",17532
"Decil 10",0,0,0,"CoCA","BOGOTÁ D.C.",17532
"Decil 1",100,0.386592285447418,0.202498842779712,"CoNA","BOGOTÁ D.C.",17532
"Decil 2",19.8473282442748,0.00977581284201977,0.000651593592984989,"CoNA","BOGOTÁ D.C.",17532
"Decil 3",0,0,0,"CoNA","BOGOTÁ D.C.",17532
"Decil 4",0,0,0,"CoNA","BOGOTÁ D.C.",17532
"Decil 5",0,0,0,"CoNA","BOGOTÁ D.C.",17532
"Decil 6",0,0,0,"CoNA","BOGOTÁ D.C.",17532
"Decil 7",0,0,0,"CoNA","BOGOTÁ D.C.",17532
"Decil 8",0,0,0,"CoNA","BOGOTÁ D.C.",17532
"Decil 9",0,0,0,"CoNA","BOGOTÁ D.C.",17532
"Decil 10",0,0,0,"CoNA","BOGOTÁ D.C.",17532
"Decil 1",26.7857142857143,0.178489661647247,0.158053546890513,"CoCA","BOGOTÁ D.C.",17563
"Decil 2",0,0,0,"CoCA","BOGOTÁ D.C.",17563
"Decil 3",0,0,0,"CoCA","BOGOTÁ D.C.",17563
"Decil 4",0,0,0,"CoCA","BOGOTÁ D.C.",17563
"Decil 5",0,0,0,"CoCA","BOGOTÁ D.C.",17563
"Decil 6",0,0,0,"CoCA","BOGOTÁ D.C.",17563
"Decil 7",0,0,0,"CoCA","BOGOTÁ D.C.",17563
"Decil 8",0,0,0,"CoCA","BOGOTÁ D.C.",17563
"Decil 9",0,0,0,"CoCA","BOGOTÁ D.C.",17563
"Decil 10",0,0,0,"CoCA","BOGOTÁ D.C.",17563
"Decil 1",100,0.509060311451856,0.329610437266663,"CoNA","BOGOTÁ D.C.",17563
"Decil 2",45,0.0382994498981009,0.00428692860907481,"CoNA","BOGOTÁ D.C.",17563
"Decil 3",0,0,0,"CoNA","BOGOTÁ D.C.",17563
"Decil 4",0,0,0,"CoNA","BOGOTÁ D.C.",17563
"Decil 5",0,0,0,"CoNA","BOGOTÁ D.C.",17563
"Decil 6",0,0,0,"CoNA","BOGOTÁ D.C.",17563
"Decil 7",0,0,0,"CoNA","BOGOTÁ D.C.",17563
"Decil 8",0,0,0,"CoNA","BOGOTÁ D.C.",17563
"Decil 9",0,0,0,"CoNA","BOGOTÁ D.C.",17563
"Decil 10",0,0,0,"CoNA","BOGOTÁ D.C.",17563
"Decil 1",19.4852941176471,0.0851401629239983,0.0539199552491278,"CoCA","BOGOTÁ D.C.",17591
"Decil 2",0,0,0,"CoCA","BOGOTÁ D.C.",17591
"Decil 3",0,0,0,"CoCA","BOGOTÁ D.C.",17591
"Decil 4",0,0,0,"CoCA","BOGOTÁ D.C.",17591
"Decil 5",0,0,0,"CoCA","BOGOTÁ D.C.",17591
"Decil 6",0,0,0,"CoCA","BOGOTÁ D.C.",17591
"Decil 7",0,0,0,"CoCA","BOGOTÁ D.C.",17591
"Decil 8",0,0,0,"CoCA","BOGOTÁ D.C.",17591
"Decil 9",0,0,0,"CoCA","BOGOTÁ D.C.",17591
"Decil 10",0,0,0,"CoCA","BOGOTÁ D.C.",17591
"Decil 1",100,0.367073126264894,0.205061680997217,"CoNA","BOGOTÁ D.C.",17591
"Decil 2",5.51470588235294,0.000724014397785877,1.15183978841436e-05,"CoNA","BOGOTÁ D.C.",17591
"Decil 3",0,0,0,"CoNA","BOGOTÁ D.C.",17591
"Decil 4",0,0,0,"CoNA","BOGOTÁ D.C.",17591
"Decil 5",0,0,0,"CoNA","BOGOTÁ D.C.",17591
"Decil 6",0,0,0,"CoNA","BOGOTÁ D.C.",17591
"Decil 7",0,0,0,"CoNA","BOGOTÁ D.C.",17591
"Decil 8",0,0,0,"CoNA","BOGOTÁ D.C.",17591
"Decil 9",0,0,0,"CoNA","BOGOTÁ D.C.",17591
"Decil 10",0,0,0,"CoNA","BOGOTÁ D.C.",17591
"Decil 1",15.018315018315,0.110653784641017,0.0989461898902275,"CoCA","BOGOTÁ D.C.",17622
"Decil 2",0,0,0,"CoCA","BOGOTÁ D.C.",17622
"Decil 3",0,0,0,"CoCA","BOGOTÁ D.C.",17622
"Decil 4",0,0,0,"CoCA","BOGOTÁ D.C.",17622
"Decil 5",0,0,0,"CoCA","BOGOTÁ D.C.",17622
"Decil 6",0,0,0,"CoCA","BOGOTÁ D.C.",17622
"Decil 7",0,0,0,"CoCA","BOGOTÁ D.C.",17622
"Decil 8",0,0,0,"CoCA","BOGOTÁ D.C.",17622
"Decil 9",0,0,0,"CoCA","BOGOTÁ D.C.",17622
"Decil 10",0,0,0,"CoCA","BOGOTÁ D.C.",17622
"Decil 1",94.8717948717949,0.349082712697861,0.205261912866689,"CoNA","BOGOTÁ D.C.",17622
"Decil 2",0,0,0,"CoNA","BOGOTÁ D.C.",17622
"Decil 3",0,0,0,"CoNA","BOGOTÁ D.C.",17622
"Decil 4",0,0,0,"CoNA","BOGOTÁ D.C.",17622
"Decil 5",0,0,0,"CoNA","BOGOTÁ D.C.",17622
"Decil 6",0,0,0,"CoNA","BOGOTÁ D.C.",17622
"Decil 7",0,0,0,"CoNA","BOGOTÁ D.C.",17622
"Decil 8",0,0,0,"CoNA","BOGOTÁ D.C.",17622
"Decil 9",0,0,0,"CoNA","BOGOTÁ D.C.",17622
"Decil 10",0,0,0,"CoNA","BOGOTÁ D.C.",17622
"Decil 1",14.4366197183099,0.0764566486188648,0.0566584758613231,"CoCA","BOGOTÁ D.C.",17652
"Decil 2",0,0,0,"CoCA","BOGOTÁ D.C.",17652
"Decil 3",0,0,0,"CoCA","BOGOTÁ D.C.",17652
"Decil 4",0,0,0,"CoCA","BOGOTÁ D.C.",17652
"Decil 5",0,0,0,"CoCA","BOGOTÁ D.C.",17652
"Decil 6",0,0,0,"CoCA","BOGOTÁ D.C.",17652
"Decil 7",0,0,0,"CoCA","BOGOTÁ D.C.",17652
"Decil 8",0,0,0,"CoCA","BOGOTÁ D.C.",17652
"Decil 9",0,0,0,"CoCA","BOGOTÁ D.C.",17652
"Decil 10",0,0,0,"CoCA","BOGOTÁ D.C.",17652
"Decil 1",90.4929577464789,0.285111894933769,0.161768224450349,"CoNA","BOGOTÁ D.C.",17652
"Decil 2",0,0,0,"CoNA","BOGOTÁ D.C.",17652
"Decil 3",0,0,0,"CoNA","BOGOTÁ D.C.",17652
"Decil 4",0,0,0,"CoNA","BOGOTÁ D.C.",17652
"Decil 5",0,0,0,"CoNA","BOGOTÁ D.C.",17652
"Decil 6",0,0,0,"CoNA","BOGOTÁ D.C.",17652
"Decil 7",0,0,0,"CoNA","BOGOTÁ D.C.",17652
"Decil 8",0,0,0,"CoNA","BOGOTÁ D.C.",17652
"Decil 9",0,0,0,"CoNA","BOGOTÁ D.C.",17652
"Decil 10",0,0,0,"CoNA","BOGOTÁ D.C.",17652
"Decil 1",19.8606271777003,0.134680508611377,0.11200422663131,"CoCA","BOGOTÁ D.C.",17683
"Decil 2",0,0,0,"CoCA","BOGOTÁ D.C.",17683
"Decil 3",0,0,0,"CoCA","BOGOTÁ D.C.",17683
"Decil 4",0,0,0,"CoCA","BOGOTÁ D.C.",17683
"Decil 5",0,0,0,"CoCA","BOGOTÁ D.C.",17683
"Decil 6",0,0,0,"CoCA","BOGOTÁ D.C.",17683
"Decil 7",0,0,0,"CoCA","BOGOTÁ D.C.",17683
"Decil 8",0,0,0,"CoCA","BOGOTÁ D.C.",17683
"Decil 9",0,0,0,"CoCA","BOGOTÁ D.C.",17683
"Decil 10",0,0,0,"CoCA","BOGOTÁ D.C.",17683
"Decil 1",100,0.442069677328933,0.262981519929117,"CoNA","BOGOTÁ D.C.",17683
"Decil 2",15.6794425087108,0.00631142845396998,0.000343794767884172,"CoNA","BOGOTÁ D.C.",17683
"Decil 3",0,0,0,"CoNA","BOGOTÁ D.C.",17683
"Decil 4",0,0,0,"CoNA","BOGOTÁ D.C.",17683
"Decil 5",0,0,0,"CoNA","BOGOTÁ D.C.",17683
"Decil 6",0,0,0,"CoNA","BOGOTÁ D.C.",17683
"Decil 7",0,0,0,"CoNA","BOGOTÁ D.C.",17683
"Decil 8",0,0,0,"CoNA","BOGOTÁ D.C.",17683
"Decil 9",0,0,0,"CoNA","BOGOTÁ D.C.",17683
"Decil 10",0,0,0,"CoNA","BOGOTÁ D.C.",17683
"Decil 1",8.67924528301887,0.0384004891749412,0.0259124217528549,"CoCA","BOGOTÁ D.C.",17713
"Decil 2",0,0,0,"CoCA","BOGOTÁ D.C.",17713
"Decil 3",0,0,0,"CoCA","BOGOTÁ D.C.",17713
"Decil 4",0,0,0,"CoCA","BOGOTÁ D.C.",17713
"Decil 5",0,0,0,"CoCA","BOGOTÁ D.C.",17713
"Decil 6",0,0,0,"CoCA","BOGOTÁ D.C.",17713
"Decil 7",0,0,0,"CoCA","BOGOTÁ D.C.",17713
"Decil 8",0,0,0,"CoCA","BOGOTÁ D.C.",17713
"Decil 9",0,0,0,"CoCA","BOGOTÁ D.C.",17713
"Decil 10",0,0,0,"CoCA","BOGOTÁ D.C.",17713
"Decil 1",84.9056603773585,0.280129014946191,0.139692504344964,"CoNA","BOGOTÁ D.C.",17713
"Decil 2",0,0,0,"CoNA","BOGOTÁ D.C.",17713
"Decil 3",0,0,0,"CoNA","BOGOTÁ D.C.",17713
"Decil 4",0,0,0,"CoNA","BOGOTÁ D.C.",17713
"Decil 5",0,0,0,"CoNA","BOGOTÁ D.C.",17713
"Decil 6",0,0,0,"CoNA","BOGOTÁ D.C.",17713
"Decil 7",0,0,0,"CoNA","BOGOTÁ D.C.",17713
"Decil 8",0,0,0,"CoNA","BOGOTÁ D.C.",17713
"Decil 9",0,0,0,"CoNA","BOGOTÁ D.C.",17713
"Decil 10",0,0,0,"CoNA","BOGOTÁ D.C.",17713
"Decil 1",8.11808118081181,0.0382869394611449,0.0306723598251906,"CoCA","BOGOTÁ D.C.",17744
"Decil 2",0,0,0,"CoCA","BOGOTÁ D.C.",17744
"Decil 3",0,0,0,"CoCA","BOGOTÁ D.C.",17744
"Decil 4",0,0,0,"CoCA","BOGOTÁ D.C.",17744
"Decil 5",0,0,0,"CoCA","BOGOTÁ D.C.",17744
"Decil 6",0,0,0,"CoCA","BOGOTÁ D.C.",17744
"Decil 7",0,0,0,"CoCA","BOGOTÁ D.C.",17744
"Decil 8",0,0,0,"CoCA","BOGOTÁ D.C.",17744
"Decil 9",0,0,0,"CoCA","BOGOTÁ D.C.",17744
"Decil 10",0,0,0,"CoCA","BOGOTÁ D.C.",17744
"Decil 1",100,0.301102676098664,0.137971633944177,"CoNA","BOGOTÁ D.C.",17744
"Decil 2",7.74907749077491,0.00138735295853712,3.14850629293813e-05,"CoNA","BOGOTÁ D.C.",17744
"Decil 3",0,0,0,"CoNA","BOGOTÁ D.C.",17744
"Decil 4",0,0,0,"CoNA","BOGOTÁ D.C.",17744
"Decil 5",0,0,0,"CoNA","BOGOTÁ D.C.",17744
"Decil 6",0,0,0,"CoNA","BOGOTÁ D.C.",17744
"Decil 7",0,0,0,"CoNA","BOGOTÁ D.C.",17744
"Decil 8",0,0,0,"CoNA","BOGOTÁ D.C.",17744
"Decil 9",0,0,0,"CoNA","BOGOTÁ D.C.",17744
"Decil 10",0,0,0,"CoNA","BOGOTÁ D.C.",17744
"Decil 1",9.25925925925926,0.0572718901950731,0.0451558034363305,"CoCA","BOGOTÁ D.C.",17775
"Decil 2",0,0,0,"CoCA","BOGOTÁ D.C.",17775
"Decil 3",0,0,0,"CoCA","BOGOTÁ D.C.",17775
"Decil 4",0,0,0,"CoCA","BOGOTÁ D.C.",17775
"Decil 5",0,0,0,"CoCA","BOGOTÁ D.C.",17775
"Decil 6",0,0,0,"CoCA","BOGOTÁ D.C.",17775
"Decil 7",0,0,0,"CoCA","BOGOTÁ D.C.",17775
"Decil 8",0,0,0,"CoCA","BOGOTÁ D.C.",17775
"Decil 9",0,0,0,"CoCA","BOGOTÁ D.C.",17775
