"deciles","rate","gap","severity","model","ciudad","trimestre"
"Decil 1",13.1086142322097,0.0925441282155857,0.0802481257137092,"CoCA","BOGOTÁ D.C.","2018Q1"
"Decil 2",0,0,0,"CoCA","BOGOTÁ D.C.","2018Q1"
"Decil 3",0,0,0,"CoCA","BOGOTÁ D.C.","2018Q1"
"Decil 4",0,0,0,"CoCA","BOGOTÁ D.C.","2018Q1"
"Decil 5",0,0,0,"CoCA","BOGOTÁ D.C.","2018Q1"
"Decil 6",0,0,0,"CoCA","BOGOTÁ D.C.","2018Q1"
"Decil 7",0,0,0,"CoCA","BOGOTÁ D.C.","2018Q1"
"Decil 8",0,0,0,"CoCA","BOGOTÁ D.C.","2018Q1"
"Decil 9",0,0,0,"CoCA","BOGOTÁ D.C.","2018Q1"
"Decil 10",0,0,0,"CoCA","BOGOTÁ D.C.","2018Q1"
"Decil 1",49.063670411985,0.224801020078756,0.149314002004227,"CoNA","BOGOTÁ D.C.","2018Q1"
"Decil 2",1.87265917602996,0.000365603343168998,7.6303141833874e-06,"CoNA","BOGOTÁ D.C.","2018Q1"
"Decil 3",0,0,0,"CoNA","BOGOTÁ D.C.","2018Q1"
"Decil 4",0,0,0,"CoNA","BOGOTÁ D.C.","2018Q1"
"Decil 5",0,0,0,"CoNA","BOGOTÁ D.C.","2018Q1"
"Decil 6",0,0,0,"CoNA","BOGOTÁ D.C.","2018Q1"
"Decil 7",0,0,0,"CoNA","BOGOTÁ D.C.","2018Q1"
"Decil 8",0,0,0,"CoNA","BOGOTÁ D.C.","2018Q1"
"Decil 9",0,0,0,"CoNA","BOGOTÁ D.C.","2018Q1"
"Decil 10",0,0,0,"CoNA","BOGOTÁ D.C.","2018Q1"
"Decil 1",49.063670411985,0.332906817408815,0.242188727898388,"CoRD","BOGOTÁ D.C.","2018Q1"
"Decil 2",56.9288389513109,0.156315152484213,0.0471308478012397,"CoRD","BOGOTÁ D.C.","2018Q1"
"Decil 3",28.8389513108614,0.0266024197094706,0.00335519697020812,"CoRD","BOGOTÁ D.C.","2018Q1"
"Decil 4",0,0,0,"CoRD","BOGOTÁ D.C.","2018Q1"
"Decil 5",0,0,0,"CoRD","BOGOTÁ D.C.","2018Q1"
"Decil 6",0,0,0,"CoRD","BOGOTÁ D.C.","2018Q1"
"Decil 7",0,0,0,"CoRD","BOGOTÁ D.C.","2018Q1"
"Decil 8",0,0,0,"CoRD","BOGOTÁ D.C.","2018Q1"
"Decil 9",0,0,0,"CoRD","BOGOTÁ D.C.","2018Q1"
"Decil 10",0,0,0,"CoRD","BOGOTÁ D.C.","2018Q1"
"Decil 1",10.7913669064748,0.0839088730482084,0.0760878214008705,"CoCA","BOGOTÁ D.C.","2018Q2"
"Decil 2",0,0,0,"CoCA","BOGOTÁ D.C.","2018Q2"
"Decil 3",0,0,0,"CoCA","BOGOTÁ D.C.","2018Q2"
"Decil 4",0,0,0,"CoCA","BOGOTÁ D.C.","2018Q2"
"Decil 5",0,0,0,"CoCA","BOGOTÁ D.C.","2018Q2"
"Decil 6",0,0,0,"CoCA","BOGOTÁ D.C.","2018Q2"
"Decil 7",0,0,0,"CoCA","BOGOTÁ D.C.","2018Q2"
"Decil 8",0,0,0,"CoCA","BOGOTÁ D.C.","2018Q2"
"Decil 9",0,0,0,"CoCA","BOGOTÁ D.C.","2018Q2"
"Decil 10",0,0,0,"CoCA","BOGOTÁ D.C.","2018Q2"
"Decil 1",44.6043165467626,0.189391497425456,0.129929105891805,"CoNA","BOGOTÁ D.C.","2018Q2"
"Decil 2",0,0,0,"CoNA","BOGOTÁ D.C.","2018Q2"
"Decil 3",0,0,0,"CoNA","BOGOTÁ D.C.","2018Q2"
"Decil 4",0,0,0,"CoNA","BOGOTÁ D.C.","2018Q2"
"Decil 5",0,0,0,"CoNA","BOGOTÁ D.C.","2018Q2"
"Decil 6",0,0,0,"CoNA","BOGOTÁ D.C.","2018Q2"
"Decil 7",0,0,0,"CoNA","BOGOTÁ D.C.","2018Q2"
"Decil 8",0,0,0,"CoNA","BOGOTÁ D.C.","2018Q2"
"Decil 9",0,0,0,"CoNA","BOGOTÁ D.C.","2018Q2"
"Decil 10",0,0,0,"CoNA","BOGOTÁ D.C.","2018Q2"
"Decil 1",48.5611510791367,0.306553219718344,0.214482039340921,"CoRD","BOGOTÁ D.C.","2018Q2"
"Decil 2",51.7985611510791,0.107175208212735,0.0261245803384371,"CoRD","BOGOTÁ D.C.","2018Q2"
"Decil 3",20.5776173285199,0.0125583228841517,0.000964630196863457,"CoRD","BOGOTÁ D.C.","2018Q2"
"Decil 4",0,0,0,"CoRD","BOGOTÁ D.C.","2018Q2"
"Decil 5",0,0,0,"CoRD","BOGOTÁ D.C.","2018Q2"
"Decil 6",0,0,0,"CoRD","BOGOTÁ D.C.","2018Q2"
"Decil 7",0,0,0,"CoRD","BOGOTÁ D.C.","2018Q2"
"Decil 8",0,0,0,"CoRD","BOGOTÁ D.C.","2018Q2"
"Decil 9",0,0,0,"CoRD","BOGOTÁ D.C.","2018Q2"
"Decil 10",0,0,0,"CoRD","BOGOTÁ D.C.","2018Q2"
"Decil 1",6.39097744360902,0.0377217154485587,0.0313636055634661,"CoCA","BOGOTÁ D.C.","2018Q3"
"Decil 2",0,0,0,"CoCA","BOGOTÁ D.C.","2018Q3"
"Decil 3",0,0,0,"CoCA","BOGOTÁ D.C.","2018Q3"
"Decil 4",0,0,0,"CoCA","BOGOTÁ D.C.","2018Q3"
"Decil 5",0,0,0,"CoCA","BOGOTÁ D.C.","2018Q3"
"Decil 6",0,0,0,"CoCA","BOGOTÁ D.C.","2018Q3"
"Decil 7",0,0,0,"CoCA","BOGOTÁ D.C.","2018Q3"
"Decil 8",0,0,0,"CoCA","BOGOTÁ D.C.","2018Q3"
"Decil 9",0,0,0,"CoCA","BOGOTÁ D.C.","2018Q3"
"Decil 10",0,0,0,"CoCA","BOGOTÁ D.C.","2018Q3"
"Decil 1",38.7218045112782,0.146214053372023,0.0830777638314893,"CoNA","BOGOTÁ D.C.","2018Q3"
"Decil 2",0,0,0,"CoNA","BOGOTÁ D.C.","2018Q3"
"Decil 3",0,0,0,"CoNA","BOGOTÁ D.C.","2018Q3"
"Decil 4",0,0,0,"CoNA","BOGOTÁ D.C.","2018Q3"
"Decil 5",0,0,0,"CoNA","BOGOTÁ D.C.","2018Q3"
"Decil 6",0,0,0,"CoNA","BOGOTÁ D.C.","2018Q3"
"Decil 7",0,0,0,"CoNA","BOGOTÁ D.C.","2018Q3"
"Decil 8",0,0,0,"CoNA","BOGOTÁ D.C.","2018Q3"
"Decil 9",0,0,0,"CoNA","BOGOTÁ D.C.","2018Q3"
"Decil 10",0,0,0,"CoNA","BOGOTÁ D.C.","2018Q3"
"Decil 1",47.7443609022556,0.277009279656054,0.175878771299287,"CoRD","BOGOTÁ D.C.","2018Q3"
"Decil 2",47.3684210526316,0.0872452549718312,0.0200962391779176,"CoRD","BOGOTÁ D.C.","2018Q3"
"Decil 3",16.1654135338346,0.00914521086791424,0.000654278918470046,"CoRD","BOGOTÁ D.C.","2018Q3"
"Decil 4",0,0,0,"CoRD","BOGOTÁ D.C.","2018Q3"
"Decil 5",0,0,0,"CoRD","BOGOTÁ D.C.","2018Q3"
"Decil 6",0,0,0,"CoRD","BOGOTÁ D.C.","2018Q3"
"Decil 7",0,0,0,"CoRD","BOGOTÁ D.C.","2018Q3"
"Decil 8",0,0,0,"CoRD","BOGOTÁ D.C.","2018Q3"
"Decil 9",0,0,0,"CoRD","BOGOTÁ D.C.","2018Q3"
"Decil 10",0,0,0,"CoRD","BOGOTÁ D.C.","2018Q3"
"Decil 1",10.1214574898785,0.0728950347164045,0.0648192851852928,"CoCA","BOGOTÁ D.C.","2018Q4"
"Decil 2",0,0,0,"CoCA","BOGOTÁ D.C.","2018Q4"
"Decil 3",0,0,0,"CoCA","BOGOTÁ D.C.","2018Q4"
"Decil 4",0,0,0,"CoCA","BOGOTÁ D.C.","2018Q4"
"Decil 5",0,0,0,"CoCA","BOGOTÁ D.C.","2018Q4"
"Decil 6",0,0,0,"CoCA","BOGOTÁ D.C.","2018Q4"
"Decil 7",0,0,0,"CoCA","BOGOTÁ D.C.","2018Q4"
"Decil 8",0,0,0,"CoCA","BOGOTÁ D.C.","2018Q4"
"Decil 9",0,0,0,"CoCA","BOGOTÁ D.C.","2018Q4"
"Decil 10",0,0,0,"CoCA","BOGOTÁ D.C.","2018Q4"
"Decil 1",37.6518218623482,0.1656295872069,0.11463961844052,"CoNA","BOGOTÁ D.C.","2018Q4"
"Decil 2",0,0,0,"CoNA","BOGOTÁ D.C.","2018Q4"
"Decil 3",0,0,0,"CoNA","BOGOTÁ D.C.","2018Q4"
"Decil 4",0,0,0,"CoNA","BOGOTÁ D.C.","2018Q4"
"Decil 5",0,0,0,"CoNA","BOGOTÁ D.C.","2018Q4"
"Decil 6",0,0,0,"CoNA","BOGOTÁ D.C.","2018Q4"
"Decil 7",0,0,0,"CoNA","BOGOTÁ D.C.","2018Q4"
"Decil 8",0,0,0,"CoNA","BOGOTÁ D.C.","2018Q4"
"Decil 9",0,0,0,"CoNA","BOGOTÁ D.C.","2018Q4"
"Decil 10",0,0,0,"CoNA","BOGOTÁ D.C.","2018Q4"
"Decil 1",46.5587044534413,0.295549367621147,0.206189149937958,"CoRD","BOGOTÁ D.C.","2018Q4"
"Decil 2",51.417004048583,0.125366212402022,0.0340144701383885,"CoRD","BOGOTÁ D.C.","2018Q4"
"Decil 3",29.5546558704453,0.0203433693262244,0.00200950976183806,"CoRD","BOGOTÁ D.C.","2018Q4"
"Decil 4",0,0,0,"CoRD","BOGOTÁ D.C.","2018Q4"
"Decil 5",0,0,0,"CoRD","BOGOTÁ D.C.","2018Q4"
"Decil 6",0,0,0,"CoRD","BOGOTÁ D.C.","2018Q4"
"Decil 7",0,0,0,"CoRD","BOGOTÁ D.C.","2018Q4"
"Decil 8",0,0,0,"CoRD","BOGOTÁ D.C.","2018Q4"
"Decil 9",0,0,0,"CoRD","BOGOTÁ D.C.","2018Q4"
"Decil 10",0,0,0,"CoRD","BOGOTÁ D.C.","2018Q4"
"Decil 1",14.5593869731801,0.105000193778907,0.0945103042200619,"CoCA","BOGOTÁ D.C.","2019Q1"
"Decil 2",0,0,0,"CoCA","BOGOTÁ D.C.","2019Q1"
"Decil 3",0,0,0,"CoCA","BOGOTÁ D.C.","2019Q1"
"Decil 4",0,0,0,"CoCA","BOGOTÁ D.C.","2019Q1"
