"deciles","rate","gap","severity","model","ciudad","fecha"
"Decil 1",16.793893129771,0.0797509394562733,0.0634771150965033,"CoCA","BOGOTÁ D.C.",17532
"Decil 2",0,0,0,"CoCA","BOGOTÁ D.C.",17532
"Decil 3",0,0,0,"CoCA","BOGOTÁ D.C.",17532
"Decil 4",0,0,0,"CoCA","BOGOTÁ D.C.",17532
"Decil 5",0,0,0,"CoCA","BOGOTÁ D.C.",17532
"Decil 6",0,0,0,"CoCA","BOGOTÁ D.C.",17532
"Decil 7",0,0,0,"CoCA","BOGOTÁ D.C.",17532
"Decil 8",0,0,0,"CoCA","BOGOTÁ D.C.",17532
"Decil 9",0,0,0,"CoCA","BOGOTÁ D.C.",17532
"Decil 10",0,0,0,"CoCA","BOGOTÁ D.C.",17532
"Decil 1",100,0.39508846948355,0.20768088515057,"CoNA","BOGOTÁ D.C.",17532
"Decil 2",26.7175572519084,0.0127370281931791,0.000941181824234086,"CoNA","BOGOTÁ D.C.",17532
"Decil 3",0,0,0,"CoNA","BOGOTÁ D.C.",17532
"Decil 4",0,0,0,"CoNA","BOGOTÁ D.C.",17532
"Decil 5",0,0,0,"CoNA","BOGOTÁ D.C.",17532
"Decil 6",0,0,0,"CoNA","BOGOTÁ D.C.",17532
"Decil 7",0,0,0,"CoNA","BOGOTÁ D.C.",17532
"Decil 8",0,0,0,"CoNA","BOGOTÁ D.C.",17532
"Decil 9",0,0,0,"CoNA","BOGOTÁ D.C.",17532
"Decil 10",0,0,0,"CoNA","BOGOTÁ D.C.",17532
"Decil 1",100,0.640369199561299,0.428305864611734,"CoRD","BOGOTÁ D.C.",17532
"Decil 2",100,0.325823296628605,0.113556405552976,"CoRD","BOGOTÁ D.C.",17532
"Decil 3",100,0.128626307417462,0.0204161272241628,"CoRD","BOGOTÁ D.C.",17532
"Decil 4",13.4099616858238,0.0014635786810675,2.69928288997346e-05,"CoRD","BOGOTÁ D.C.",17532
"Decil 5",0,0,0,"CoRD","BOGOTÁ D.C.",17532
"Decil 6",0,0,0,"CoRD","BOGOTÁ D.C.",17532
"Decil 7",0,0,0,"CoRD","BOGOTÁ D.C.",17532
"Decil 8",0,0,0,"CoRD","BOGOTÁ D.C.",17532
"Decil 9",0,0,0,"CoRD","BOGOTÁ D.C.",17532
"Decil 10",0,0,0,"CoRD","BOGOTÁ D.C.",17532
"Decil 1",30.3571428571429,0.18190854737078,0.159394417158634,"CoCA","BOGOTÁ D.C.",17563
"Decil 2",0,0,0,"CoCA","BOGOTÁ D.C.",17563
"Decil 3",0,0,0,"CoCA","BOGOTÁ D.C.",17563
"Decil 4",0,0,0,"CoCA","BOGOTÁ D.C.",17563
"Decil 5",0,0,0,"CoCA","BOGOTÁ D.C.",17563
"Decil 6",0,0,0,"CoCA","BOGOTÁ D.C.",17563
"Decil 7",0,0,0,"CoCA","BOGOTÁ D.C.",17563
"Decil 8",0,0,0,"CoCA","BOGOTÁ D.C.",17563
"Decil 9",0,0,0,"CoCA","BOGOTÁ D.C.",17563
"Decil 10",0,0,0,"CoCA","BOGOTÁ D.C.",17563
"Decil 1",100,0.512485333977707,0.332129448579411,"CoNA","BOGOTÁ D.C.",17563
"Decil 2",47.1428571428571,0.0413182973976474,0.00478088866552955,"CoNA","BOGOTÁ D.C.",17563
"Decil 3",0,0,0,"CoNA","BOGOTÁ D.C.",17563
"Decil 4",0,0,0,"CoNA","BOGOTÁ D.C.",17563
"Decil 5",0,0,0,"CoNA","BOGOTÁ D.C.",17563
"Decil 6",0,0,0,"CoNA","BOGOTÁ D.C.",17563
"Decil 7",0,0,0,"CoNA","BOGOTÁ D.C.",17563
"Decil 8",0,0,0,"CoNA","BOGOTÁ D.C.",17563
"Decil 9",0,0,0,"CoNA","BOGOTÁ D.C.",17563
"Decil 10",0,0,0,"CoNA","BOGOTÁ D.C.",17563
"Decil 1",100,0.712258457126538,0.531519112607233,"CoRD","BOGOTÁ D.C.",17563
"Decil 2",100,0.403717737578297,0.167058920541304,"CoRD","BOGOTÁ D.C.",17563
"Decil 3",100,0.221532918878726,0.0543902397209293,"CoRD","BOGOTÁ D.C.",17563
"Decil 4",62.1428571428571,0.0393076569313415,0.00307207529102455,"CoRD","BOGOTÁ D.C.",17563
"Decil 5",0,0,0,"CoRD","BOGOTÁ D.C.",17563
"Decil 6",0,0,0,"CoRD","BOGOTÁ D.C.",17563
"Decil 7",0,0,0,"CoRD","BOGOTÁ D.C.",17563
"Decil 8",0,0,0,"CoRD","BOGOTÁ D.C.",17563
"Decil 9",0,0,0,"CoRD","BOGOTÁ D.C.",17563
"Decil 10",0,0,0,"CoRD","BOGOTÁ D.C.",17563
"Decil 1",19.8529411764706,0.0896537474738702,0.0565788805870224,"CoCA","BOGOTÁ D.C.",17591
"Decil 2",0,0,0,"CoCA","BOGOTÁ D.C.",17591
"Decil 3",0,0,0,"CoCA","BOGOTÁ D.C.",17591
"Decil 4",0,0,0,"CoCA","BOGOTÁ D.C.",17591
"Decil 5",0,0,0,"CoCA","BOGOTÁ D.C.",17591
"Decil 6",0,0,0,"CoCA","BOGOTÁ D.C.",17591
"Decil 7",0,0,0,"CoCA","BOGOTÁ D.C.",17591
"Decil 8",0,0,0,"CoCA","BOGOTÁ D.C.",17591
"Decil 9",0,0,0,"CoCA","BOGOTÁ D.C.",17591
"Decil 10",0,0,0,"CoCA","BOGOTÁ D.C.",17591
"Decil 1",100,0.373219939130692,0.208252918409111,"CoNA","BOGOTÁ D.C.",17591
"Decil 2",9.55882352941176,0.00147715368010823,3.16878282469207e-05,"CoNA","BOGOTÁ D.C.",17591
"Decil 3",0,0,0,"CoNA","BOGOTÁ D.C.",17591
"Decil 4",0,0,0,"CoNA","BOGOTÁ D.C.",17591
"Decil 5",0,0,0,"CoNA","BOGOTÁ D.C.",17591
"Decil 6",0,0,0,"CoNA","BOGOTÁ D.C.",17591
"Decil 7",0,0,0,"CoNA","BOGOTÁ D.C.",17591
"Decil 8",0,0,0,"CoNA","BOGOTÁ D.C.",17591
"Decil 9",0,0,0,"CoNA","BOGOTÁ D.C.",17591
"Decil 10",0,0,0,"CoNA","BOGOTÁ D.C.",17591
"Decil 1",100,0.626881828980182,0.417418420076353,"CoRD","BOGOTÁ D.C.",17591
"Decil 2",100,0.302253172473684,0.0953090539928413,"CoRD","BOGOTÁ D.C.",17591
"Decil 3",100,0.132676502068412,0.0217457573895138,"CoRD","BOGOTÁ D.C.",17591
"Decil 4",19.5571955719557,0.00295367093718588,7.05389314993272e-05,"CoRD","BOGOTÁ D.C.",17591
"Decil 5",0,0,0,"CoRD","BOGOTÁ D.C.",17591
"Decil 6",0,0,0,"CoRD","BOGOTÁ D.C.",17591
"Decil 7",0,0,0,"CoRD","BOGOTÁ D.C.",17591
"Decil 8",0,0,0,"CoRD","BOGOTÁ D.C.",17591
"Decil 9",0,0,0,"CoRD","BOGOTÁ D.C.",17591
"Decil 10",0,0,0,"CoRD","BOGOTÁ D.C.",17591
"Decil 1",16.1172161172161,0.112647049555783,0.0999541463885692,"CoCA","BOGOTÁ D.C.",17622
"Decil 2",0,0,0,"CoCA","BOGOTÁ D.C.",17622
"Decil 3",0,0,0,"CoCA","BOGOTÁ D.C.",17622
"Decil 4",0,0,0,"CoCA","BOGOTÁ D.C.",17622
"Decil 5",0,0,0,"CoCA","BOGOTÁ D.C.",17622
"Decil 6",0,0,0,"CoCA","BOGOTÁ D.C.",17622
"Decil 7",0,0,0,"CoCA","BOGOTÁ D.C.",17622
"Decil 8",0,0,0,"CoCA","BOGOTÁ D.C.",17622
"Decil 9",0,0,0,"CoCA","BOGOTÁ D.C.",17622
"Decil 10",0,0,0,"CoCA","BOGOTÁ D.C.",17622
"Decil 1",96.3369963369963,0.354113497096896,0.207703394397991,"CoNA","BOGOTÁ D.C.",17622
"Decil 2",0,0,0,"CoNA","BOGOTÁ D.C.",17622
"Decil 3",0,0,0,"CoNA","BOGOTÁ D.C.",17622
"Decil 4",0,0,0,"CoNA","BOGOTÁ D.C.",17622
"Decil 5",0,0,0,"CoNA","BOGOTÁ D.C.",17622
"Decil 6",0,0,0,"CoNA","BOGOTÁ D.C.",17622
"Decil 7",0,0,0,"CoNA","BOGOTÁ D.C.",17622
"Decil 8",0,0,0,"CoNA","BOGOTÁ D.C.",17622
"Decil 9",0,0,0,"CoNA","BOGOTÁ D.C.",17622
"Decil 10",0,0,0,"CoNA","BOGOTÁ D.C.",17622
"Decil 1",100,0.616131343975842,0.408723178505262,"CoRD","BOGOTÁ D.C.",17622
"Decil 2",100,0.25956327929276,0.0717311066161813,"CoRD","BOGOTÁ D.C.",17622
"Decil 3",89.010989010989,0.0996172043311964,0.0140075790028333,"CoRD","BOGOTÁ D.C.",17622
"Decil 4",0,0,0,"CoRD","BOGOTÁ D.C.",17622
"Decil 5",0,0,0,"CoRD","BOGOTÁ D.C.",17622
"Decil 6",0,0,0,"CoRD","BOGOTÁ D.C.",17622
"Decil 7",0,0,0,"CoRD","BOGOTÁ D.C.",17622
"Decil 8",0,0,0,"CoRD","BOGOTÁ D.C.",17622
"Decil 9",0,0,0,"CoRD","BOGOTÁ D.C.",17622
"Decil 10",0,0,0,"CoRD","BOGOTÁ D.C.",17622
"Decil 1",14.4366197183099,0.0792069853356883,0.058341042538833,"CoCA","BOGOTÁ D.C.",17652
"Decil 2",0,0,0,"CoCA","BOGOTÁ D.C.",17652
"Decil 3",0,0,0,"CoCA","BOGOTÁ D.C.",17652
"Decil 4",0,0,0,"CoCA","BOGOTÁ D.C.",17652
"Decil 5",0,0,0,"CoCA","BOGOTÁ D.C.",17652
"Decil 6",0,0,0,"CoCA","BOGOTÁ D.C.",17652
"Decil 7",0,0,0,"CoCA","BOGOTÁ D.C.",17652
"Decil 8",0,0,0,"CoCA","BOGOTÁ D.C.",17652
"Decil 9",0,0,0,"CoCA","BOGOTÁ D.C.",17652
"Decil 10",0,0,0,"CoCA","BOGOTÁ D.C.",17652
"Decil 1",91.5492957746479,0.29042479650087,0.163905874987304,"CoNA","BOGOTÁ D.C.",17652
"Decil 2",0,0,0,"CoNA","BOGOTÁ D.C.",17652
"Decil 3",0,0,0,"CoNA","BOGOTÁ D.C.",17652
"Decil 4",0,0,0,"CoNA","BOGOTÁ D.C.",17652
"Decil 5",0,0,0,"CoNA","BOGOTÁ D.C.",17652
"Decil 6",0,0,0,"CoNA","BOGOTÁ D.C.",17652
"Decil 7",0,0,0,"CoNA","BOGOTÁ D.C.",17652
"Decil 8",0,0,0,"CoNA","BOGOTÁ D.C.",17652
"Decil 9",0,0,0,"CoNA","BOGOTÁ D.C.",17652
"Decil 10",0,0,0,"CoNA","BOGOTÁ D.C.",17652
"Decil 1",100,0.571311243005338,0.355781350860492,"CoRD","BOGOTÁ D.C.",17652
"Decil 2",100,0.237348777107965,0.0618167096450642,"CoRD","BOGOTÁ D.C.",17652
"Decil 3",75.3521126760563,0.0666058896019561,0.00799164541677967,"CoRD","BOGOTÁ D.C.",17652
"Decil 4",0,0,0,"CoRD","BOGOTÁ D.C.",17652
"Decil 5",0,0,0,"CoRD","BOGOTÁ D.C.",17652
"Decil 6",0,0,0,"CoRD","BOGOTÁ D.C.",17652
"Decil 7",0,0,0,"CoRD","BOGOTÁ D.C.",17652
"Decil 8",0,0,0,"CoRD","BOGOTÁ D.C.",17652
"Decil 9",0,0,0,"CoRD","BOGOTÁ D.C.",17652
"Decil 10",0,0,0,"CoRD","BOGOTÁ D.C.",17652
"Decil 1",19.8606271777003,0.137269502019581,0.113908664933208,"CoCA","BOGOTÁ D.C.",17683
"Decil 2",0,0,0,"CoCA","BOGOTÁ D.C.",17683
"Decil 3",0,0,0,"CoCA","BOGOTÁ D.C.",17683
"Decil 4",0,0,0,"CoCA","BOGOTÁ D.C.",17683
"Decil 5",0,0,0,"CoCA","BOGOTÁ D.C.",17683
"Decil 6",0,0,0,"CoCA","BOGOTÁ D.C.",17683
"Decil 7",0,0,0,"CoCA","BOGOTÁ D.C.",17683
"Decil 8",0,0,0,"CoCA","BOGOTÁ D.C.",17683
"Decil 9",0,0,0,"CoCA","BOGOTÁ D.C.",17683
"Decil 10",0,0,0,"CoCA","BOGOTÁ D.C.",17683
"Decil 1",100,0.447606156988505,0.266573096387522,"CoNA","BOGOTÁ D.C.",17683
"Decil 2",20.9059233449477,0.0081840602573356,0.000479215341681993,"CoNA","BOGOTÁ D.C.",17683
"Decil 3",0,0,0,"CoNA","BOGOTÁ D.C.",17683
"Decil 4",0,0,0,"CoNA","BOGOTÁ D.C.",17683
"Decil 5",0,0,0,"CoNA","BOGOTÁ D.C.",17683
"Decil 6",0,0,0,"CoNA","BOGOTÁ D.C.",17683
"Decil 7",0,0,0,"CoNA","BOGOTÁ D.C.",17683
"Decil 8",0,0,0,"CoNA","BOGOTÁ D.C.",17683
"Decil 9",0,0,0,"CoNA","BOGOTÁ D.C.",17683
"Decil 10",0,0,0,"CoNA","BOGOTÁ D.C.",17683
"Decil 1",100,0.668583916885486,0.470841401674544,"CoRD","BOGOTÁ D.C.",17683
"Decil 2",100,0.302411991132099,0.0987103026475789,"CoRD","BOGOTÁ D.C.",17683
"Decil 3",100,0.104065658826563,0.014299784500189,"CoRD","BOGOTÁ D.C.",17683
"Decil 4",6.27177700348432,0.000251473819207668,1.55551856962772e-06,"CoRD","BOGOTÁ D.C.",17683
"Decil 5",0,0,0,"CoRD","BOGOTÁ D.C.",17683
"Decil 6",0,0,0,"CoRD","BOGOTÁ D.C.",17683
