"ciudad","trimestre","model","n_deciles","incidence"
"BOGOTÁ D.C.","2018Q1","CoCA",10,1.31086142322097
"BOGOTÁ D.C.","2018Q1","CoNA",10,5.0936329588015
"BOGOTÁ D.C.","2018Q1","CoRD",10,13.4831460674157
"BOGOTÁ D.C.","2018Q2","CoCA",10,1.07913669064748
"BOGOTÁ D.C.","2018Q2","CoNA",10,4.46043165467626
"BOGOTÁ D.C.","2018Q2","CoRD",10,12.0937329558736
"BOGOTÁ D.C.","2018Q3","CoCA",10,0.639097744360902
"BOGOTÁ D.C.","2018Q3","CoNA",10,3.87218045112782
"BOGOTÁ D.C.","2018Q3","CoRD",10,11.1278195488722
"BOGOTÁ D.C.","2018Q4","CoCA",10,1.01214574898785
"BOGOTÁ D.C.","2018Q4","CoNA",10,3.76518218623482
"BOGOTÁ D.C.","2018Q4","CoRD",10,12.753036437247
"BOGOTÁ D.C.","2019Q1","CoCA",10,1.45593869731801
"BOGOTÁ D.C.","2019Q1","CoNA",10,4.67432950191571
"BOGOTÁ D.C.","2019Q1","CoRD",10,15.2107279693487
"BOGOTÁ D.C.","2019Q2","CoCA",10,1.01503759398496
"BOGOTÁ D.C.","2019Q2","CoNA",10,3.87218045112782
"BOGOTÁ D.C.","2019Q2","CoRD",10,15.4887218045113
"BOGOTÁ D.C.","2019Q3","CoCA",10,0.778210116731518
"BOGOTÁ D.C.","2019Q3","CoNA",10,3.96887159533074
"BOGOTÁ D.C.","2019Q3","CoRD",10,14.6303501945525
"BOGOTÁ D.C.","2019Q4","CoCA",10,1.05263157894737
"BOGOTÁ D.C.","2019Q4","CoNA",10,3.96761133603239
"BOGOTÁ D.C.","2019Q4","CoRD",10,13.8056680161943
"BOGOTÁ D.C.","2020Q1","CoCA",10,2
"BOGOTÁ D.C.","2020Q1","CoNA",10,6.15686274509804
"BOGOTÁ D.C.","2020Q1","CoRD",10,15.2156862745098
"BOGOTÁ D.C.","2020Q2","CoCA",10,9.86666666666667
"BOGOTÁ D.C.","2020Q2","CoNA",10,17.7235228539576
"BOGOTÁ D.C.","2020Q2","CoRD",10,27.4559643255295
"BOGOTÁ D.C.","2020Q3","CoCA",10,5.69897084048027
"BOGOTÁ D.C.","2020Q3","CoNA",10,12.8201829616924
"BOGOTÁ D.C.","2020Q3","CoRD",10,23.1232132647227
"BOGOTÁ D.C.","2020Q4","CoCA",10,2.1259842519685
"BOGOTÁ D.C.","2020Q4","CoNA",10,7.55905511811024
"BOGOTÁ D.C.","2020Q4","CoRD",10,17.7952755905512
"BOGOTÁ D.C.","2021Q1","CoCA",10,3.29365079365079
"BOGOTÁ D.C.","2021Q1","CoNA",10,8.76984126984127
"BOGOTÁ D.C.","2021Q1","CoRD",10,18.7407512805919
"BOGOTÁ D.C.","2021Q2","CoCA",10,2.96442687747036
"BOGOTÁ D.C.","2021Q2","CoNA",10,9.20948616600791
"BOGOTÁ D.C.","2021Q2","CoRD",10,22.0158102766798
"BOGOTÁ D.C.","2021Q3","CoCA",10,2.15139442231076
"BOGOTÁ D.C.","2021Q3","CoNA",10,7.33067729083665
"BOGOTÁ D.C.","2021Q3","CoRD",10,19.6967330677291
"BOGOTÁ D.C.","2021Q4","CoCA",10,2.0704845814978
"BOGOTÁ D.C.","2021Q4","CoNA",10,7.04845814977974
"BOGOTÁ D.C.","2021Q4","CoRD",10,18.1938325991189
"BOGOTÁ D.C.","2022Q1","CoCA",10,2.26720647773279
"BOGOTÁ D.C.","2022Q1","CoNA",10,7.85425101214575
"BOGOTÁ D.C.","2022Q1","CoRD",10,19.7165991902834
"BOGOTÁ D.C.","2022Q2","CoCA",10,2.18106995884774
"BOGOTÁ D.C.","2022Q2","CoNA",10,7.11934156378601
"BOGOTÁ D.C.","2022Q2","CoRD",10,20.72271536918
"BOGOTÁ D.C.","2022Q3","CoCA",10,1.58536585365854
"BOGOTÁ D.C.","2022Q3","CoNA",10,7.84552845528455
"BOGOTÁ D.C.","2022Q3","CoRD",10,21.0162601626016
"BOGOTÁ D.C.","2022Q4","CoCA",10,2
"BOGOTÁ D.C.","2022Q4","CoNA",10,9.42222222222222
"BOGOTÁ D.C.","2022Q4","CoRD",10,22.7111111111111
"BOGOTÁ D.C.","2023Q1","CoCA",10,2.09606986899563
"BOGOTÁ D.C.","2023Q1","CoNA",10,9.40530912433923
"BOGOTÁ D.C.","2023Q1","CoRD",10,21.5544319313568
"BOGOTÁ D.C.","2023Q2","CoCA",10,1.97478991596639
"BOGOTÁ D.C.","2023Q2","CoNA",10,7.6890756302521
"BOGOTÁ D.C.","2023Q2","CoRD",10,18.9667765840513
"BOGOTÁ D.C.","2023Q3","CoCA",10,2.14876033057851
"BOGOTÁ D.C.","2023Q3","CoNA",10,7.06611570247934
"BOGOTÁ D.C.","2023Q3","CoRD",10,17.396694214876
"BOGOTÁ D.C.","2023Q4","CoCA",10,2.13333333333333
"BOGOTÁ D.C.","2023Q4","CoNA",10,7.37777777777778
"BOGOTÁ D.C.","2023Q4","CoRD",10,17.1111111111111
"BOGOTÁ D.C.","2024Q1","CoCA",10,1.48148148148148
"BOGOTÁ D.C.","2024Q1","CoNA",10,5.63786008230453
"BOGOTÁ D.C.","2024Q1","CoRD",10,15.5555555555556
"BOGOTÁ D.C.","2024Q2","CoCA",10,1.14285714285714
"BOGOTÁ D.C.","2024Q2","CoNA",10,4.85714285714286
"BOGOTÁ D.C.","2024Q2","CoRD",10,15.1836734693878
"BOGOTÁ D.C.","2024Q3","CoCA",10,1.83266932270916
"BOGOTÁ D.C.","2024Q3","CoNA",10,5.0597609561753
"BOGOTÁ D.C.","2024Q3","CoRD",10,16.0557768924303
"BOGOTÁ D.C.","2024Q4","CoCA",10,0.954356846473029
"BOGOTÁ D.C.","2024Q4","CoNA",10,4.35684647302905
"BOGOTÁ D.C.","2024Q4","CoRD",10,13.8955739972337
"CALI","2018Q1","CoCA",10,0.901287553648069
"CALI","2018Q1","CoNA",10,4.29184549356223
"CALI","2018Q1","CoRD",10,14.0737383454196
"CALI","2018Q2","CoCA",10,1.1864406779661
"CALI","2018Q2","CoNA",10,4.40677966101695
"CALI","2018Q2","CoRD",10,12.1610169491525
"CALI","2018Q3","CoCA",10,1.68032786885246
"CALI","2018Q3","CoNA",10,6.0655737704918
"CALI","2018Q3","CoRD",10,14.4262295081967
"CALI","2018Q4","CoCA",10,1.47186147186147
"CALI","2018Q4","CoNA",10,4.80519480519481
"CALI","2018Q4","CoRD",10,14.978354978355
"CALI","2019Q1","CoCA",10,1.81818181818182
"CALI","2019Q1","CoNA",10,5.99173553719008
"CALI","2019Q1","CoRD",10,15.5371900826446
"CALI","2019Q2","CoCA",10,1.41666666666667
"CALI","2019Q2","CoNA",10,4.75
"CALI","2019Q2","CoRD",10,14.5181311018131
